ID	区域	//备注	开放时间	解锁条件（1 账号等级 2 前置关卡）	dlc期数	类型（1主线 2复刷）	关卡列表	星级奖励 {{10,{{G,D,P,L,N},{G,D,P,L,N}}},{20,{{G,D,P,L,N},{G,D,P,L,N}}}}	概念图	关卡排序
10	0	dlc7材料本	{202404181000,202405300400}	{{1,1}}	7	2	{5450,5451,5452,5453,5454,5455}		1800001	{5450,5451,5452,5453,5454,5455}
11	0	dlc8材料本	{202405301000,202407110400}	{{1,1}}	8	2	{5600,5601,5602,5603,5604,5605}		1800001	{5600,5601,5602,5603,5604,5605}
12	0	dlc9材料本	{202407110400,202408220400}	{{1,1}}	9	2	{5700,5701,5702,5703,5704,5705}		1800001	{5700,5701,5702,5703,5704,5705}
13	0	dlc10材料本	{202408221000,202409260400}	{{1,1}}	10	2	{8000,8001,8002,8003,8004,8005}		1800001	{8000,8001,8002,8003,8004,8005}
14	0	dlc11主线	{202409260400,202411070400}	{{1,1}}	11	1	{8231,8232,8201,8233,8202,8234,8203,8235,8204,8236,8251,8205,8237,8206,8238,8207,8252,8239,8208,8240,8209,8241,8253}	{{9,{{5,29,7,1,10},{4,3,1,1,2000}}},{18,{{4,3,2,1,30},{5,29,7,1,20},{4,3,1,1,3000}}},{27,{{4,3,2,1,60},{5,29,7,1,30},{4,3,1,1,5000}}}}	1800001	{8231,8232,8201,8233,8202,8234,8203,8235,8204,{8236,8251},8205,8237,8206,8238,{8207,8252},8239,8208,8240,8209,{8241,8253}}
15	0	dlc11材料本	{202409260400,202411070400}	{{1,1}}	11	2	{8211,8212,8213,8214,8215,8216}		1800001	{8211,8212,8213,8214,8215,8216}
16	0	dlc23材料本	{202411071000,202412190400}	{{1,1}}	23	2	{8400,8401,8402,8403,8404,8405}		1800001	{8400,8401,8402,8403,8404,8405}
17	0	dlc24材料本	{202412191000,202501230400}	{{1,1}}	24	2	{8420,8421,8422,8423,8424,8425}		1800001	{8420,8421,8422,8423,8424,8425}
18	0	dlc25材料本	{202501230400,202503060400}	{{1,1}}	25	2	{8426,8427,8428,8429,8430,8446}		1800001	{8426,8427,8428,8429,8430,8446}
19	0	dlc26主线	{202503061000,202504170400}	{{1,1}}	26	1	{8510,8500,8501,8511,8502,8503,8512,8504,8505,8513,8514,8506,8515,8507,8516}	{{6,{{5,29,11,1,10},{4,3,1,1,2000}}},{15,{{4,3,2,1,30},{5,29,11,1,20},{4,3,1,1,3000}}},{24,{{4,3,2,1,60},{5,29,11,1,30},{4,3,1,1,5000}}}}	1800021	{8510,8500,8501,8511,8502,8503,8512,8504,8505,8513,8514,8506,8515,8507,8516}
20	0	dlc26材料本	{202503061000,202504170400}	{{1,1}}	26	2	{8540,8541,8542,8543,8544,8545}		1800001	{8540,8541,8542,8543,8544,8545}
21	0	dlc27材料本	{202504170400,202505290400}	{{1,1}}	27	2	{8650,8651,8652,8653,8654,8655}		1800001	{8650,8651,8652,8653,8654,8655}
22	0	dlc28材料本	{202505291000,202507100400}	{{1,1}}	28	2	{8700,8701,8702,8703,8704,8705}		1800001	{8700,8701,8702,8703,8704,8705}
23	0	复刻dlc7主线	{202506190400,202507100400}	{{1,1}}	28	1	{5409,5410,5411,5412,5413,5414,5415,5416,5417,5418,5419,5420,5436,5437,5438,5439,5440,5445}	{{8,{{5,29,3,4,15},{4,3,1,1,2000}}},{16,{{5,29,3,4,25},{4,3,1,1,3000}}},{24,{{5,29,3,4,40},{4,3,1,1,5000}}}}	1800001	{5417,5418,5409,5419,5410,5411,5420,5436,5412,5413,5437,5414,5438,5415,5439,5416,{5440,5445}}
24	0	复刻dlc7材料本	{202506190400,202507100400}	{{1,1}}	28	2	{5400,5430,5456,5457,5458,5459}		1800001	{5400,5430,5456,5457,5458,5459}
25	0	dlc30材料本	{202507100400,202508210400}	{{1,1}}	30	2	{8706,8707,8708,8709,8710,8711}		1800001	{8706,8707,8708,8709,8710,8711}
26	0	dlc31材料本	{202508211000,202509250400}	{{1,1}}	31	2	{8755,8756,8757,8758,8759,8760}		1800001	{8755,8756,8757,8758,8759,8760}
27	0	复刻dlc3主线	{202509040400,202509250400}	{{1,1}}	31	1	{8761,8762,8763,8764,8765,8766,8767,8768,8769,8770,8771,8772,8773,8774,8775,8776,8777,8778,8779,8780,8781,8782,8783}	{{8,{{5,29,15,4,15},{4,3,1,1,2000}}},{16,{{5,29,15,4,25},{4,3,1,1,3000}}},{24,{{5,29,15,4,40},{4,3,1,1,5000}}}}	1800001	{8769,{8761,8781},8762,8770,8763,8771,8764,8772,8765,8773,8774,8766,8775,8767,{8782,8768},8776,8777,8783,8778,8779,8780}
28	0	复刻dlc3材料本	{202509040400,202509250400}	{{1,1}}	31	2	{8791,8792,8793,8794,8795,8796}		1800001	{8791,8792,8793,8794,8795,8796}
29	0	复刻dlc11主线	{202511200400,202512180400}	{{1,1}}	33	1	{8821,8822,8812,8823,8813,8824,8814,8825,8815,8826,8832,8816,8827,8817,8828,8818,8833,8829,8819,8830,8820,8831,8834}	{{9,{{5,29,17,4,15},{4,3,1,1,2000}}},{18,{{5,29,17,4,25},{4,3,1,1,3000}}},{27,{{5,29,17,4,40},{4,3,1,1,5000}}}}	1800001	{8821,8822,8812,8823,8813,8824,8814,8825,8815,{8826,8832},8816,8827,8817,8828,{8818,8833},8829,8819,8830,8820,{8831,8834}}
30	0	复刻dlc11材料本	{202511200400,202512180400}	{{1,1}}	33	2	{8835,8836,8837,8838,8839,8840}		1800001	{8835,8836,8837,8838,8839,8840}
31	0	dlc32主线	{202509250400,202511060400}	{{1,9}}	32	1	{11601,11602,11603,11604,11605,11606,11607,11608,11609,11610,11611,11612,11613,11614,11615,11616,11617,11618,11619,11620,11621,11622,11623}	{{9,{{5,29,16,1,10},{4,3,1,1,2000}}},{18,{{4,3,2,1,30},{5,29,16,1,20},{4,3,1,1,3000}}},{27,{{4,3,2,1,60},{5,29,16,1,30},{4,3,1,1,5000}}}}	1800051	{11610,11601,11611,11602,11603,{11621,11604},11612,11613,11605,11614,11606,11615,11616,11607,11622,11608,11617,11618,11609,11619,11620,11623}
32	0	dlc32材料本	{202509250400,202511060400}	{{1,1}}	32	2	{11640,11641,11642,11643,11644,11645}		1800001	{11640,11641,11642,11643,11644,11645}
33	0	dlc33材料本	{202511060400,202512180400}	{{1,1}}	33	2	{8806,8807,8808,8809,8810,8811}		1800001	{8806,8807,8808,8809,8810,8811}
34	0	dlc34材料本	{202512180400,202601290400}	{{1,1}}	34	2	{8886,8887,8888,8889,8890,8891}		1800001	{8886,8887,8888,8889,8890,8891}
35	0	dlc35材料本	{202601290400,202603120400}	{{1,1}}	35	2	{11750,11751,11752,11753,11754,11755}		1800001	{11750,11751,11752,11753,11754,11755}
36	0	复刻dlc26主线	{202605220400,202606190400}	{{1,1}}	36	1	{11804,11790,11791,11805,11792,11793,11806,11794,11795,11807,11808,11796,11809,11797,11810}	{{8,{{5,29,20,4,15},{4,3,1,1,2000}}},{16,{{5,29,20,4,25},{4,3,1,1,3000}}},{24,{{5,29,20,4,40},{4,3,1,1,5000}}}}	1800021	{11804,11790,11791,11805,11792,11793,11806,11794,11795,11807,11808,11796,11809,11797,11810}
37	0	复刻dlc26材料本	{202605220400,202606190400}	{{1,1}}	36	2	{11798,11799,11800,11801,11802,11803}		1800001	{11798,11799,11800,11801,11802,11803}
38	0	dlc36材料本	{202605080400,202606190400}	{{1,1}}	36	2	{11780,11781,11782,11783,11784,11785}		1800001	{11780,11781,11782,11783,11784,11785}
39	0	dlc37材料本	{202604230400,202610230400}	{{1,1}}	37	2	{11860,11861,11862,11863,11864,11865}		1800001	{11860,11861,11862,11863,11864,11865}
