ID	//备注	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID,3：是否拥有某道具,4：曜日本专用是否通关xx关卡)	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	时效性队伍规则：{{试用Id,开启时间}}，有多组时最先开放的配最左边	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	dlc版本	关卡倒计时	是否直接进入剧情（1直接进入）	是否返回编队界面（1返回，不配进入下一关）	是否使用玩家最后使用的编队（1使用，不配不使用）	点击下一关返回章节列表（1返回，不配进入下一关）	能力适应阶段ID，对应level_adaptation.txt表	BuffEx
4031	DLC1-St1	2	50000	1	{{2,4020}}	{0,0}							0	0	0	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_ST01.Dlc1_Task01_ST01			1					
4032	DLC1-St2	2	50000	1	{{2,4022}}	{0,0}							0	0	0	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_ST02.Dlc1_Task01_ST02			1					
4033	DLC1-St3	2	50000	1	{{2,4024}}	{0,0}							0	0	0	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_ST03.Dlc1_Task01_ST03			1					
4034	DLC1-St4	2	50000	1	{{2,4025}}	{0,0}							0	0	0	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_ST04.Dlc1_Task01_ST04			1					
4035	DLC1-St5	2	50000	1	{{2,4028}}	{0,0}							0	0	0	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_ST05.Dlc1_Task01_ST05			1					
																																					
4101	起于子半·简单	0	4101	1	{{1,20}}	{0,14}		{4001603,4001604,4001605,4001602}	1	0			0	0	4102	14				{}	{7002}	{7002}		{{5,23,1,1,6}}		{{5,23,1,1,6}}		1801011	Dlc1Task01/Dlc1_Task04_01.Dlc1_Task04_01						1		
4102	起于子半·普通	0	4102	1	{{2,4101}}	{0,16}		{4001603,4001604,4001605,4001602}	1	0			0	0	4103	16				{}	{7003}	{7003}		{{5,23,1,1,7}}		{{5,23,1,1,7}}		1801012	Dlc1Task01/Dlc1_Task04_02.Dlc1_Task04_02						1		
4103	起于子半·困难	0	4103	1	{{2,4102}}	{0,18}		{5001205,4001215,4001212}	1	0			0	0	4104	18				{}	{7004}	{7004}		{{5,23,1,1,8}}		{{5,23,1,1,8}}		1801010	Dlc1Task01/Dlc1_Task04_03.Dlc1_Task04_03						1		
4104	起于子半·恐惧	0	4104	1	{{2,4103}}	{0,20}		{4001215,4001213,4001212,4001211}	1	0			0	0	4105	20				{}	{7005}	{7005}		{{5,23,1,1,9}}		{{5,23,1,1,9}}		1801012	Dlc1Task01/Dlc1_Task04_04.Dlc1_Task04_04						1		
4105	起于子半·噩梦	0	4105	1	{{2,4104}}	{0,24}		{4001603,4001604,4001605,4001602,4001606}	1	0			0	0	4106	24				{}	{7006}	{7006}		{{5,23,1,1,11}}		{{5,23,1,1,11}}		1801010	Dlc1Task01/Dlc1_Task04_05.Dlc1_Task04_05						1		
4106	起于子半·深渊	0	4106	1	{{2,4105}}	{0,30}		{4001215,4001213,4001212,4001211}	1	0			0	0		30				{}	{7007}	{7007}		{{5,23,1,1,15}}		{{5,23,1,1,15}}		1801012	Dlc1Task01/Dlc1_Task04_06.Dlc1_Task04_06						1		
																																					
410	DLC2复刷关难度1	0	410	1	{{1,30}}	{0,14}		{4001004,4001003,4001006,4001008}	3	0			0	0	411	14				{}	{7021}	{7021}		{{4,1,6,3,6}}		{{4,1,6,3,6}}		1803028	DLC2Task/Repeat_Level/Repeat_Level01.Repeat_Level01						1		
411	DLC2复刷关难度2	0	410	1	{{2,410}}	{0,16}		{4001004,4001003,4001006,4001008}	3	0			0	0	412	16				{}	{7022}	{7022}		{{4,1,6,3,7}}		{{4,1,6,3,7}}		1803028	DLC2Task/Repeat_Level/Repeat_Level01.Repeat_Level01						1		
412	DLC2复刷关难度3	0	410	1	{{2,411}}	{0,18}		{4001004,4001003,4001006,4001008}	3	0			0	0	413	18				{}	{7023}	{7023}		{{4,1,6,3,8}}		{{4,1,6,3,8}}		1803028	DLC2Task/Repeat_Level/Repeat_Level01.Repeat_Level01						1		
413	DLC2复刷关难度4	0	410	1	{{2,412}}	{0,20}		{4001004,4001003,4001006,4001008}	3	0			0	0	414	20				{}	{7024}	{7024}		{{4,1,6,3,9}}		{{4,1,6,3,9}}		1803028	DLC2Task/Repeat_Level/Repeat_Level01.Repeat_Level01						1		
414	DLC2复刷关难度5	0	410	1	{{2,413}}	{0,24}		{4001004,4001003,4001006,4001008}	3	0			0	0	415	24				{}	{7025}	{7025}		{{4,1,6,3,11}}		{{4,1,6,3,11}}		1803028	DLC2Task/Repeat_Level/Repeat_Level01.Repeat_Level01						1		
415	DLC2复刷关难度6	0	410	1	{{2,414}}	{0,30}		{4001004,4001003,4001006,4001008}	3	0			0	0		30				{}	{7026}	{7026}		{{4,1,6,3,15}}		{{4,1,6,3,15}}		1803028	DLC2Task/Repeat_Level/Repeat_Level01.Repeat_Level01						1		
																																					
																																					
																																					
4401	DLC3主线-Act1	0	4401	1	{{2,4421}}	{0,0}	{{1,300},{7,1},{9}}	{400130101,400130601,500130201}	1	0			0	0	4402			40001		{}	{7301}					{{4,3,2,1,50},{4,1,10,2,5}}		1803037	DLC3Task/StoryLevel/Dlc3_Act1_task.Dlc3_Act1_task	3				1			
4402	DLC3主线-Act2	0	4402	1	{{2,4401}}	{0,0}	{{1,300},{7,1},{9}}	{400130101,400130601,400130401,400130301,500130701}	1	0			0	0	4422			40002		{}	{7301}					{{4,3,2,1,50},{4,1,10,2,5}}		1803037	DLC3Task/StoryLevel/Dlc3_Act2_task.Dlc3_Act2_task	3				1			
4403	DLC3主线-Act3	0	4403	1	{{2,4422}}	{0,0}	{{1,300},{7,1},{9}}	{500130501}	1	0			0	0	4423			40003		{}	{7301}					{{4,3,2,1,50},{4,1,10,2,5}}		1803037	DLC3Task/StoryLevel/Dlc3_Act3_task.Dlc3_Act3_task	3				1			
4404	DLC3主线-Act4	0	4404	1	{{2,4423}}	{0,0}	{{1,300},{7,1},{9}}	{400130601,500130201,400130101,400130401,500130701,400130301}	1	0			0	0	4424			40004		{}	{7301}					{{4,3,2,1,50},{4,1,10,2,5}}		1803037	DLC3Task/StoryLevel/Dlc3_Act4_task.Dlc3_Act4_task	3				1			
4405	DLC3主线-Act5	0	4405	1	{{2,4424}}	{0,0}	{{1,300},{7,1},{9}}	{400130601,400130401,400130301,400130101,500130201,500130701,500130501}	1	0			0	0	4425			40005		{}	{7301}					{{4,3,2,1,50},{4,1,10,2,5}}		1803037	DLC3Task/StoryLevel/Dlc3_Act5_task.Dlc3_Act5_task	3				1			
4406	DLC3主线-Act6	0	4406	1	{{2,4426}}	{0,0}	{{1,300},{7,1},{9}}	{400130301,400130401,400130601,500130501,500130801,500130201}	1	0			0	0	4427			40006		{}	{7301}					{{4,3,2,1,50},{4,1,10,2,5}}		1803037	DLC3Task/StoryLevel/Dlc3_Act6_task.Dlc3_Act6_task	3				1			
4407	DLC3主线-Act7	0	4407	1	{{2,4427}}	{0,0}	{{1,300},{7,1},{9}}	{500130901,5001309,400130601,400130401,500130501}	1	0			0	0	4408			40007		{}	{7301}					{{4,3,2,1,50},{4,1,10,2,5}}		1803037	DLC3Task/StoryLevel/Dlc3_Act7_task.Dlc3_Act7_task	3				1			
4408	DLC3主线-Act8	0	4408	1	{{2,4407}}	{0,0}	{{1,300},{7,1},{9}}	{6001302}	1	0			0	0	4428			40008		{}	{7301}					{{4,3,2,1,50},{4,1,10,2,5}}		1803037	DLC3Task/StoryLevel/Dlc3_Act8_task.Dlc3_Act8_task	3				1			
																																					
4421	DLC3主线-Ep1	7	50000	1	{{1,10}}	{0,0}							0	0	4401	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_Ep1.Dlc3_Task_Ep1	3		1					
4422	DLC3主线-Ep2	7	50000	1	{{2,4402}}	{0,0}							0	0	4403	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_Ep2.Dlc3_Task_Ep2	3		1					
4423	DLC3主线-Ep3	7	50000	1	{{2,4403}}	{0,0}							0	0	4404	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_Ep3.Dlc3_Task_Ep3	3		1					
4424	DLC3主线-Ep4	7	50000	1	{{2,4404}}	{0,0}							0	0	4405	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_Ep4.Dlc3_Task_Ep4	3		1					
4425	DLC3主线-Ep5	7	50000	1	{{2,4405}}	{0,0}							0	0	4426	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_Ep5.Dlc3_Task_Ep5	3		1					
4426	DLC3主线-Ep6	7	50000	1	{{2,4425}}	{0,0}							0	0	4406	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_Ep6.Dlc3_Task_Ep6	3		1					
4427	DLC3主线-Ep7	7	50000	1	{{2,4406}}	{0,0}							0	0	4407	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_Ep7.Dlc3_Task_Ep7	3		1					
4428	DLC3主线-Ep8	7	50000	1	{{2,4408}}	{0,0}							0	0	4409	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_Ep8.Dlc3_Task_Ep8	3		1					
4429	DLC3主线-Ep9	7	50000	1	{{2,4428}}	{0,0}							0	0	0	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_Ep9.Dlc3_Task_Ep9	3		1					
																																					
4431	DLC3主线-St1	2	50000	1	{{2,4421}}	{0,0}							0	0	0	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_St1.Dlc3_Task_St1	3		1					
4432	DLC3主线-St2	2	50000	1	{{2,4407}}	{0,0}							0	0	0	0	0				{7302}			{{4,3,2,1,20},{4,1,10,2,5}}					DLC3Task/StoryLevel/Dlc3_Task_St2.Dlc3_Task_St2	3		1					
																																					
4450	DLC3复刷关难度1	0	4450	1	{{1,20}}	{0,12}		{400130601,400130602,400130301,400130401,400130101}	3	0			0	0	4451	12				{}	{7031}	{7031}		{{4,1,10,1,5}}		{{4,1,10,1,5}}		1803037	DLC3Task/Dlc3_Repeat_Level01.Dlc3_Repeat_Level01	3					1		
4451	DLC3复刷关难度2	0	4451	1	{{2,4450}}	{0,16}		{400130601,400130602,400130301,400130401,400130101}	3	0			0	0	4452	16				{}	{7032}	{7032}		{{4,1,10,1,7}}		{{4,1,10,1,7}}		1803037	DLC3Task/Dlc3_Repeat_Level01.Dlc3_Repeat_Level01	3					1		
4452	DLC3复刷关难度3	0	4452	1	{{2,4451}}	{0,20}		{400130601,400130602,400130301,400130401,400130101}	3	0			0	0	4453	20				{}	{7033}	{7033}		{{4,1,10,1,9}}		{{4,1,10,1,9}}		1803037	DLC3Task/Dlc3_Repeat_Level01.Dlc3_Repeat_Level01	3					1		
4453	DLC3复刷关难度4	0	4453	1	{{2,4452}}	{0,26}		{400130601,400130602,400130301,400130401,400130101}	3	0			0	0	4454	26				{}	{7034}	{7034}		{{4,1,10,1,12}}		{{4,1,10,1,12}}		1803037	DLC3Task/Dlc3_Repeat_Level01.Dlc3_Repeat_Level01	3					1		
4454	DLC3复刷关难度5	0	4454	1	{{2,4453}}	{0,32}		{400130601,400130602,400130301,400130401,400130101}	3	0			0	0		32				{}	{7035}	{7035}		{{4,1,10,1,16}}		{{4,1,10,1,16}}		1803037	DLC3Task/Dlc3_Repeat_Level01.Dlc3_Repeat_Level01	3					1		
																																					
4600	DLC4-复刷难度1	0	4600	1	{{1,20}}	{0,14}		{4001004,4001006,5001018,5001019}	3	0			0	0	4601	14				{}	{7041}	{7041}		{{5,29,1,1,6}}		{{5,29,1,1,6}}		1801016	DLC4Task/DLC4_Repeat01.DLC4_Repeat01	4					1		
4601	DLC4-复刷难度2	0	4601	1	{{2,4600}}	{0,16}		{4001004,4001006,5001018,5001019}	3	0			0	0	4602	16				{}	{7042}	{7042}		{{5,29,1,1,7}}		{{5,29,1,1,7}}		1801016	DLC4Task/DLC4_Repeat01.DLC4_Repeat01	4					1		
4602	DLC4-复刷难度3	0	4602	1	{{2,4601}}	{0,18}		{4001004,4001006,5001018,5001019}	3	0			0	0	4603	18				{}	{7043}	{7043}		{{5,29,1,1,8}}		{{5,29,1,1,8}}		1801016	DLC4Task/DLC4_Repeat01.DLC4_Repeat01	4					1		
4603	DLC4-复刷难度4	0	4603	1	{{2,4602}}	{0,20}		{4001004,4001006,5001018,5001019}	3	0			0	0	4604	20				{}	{7044}	{7044}		{{5,29,1,1,9}}		{{5,29,1,1,9}}		1801016	DLC4Task/DLC4_Repeat01.DLC4_Repeat01	4					1		
4604	DLC4-复刷难度5	0	4604	1	{{2,4603}}	{0,24}		{4001004,4001006,5001018,5001019}	3	0			0	0	4605	24				{}	{7045}	{7045}		{{5,29,1,1,11}}		{{5,29,1,1,11}}		1801016	DLC4Task/DLC4_Repeat01.DLC4_Repeat01	4					1		
4605	DLC4-复刷难度6	0	4605	1	{{2,4604}}	{0,32}		{4001004,4001006,5001018,5001019}	3	0			0	0		32				{}	{7046}	{7046}		{{5,29,1,1,16}}		{{5,29,1,1,16}}		1801016	DLC4Task/DLC4_Repeat01.DLC4_Repeat01	4					1		
																																					
4800	DLC5-复刷关难度1	0	4800	1	{{1,20}}	{0,14}		{400130102,400130402,400350601}	3	0			1	0	4801	14				{}	{7051}	{7051}		{{5,29,2,1,6}}		{{5,29,2,1,6}}		1801019	DLC5Task/DLC5_Repeat01.DLC5_Repeat01	5					1		
4801	DLC5-复刷关难度2	0	4801	1	{{2,4800}}	{0,16}		{400130102,400130402,400350601}	3	0			1	0	4802	16				{}	{7052}	{7052}		{{5,29,2,1,7}}		{{5,29,2,1,7}}		1801019	DLC5Task/DLC5_Repeat01.DLC5_Repeat01	5					1		
4802	DLC5-复刷关难度3	0	4802	1	{{2,4801}}	{0,18}		{400130102,400130402,400350601}	3	0			1	0	4803	18				{}	{7053}	{7053}		{{5,29,2,1,8}}		{{5,29,2,1,8}}		1801019	DLC5Task/DLC5_Repeat01.DLC5_Repeat01	5					1		
4803	DLC5-复刷关难度4	0	4803	1	{{2,4802}}	{0,20}		{400130102,400130402,400350601}	3	0			1	0	4804	20				{}	{7054}	{7054}		{{5,29,2,1,9}}		{{5,29,2,1,9}}		1801019	DLC5Task/DLC5_Repeat01.DLC5_Repeat01	5					1		
4804	DLC5-复刷关难度5	0	4804	1	{{2,4803}}	{0,24}		{400130102,400130402,400350601}	3	0			1	0	4805	24				{}	{7055}	{7055}		{{5,29,2,1,11}}		{{5,29,2,1,11}}		1801019	DLC5Task/DLC5_Repeat01.DLC5_Repeat01	5					1		
4805	DLC5-复刷关难度6	0	4805	1	{{2,4804}}	{0,32}		{400130102,400130402,400350601}	3	0			1	0		32				{}	{7056}	{7056}		{{5,29,2,1,16}}		{{5,29,2,1,16}}		1801019	DLC5Task/DLC5_Repeat01.DLC5_Repeat01	5					1		
																																					
5200	DLC6-复刷关难度1	0	5200	1	{{1,20}}	{0,14}		{400130104,400250603,400150603,500140201}	3	0			1	0	5201	14				{}	{7061}	{7061}		{{5,30,2,2,6}}		{{5,30,2,2,6}}		1801022	DLC6Task/DLC6_Repeat01.DLC6_Repeat01	6					1		
5201	DLC6-复刷关难度2	0	5201	1	{{2,5200}}	{0,16}		{400130104,400250603,400150603,500140201}	3	0			1	0	5202	16				{}	{7062}	{7062}		{{5,30,2,2,7}}		{{5,30,2,2,7}}		1801022	DLC6Task/DLC6_Repeat01.DLC6_Repeat01	6					1		
5202	DLC6-复刷关难度3	0	5202	1	{{2,5201}}	{0,18}		{400130104,400250603,400150603,500140201}	3	0			1	0	5203	18				{}	{7063}	{7063}		{{5,30,2,2,8}}		{{5,30,2,2,8}}		1801022	DLC6Task/DLC6_Repeat01.DLC6_Repeat01	6					1		
5203	DLC6-复刷关难度4	0	5203	1	{{2,5202}}	{0,20}		{400130104,400250603,400150603,500140201}	3	0			1	0	5204	20				{}	{7064}	{7064}		{{5,30,2,2,9}}		{{5,30,2,2,9}}		1801022	DLC6Task/DLC6_Repeat01.DLC6_Repeat01	6					1		
5204	DLC6-复刷关难度5	0	5204	1	{{2,5203}}	{0,24}		{400130104,400250603,400150603,500140201}	3	0			1	0	5205	24				{}	{7065}	{7065}		{{5,30,2,2,11}}		{{5,30,2,2,11}}		1801022	DLC6Task/DLC6_Repeat01.DLC6_Repeat01	6					1		
5205	DLC6-复刷关难度6	0	5205	1	{{2,5204}}	{0,30}		{400130104,400250603,400150603,500140201}	3	0			1	0		30				{}	{7066}	{7066}		{{5,30,2,2,15}}		{{5,30,2,2,15}}		1801022	DLC6Task/DLC6_Repeat01.DLC6_Repeat01	6					1		
																																					
5401	DLC7主线-Act1	0	5401	1	{{2,5422}}	{0,0}	{{1,300},{7,1},{9}}	{4001211,4001212,4001213,4001215}	1	0			0	0	5423			40071		{}	{7077}					{{4,3,2,1,50},{5,29,3,2,5}}		1803048	DLC7TASK/Dlc7_Act1_task.Dlc7_Act1_task	7				1			
5402	DLC7主线-Act2	0	5402	1	{{2,5423}}	{0,0}	{{1,300},{7,1},{9}}	{4001215,400121102,400121203,4002106,5001111,4001216,4003103,4003102,4001108,5001117}	1	0			0	0	5403			40072		{}	{7077}					{{4,3,2,1,50},{5,29,3,2,5}}		1803048	DLC7TASK/Dlc7_Act2_task.Dlc7_Act2_task	7				1			
5403	DLC7主线-Act3	0	5403	1	{{2,5402}}	{0,0}	{{1,300},{7,1},{9}}	{4001112,4001102,4001108,6001101}	1	0			0	0	5424			40073		{}	{7077}					{{4,3,2,1,50},{5,29,3,2,5}}		1803048	DLC7TASK/Dlc7_Act3_task.Dlc7_Act3_task	7				1			
5404	DLC7主线-Act4	0	5404	1	{{2,5425}}	{0,0}	{{1,300},{7,1},{9}}	{400110401,400111201,4001102,4001115,4001116,400121102,4001212,400121302,5001118}	1	0			0	0	5405			40074		{}	{7077}					{{4,3,2,1,50},{5,29,3,2,5}}		1803049	DLC7TASK/Dlc7_Act4_task.Dlc7_Act4_task	7				1			
5405	DLC7主线-Act5	0	5405	1	{{2,5404}}	{0,0}	{{1,300},{7,1},{9}}	{5001203,5001206,4001212,4001211}	1	0			0	0	5426			40075		{}	{7077}					{{4,3,2,1,50},{5,29,3,2,5}}		1803049	DLC7TASK/Dlc7_Act5_task.Dlc7_Act5_task	7				1			
5406	DLC7主线-Act6	0	5406	1	{{2,5426}}	{0,0}	{{1,300},{7,1},{9}}	{4001216,4001215,4001212,400121302,5001214,400121102,400111601,5001117}	1	0			0	0	5427			40076		{}	{7077}					{{4,3,2,1,50},{5,29,3,2,5}}		1803049	DLC7TASK/Dlc7_Act6_task.Dlc7_Act6_task	7				1			
