ID（10-血量；20-攻击；30-防御）	注释	1级值	2级值	3级值	4级值	5级值	6级值	7级值	8级值	9级值	10级值	11级值	12级值	13级值	14级值	15级值	16级值	17级值	18级值	19级值	20级值	21级值	22级值	23级值	24级值	25级值	26级值	27级值	28级值	29级值	30级值	31级值	32级值	33级值	34级值	35级值	36级值	37级值	38级值	39级值	40级值	41级值	42级值	43级值	44级值	45级值	46级值	47级值	48级值	49级值	50级值	51级值	52级值	53级值	54级值	55级值	56级值	57级值	58级值	59级值	60级值	61级值	62级值	63级值	64级值	65级值	66级值	67级值	68级值	69级值	70级值	71级值	72级值	73级值	74级值	75级值	76级值	77级值	78级值	79级值	80级值	81级值	82级值	83级值	84级值	85级值	86级值	87级值	88级值	89级值	90级值	91级值	92级值	93级值	94级值	95级值	96级值	97级值	98级值	99级值	100级值	101级值	102级值	103级值	104级值	105级值	106级值	107级值	108级值	109级值	110级值	111级值	112级值	113级值	114级值	115级值	116级值	117级值	118级值	119级值	120级值	121级值	122级值	123级值	124级值	125级值	126级值	127级值	128级值	129级值	130级值	131级值	132级值	133级值	134级值	135级值	136级值	137级值	138级值	139级值	140级值	141级值	142级值	143级值	144级值	145级值	146级值	147级值	148级值	149级值	150级值	151级值	152级值	153级值	154级值	155级值	156级值	157级值	158级值	159级值	160级值	161级值	162级值	163级值	164级值	165级值	166级值	167级值	168级值	169级值	170级值	171级值	172级值	173级值	174级值	175级值	176级值	177级值	178级值	179级值	180级值	181级值	182级值	183级值	184级值	185级值	186级值	187级值	188级值	189级值	190级值	191级值	192级值	193级值	194级值	195级值	196级值	197级值	198级值	199级值	200级值	201级值	202级值	203级值	204级值	205级值	206级值	207级值	208级值	209级值	210级值	211级值	212级值	213级值	214级值	215级值	216级值	217级值	218级值	219级值	220级值	221级值	222级值	223级值	224级值	225级值	226级值	227级值	228级值	229级值	230级值	231级值	232级值	233级值	234级值	235级值	236级值	237级值	238级值	239级值	240级值	241级值	242级值	243级值	244级值	245级值	246级值	247级值	248级值	249级值	250级值	251级值	252级值	253级值	254级值	255级值	256级值	257级值	258级值	259级值	260级值	261级值	262级值	263级值	264级值	265级值	266级值	267级值	268级值	269级值	270级值	271级值	272级值	273级值	274级值	275级值	276级值	277级值	278级值	279级值	280级值	281级值	282级值	283级值	284级值	285级值	286级值	287级值	288级值	289级值	290级值	291级值	292级值	293级值	294级值	295级值	296级值	297级值	298级值	299级值	300级值
15120		144	164	187	212	240	268	300	333	369	406	446	487	530	576	622	672	722	776	831	889	951	1017	1087	1161	1239	1322	1408	1500	1594	1694	1797	1909	2029	2157	2293	2437	2589	2750	2919	3097	3283	3477	3679	3889	4107	4334	4572	4819	5076	5343	5623	5912	6211	6520	6841	7171	7510	7861	8222	8593	8973	9366	9769	10182	10604	11037	11481	11935	12398	12872	13357	13852	14358	14874	15400	15937	16483	17040	17607	18184	18548	18919	19298	19683	20077	20478	20887	21304	21730	22165	22608	23059	23520	23989	24469	24957	25456	25965	26485	27014	27554	28106	28668	29241	29826	30423	31033	31654	32287	32934	33592	34264	34950	35649	36362	37089	37832	38588	39360	40146	40950	41768	42603	43456	44326	45213	46118	47041	47982	48942	49921	50919	51938	52976	54036	55117	56220	57344	58491	59661	60854	62070	63312	64578	65869	67186	68529	69900	71296	72722	74176	75660	77174	78717	80292	81897	83535	85206	86908	88647	90421	92229	94074	95955	97875	99832	101828	103864	105942	108062	110224	112429	114676	116970	119310	121696	124131	126614	129146	131730	134364	137050	139791	142587	145440	148348	151315	154341	157428	160576	163788	167064	170404	173814	177289	180834	184450	188140	191902	195741	199656	203649	207722	211876	216114	220436	224845	229341	233929	238608	243380	248248	253214	258278	263444	268713	274087	279568	285159	290863	296680	302614	308667	314841	321139	327561	334113	340795	347611	354562	361653	368886	376264	383791	391467	399296	407281	415425	423734	432208	440853	449670	458664	467836	477193	486738	496472	506402	516530	526860	537397	548145	559108	570291	581697	593331	605198	617302	629649	642242	655088	668190	681553	695184	709087	723268	737734	752490	767540	782892	798549	814521	830811	847428	864375	881662	899295	917281	935626	954338	973425	992893	1012750	1033005	1053666	1074739	1096233	1118157	1140520	1163331	1186599	1210332	1234538	1259229	1284412	1310101	1336303	1363029	1390290	1418096
11080		64	72	80	90	100	112	124	136	150	164	180	196	212	230	248	268	288	308	330	352	376	402	429	458	488	520	554	589	626	664	704	748	794	844	896	952	1012	1074	1140	1208	1280	1356	1434	1516	1600	1688	1780	1876	1976	2080	2188	2300	2416	2536	2660	2788	2920	3056	3196	3340	3488	3640	3796	3956	4120	4288	4460	4636	4816	5000	5188	5380	5576	5776	5980	6188	6400	6616	6836	7060	7202	7346	7493	7643	7796	7952	8111	8273	8439	8608	8780	8956	9135	9317	9504	9694	9888	10085	10287	10492	10702	10916	11135	11357	11584	11816	12052	12293	12539	12789	13045	13306	13572	13844	14120	14403	14691	14984	15284	15590	15902	16220	16545	16876	17214	17558	17909	18268	18633	19006	19386	19774	20169	20572	20984	21404	21832	22268	22714	23168	23632	24104	24587	25079	25580	26092	26614	27146	27689	28243	28808	29384	29972	30571	31182	31806	32442	33091	33752	34428	35116	35819	36535	37265	38011	38771	39546	40337	41144	41967	42806	43662	44536	45426	46335	47261	48207	49171	50154	51157	52180	53224	54289	55375	56482	57612	58764	59939	61137	62360	63607	64879	66176	67500	68850	70227	71632	73064	74526	76016	77536	79087	80668	82282	83928	85606	87318	89064	90846	92663	94516	96407	98335	100301	102308	104354	106441	108570	110741	112956	115216	117520	119870	122268	124713	127208	129752	132347	134994	137694	140448	143256	146121	149044	152024	155065	158167	161330	164556	167848	171204	174628	178121	181684	185317	189024	192804	196660	200594	204606	208698	212872	217129	221472	225901	230420	235028	239729	244524	249414	254402	259490	264680	269973	275372	280880	286497	292227	298072	304033	310114	316316	322643	329096	335677	342391	349239	356224	363348	370616	378028	385588	393300	401167	409190	417374	425721	434236	442920	451779	460814	470030	479431	489020	498800	508776	518952	529331	539917	550716
12080		72	81	92	104	116	130	144	160	177	195	213	232	253	275	297	320	344	370	396	424	453	484	517	552	589	628	669	712	757	804	853	906	963	1024	1088	1156	1228	1304	1384	1468	1556	1648	1743	1842	1945	2052	2164	2281	2403	2529	2661	2798	2940	3086	3237	3393	3554	3720	3890	4065	4245	4431	4621	4816	5016	5221	5431	5645	5864	6088	6317	6552	6791	7035	7284	7537	7796	8059	8327	8600	8772	8947	9126	9308	9495	9684	9878	10076	10277	10483	10692	10906	11124	11347	11574	11805	12041	12282	12528	12778	13033	13294	13560	13831	14108	14390	14678	14972	15271	15576	15888	16205	16529	16860	17197	17541	17892	18250	18615	18987	19367	19754	20149	20552	20964	21383	21811	22247	22692	23145	23608	24080	24562	25053	25554	26065	26587	27119	27661	28215	28779	29354	29941	30540	31152	31775	32410	33058	33719	34393	35081	35783	36499	37228	37973	38732	39507	40297	41103	41925	42764	43619	44491	45380	46288	47214	48158	49121	50104	51106	52128	53171	54234	55319	56425	57554	58705	59880	61077	62299	63544	64816	66112	67434	68783	70159	71562	72993	74453	75942	77461	79011	80591	82203	83847	85524	87234	88979	90758	92573	94424	96313	98240	100204	102208	104252	106337	108464	110633	112846	115103	117405	119753	122148	124592	127084	129625	132218	134862	137560	140311	143117	145980	148900	151878	154916	158014	161174	164397	167685	171039	174460	177949	181508	185139	188841	192618	196470	200400	204408	208496	212665	216919	221257	225682	230196	234800	239496	244285	249171	254154	259237	264422	269711	275105	280608	286220	291944	297784	303740	309815	316011	322331	328777	335352	342060	348901	355880	362997	370257	377662	385216	392920	400778	408793	416969	425308	433815	442491	451340	460368	469575	478966	488545	498316	508283	518448	528817	539393	550181	561185	572409	583857	595534	607444	619593	631985	644625	657518	670668
13080		80	92	106	121	137	155	173	193	214	236	260	284	311	338	367	396	428	460	493	528	565	605	648	692	740	789	841	896	952	1012	1074	1141	1213	1290	1372	1459	1551	1648	1749	1856	1968	2084	2206	2332	2464	2600	2743	2892	3047	3208	3376	3549	3729	3916	4108	4306	4511	4722	4939	5162	5392	5628	5869	6117	6372	6632	6899	7172	7451	7736	8028	8325	8629	8940	9256	9578	9907	10242	10583	10930	11148	11372	11599	11831	12068	12309	12556	12807	13063	13324	13591	13863	14140	14424	14712	15007	15307	15613	15925	16244	16568	16900	17238	17583	17935	18293	18659	19032	19412	19800	20196	20600	21012	21432	21861	22299	22744	23200	23664	24137	24620	25112	25615	26127	26649	27182	27726	28280	28846	29423	30012	30612	31224	31848	32485	33135	33797	34473	35163	35866	36584	37316	38062	38824	39600	40392	41200	42024	42865	43723	44597	45489	46399	47327	48273	49239	50224	51228	52253	53298	54364	55451	56560	57691	58844	60021	61222	62447	63696	64969	66268	67594	68946	70325	71732	73166	74629	76122	77644	79197	80781	82397	84045	85726	87440	89189	90973	92792	94648	96541	98472	100442	102451	104500	106590	108722	110896	113114	115376	117684	120037	122438	124887	127384	129932	132531	135181	137885	140643	143456	146324	149251	152236	155280	158386	161554	164785	168081	171443	174872	178369	181936	185575	189286	193072	196933	200872	204889	208987	213167	217430	221779	226214	230738	235352	240060	244861	249759	254754	259849	265046	270347	275754	281269	286895	292632	298485	304455	310544	316755	323090	329552	336143	342866	349724	356718	363852	371129	378552	386123	393845	401722	409756	417952	426311	434837	443534	452404	461452	470681	480095	489696	499490	509480	519669	530063	540664	551478	562508	573758	585233	596938	608876	621054	633475	646144	659068	672249	685694	699408	713396	727664	742217	757061	772203	787647	803400	819468	835857	852574
14080		104	120	139	159	180	204	228	255	283	312	344	376	411	447	484	524	564	607	651	696	746	799	855	914	976	1042	1111	1183	1258	1336	1419	1508	1603	1704	1812	1928	2049	2177	2312	2452	2600	2755	2916	3083	3256	3437	3626	3823	4028	4241	4463	4692	4930	5176	5431	5693	5964	6243	6530	6825	7128	7440	7760	8088	8424	8769	9122	9483	9852	10229	10615	11008	11410	11820	12239	12665	13100	13543	13994	14453	14742	15037	15338	15644	15957	16276	16602	16934	17272	17618	17970	18329	18696	19069	19451	19840	20236	20641	21054	21475	21904	22343	22790	23246	23711	24185	24669	25163	25666	26180	26704	27238	27783	28339	28905	29484	30073	30675	31288	31914	32552	33204	33868	34545	35236	35941	36660	37394	38142	38905	39684	40477	41287	42112	42955	43814	44690	45584	46496	47425	48374	49341	50328	51335	52361	53408	54476	55566	56677	57811	58967	60146	61349	62576	63828	65104	66407	67735	69089	70471	71880	73318	74784	76280	77806	79362	80949	82568	84220	85904	87623	89376	91163	92986	94846	96743	98678	100652	102664	104718	106812	108948	111128	113350	115617	117929	120288	122693	125147	127650	130203	132807	135463	138172	140936	143754	146629	149562	152553	155604	158716	161891	165128	168431	171800	175236	178740	182316	185962	189681	193475	197344	201292	205317	209424	213612	217884	222242	226687	231220	235845	240562	245373	250280	255286	260392	265600	270912	276330	281856	287493	293243	299108	305090	311192	317416	323764	330239	336844	343580	350452	357461	364611	371903	379341	386928	394667	402560	410612	418824	427200	435744	444460	453349	462416	471664	481098	490720	500534	510544	520756	531171	541794	552630	563683	574956	586456	598184	610148	622352	634799	647495	660444	673653	687126	700868	714886	729184	743768	758643	773816	789292	805077	821179	837602	854354	871441	888870	906648	924780	943276	962142	981385	1001013	1021033	1041454	1062283	1083528	1105199	1127303
15080		96	109	124	141	160	179	200	222	246	271	297	324	353	384	415	448	481	517	554	592	634	678	724	774	826	881	939	1000	1063	1129	1198	1272	1352	1438	1528	1624	1726	1833	1946	2064	2188	2318	2452	2592	2738	2889	3048	3212	3384	3562	3748	3941	4140	4347	4560	4780	5007	5240	5481	5728	5982	6244	6512	6788	7069	7358	7654	7956	8265	8581	8904	9235	9572	9916	10267	10624	10988	11360	11738	12123	12365	12612	12865	13122	13384	13652	13924	14203	14487	14776	15072	15372	15680	15992	16312	16638	16971	17310	17656	18009	18369	18737	19112	19494	19884	20282	20688	21103	21524	21956	22395	22843	23300	23766	24241	24726	25221	25725	26240	26764	27300	27845	28402	28971	29551	30142	30745	31360	31988	32628	33280	33946	34625	35317	36024	36744	37480	38229	38994	39774	40569	41380	42208	43052	43912	44791	45686	46600	47531	48481	49451	50440	51449	52478	53528	54598	55690	56804	57939	59098	60280	61486	62716	63970	65250	66555	67885	69243	70628	72041	73483	74952	76451	77980	79540	81131	82754	84409	86097	87820	89576	91367	93194	95058	96960	98899	100876	102894	104952	107051	109192	111376	113603	115876	118192	120556	122967	125427	127935	130494	133104	135766	138481	141251	144076	146957	149896	152894	155952	159072	162253	165499	168809	172185	175629	179142	182724	186379	190106	193908	197787	201743	205778	209894	214092	218374	222742	227196	231740	236375	241102	245924	250843	255860	260978	266197	271520	276950	282489	288139	293902	299780	305776	311891	318128	324492	330981	337601	344353	351240	358264	365430	372739	380194	387798	395554	403465	411535	419766	428161	436725	445460	454368	463456	472724	482179	491823	501660	511693	521928	532366	543014	553874	564952	576250	587775	599530	611520	623751	636225	648950	661928	675167	688670	702444	716492	730822	745438	760347	775554	791066	806888	823025	839486	856275	873400	890868	908686	926860	945397
11150		120	135	152	170	189	210	233	257	282	309	338	368	399	432	467	503	540	579	620	662	707	755	806	860	917	977	1040	1106	1175	1247	1322	1403	1490	1583	1682	1787	1898	2015	2138	2267	2402	2543	2690	2843	3002	3167	3339	3519	3707	3902	4104	4314	4532	4757	4989	5229	5477	5732	5994	6264	6542	6827	7119	7419	7727	8042	8364	8694	9032	9377	9729	10089	10457	10832	11214	11604	12002	12407	12819	13239	13505	13775	14051	14331	14618	14910	15209	15513	15824	16140	16463	16793	17129	17471	17820	18177	18540	18911	19289	19674	20067	20469	20879	21296	21722	22157	22599	23051	23511	23981	24461	24950	25449	25958	26477	27006	27546	28097	28659	29232	29817	30414	31023	31644	32277	32922	33581	34253	34938	35637	36350	37077	37818	38574	39345	40133	40935	41754	42590	43442	44310	45197	46101	47024	47964	48924	49902	50900	51918	52956	54015	55095	56198	57321	58467	59637	60830	62046	63287	64553	65844	67161	68504	69873	71271	72696	74150	75633	77145	78689	80262	81867	83505	85175	86879	88616	90389	92196	94040	95921	97839	99797	101793	103829	105905	108023	110183	112386	114633	116925	119264	121649	124082	126563	129095	131676	134310	136997	139737	142532	145382	148289	151254	154280	157365	160512	163722	166997	170337	173744	177219	180764	184379	188066	191828	195665	199578	203570	207641	211794	216030	220350	224757	229253	233838	238515	243285	248151	253115	258177	263340	268607	273978	279458	285047	290748	296564	302495	308544	314715	321009	327429	333978	340658	347471	354420	361509	368739	376115	383637	391310	399135	407118	415260	423566	432038	440679	449493	458483	467652	477005	486545	496275	506201	516324	526650	537183	547926	558885	570063	581465	593094	604956	617055	629396	641984	654824	667920	681279	694905	708803	722979	737439	752189	767232	782577	798228	814193	830477	847086	864027	881307	898934	916913	935252	953957	973035	992496	1012346	1032593
12150		135	153	173	195	219	245	272	302	333	366	401	437	476	516	558	602	647	695	744	795	851	909	971	1037	1106	1179	1256	1337	1421	1509	1601	1700	1806	1920	2040	2168	2303	2445	2595	2753	2918	3090	3269	3455	3648	3849	4059	4278	4506	4743	4991	5247	5513	5787	6071	6363	6665	6975	7295	7623	7961	8309	8666	9032	9407	9791	10184	10586	10997	11417	11846	12285	12734	13191	13658	14133	14618	15111	15614	16125	16448	16776	17112	17454	17804	18159	18522	18893	19271	19656	20049	20450	20859	21276	21702	22136	22578	23030	23490	23960	24438	24927	25425	25934	26453	26982	27522	28073	28634	29207	29790	30386	30993	31613	32246	32891	33549	34220	34904	35601	36314	37040	37781	38537	39308	40094	40896	41714	42548	43398	44267	45152	46055	46976	47915	48873	49851	50849	51866	52904	53961	55040	56141	57264	58410	59579	60770	61985	63224	64488	65778	67094	68436	69804	71201	72624	74076	75558	77069	78611	80183	81786	83421	85089	86792	88527	90297	92103	93945	95825	97742	99696	101690	103724	105798	107915	110073	112275	114521	116811	119147	121530	123960	126440	128969	131549	134180	136863	139601	142392	145241	148146	151109	154131	157214	160358	163565	166836	170172	173576	177047	180588	184200	187884	191642	195474	199383	203370	207438	211587	215819	220136	224538	229029	233610	238283	243048	247910	252867	257925	263084	268346	273713	279188	284772	290468	296277	302202	308246	314411	320699	327113	333656	340329	347136	354078	361160	368382	375750	383265	390930	398748	406724	414858	423155	431618	440250	449055	458036	467196	476540	486071	495792	505709	515823	526140	536663	547397	558345	569513	580904	592521	604371	616458	628787	641363	654191	667275	680621	694233	708117	722280	736725	751460	766488	781818	797454	813404	829671	846264	863190	880454	898062	916023	934344	953031	972092	991533	1011363	1031591	1052223	1073268	1094733	1116627	1138959	1161738	1184973	1208673	1232847	1257504
13150		150	174	200	228	258	291	326	363	402	444	488	534	584	635	689	744	803	863	926	990	1061	1136	1215	1299	1388	1481	1578	1680	1787	1898	2015	2141	2276	2420	2573	2736	2909	3090	3281	3480	3690	3909	4137	4374	4620	4877	5144	5423	5714	6017	6330	6656	6993	7343	7703	8075	8459	8855	9261	9680	10110	10553	11006	11471	11948	12437	12936	13448	13971	14507	15053	15611	16181	16763	17355	17960	18576	19205	19844	20495	20904	21323	21749	22184	22628	23081	23543	24014	24494	24984	25484	25994	26514	27045	27587	28139	28701	29276	29861	30458	31067	31688	32322	32969	33629	34301	34986	35685	36399	37127	37869	38627	39399	40187	40991	41811	42647	43500	44370	45258	46163	47087	48029	48989	49968	50967	51987	53027	54087	55169	56273	57398	58545	59717	60911	62129	63371	64638	65931	67250	68595	69968	71367	72795	74252	75737	77252	78797	80373	81981	83621	85293	86999	88739	90513	92324	94170	96054	97976	99935	101933	103971	106050	108171	110334	112541	114792	117089	119430	121818	124254	126740	129275	131861	134498	137187	139931	142730	145584	148496	151466	154496	157586	160737	163952	167231	170576	173987	177467	181016	184637	188330	192096	195938	199857	203855	207932	212090	216332	220658	225071	229572	234164	238847	243624	248496	253466	258536	263706	268980	274359	279846	285443	291152	296975	302915	308973	315153	321456	327885	334443	341132	347954	354912	362010	369251	376635	384168	391851	399689	407682	415836	424152	432635	441287	450113	459116	468299	477665	487218	496962	506901	517040	527381	537929	548687	559661	570854	582270	593916	605795	617910	630269	642875	655733	668847	682224	695868	709785	723981	738461	753230	768294	783660	799334	815321	831627	848259	865224	882528	900179	918182	936545	955275	974381	993869	1013747	1034022	1054703	1075797	1097313	1119260	1141644	1164477	1187766	1211522	1235753	1260468	1285677	1311390	1337618	1364370	1391658	1419491	1447881	1476839	1506375	1536503	1567233	1598577
14150		195	227	261	299	339	383	429	479	531	587	645	707	771	839	909	983	1059	1139	1221	1307	1400	1499	1604	1715	1832	1955	2084	2219	2360	2507	2661	2828	3006	3197	3399	3615	3843	4083	4335	4599	4877	5166	5468	5781	6107	6446	6800	7169	7553	7953	8369	8799	9245	9707	10184	10676	11183	11706	12245	12798	13367	13952	14552	15167	15797	16443	17105	17781	18473	19181	19904	20642	21395	22164	22949	23748	24563	25394	26240	27101	27642	28196	28760	29334	29921	30519	31130	31752	32387	33035	33695	34368	35055	35756	36471	37200	37944	38703	39477	40266	41072	41894	42732	43587	44459	45348	46256	47181	48125	49088	50070	51072	52094	53136	54198	55283	56388	57516	58667	59840	61037	62258	63503	64773	66069	67391	68739	70115	71517	72948	74408	75896	77414	78962	80541	82152	83795	85470	87180	88923	90702	92516	94367	96254	98178	100142	102144	104187	106271	108396	110564	112775	115031	117332	119678	122072	124514	127004	129543	132134	134777	137472	140222	143027	145887	148805	151781	154817	157913	161072	164294	167580	170931	174350	177837	181394	185022	188723	192497	196347	200274	204279	208365	212532	216783	221118	225540	230051	234651	239345	244131	249014	253994	259074	264255	269540	274931	280430	286038	291759	297594	303546	309617	315809	322125	328568	335139	341843	348680	355653	362766	370022	377423	384971	392670	400524	408534	416705	425039	433539	442211	451055	460076	469277	478662	488235	498000	507960	518120	528482	539051	549831	560828	572045	583485	595155	607058	619199	631583	644214	657099	670241	683646	697319	711266	725492	740001	754802	769898	785295	801002	817022	833363	850031	867032	884372	902060	920100	938502	957272	976418	995946	1015865	1036182	1056906	1078044	1099605	1121597	1144029	1166910	1190249	1214054	1238334	1263101	1288362	1314129	1340412	1367220	1394565	1422456	1450905	1479923	1509521	1539711	1570505	1601915	1633953	1666632	1699965	1733964	1768644	1804017	1840098	1876901	1914438	1952727	1991781	2031617	2072249	2113694
15150		180	206	234	266	300	336	375	417	462	509	558	609	663	720	779	840	903	971	1040	1112	1190	1272	1359	1452	1550	1653	1761	1875	1994	2118	2247	2387	2537	2697	2867	3047	3237	3438	3650	3872	4104	4347	4599	4862	5135	5418	5715	6024	6345	6680	7029	7391	7764	8151	8552	8964	9389	9827	10278	10742	11217	11708	12212	12728	13256	13797	14352	14919	15498	16091	16697	17316	17948	18593	19251	19922	20604	21300	22010	22731	23186	23649	24123	24605	25097	25598	26109	26631	27164	27707	28260	28824	29400	29987	30587	31197	31821	32457	33107	33768	34443	35133	35835	36552	37283	38030	38792	39569	40359	41168	41991	42831	43688	44562	45453	46362	47291	48236	49200	50183	51188	52211	53255	54321	55409	56517	57648	58802	59978	61178	62402	63650	64923	66221	67545	68897	70275	71681	73115	74577	76068	77588	79140	80723	82337	83984	85662	87375	89121	90903	92721	94575	96468	98397	100365	102372	104420	106508	108636	110810	113027	115287	117593	119945	122345	124791	127286	129831	132428	135078	137781	140537	143346	146213	149138	152121	155165	158268	161433	164663	167955	171314	174740	178235	181800	185436	189144	192927	196785	200721	204735	208830	213006	217268	221612	226043	230564	235176	239879	244677	249570	254562	259653	264846	270143	275546	281057	286677	292412	298260	304226	310311	316518	322848	329306	335892	342609	349461	356450	363579	370851	378269	385835	393552	401424	409452	417642	425994	434514	443204	452067	461108	470331	479739	489335	499121	509102	519282	529668	540261	551067	562088	573330	584796	596492	608423	620591	633003	645663	658575	671747	685182	698886	712865	727122	741665	756498	771629	787062	802803	818861	835238	851942	868980	886359	904086	922169	940613	959426	978615	998187	1018152	1038515	1059285	1080470	1102079	1124120	1146602	1169534	1192923	1216782	1241117	1265939	1291257	1317083	1343424	1370292	1397697	1425651	1454165	1483250	1512915	1543173	1574037	1605516	1637627	1670379	1703787	1737863	1772621
11200		160	180	202	226	252	280	310	342	376	412	450	490	532	576	622	670	720	772	826	882	942	1006	1074	1146	1222	1302	1386	1474	1566	1662	1762	1870	1986	2110	2242	2382	2530	2686	2850	3022	3202	3390	3586	3790	4002	4222	4452	4692	4942	5202	5472	5752	6042	6342	6652	6972	7302	7642	7992	8352	8722	9102	9492	9892	10302	10722	11152	11592	12042	12502	12972	13452	13942	14442	14952	15472	16002	16542	17092	17652	18006	18366	18734	19108	19490	19880	20278	20684	21098	21520	21950	22390	22838	23294	23760	24236	24720	25214	25718	26232	26756	27292	27838	28394	28962	29542	30132	30734	31348	31974	32614	33266	33932	34610	35302	36008	36728	37462	38212	38976	39756	40552	41364	42192	43036	43896	44774	45670	46584	47516	48466	49436	50424	51432	52460	53510	54580	55672	56786	57922	59080	60262	61468	62698	63952	65232	66536	67866	69224	70608	72020	73460	74930	76428	77956	79516	81106	82728	84382	86070	87792	89548	91338	93164	95028	96928	98866	100844	102860	104918	107016	109156	111340	113566	115838	118154	120518	122928	125386	127894	130452	133062	135724	138438	141206	144030	146910	149848	152844	155900	159018	162198	165442	168750	172126	175568	179080	182662	186316	190042	193842	197718	201672	205706	209820	214016	218296	222662	227116	231658	236292	241018	245838	250754	255770	260886	266104	271426	276854	282392	288040	293800	299676	305670	311784	318020	324380	330868	337486	344236	351120	358142	365304	372610	380062	387664	395418	403326	411392	419620	428012	436572	445304	454210	463294	472560	482012	491652	501486	511516	521746	532180	542824	553680	564754	576050	587572	599324	611310	623536	636006	648726	661700	674934	688432	702200	716244	730568	745180	760084	775286	790792	806608	822740	839194	855978	873098	890560	908372	926540	945070	963972	983252	1002918	1022976	1043436	1064304	1085590	1107302	1129448	1152036	1175076	1198578	1222550	1247002	1271942	1297380	1323328	1349794	1376790
12200		180	204	230	260	292	326	362	402	444	488	534	582	634	688	744	802	862	926	992	1060	1134	1212	1294	1382	1474	1572	1674	1782	1894	2012	2134	2266	2408	2560	2720	2890	3070	3260	3460	3670	3890	4120	4358	4606	4864	5132	5412	5704	6008	6324	6654	6996	7350	7716	8094	8484	8886	9300	9726	10164	10614	11078	11554	12042	12542	13054	13578	14114	14662	15222	15794	16380	16978	17588	18210	18844	19490	20148	20818	21500	21930	22368	22816	23272	23738	24212	24696	25190	25694	26208	26732	27266	27812	28368	28936	29514	30104	30706	31320	31946	32584	33236	33900	34578	35270	35976	36696	37430	38178	38942	39720	40514	41324	42150	42994	43854	44732	45626	46538	47468	48418	49386	50374	51382	52410	53458	54528	55618	56730	57864	59022	60202	61406	62634	63886	65164	66468	67798	69154	70538	71948	73386	74854	76352	77880	79438	81026	82646	84298	85984	87704	89458	91248	93072	94934	96832	98768	100744	102758	104814	106910	109048	111228	113452	115722	118036	120396	122804	125260	127766	130322	132928	135586	138298	141064	143886	146764	149700	152694	155748	158862	162040	165280	168586	171958	175398	178906	182484	186134	189856	193654	197528	201478	205508	209618	213810	218086	222448	226896	231434	236062	240784	245600	250512	255522	260632	265844	271160	276584	282116	287758	293514	299384	305372	311480	317710	324064	330546	337156	343900	350778	357794	364950	372250	379696	387290	395036	402936	410994	419214	427598	436150	444874	453772	462848	472104	481546	491176	501000	511020	521240	531664	542298	553144	564206	575490	587000	598740	610714	622928	635386	648094	661056	674278	687764	701520	715550	729862	744460	759350	774538	790028	805828	821944	838382	855150	872254	889700	907494	925644	944156	963040	982300	1001946	1021984	1042424	1063272	1084538	1106228	1128352	1150920	1173938	1197416	1221364	1245792	1270708	1296122	1322044	1348484	1375454	1402964	1431024	1459644	1488836	1518612	1548984	1579964	1611564	1643796	1676672
13200		200	232	266	304	344	388	434	484	536	592	650	712	778	846	918	992	1070	1150	1234	1320	1414	1514	1620	1732	1850	1974	2104	2240	2382	2530	2686	2854	3034	3226	3430	3648	3878	4120	4374	4640	4920	5212	5516	5832	6160	6502	6858	7230	7618	8022	8440	8874	9324	9790	10270	10766	11278	11806	12348	12906	13480	14070	14674	15294	15930	16582	17248	17930	18628	19342	20070	20814	21574	22350	23140	23946	24768	25606	26458	27326	27872	28430	28998	29578	30170	30774	31390	32018	32658	33312	33978	34658	35352	36060	36782	37518	38268	39034	39814	40610	41422	42250	43096	43958	44838	45734	46648	47580	48532	49502	50492	51502	52532	53582	54654	55748	56862	58000	59160	60344	61550	62782	64038	65318	66624	67956	69316	70702	72116	73558	75030	76530	78060	79622	81214	82838	84494	86184	87908	89666	91460	93290	95156	97060	99002	100982	103002	105062	107164	109308	111494	113724	115998	118318	120684	123098	125560	128072	130634	133246	135910	138628	141400	144228	147112	150054	153056	156118	159240	162424	165672	168986	172366	175814	179330	182916	186574	190306	194112	197994	201954	205994	210114	214316	218602	222974	227434	231982	236622	241354	246182	251106	256128	261250	266476	271806	277242	282786	288442	294210	300094	306096	312218	318462	324832	331328	337954	344714	351608	358640	365812	373128	380590	388202	395966	403886	411964	420204	428608	437180	445924	454842	463938	473216	482680	492334	502180	512224	522468	532918	543576	554448	565536	576846	588382	600150	612154	624398	636886	649624	662616	675868	689386	703174	717238	731582	746214	761138	776360	791888	807726	823880	840358	857166	874310	891796	909632	927824	946380	965308	984614	1004306	1024392	1044880	1065778	1087094	1108836	1131012	1153632	1176704	1200238	1224242	1248726	1273700	1299174	1325158	1351662	1378696	1406270	1434396	1463084	1492346	1522192	1552636	1583688	1615362	1647670	1680624	1714236	1748520	1783490	1819160	1855544	1892654	1930508	1969118	2008500	2048670	2089644	2131436
