	注释	血量（破墙值）	血量ID	强度血量ID	血量倍数	攻击ID	强度攻击ID	攻击倍数	护盾类型	护盾ID	强度护盾ID	护盾倍数	防御ID	强度防御ID	防御倍数	护盾回复间隔	充能延迟	充能速率	暴击率	暴击加成	动能抗性	高热抗性	低温抗性	电击抗性	特异抗性	场地伤害抗性	群伤减免系数	装甲值	速度加成	气绝时间	硬直容量	硬直衰减延迟	硬直恢复间隔	硬直恢复速度（百分比/s）	硬直触发间隔	破墙值	仇恨系数（威胁值）	威胁值衰减比例	效果系数	控制保护	基础保护时间	保护时间系数	保护延长时间	控制免疫阈值	控制时间上限
4028	拾荒者 铁链	0		102	{{1,10.12},{80,8.66},{81,8.66}}		201	1			102	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4029	泰坦 丙型异化人	0		102	{{1,6.18},{80,5.95},{81,5.95}}		201	1			102	0		301	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	200	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4030	邪教 震波基座(废弃)	0		102	5		201	1			102	10		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4031	邪教 连弩会员	0		101	{{1,0.5},{80,0.74},{81,0.74}}		201	1			101	{{1,2.25},{80,3.31},{81,3.31}}		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4032	邪教 散射会员	0		101	{{1,1},{80,1.18},{81,1.18}}		201	1			101	{{1,3},{80,3.53},{81,3.53}}		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4033	逐光者 鸸鹋机甲	0		105	{{1,1.1},{80,2.25},{81,2.25}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4034	Ⅰ型定向炮台	0		101	1.76		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4035	Ⅱ型悬挂炮台	0		101	{{1,1.76},{80,3.53},{81,3.53}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4036	1-4 Ⅰ型定向炮台	0		101	3.9		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	10	0	0	0	0	0	0
4037	拾荒者 钻头	0		105	{{1,0.59},{80,2.06},{81,2.06}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4038	邪教 巡逻机器人	0		105	0.5		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4039	邪教 降临火花	0		105	{{1,0.59},{80,2.06},{81,2.06}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4040	泰坦 劣化祟	0		101	{{1,4},{80,4.12},{81,4.12}}		201	1			101	0		301	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	60	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4041	逐光者 谢尔德机甲	0		101	{{1,8.53},{80,6.34},{81,6.34}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	400	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4042	废弃 逐光者 谢尔德机甲屏障	0		101	5		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4043	逐光者 哨兵	0		102	{{1,3.31},{80,3.6},{81,3.6}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	150	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4044	逐光者 哨兵引擎	450			0		201	1		0		0	0		1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4045	逐光者 滚雷机器人	0		101	{{1,1.47},{80,2.5},{81,2.5}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4046	泰坦 侵蚀泰坦	0		101	{{1,2},{80,2.94},{81,2.94}}		201	1			101	0		301	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	60	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4047	军方 护卫机器人	0		102	{{1,9.6},{80,7.34},{81,7.34}}		201	1			102	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	7	700	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4048	军方 护卫机器人 机枪	300			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4049	军方 护卫机器人 护盾	750			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4050	弹幕方块召唤物-地雷陷阱	0		101	1.4		201	1			101	0		301	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4051	逐光者 啮咬球	0		101	{{1,1},{80,2},{81,2}}		201	1			101	0		301	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	30	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4052	幽浮	0		101	{{1,2},{80,2.67},{81,2.67}}		201	1			101	0		301	1	0	0	0	0	0	5	5	0	-5	-5	-100	100	-1	0	3	30	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4055	梦神-小弟	0		101	{{1,14.34},{80,14.34},{81,14.34}}		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4056	梦神眼睛陷阱	0		101	1.4		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4057	卫城试作型机兵	0		101	{{1,3.68},{80,4},{81,4}}		201	1			101	0		301	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4058	污染机兵	0		101	{{1,5.65},{80,7.53},{81,7.53}}		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4059	金鱼	0		101	{{1,7.53},{80,6.59},{81,6.59}}		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4060	噬孽机·卡律布狄斯-爪型触手	0		101	22		201	1			101	0		301	1	0	0	0	0	0	15	15	30	30	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4061	噬孽机·卡律布狄斯-哨兵飞艇	0		101	7.5		201	1			101	0		301	1	0	0	0	0	0	15	15	30	30	-10	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4062	梦兽	0		101	{{1,5.65},{80,7.53},{81,7.53}}		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4063	吉诺拉近战干员	0		101	{{1,5.65},{80,7.53},{81,7.53}}		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4064	吉诺拉火力干员	0		101	{{1,5.65},{80,7.53},{81,7.53}}		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4065	吉诺拉压制干员	0		101	{{1,5.65},{80,7.53},{81,7.53}}		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4066	隙影	0		101	{{1,5.65},{80,7.53},{81,7.53}}		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
4067	徊天轮	0		101	{{1,14.34},{80,14.34},{81,14.34}}		201	1			101	0		301	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	100	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
																																													
5001	拾荒者 精英炉子	0		103	{{1,14.11},{80,12.71},{81,12.71}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	7	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5002	精英 铁锤	0		103	{{1,18.4},{80,12.45},{81,12.45}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	7	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5003	精英 夏基	0		103	{{1,7},{80,3.46},{81,3.46}}		201	1			103	{{1,26.22},{80,13},{81,13}}		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	5	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5004	精英 波伏娃系统	0		103	{{1,5.14},{80,3.39},{81,3.39}}		201	1			103	{{1,11.52},{80,8.23},{81,8.23}}		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	7	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5005	精英 审判官	0		103	{{1,18.4},{80,12.45},{81,12.45}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	7	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5006	精英 术士	0		103	{{1,10.74},{80,9.77},{81,9.77}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	5	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5007	精英 洗礼官雷	0		103	{{1,6.21},{80,3.79},{81,3.79}}		201	1			103	{{1,12.42},{80,7.58},{81,7.58}}		302	1	0	0	0	0	0	-10	-10	-5	40	0	-100	100	-1	0	5	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5008	精英 洗礼官火	0		103	{{1,6.21},{80,3.79},{81,3.79}}		201	1			103	{{1,12.42},{80,7.58},{81,7.58}}		302	1	0	0	0	0	0	-10	30	-5	0	0	-100	100	-1	0	5	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5009	精英 洗礼官冰	0		103	{{1,6.21},{80,3.79},{81,3.79}}		201	1			103	{{1,12.42},{80,7.58},{81,7.58}}		302	1	0	0	0	0	0	-10	-10	35	0	0	-100	100	-1	0	5	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5010	精英 洗礼官雷背包	500			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	40	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5011	精英 洗礼官火背包	500			0		201	1		0		0	0		0	0	0	0	0	0	-10	30	-5	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5012	精英 洗礼官冰背包	500			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	35	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5013	精英部位 武装会员（废弃）	300			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5014	精英部位 波伏娃系统	300			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5015	精英部位 铁锤	400			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5016	精英 盖弥尔	0		103	{{1,22.39},{80,16.69},{81,16.69}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5017	精英部位 盖弥尔可破坏部件	600			0		201	1		0		0	0		0	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5018	精英 古尔薇格	0		103	{{1,9.2},{80,6.22},{81,6.22}}		201	1			103	{{1,13.8},{80,9.34},{81,9.34}}		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5019	精英 古尔薇格小兵	0		103	{{1,2},{80,2.94},{81,2.94}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5020	精英部位 术士可破坏部件	600			0		201	1		0		0	0		0	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5021	精英 蒂阿兹	0		103	{{1,13.8},{80,9.74},{81,9.74}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5022	精英部位 蒂阿兹可破坏部件	0		103	{{1,2.35},{80,4.71},{81,4.71}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5023	精英 压制者	0		103	{{1,8.95},{80,7.08},{81,7.08}}		201	1			103	0		302	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5024	精英 压制者僚机	0		103	{{1,1.47},{80,1.84},{81,1.84}}		201	1			103	0		302	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5025	精英 压制者可破坏部件	200			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5026	精英 循声者	0		103	{{1,15.67},{80,9.49},{81,9.49}}		201	1			103	{{1,15.67},{80,9.49},{81,9.49}}		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5027	精英 异化人	0		103	{{1,13.68},{80,10.59},{81,10.59}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5028	精英 魔弹会员	0		103	{{1,4.6},{80,3.38},{81,3.38}}		201	1			103	{{1,9.66},{80,7.1},{81,7.1}}		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5029	精英部位 魔弹会员	600			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5030	精英 格伦德尔（巨球）	0		103	{{1,16.32},{80,10.59},{81,10.59}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5031	精英 泰古通达物流精英	0		103	{{1,14.71},{80,11.2},{81,11.2}}		201	1			103	0		302	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5032	精英 达卡机甲	0		103	{{1,13.8},{80,9.74},{81,9.74}}		201	1			103	0		302	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5033	精英 达卡机甲部位1	600			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5034	精英 达卡机甲部位2	600			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5035	精英 战斧	0		103	{{1,11.76},{80,9.2},{81,9.2}}		201	1			103	0		302	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5036	精英部位 战斧1	450			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5037	精英部位 战斧2	450			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5038	精英部位 战斧3	450			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5039	精英部位 战斧4	450			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5040	精英 鬣狗	0		103	{{1,11.76},{80,9.2},{81,9.2}}		201	1			103	0		302	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5041	精英部位 鬣狗1	450			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5042	精英部位 鬣狗2	450			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
