道具大类	道具子类	道具ID	等级	注释	天启被动1	天启被动2	天启被动3	天启被动4	天启被动5	天启属性	临时用升级技能
1	8	2	1	芬妮-咎冠	{110821101}	{110822101}	{110823101}	{110824101}	{110825101}	1001	1108101
1	8	3	1	芬妮-辉耀	{120821101}	{120822101}	{120823101}	{120824101}	{120825101}	1001	1208400
1	8	4	1	芬妮-澄意	{130821101}	{130821102}	{130821103}	{130821104}	{130821105}	1001	1308101
1	10	1	1	肴-养生专家	{101021403}	{101022404}	{101023405}	{101024406}	{101025407}	1001	1010401
1	10	2	1	肴-冬至	{111021303}	{111022501}	{111023304}	{111024103}	{111025305}	1001	1110101
1	10	3	1	肴-夜天光	{121021301}	{121022302}	{121023303}	{121024304}	{121025305}	1001	1210301
1	11	1	1	恩雅-姐姐大人	{101121501}	{101122502}	{101123302}	{101124303}	{101125104}	1001	1011301
1	11	2	1	恩雅-羽蜕	{111121401}	{111122402}	{111123403}	{111124404}	{111125405}	1001	1111401
1	11	3	1	恩雅-澜风	{121121301}	{121122302}	{121123303}	{121124304}	{121125305}	1001	1211101
1	12	1	1	猫汐尔	{101221501}	{101222502}	{101223503}	{101224403}	{101225504}	1001	1012401
1	12	2	1	溯影	{111221401}	{111222402}	{111223403}	{111224404}	{111225405}	1001	1112401
1	13	1	1	a瑟瑞斯-小金鱼	{101321401}	{101322402}	{101323405}	{101324103}	{101325406}	1002	1012401
1	13	2	1	瑟瑞斯-瞬刻	{111321301}	{111322302}	{111323303}	{111324304}	{111325305}	1002	1113301
1	13	3	1	瑟瑞斯-悠游	{121321401}	{121322402}	{121323403}	{121324404}	{121325405}	1002	1213401
1	14	1	1	a姬辰星	{101421401}	{101422402}	{101423403}	{101424404}	{101425405}	1002	1014401
1	14	2	1	a姬辰星-云篆	{111421101}	{111422102}	{111423301}	{111424103}	{111425104}	1002	1012401
1	14	3	1	a姬辰星-琼弦	{121421301}	{121422101}	{121423302}	{121424303}	{121425304}	1002	1214101
1	17	1	1	苔丝	{101721301}	{101722302}	{101723303}	{101724304}	{101725305}	1002	1017301
1	17	2	1	苔丝-绮幻	{111721401}	{111722402}	{111723403}	{111724404}	{111725405}	1002	1117401
1	15	1	1	凯茜娅	{101521101}	{101522102}	{101523103}	{101524104}	{101525105}	1002	1015101
1	15	2	1	凯茜娅-朝翼	{111521101}	{111522102}	{111523103}	{111524104}	{111525105}	1002	1115100
1	15	3	1	凯茜娅-狂诗	{121521101}	{121522102}	{121523103}	{121524104}	{121525105}	1002	1115100
1	16	1	1	伊切尔	{101621101}	{101622102}	{101623103}	{101624104}	{101625105}	1002	1016301
1	18	1	1	薇蒂雅	{101821101}	{101822102}	{101823103}	{101824104}	{101825105}	1002	1018101
1	18	2	1	天鹅座	{111821401}	{111822402}	{111823403}	{111824404}	{111825405}	1002	1118401
1	20	1	1	卜卜	{102021101}	{102022102}	{102023103}	{102024104}	{102025105}	1002	1020101
1	20	2	1	卜卜-灵鉴	{112021101}	{112021102}	{112021103}	{112021104}	{112021105}	1002	1120106
1	21	1	1	奈莉德	{102121101}	{102122102}	{102123103}	{102124104}	{102125105}	1002	1021101
1	22	1	1	克罗瑞娜	{102221101}	{102222302}	{102223303}	{102224304}	{102225305}	1002	1022301
1	23	1	1	米娅	{102321101}	{102322302}	{102323303}	{102324304}	{102325105}	1002	1023301
1	24	1	1	胧嫣	{102421101}	{102422102}	{102423301}	{102424302}	{102425103}	1002	1024301
