id	注释	第一次突破所需道具									第二次突破所需道具									第三次突破所需道具									第四次突破所需道具									第五次突破所需道具								
ID	Comment	1Items1	1Items2	1Items3	1Items4	1Items5	1Items6	1Items7	1Items8	1Items9	2Items1	2Items2	2Items3	2Items4	2Items5	2Items6	2Items7	2Items8	2Items9	3Items1	3Items2	3Items3	3Items4	3Items5	3Items6	3Items7	3Items8	3Items9	4Items1	4Items2	4Items3	4Items4	4Items5	4Items6	4Items7	4Items8	4Items9	5Items1	5Items2	5Items3	5Items4	5Items5	5Items6	5Items7	5Items8	5Items9
1012	芬妮	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,12}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,6}}	{{5,4,8,1,12}}	{{5,4,8,1,9}}	{{5,4,8,1,9}}	{{5,4,8,1,9}}	{{5,4,8,1,9}}	{{5,4,8,1,9}}	{{5,4,8,1,9}}	{{5,4,8,1,9}}	{{5,4,8,1,9}}	{{5,4,8,1,18}}	{{5,4,8,1,12}}	{{5,4,8,1,12}}	{{5,4,8,1,12}}	{{5,4,8,1,12}}	{{5,4,8,1,12}}	{{5,4,8,1,12}}	{{5,4,8,1,12}}	{{5,4,8,1,12}}	{{5,4,8,1,24}}	{{5,4,8,1,15}}	{{5,4,8,1,15}}	{{5,4,8,1,15}}	{{5,4,8,1,15}}	{{5,4,8,1,15}}	{{5,4,8,1,15}}	{{5,4,8,1,15}}	{{5,4,8,1,15}}	{{5,4,8,1,30}}
1013	芬妮-咎冠	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,12}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,6}}	{{5,4,8,2,12}}	{{5,4,8,2,9}}	{{5,4,8,2,9}}	{{5,4,8,2,9}}	{{5,4,8,2,9}}	{{5,4,8,2,9}}	{{5,4,8,2,9}}	{{5,4,8,2,9}}	{{5,4,8,2,9}}	{{5,4,8,2,18}}	{{5,4,8,2,12}}	{{5,4,8,2,12}}	{{5,4,8,2,12}}	{{5,4,8,2,12}}	{{5,4,8,2,12}}	{{5,4,8,2,12}}	{{5,4,8,2,12}}	{{5,4,8,2,12}}	{{5,4,8,2,24}}	{{5,4,8,2,15}}	{{5,4,8,2,15}}	{{5,4,8,2,15}}	{{5,4,8,2,15}}	{{5,4,8,2,15}}	{{5,4,8,2,15}}	{{5,4,8,2,15}}	{{5,4,8,2,15}}	{{5,4,8,2,30}}
1014		{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,12}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,6}}	{{5,4,71,1,12}}	{{5,4,71,1,9}}	{{5,4,71,1,9}}	{{5,4,71,1,9}}	{{5,4,71,1,9}}	{{5,4,71,1,9}}	{{5,4,71,1,9}}	{{5,4,71,1,9}}	{{5,4,71,1,9}}	{{5,4,71,1,18}}	{{5,4,71,1,12}}	{{5,4,71,1,12}}	{{5,4,71,1,12}}	{{5,4,71,1,12}}	{{5,4,71,1,12}}	{{5,4,71,1,12}}	{{5,4,71,1,12}}	{{5,4,71,1,12}}	{{5,4,71,1,24}}	{{5,4,71,1,15}}	{{5,4,71,1,15}}	{{5,4,71,1,15}}	{{5,4,71,1,15}}	{{5,4,71,1,15}}	{{5,4,71,1,15}}	{{5,4,71,1,15}}	{{5,4,71,1,15}}	{{5,4,71,1,30}}
1015	肴	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,12}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,6}}	{{5,4,10,1,12}}	{{5,4,10,1,9}}	{{5,4,10,1,9}}	{{5,4,10,1,9}}	{{5,4,10,1,9}}	{{5,4,10,1,9}}	{{5,4,10,1,9}}	{{5,4,10,1,9}}	{{5,4,10,1,9}}	{{5,4,10,1,18}}	{{5,4,10,1,12}}	{{5,4,10,1,12}}	{{5,4,10,1,12}}	{{5,4,10,1,12}}	{{5,4,10,1,12}}	{{5,4,10,1,12}}	{{5,4,10,1,12}}	{{5,4,10,1,12}}	{{5,4,10,1,24}}	{{5,4,10,1,15}}	{{5,4,10,1,15}}	{{5,4,10,1,15}}	{{5,4,10,1,15}}	{{5,4,10,1,15}}	{{5,4,10,1,15}}	{{5,4,10,1,15}}	{{5,4,10,1,15}}	{{5,4,10,1,30}}
1016	肴-冬至	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,12}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,6}}	{{5,4,10,2,12}}	{{5,4,10,2,9}}	{{5,4,10,2,9}}	{{5,4,10,2,9}}	{{5,4,10,2,9}}	{{5,4,10,2,9}}	{{5,4,10,2,9}}	{{5,4,10,2,9}}	{{5,4,10,2,9}}	{{5,4,10,2,18}}	{{5,4,10,2,12}}	{{5,4,10,2,12}}	{{5,4,10,2,12}}	{{5,4,10,2,12}}	{{5,4,10,2,12}}	{{5,4,10,2,12}}	{{5,4,10,2,12}}	{{5,4,10,2,12}}	{{5,4,10,2,24}}	{{5,4,10,2,15}}	{{5,4,10,2,15}}	{{5,4,10,2,15}}	{{5,4,10,2,15}}	{{5,4,10,2,15}}	{{5,4,10,2,15}}	{{5,4,10,2,15}}	{{5,4,10,2,15}}	{{5,4,10,2,30}}
1017	恩雅	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,12}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,6}}	{{5,4,11,1,12}}	{{5,4,11,1,9}}	{{5,4,11,1,9}}	{{5,4,11,1,9}}	{{5,4,11,1,9}}	{{5,4,11,1,9}}	{{5,4,11,1,9}}	{{5,4,11,1,9}}	{{5,4,11,1,9}}	{{5,4,11,1,18}}	{{5,4,11,1,12}}	{{5,4,11,1,12}}	{{5,4,11,1,12}}	{{5,4,11,1,12}}	{{5,4,11,1,12}}	{{5,4,11,1,12}}	{{5,4,11,1,12}}	{{5,4,11,1,12}}	{{5,4,11,1,24}}	{{5,4,11,1,15}}	{{5,4,11,1,15}}	{{5,4,11,1,15}}	{{5,4,11,1,15}}	{{5,4,11,1,15}}	{{5,4,11,1,15}}	{{5,4,11,1,15}}	{{5,4,11,1,15}}	{{5,4,11,1,30}}
1018	猫汐尔	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,12}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,6}}	{{5,4,12,1,12}}	{{5,4,12,1,9}}	{{5,4,12,1,9}}	{{5,4,12,1,9}}	{{5,4,12,1,9}}	{{5,4,12,1,9}}	{{5,4,12,1,9}}	{{5,4,12,1,9}}	{{5,4,12,1,9}}	{{5,4,12,1,18}}	{{5,4,12,1,12}}	{{5,4,12,1,12}}	{{5,4,12,1,12}}	{{5,4,12,1,12}}	{{5,4,12,1,12}}	{{5,4,12,1,12}}	{{5,4,12,1,12}}	{{5,4,12,1,12}}	{{5,4,12,1,24}}	{{5,4,12,1,15}}	{{5,4,12,1,15}}	{{5,4,12,1,15}}	{{5,4,12,1,15}}	{{5,4,12,1,15}}	{{5,4,12,1,15}}	{{5,4,12,1,15}}	{{5,4,12,1,15}}	{{5,4,12,1,30}}
1019	瑟瑞斯	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,12}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,6}}	{{5,4,13,1,12}}	{{5,4,13,1,9}}	{{5,4,13,1,9}}	{{5,4,13,1,9}}	{{5,4,13,1,9}}	{{5,4,13,1,9}}	{{5,4,13,1,9}}	{{5,4,13,1,9}}	{{5,4,13,1,9}}	{{5,4,13,1,18}}	{{5,4,13,1,12}}	{{5,4,13,1,12}}	{{5,4,13,1,12}}	{{5,4,13,1,12}}	{{5,4,13,1,12}}	{{5,4,13,1,12}}	{{5,4,13,1,12}}	{{5,4,13,1,12}}	{{5,4,13,1,24}}	{{5,4,13,1,15}}	{{5,4,13,1,15}}	{{5,4,13,1,15}}	{{5,4,13,1,15}}	{{5,4,13,1,15}}	{{5,4,13,1,15}}	{{5,4,13,1,15}}	{{5,4,13,1,15}}	{{5,4,13,1,30}}
1020	辰星	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,12}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,6}}	{{5,4,14,1,12}}	{{5,4,14,1,9}}	{{5,4,14,1,9}}	{{5,4,14,1,9}}	{{5,4,14,1,9}}	{{5,4,14,1,9}}	{{5,4,14,1,9}}	{{5,4,14,1,9}}	{{5,4,14,1,9}}	{{5,4,14,1,18}}	{{5,4,14,1,12}}	{{5,4,14,1,12}}	{{5,4,14,1,12}}	{{5,4,14,1,12}}	{{5,4,14,1,12}}	{{5,4,14,1,12}}	{{5,4,14,1,12}}	{{5,4,14,1,12}}	{{5,4,14,1,24}}	{{5,4,14,1,15}}	{{5,4,14,1,15}}	{{5,4,14,1,15}}	{{5,4,14,1,15}}	{{5,4,14,1,15}}	{{5,4,14,1,15}}	{{5,4,14,1,15}}	{{5,4,14,1,15}}	{{5,4,14,1,30}}
1021	辰星-云篆	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,12}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,6}}	{{5,4,14,2,12}}	{{5,4,14,2,9}}	{{5,4,14,2,9}}	{{5,4,14,2,9}}	{{5,4,14,2,9}}	{{5,4,14,2,9}}	{{5,4,14,2,9}}	{{5,4,14,2,9}}	{{5,4,14,2,9}}	{{5,4,14,2,18}}	{{5,4,14,2,12}}	{{5,4,14,2,12}}	{{5,4,14,2,12}}	{{5,4,14,2,12}}	{{5,4,14,2,12}}	{{5,4,14,2,12}}	{{5,4,14,2,12}}	{{5,4,14,2,12}}	{{5,4,14,2,24}}	{{5,4,14,2,15}}	{{5,4,14,2,15}}	{{5,4,14,2,15}}	{{5,4,14,2,15}}	{{5,4,14,2,15}}	{{5,4,14,2,15}}	{{5,4,14,2,15}}	{{5,4,14,2,15}}	{{5,4,14,2,30}}
1022	晴-藏锋	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,12}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,6}}	{{5,4,6,2,12}}	{{5,4,6,2,9}}	{{5,4,6,2,9}}	{{5,4,6,2,9}}	{{5,4,6,2,9}}	{{5,4,6,2,9}}	{{5,4,6,2,9}}	{{5,4,6,2,9}}	{{5,4,6,2,9}}	{{5,4,6,2,18}}	{{5,4,6,2,12}}	{{5,4,6,2,12}}	{{5,4,6,2,12}}	{{5,4,6,2,12}}	{{5,4,6,2,12}}	{{5,4,6,2,12}}	{{5,4,6,2,12}}	{{5,4,6,2,12}}	{{5,4,6,2,24}}	{{5,4,6,2,15}}	{{5,4,6,2,15}}	{{5,4,6,2,15}}	{{5,4,6,2,15}}	{{5,4,6,2,15}}	{{5,4,6,2,15}}	{{5,4,6,2,15}}	{{5,4,6,2,15}}	{{5,4,6,2,30}}
1023	猫汐尔-溯影	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,12}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,6}}	{{5,4,12,2,12}}	{{5,4,12,2,9}}	{{5,4,12,2,9}}	{{5,4,12,2,9}}	{{5,4,12,2,9}}	{{5,4,12,2,9}}	{{5,4,12,2,9}}	{{5,4,12,2,9}}	{{5,4,12,2,9}}	{{5,4,12,2,18}}	{{5,4,12,2,12}}	{{5,4,12,2,12}}	{{5,4,12,2,12}}	{{5,4,12,2,12}}	{{5,4,12,2,12}}	{{5,4,12,2,12}}	{{5,4,12,2,12}}	{{5,4,12,2,12}}	{{5,4,12,2,24}}	{{5,4,12,2,15}}	{{5,4,12,2,15}}	{{5,4,12,2,15}}	{{5,4,12,2,15}}	{{5,4,12,2,15}}	{{5,4,12,2,15}}	{{5,4,12,2,15}}	{{5,4,12,2,15}}	{{5,4,12,2,30}}
1024	苔丝-魔术师	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,12}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,6}}	{{5,4,17,1,12}}	{{5,4,17,1,9}}	{{5,4,17,1,9}}	{{5,4,17,1,9}}	{{5,4,17,1,9}}	{{5,4,17,1,9}}	{{5,4,17,1,9}}	{{5,4,17,1,9}}	{{5,4,17,1,9}}	{{5,4,17,1,18}}	{{5,4,17,1,12}}	{{5,4,17,1,12}}	{{5,4,17,1,12}}	{{5,4,17,1,12}}	{{5,4,17,1,12}}	{{5,4,17,1,12}}	{{5,4,17,1,12}}	{{5,4,17,1,12}}	{{5,4,17,1,24}}	{{5,4,17,1,15}}	{{5,4,17,1,15}}	{{5,4,17,1,15}}	{{5,4,17,1,15}}	{{5,4,17,1,15}}	{{5,4,17,1,15}}	{{5,4,17,1,15}}	{{5,4,17,1,15}}	{{5,4,17,1,30}}
1025	凯茜娅-蓝闪	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,12}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,6}}	{{5,4,15,1,12}}	{{5,4,15,1,9}}	{{5,4,15,1,9}}	{{5,4,15,1,9}}	{{5,4,15,1,9}}	{{5,4,15,1,9}}	{{5,4,15,1,9}}	{{5,4,15,1,9}}	{{5,4,15,1,9}}	{{5,4,15,1,18}}	{{5,4,15,1,12}}	{{5,4,15,1,12}}	{{5,4,15,1,12}}	{{5,4,15,1,12}}	{{5,4,15,1,12}}	{{5,4,15,1,12}}	{{5,4,15,1,12}}	{{5,4,15,1,12}}	{{5,4,15,1,24}}	{{5,4,15,1,15}}	{{5,4,15,1,15}}	{{5,4,15,1,15}}	{{5,4,15,1,15}}	{{5,4,15,1,15}}	{{5,4,15,1,15}}	{{5,4,15,1,15}}	{{5,4,15,1,15}}	{{5,4,15,1,30}}
1026	伊切尔-豹豹	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,12}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,6}}	{{5,4,16,1,12}}	{{5,4,16,1,9}}	{{5,4,16,1,9}}	{{5,4,16,1,9}}	{{5,4,16,1,9}}	{{5,4,16,1,9}}	{{5,4,16,1,9}}	{{5,4,16,1,9}}	{{5,4,16,1,9}}	{{5,4,16,1,18}}	{{5,4,16,1,12}}	{{5,4,16,1,12}}	{{5,4,16,1,12}}	{{5,4,16,1,12}}	{{5,4,16,1,12}}	{{5,4,16,1,12}}	{{5,4,16,1,12}}	{{5,4,16,1,12}}	{{5,4,16,1,24}}	{{5,4,16,1,15}}	{{5,4,16,1,15}}	{{5,4,16,1,15}}	{{5,4,16,1,15}}	{{5,4,16,1,15}}	{{5,4,16,1,15}}	{{5,4,16,1,15}}	{{5,4,16,1,15}}	{{5,4,16,1,30}}
1027	琴诺-悖谬	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,12}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,6}}	{{5,4,7,2,12}}	{{5,4,7,2,9}}	{{5,4,7,2,9}}	{{5,4,7,2,9}}	{{5,4,7,2,9}}	{{5,4,7,2,9}}	{{5,4,7,2,9}}	{{5,4,7,2,9}}	{{5,4,7,2,9}}	{{5,4,7,2,18}}	{{5,4,7,2,12}}	{{5,4,7,2,12}}	{{5,4,7,2,12}}	{{5,4,7,2,12}}	{{5,4,7,2,12}}	{{5,4,7,2,12}}	{{5,4,7,2,12}}	{{5,4,7,2,12}}	{{5,4,7,2,24}}	{{5,4,7,2,15}}	{{5,4,7,2,15}}	{{5,4,7,2,15}}	{{5,4,7,2,15}}	{{5,4,7,2,15}}	{{5,4,7,2,15}}	{{5,4,7,2,15}}	{{5,4,7,2,15}}	{{5,4,7,2,30}}
1028	恩雅-羽蜕	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,12}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,6}}	{{5,4,11,2,12}}	{{5,4,11,2,9}}	{{5,4,11,2,9}}	{{5,4,11,2,9}}	{{5,4,11,2,9}}	{{5,4,11,2,9}}	{{5,4,11,2,9}}	{{5,4,11,2,9}}	{{5,4,11,2,9}}	{{5,4,11,2,18}}	{{5,4,11,2,12}}	{{5,4,11,2,12}}	{{5,4,11,2,12}}	{{5,4,11,2,12}}	{{5,4,11,2,12}}	{{5,4,11,2,12}}	{{5,4,11,2,12}}	{{5,4,11,2,12}}	{{5,4,11,2,24}}	{{5,4,11,2,15}}	{{5,4,11,2,15}}	{{5,4,11,2,15}}	{{5,4,11,2,15}}	{{5,4,11,2,15}}	{{5,4,11,2,15}}	{{5,4,11,2,15}}	{{5,4,11,2,15}}	{{5,4,11,2,30}}
1029	瑟瑞斯-瞬刻	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,12}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,6}}	{{5,4,13,2,12}}	{{5,4,13,2,9}}	{{5,4,13,2,9}}	{{5,4,13,2,9}}	{{5,4,13,2,9}}	{{5,4,13,2,9}}	{{5,4,13,2,9}}	{{5,4,13,2,9}}	{{5,4,13,2,9}}	{{5,4,13,2,18}}	{{5,4,13,2,12}}	{{5,4,13,2,12}}	{{5,4,13,2,12}}	{{5,4,13,2,12}}	{{5,4,13,2,12}}	{{5,4,13,2,12}}	{{5,4,13,2,12}}	{{5,4,13,2,12}}	{{5,4,13,2,24}}	{{5,4,13,2,15}}	{{5,4,13,2,15}}	{{5,4,13,2,15}}	{{5,4,13,2,15}}	{{5,4,13,2,15}}	{{5,4,13,2,15}}	{{5,4,13,2,15}}	{{5,4,13,2,15}}	{{5,4,13,2,30}}
1031	芬妮-辉耀	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,12}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,6}}	{{5,4,8,3,12}}	{{5,4,8,3,9}}	{{5,4,8,3,9}}	{{5,4,8,3,9}}	{{5,4,8,3,9}}	{{5,4,8,3,9}}	{{5,4,8,3,9}}	{{5,4,8,3,9}}	{{5,4,8,3,9}}	{{5,4,8,3,18}}	{{5,4,8,3,12}}	{{5,4,8,3,12}}	{{5,4,8,3,12}}	{{5,4,8,3,12}}	{{5,4,8,3,12}}	{{5,4,8,3,12}}	{{5,4,8,3,12}}	{{5,4,8,3,12}}	{{5,4,8,3,24}}	{{5,4,8,3,15}}	{{5,4,8,3,15}}	{{5,4,8,3,15}}	{{5,4,8,3,15}}	{{5,4,8,3,15}}	{{5,4,8,3,15}}	{{5,4,8,3,15}}	{{5,4,8,3,15}}	{{5,4,8,3,30}}
1030	里芙-无限之视	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,12}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,6}}	{{5,4,2,3,12}}	{{5,4,2,3,9}}	{{5,4,2,3,9}}	{{5,4,2,3,9}}	{{5,4,2,3,9}}	{{5,4,2,3,9}}	{{5,4,2,3,9}}	{{5,4,2,3,9}}	{{5,4,2,3,9}}	{{5,4,2,3,18}}	{{5,4,2,3,12}}	{{5,4,2,3,12}}	{{5,4,2,3,12}}	{{5,4,2,3,12}}	{{5,4,2,3,12}}	{{5,4,2,3,12}}	{{5,4,2,3,12}}	{{5,4,2,3,12}}	{{5,4,2,3,24}}	{{5,4,2,3,15}}	{{5,4,2,3,15}}	{{5,4,2,3,15}}	{{5,4,2,3,15}}	{{5,4,2,3,15}}	{{5,4,2,3,15}}	{{5,4,2,3,15}}	{{5,4,2,3,15}}	{{5,4,2,3,30}}
1032	薇蒂雅-龙舌兰	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,12}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,6}}	{{5,4,18,1,12}}	{{5,4,18,1,9}}	{{5,4,18,1,9}}	{{5,4,18,1,9}}	{{5,4,18,1,9}}	{{5,4,18,1,9}}	{{5,4,18,1,9}}	{{5,4,18,1,9}}	{{5,4,18,1,9}}	{{5,4,18,1,18}}	{{5,4,18,1,12}}	{{5,4,18,1,12}}	{{5,4,18,1,12}}	{{5,4,18,1,12}}	{{5,4,18,1,12}}	{{5,4,18,1,12}}	{{5,4,18,1,12}}	{{5,4,18,1,12}}	{{5,4,18,1,24}}	{{5,4,18,1,15}}	{{5,4,18,1,15}}	{{5,4,18,1,15}}	{{5,4,18,1,15}}	{{5,4,18,1,15}}	{{5,4,18,1,15}}	{{5,4,18,1,15}}	{{5,4,18,1,15}}	{{5,4,18,1,30}}
