	选项1Key	选项1功能	选项1出现条件	选项1图标	选项1红点&气泡	选项1排序	选项2Key	选项2功能	选项2出现条件	选项2图标	选项2红点&气泡	选项2排序	选项3Key	选项3功能	选项3出现条件	选项3图标	选项3红点&气泡	选项3排序	选项4Key	选项4功能	选项4出现条件	选项4图标	选项4红点&气泡	选项4排序	选项5Key	选项5功能	选项5出现条件	选项5图标	选项5红点&气泡	选项5排序	选项6Key	选项6功能	选项6出现条件	选项6图标	选项6红点&气泡	选项6排序	选项7Key	选项7功能	选项7出现条件	选项7图标	选项7红点&气泡	选项7排序	选项8Key	选项8功能	选项8出现条件	选项8图标	选项8红点&气泡	选项8排序	选项9Key	选项9功能	选项9出现条件	选项9图标	选项9红点&气泡	选项9排序	选项10Key	选项10功能	选项10出现条件	选项10图标	选项10红点&气泡	选项10排序	选项11Key	选项11功能	选项11出现条件	选项11图标	选项11红点&气泡	选项11排序	选项12Key	选项12功能	选项12出现条件	选项12图标	选项12红点&气泡	选项12排序	选项13Key	选项13功能	选项13出现条件	选项13图标	选项13红点&气泡	选项13排序	选项14Key	选项14功能	选项14出现条件	选项14图标	选项14红点&气泡	选项14排序	选项15Key	选项15功能	选项15出现条件	选项15图标	选项15红点&气泡	选项15排序	选项16Key	选项16功能	选项16出现条件	选项16图标	选项16红点&气泡	选项16排序	选项17Key	选项17功能	选项17出现条件	选项17图标	选项17红点&气泡	选项17排序	选项18Key	选项18功能	选项18出现条件	选项18图标	选项18红点&气泡	选项18排序	选项19Key	选项19功能	选项19出现条件	选项19图标	选项19红点&气泡	选项19排序	选项20Key	选项20功能	选项20出现条件	选项20图标	选项20红点&气泡	选项20排序
4	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	2	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		3	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		4	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		5	house.GiftSend	{'ShowGiftUI',4}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	6	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	7	house.Bye	{'SayBye'}		1701185		8	ui.TxtPiecesPleaseButton	{'DoCollectChip'}	{'HasCollectChip'}|{'CheckTaskGuideShow',6}	1701334	{'HasCollectChip'}	0																																																																								
5	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',5}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',24,24}	{'CheckDecryptProcess',24,25}	1701131	{'CheckDecryptProcess',24}	0	house.ChangeSuit_Beach	{'SwitchAreaSuit'}	{'HasAreaSuit',{90}}	1701228	{'HasAreaSuitNew'}	0																																																																		
6	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',6}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7																																																																														
7	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',7}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7																																																																														
8	house.RingStory	{'PlayRingStory'}	{'HasRingStory'}|{'CheckTaskGuideShow',5}	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	{'HasAnyRandomEvent'}|{'CheckTaskGuideShow',5}	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	{'IsInBedRoom'}|{'CheckTaskGuideShow',5}	1701217		4	house.GiftSend	{'ShowGiftUI',8}	{'IsGirlLiveIn'}|{'CheckTaskGuideShow',4}	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}	{'CheckTaskGuideShow',4}	1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.ChangeSuit_Beach	{'SwitchSwimsuit'}	HasSwimwear	1701228	{'HasSwimwearNew'}	0																																																																								
10	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',10}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',31,31}	{'CheckDecryptProcess',31,32}	1701131	{'CheckDecryptProcess',31}	0	house.ChangeSuit_Beach	{'SwitchAreaSuit'}	{'HasAreaSuit',{0,90}}	1701228	{'HasAreaSuitNew'}	0																																																																		
11	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',11}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7																																																																														
12	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',12}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7																																																																														
13	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',13}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.ChangeSuit_Beach	{'SwitchSwimsuit'}	HasSwimwear	1701228		0	house.ChangeSuit_Beach	{'SwitchAreaSuit'}	{'HasAreaSuit',{90}}	1701228	{'HasAreaSuitNew'}	0																																																																		
14	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',14}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',27,27}	{'CheckDecryptProcess',27,28}	1701131	{'CheckDecryptProcess',27}	0																																																																								
15	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',15}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7																																																																														
16	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',16}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7																																																																														
17	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',17}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7																																																																														
18	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',18}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.ChangeSuit_Beach	{'SwitchSwimsuit'}	HasSwimwear	1701228	{'HasSwimwearNew'}	0																																																																								
20	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',20}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7																																																																														
21	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',21}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.ChangeSuit_Beach	{'SwitchSwimsuit'}	HasSwimwear	1701228	{'HasSwimwearNew'}	0																																																																								
22	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',22}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7																																																																														
23	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',23}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.ChangeSuit_Beach	{'SwitchAreaSuit'}	{'HasAreaSuit',{90}}	1701228	{'HasAreaSuitNew'}	0																																																																								
24	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',24}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7																																																																														
																																																																																																																								
101	house.puzzleentry	{'ShowPuzzleMap'}	{'CheckTaskGuideShow',6}	1701173	{'HaventOpenPuzzleThisWeek'}	1	house.clipgive	{'ShowClipGiveSend'}	{'CheckTaskGuideShow',7}	1701176	{'HaveFriendClipToGet'}	4	house.cliprecovery	{'ShowHouseClipSell'}	{'CheckTaskGuideShow',7}	1701174		5	house.Bye	{'SayBye'}		1701185		6	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',10,10}	{'CheckDecryptProcess',10,11}	1701131	{'CheckDecryptProcess',10}	2	house.clipgetall	{'DoCollectChip'}	{'HasCollectChip'}|{'CheckTaskGuideShow',5}	1701334	{'HasCollectChip'}	3	starwish.Option5	{'PlayNormal3DStoryAndCompleteStarWishQuest',2101,101}	{'CheckStarWishProcess',101}	1701458	{'CheckStarWishProcess',101}	7	starwish.Option5	{'PlayNormal3DStoryAndCompleteStarWishQuest',2401,401}	{'CheckStarWishProcess',401}	1701458	{'CheckStarWishProcess',401}	7																																																																								
103	house.puzzleentry	{'ShowPuzzleMap'}	{'CheckTaskGuideShow',6}	1701173	{'HaventOpenPuzzleThisWeek'}	1	house.clipgive	{'ShowClipGiveSend'}	{'CheckTaskGuideShow',7}	1701176	{'HaveFriendClipToGet'}	4	house.cliprecovery	{'ShowHouseClipSell'}	{'CheckTaskGuideShow',7}	1701174		5	house.Bye	{'SayBye'}		1701185		6	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',10,10}	{'CheckDecryptProcess',10,11}	1701131	{'CheckDecryptProcess',10}	2	house.clipgetall	{'DoCollectChip'}	{'HasCollectChip'}|{'CheckTaskGuideShow',5}	1701334	{'HasCollectChip'}	3																																																																																				
201	house.Bye	{'SayBye'}		1701185		1	house.SEvent	{'DoCheckDecrypt16Complete',16,163,3}	{'HasDecryptTalk',16,3}	1701131	{'DefaultTrue'}	0																																																																																																												
202	house.Bye	{'SayBye'}		1701185		1	house.SEvent	{'DoCheckDecrypt16Complete',16,164,4}	{'HasDecryptTalk',16,4}	1701131	{'DefaultTrue'}	0																																																																																																												
203	house.Bye	{'SayBye'}		1701185		1	house.SEvent	{'DoCheckDecrypt16Complete',16,161,1}	{'HasDecryptTalk',16,1}	1701131	{'DefaultTrue'}	0																																																																																																												
204	house.Bye	{'SayBye'}		1701185		1																																																																																																																		
205	house.Bye	{'SayBye'}		1701185		1	house.SEvent	{'DoCheckDecrypt16Complete',16,162,2}	{'HasDecryptTalk',16,2}	1701131	{'DefaultTrue'}	0																																																																																																												
206	house.Bye	{'SayBye'}		1701185		1																																																																																																																		
207	house.Bye	{'SayBye'}		1701185		1	house.SEvent	{'DoCheckDecrypt16Complete',16,165,5}	{'HasDecryptTalk',16,5}	1701131	{'DefaultTrue'}	0																																																																																																												
