商店ID（1普通商店 2高级商店）	Index	礼物ID	精选商店排序（越大越前）	精选商店分类(1替换系列2膝枕系列）	礼物GDPL	需要的物品({{GDPLN},{GDPLN}})	需要的家具币	需要的数据金	商店屏蔽	非礼物时分类npc	限购次数	限购Id	打折开始时间	打折结束时间	折扣	高级家具商店背景预览图	付费商店红点版本号
1	66	1406			{8,14,6,3}	{{5,1,1,1,2}}	200										
1	67	1407			{8,14,7,3}	{{5,1,1,1,2}}	200										
1	68	1408			{8,14,8,3}	{{5,1,1,1,2}}	100										
1	69	1409			{8,14,9,3}	{{5,1,1,1,2}}	100										
1	70	1410			{8,14,10,3}	{{5,1,1,1,2}}	100										
1	71	601			{8,6,1,3}	{{5,1,1,1,2}}	300										
1	72	602			{8,6,2,3}	{{5,1,1,1,2}}	200										
1	73	603			{8,6,3,3}	{{5,1,1,1,2}}	300										
1	74	604			{8,6,4,3}	{{5,1,1,1,2}}	200										
1	75	605			{8,6,5,3}	{{5,1,1,1,2}}	300										
1	76	606			{8,6,6,3}	{{5,1,1,1,2}}	200										
1	77	607			{8,6,7,3}	{{5,1,1,1,2}}	200										
1	78	608			{8,6,8,3}	{{5,1,1,1,2}}	100										
1	79	609			{8,6,9,3}	{{5,1,1,1,2}}	100										
1	80	610			{8,6,10,3}	{{5,1,1,1,2}}	100										
1	81	1001			{8,10,1,3}	{{5,1,1,1,2}}	300										
1	82	1002			{8,10,2,3}	{{5,1,1,1,2}}	200										
1	83	1003			{8,10,3,3}	{{5,1,1,1,2}}	300										
1	84	1004			{8,10,4,3}	{{5,1,1,1,2}}	200										
1	85	1005			{8,10,5,3}	{{5,1,1,1,2}}	300										
1	86	1006			{8,10,6,3}	{{5,1,1,1,2}}	200										
1	87	1007			{8,10,7,3}	{{5,1,1,1,2}}	100										
1	88	1008			{8,10,8,3}	{{5,1,1,1,2}}	200										
1	89	1009			{8,10,9,3}	{{5,1,1,1,2}}	100										
1	90	1010			{8,10,10,3}	{{5,1,1,1,2}}	100										
1	91	501			{8,5,1,3}	{{5,1,1,1,2}}	200										
1	92	502			{8,5,2,3}	{{5,1,1,1,2}}	300										
1	93	503			{8,5,3,3}	{{5,1,1,1,2}}	300										
1	94	504			{8,5,4,3}	{{5,1,1,1,2}}	200										
1	95	505			{8,5,5,3}	{{5,1,1,1,2}}	300										
1	96	506			{8,5,6,3}	{{5,1,1,1,2}}	200										
1	97	507			{8,5,7,3}	{{5,1,1,1,2}}	200										
1	98	508			{8,5,8,3}	{{5,1,1,1,2}}	100										
1	99	509			{8,5,9,3}	{{5,1,1,1,2}}	100										
1	100	510			{8,5,10,3}	{{5,1,1,1,2}}	100										
1	101	1201			{8,12,1,3}	{{5,1,1,1,2}}	200										
1	102	1202			{8,12,2,3}	{{5,1,1,1,2}}	300										
1	103	1203			{8,12,3,3}	{{5,1,1,1,2}}	300										
1	104	1204			{8,12,4,3}	{{5,1,1,1,2}}	200										
1	105	1205			{8,12,5,3}	{{5,1,1,1,2}}	300										
1	106	1206			{8,12,6,3}	{{5,1,1,1,2}}	200										
1	107	1207			{8,12,7,3}	{{5,1,1,1,2}}	200										
1	108	1208			{8,12,8,3}	{{5,1,1,1,2}}	100										
1	109	1209			{8,12,9,3}	{{5,1,1,1,2}}	100										
1	110	1210			{8,12,10,3}	{{5,1,1,1,2}}	100										
1	115	1101			{8,11,1,3}	{{5,1,1,1,2}}	300										
1	116	1102			{8,11,2,3}	{{5,1,1,1,2}}	200										
1	117	1103			{8,11,3,3}	{{5,1,1,1,2}}	200										
1	118	1104			{8,11,4,3}	{{5,1,1,1,2}}	300										
1	119	1105			{8,11,5,3}	{{5,1,1,1,2}}	300										
1	120	1106			{8,11,6,3}	{{5,1,1,1,2}}	200										
1	121	1107			{8,11,7,3}	{{5,1,1,1,2}}	200										
1	122	1108			{8,11,8,3}	{{5,1,1,1,2}}	100										
1	123	1109			{8,11,9,3}	{{5,1,1,1,2}}	100										
1	124	1110			{8,11,10,3}	{{5,1,1,1,2}}	100										
1	125	1701			{8,17,1,3}	{{5,1,1,1,2}}	300										
1	126	1702			{8,17,2,3}	{{5,1,1,1,2}}	300										
1	127	1703			{8,17,3,3}	{{5,1,1,1,2}}	200										
1	128	1704			{8,17,4,3}	{{5,1,1,1,2}}	300										
1	129	1705			{8,17,5,3}	{{5,1,1,1,2}}	200										
1	130	1706			{8,17,6,3}	{{5,1,1,1,2}}	200										
1	131	1707			{8,17,7,3}	{{5,1,1,1,2}}	200										
1	132	1708			{8,17,8,3}	{{5,1,1,1,2}}	100										
1	133	1709			{8,17,9,3}	{{5,1,1,1,2}}	100										
1	134	1710			{8,17,10,3}	{{5,1,1,1,2}}	100										
1	1001	9901			{5,26,1,4}	{{5,1,1,1,2}}	200			99	16	1					
2	111	613	1	1	{8,6,11,3}	{{5,1,1,1,2}}	800	1600					[202309211000]	[202311020400]	80	1602171	8
2	112	1012	2	1	{8,10,11,3}	{{5,1,1,1,2}}	800	1600					[202309211000]	[202311020400]	80	1602172	
2	113	514	3	1	{8,5,11,3}	{{5,1,1,1,2}}	800	1600					[202311021000]	[202312140400]	80	1601003	
2	114	1214	4	1	{8,12,11,3}	{{5,1,1,1,2}}	800	1600					[202311021000]	[202312140400]	80	1601002	
2	135	1113	5	1	{8,11,11,3}	{{5,1,1,1,2}}	800	1600					[202312141000]	[202401180400]	80	1602248	
2	136	1714	6	1	{8,17,11,3}	{{5,1,1,1,2}}	800	1600					[202312141000]	[202401180400]	80	1602247	
2	137	1513	7	1	{8,15,11,3}	{{5,1,1,1,2}}	800	1600					[202401181000]	[202403070400]	80	1601004	
1	138	1501			{8,15,1,3}	{{5,1,1,1,2}}	300										
1	139	1502			{8,15,2,3}	{{5,1,1,1,2}}	300										
1	140	1503			{8,15,3,3}	{{5,1,1,1,2}}	200										
1	141	1504			{8,15,4,3}	{{5,1,1,1,2}}	300										
1	142	1505			{8,15,5,3}	{{5,1,1,1,2}}	200										
1	143	1506			{8,15,6,3}	{{5,1,1,1,2}}	100										
1	144	1507			{8,15,7,3}	{{5,1,1,1,2}}	200										
1	145	1508			{8,15,8,3}	{{5,1,1,1,2}}	100										
1	146	1509			{8,15,9,3}	{{5,1,1,1,2}}	100										
1	147	1510			{8,15,10,3}	{{5,1,1,1,2}}	200										
2	148	811	8	1	{8,8,11,3}	{{5,1,1,1,2}}	800	1600					[202401181000]	[202403070400]	80	1601005	
1	149	1601			{8,16,1,3}	{{5,1,1,1,2}}	300										
1	150	1602			{8,16,2,3}	{{5,1,1,1,2}}	200										
1	151	1603			{8,16,3,3}	{{5,1,1,1,2}}	300										
1	152	1604			{8,16,4,3}	{{5,1,1,1,2}}	200										
1	153	1605			{8,16,5,3}	{{5,1,1,1,2}}	300										
1	154	1606			{8,16,6,3}	{{5,1,1,1,2}}	100										
1	155	1607			{8,16,7,3}	{{5,1,1,1,2}}	200										
1	156	1608			{8,16,8,3}	{{5,1,1,1,2}}	200										
1	157	1609			{8,16,9,3}	{{5,1,1,1,2}}	100										
1	158	1610			{8,16,10,3}	{{5,1,1,1,2}}	100										
2	159	111	9	1	{8,1,11,3}	{{5,1,1,1,2}}	800	1600					[202403071000]	[202404180400]	80	1601006	
2	160	1611	10	1	{8,16,11,3}	{{5,1,1,1,2}}	800	1600					[202403071000]	[202404180400]	80	1601007	
2	161	1412	11	1	{8,14,12,3}	{{5,1,1,1,2}}	800	1600					[202404181000]	[202405300400]	80	1601009	
2	162	414	12	1	{8,4,14,3}	{{5,1,1,1,2}}	800	1600					[202404181000]	[202405300400]	80	1601008	
1	163	301			{8,3,1,3}	{{5,1,1,1,2}}	300										
1	164	302			{8,3,2,3}	{{5,1,1,1,2}}	300										
1	165	303			{8,3,3,3}	{{5,1,1,1,2}}	200										
1	166	304			{8,3,4,3}	{{5,1,1,1,2}}	300										
1	167	305			{8,3,5,3}	{{5,1,1,1,2}}	200										
1	168	306			{8,3,6,3}	{{5,1,1,1,2}}	200										
1	169	307			{8,3,7,3}	{{5,1,1,1,2}}	200										
1	170	308			{8,3,8,3}	{{5,1,1,1,2}}	100										
1	171	309			{8,3,9,3}	{{5,1,1,1,2}}	100										
1	172	310			{8,3,10,3}	{{5,1,1,1,2}}	100										
2	173	313	13	1	{8,3,11,3}	{{5,1,1,1,2}}	800	1600					[202405301000]	[202407110400]	80	1601107	
2	174	213	14	1	{8,2,11,3}	{{5,1,1,1,2}}	800	1600					[202405301000]	[202407110400]	80	1601106	
2	175	711	15	1	{8,7,11,3}	{{5,1,1,1,2}}	800	1600					[202405301000]	[202407110400]	80	1601108	
2	176	1314	16	1	{8,13,11,3}	{{5,1,1,1,2}}	800	1600					[202405301000]	[202407110400]	80	1601109	
1	177	1801			{8,18,1,3}	{{5,1,1,1,2}}	300										
1	178	1802			{8,18,2,3}	{{5,1,1,1,2}}	200										
1	179	1803			{8,18,3,3}	{{5,1,1,1,2}}	300										
1	180	1804			{8,18,4,3}	{{5,1,1,1,2}}	200										
1	181	1805			{8,18,5,3}	{{5,1,1,1,2}}	300										
1	182	1806			{8,18,6,3}	{{5,1,1,1,2}}	200										
1	183	1807			{8,18,7,3}	{{5,1,1,1,2}}	200										
1	184	1808			{8,18,8,3}	{{5,1,1,1,2}}	100										
1	185	1809			{8,18,9,3}	{{5,1,1,1,2}}	100										
1	186	1810			{8,18,10,3}	{{5,1,1,1,2}}	100										
2	187	1811	18	1	{8,18,11,3}	{{5,1,1,1,2}}	800	1600					[202408221000]	[202409260400]	80	1601010	
2	188	520	19	2	{8,5,12,3}	{{5,1,1,1,2}}	800	1600					[202409260400]	[202411070400]	80	1601011	1
2	189	1520	20	2	{8,15,12,3}	{{5,1,1,1,2}}	800	1600					[202409260400]	[202411070400]	80	1601012	
2	201	220	22	2	{8,2,12,3}	{{5,1,1,1,2}}	800	1600					[202411071000]	[202412190400]	80	1601013	
2	202	820	23	2	{8,8,12,3}	{{5,1,1,1,2}}	800	1600					[202411071000]	[202412190400]	80	1601014	
2	203	620	24	2	{8,6,12,3}	{{5,1,1,1,2}}	800	1600					[202412191000]	[202501230400]	80	1601015	
2	204	1120	25	2	{8,11,12,3}	{{5,1,1,1,2}}	800	1600					[202503061000]	[202504170400]	80	1601016	
2	205	1720	26	2	{8,17,12,3}	{{5,1,1,1,2}}	800	1600					[202503061000]	[202504170400]	80	1601017	
1	206	2001			{8,20,1,3}	{{5,1,1,1,2}}	200										
1	207	2002			{8,20,2,3}	{{5,1,1,1,2}}	300										
1	208	2003			{8,20,3,3}	{{5,1,1,1,2}}	300										
1	209	2004			{8,20,4,3}	{{5,1,1,1,2}}	200										
1	210	2005			{8,20,5,3}	{{5,1,1,1,2}}	300										
1	211	2006			{8,20,6,3}	{{5,1,1,1,2}}	200										
1	212	2007			{8,20,7,3}	{{5,1,1,1,2}}	100										
1	213	2008			{8,20,8,3}	{{5,1,1,1,2}}	200										
1	214	2009			{8,20,9,3}	{{5,1,1,1,2}}	100										
1	215	2010			{8,20,10,3}	{{5,1,1,1,2}}	100										
2	216	2011	27	1	{8,20,11,3}	{{5,1,1,1,2}}	800	1600					[202504170400]	[202505290400]	80	1601018	
1	217	2101			{8,21,1,3}	{{5,1,1,1,2}}	200										
1	218	2102			{8,21,2,3}	{{5,1,1,1,2}}	300										
1	219	2103			{8,21,3,3}	{{5,1,1,1,2}}	200										
1	220	2104			{8,21,4,3}	{{5,1,1,1,2}}	300										
1	221	2105			{8,21,5,3}	{{5,1,1,1,2}}	300										
1	222	2106			{8,21,6,3}	{{5,1,1,1,2}}	100										
1	223	2107			{8,21,7,3}	{{5,1,1,1,2}}	200										
1	224	2108			{8,21,8,3}	{{5,1,1,1,2}}	200										
1	225	2109			{8,21,9,3}	{{5,1,1,1,2}}	100										
1	226	2110			{8,21,10,3}	{{5,1,1,1,2}}	100										
2	227	2111	28	1	{8,21,11,3}	{{5,1,1,1,2}}	800	1600					[202505291000]	[202507100400]	80	1601019	
2	228	1020	29	2	{8,10,13,3}	{{5,1,1,1,2}}	800	1600					[202508211000]	[202509250400]	80	1601021	
2	229	1420	30	2	{8,14,14,3}	{{5,1,1,1,2}}	800	1600					[202508211000]	[202509250400]	80	1601020	
1	230	2201			{8,22,1,3}	{{5,1,1,1,2}}	300										
1	231	2202			{8,22,2,3}	{{5,1,1,1,2}}	300										
1	232	2203			{8,22,3,3}	{{5,1,1,1,2}}	300										
1	233	2204			{8,22,4,3}	{{5,1,1,1,2}}	200										
1	234	2205			{8,22,5,3}	{{5,1,1,1,2}}	200										
1	235	2206			{8,22,6,3}	{{5,1,1,1,2}}	200										
1	236	2207			{8,22,7,3}	{{5,1,1,1,2}}	100										
1	237	2208			{8,22,8,3}	{{5,1,1,1,2}}	100										
1	238	2209			{8,22,9,3}	{{5,1,1,1,2}}	100										
1	239	2210			{8,22,10,3}	{{5,1,1,1,2}}	200										
2	240	2211	31	1	{8,22,11,3}	{{5,1,1,1,2}}	800	1600					[202511060400]	[202512180400]	80	1601022	
1	241	2301			{8,23,1,3}	{{5,1,1,1,2}}	300										
1	242	2302			{8,23,2,3}	{{5,1,1,1,2}}	200										
1	243	2303			{8,23,3,3}	{{5,1,1,1,2}}	300										
1	244	2304			{8,23,4,3}	{{5,1,1,1,2}}	200										
1	245	2305			{8,23,5,3}	{{5,1,1,1,2}}	300										
1	246	2306			{8,23,6,3}	{{5,1,1,1,2}}	100										
1	247	2307			{8,23,7,3}	{{5,1,1,1,2}}	100										
1	248	2308			{8,23,8,3}	{{5,1,1,1,2}}	200										
1	249	2309			{8,23,9,3}	{{5,1,1,1,2}}	200										
1	250	2310			{8,23,10,3}	{{5,1,1,1,2}}	100										
2	251	2311	32	1	{8,23,11,3}	{{5,1,1,1,2}}	800	1600					[202512180400]	[202601290400]	80	1601023	
2	252	120	33	2	{8,1,12,3}	{{5,1,1,1,2}}	800	1600					[202605080400]	[202606190400]	80	1601024	
2	253	420	34	2	{8,4,12,3}	{{5,1,1,1,2}}	800	1600					[202605080400]	[202606190400]	80	1601025	
1	254	2401			{8,24,1,3}	{{5,1,1,1,2}}	200										
1	255	2402			{8,24,2,3}	{{5,1,1,1,2}}	300										
1	256	2403			{8,24,3,3}	{{5,1,1,1,2}}	300										
1	257	2404			{8,24,4,3}	{{5,1,1,1,2}}	200										
1	258	2405			{8,24,5,3}	{{5,1,1,1,2}}	300										
2	259	2406	35	1	{8,24,6,3}	{{5,1,1,1,2}}	800	1600									
1	260	2407			{8,24,7,3}	{{5,1,1,1,2}}	100										
1	261	2408			{8,24,8,3}	{{5,1,1,1,2}}	200										
1	262	2409			{8,24,9,3}	{{5,1,1,1,2}}	100										
1	263	2410			{8,24,10,3}	{{5,1,1,1,2}}	100										
1	264	2411			{8,24,11,3}	{{5,1,1,1,2}}	200										
