礼物Id	对应家具模板Id	获取途径	增加好感度	可赠送对象	送礼反馈语句	是否可互动（0 不能交互 1 可以交互）	是否可双人交互	增加氛围值	家具获取途径	展示图标	展示少女	拥有才显示	默认拥有
505	505	1	9000	{5}	house.SendMessage505	1			1				
506	506	1	6000	{5}	house.SendMessage506	0			1				
507	507	1	6000	{5}	house.SendMessage507	0			1				
508	508	1	3000	{5}	house.SendMessage508	0			1				
509	509	1	3000	{5}	house.SendMessage509	0			1				
510	510	1	3000	{5}	house.SendMessage510	0			1				
514	514	2	0	{5}	house.SendMessage514	1	1	4000	2				
520	520	2	0	{5}	house.SendMessage520	1	1	4000	2				
521	521	2	0	{5}	house.SendMessage521	0	0	4000	2				1
													
601	601	1	9000	{6}	house.SendMessage601	1			1				
602	602	1	6000	{6}	house.SendMessage602	1			1				
603	603	1	9000	{6}	house.SendMessage603	1			1				
604	604	1	6000	{6}	house.SendMessage604	1			1				
605	605	1	9000	{6}	house.SendMessage605	1			1				
606	606	1	6000	{6}	house.SendMessage606	0			1				
607	607	1	6000	{6}	house.SendMessage607	0			1				
608	608	1	3000	{6}	house.SendMessage608	0			1				
609	609	1	3000	{6}	house.SendMessage609	0			1				
610	610	1	3000	{6}	house.SendMessage610	0			1				
613	613	2	0	{6}	house.SendMessage613	1	1	4000	2				
620	620	2	0	{6}	house.SendMessage620	1	1	4000	2				
													
1001	1001	1	9000	{10}	house.SendMessage1001	1			1				
1002	1002	1	6000	{10}	house.SendMessage1002	1			1				
1003	1003	1	9000	{10}	house.SendMessage1003	1			1				
1004	1004	1	6000	{10}	house.SendMessage1004	1			1				
1005	1005	1	9000	{10}	house.SendMessage1005	1			1				
1006	1006	1	6000	{10}	house.SendMessage1006	0			1				
1007	1007	1	3000	{10}	house.SendMessage1007	0			1				
1008	1008	1	6000	{10}	house.SendMessage1008	0			1				
1009	1009	1	3000	{10}	house.SendMessage1009	0			1				
1010	1010	1	3000	{10}	house.SendMessage1010	0			1				
1012	1012	2	0	{10}	house.SendMessage1012	1	1	4000	2				
1020	1020	2	0	{10}	house.SendMessage1020	1	1	4000	2				
1021	1021	2	0	{10}	house.SendMessage1021	0	0	4000	2				1
													
1201	1201	1	6000	{12}	house.SendMessage1201	1			1				
1202	1202	1	9000	{12}	house.SendMessage1202	1			1				
1203	1203	1	9000	{12}	house.SendMessage1203	1			1				
1204	1204	1	6000	{12}	house.SendMessage1204	1			1				
1205	1205	1	9000	{12}	house.SendMessage1205	1			1				
1206	1206	1	6000	{12}	house.SendMessage1206	0			1				
1207	1207	1	6000	{12}	house.SendMessage1207	0			1				
1208	1208	1	3000	{12}	house.SendMessage1208	0			1				
1209	1209	1	3000	{12}	house.SendMessage1209	0			1				
1210	1210	1	3000	{12}	house.SendMessage1210	0			1				
1214	1214	2	0	{12}	house.SendMessage1214	1	1	4000	2				
													
1101	1101	1	9000	{11}	house.SendMessage1101	1			1				
1102	1102	1	6000	{11}	house.SendMessage1102	1			1				
1103	1103	1	6000	{11}	house.SendMessage1103	1			1				
1104	1104	1	9000	{11}	house.SendMessage1104	1			1				
1105	1105	1	9000	{11}	house.SendMessage1105	1			1				
1106	1106	1	6000	{11}	house.SendMessage1106	0			1				
1107	1107	1	6000	{11}	house.SendMessage1107	0			1				
1108	1108	1	3000	{11}	house.SendMessage1108	0			1				
1109	1109	1	3000	{11}	house.SendMessage1109	0			1				
1110	1110	1	3000	{11}	house.SendMessage1110	0			1				
1113	1113	2	0	{11}	house.SendMessage1113	1	1	4000	2				
1120	1120	2	0	{11}	house.SendMessage1120	1	1	4000	2				
													
1701	1701	1	9000	{17}	house.SendMessage1701	1			1				
1702	1702	1	9000	{17}	house.SendMessage1702	1			1				
1703	1703	1	6000	{17}	house.SendMessage1703	1			1				
1704	1704	1	9000	{17}	house.SendMessage1704	1			1				
1705	1705	1	6000	{17}	house.SendMessage1705	1			1				
1706	1706	1	6000	{17}	house.SendMessage1706	0			1				
1707	1707	1	6000	{17}	house.SendMessage1707	0			1				
1708	1708	1	3000	{17}	house.SendMessage1708	0			1				
1709	1709	1	3000	{17}	house.SendMessage1709	0			1				
1710	1710	1	3000	{17}	house.SendMessage1710	0			1				
1714	1714	2	0	{17}	house.SendMessage1714	1	1	4000	2				
1720	1720	2	0	{17}	house.SendMessage1720	1	1	4000	2				
1721	1721	2	0	{17}	house.SendMessage1721	0	0	4000	2				1
													
1501	1501	1	9000	{15}	house.SendMessage1501	1			1				
1502	1502	1	9000	{15}	house.SendMessage1502	1			1				
1503	1503	1	6000	{15}	house.SendMessage1503	1			1				
1504	1504	1	9000	{15}	house.SendMessage1504	1			1				
1505	1505	1	6000	{15}	house.SendMessage1505	1			1				
1506	1506	1	3000	{15}	house.SendMessage1506	0			1				
1507	1507	1	6000	{15}	house.SendMessage1507	0			1				
1508	1508	1	3000	{15}	house.SendMessage1508	0			1				
1509	1509	1	3000	{15}	house.SendMessage1509	0			1				
1510	1510	1	6000	{15}	house.SendMessage1510	0			1				
1513	1513	2	0	{15}	house.SendMessage1513	1	1	4000	2				
1520	1520	2	0	{15}	house.SendMessage1520	1	1	4000	2				
1521	1521	2	0	{15}	house.SendMessage1521	0	0	4000	2				1
													
1601	1601	1	9000	{16}	house.SendMessage1601	1			1				
1602	1602	1	6000	{16}	house.SendMessage1602	1			1				
1603	1603	1	9000	{16}	house.SendMessage1603	1			1				
1604	1604	1	6000	{16}	house.SendMessage1604	1			1				
1605	1605	1	9000	{16}	house.SendMessage1605	1			1				
1606	1606	1	3000	{16}	house.SendMessage1606	0			1				
1607	1607	1	6000	{16}	house.SendMessage1607	0			1				
1608	1608	1	6000	{16}	house.SendMessage1608	0			1				
1609	1609	1	3000	{16}	house.SendMessage1609	0			1				
1610	1610	1	3000	{16}	house.SendMessage1610	0			1				
1611	1611	2	0	{16}	house.SendMessage1611	1	1	4000	2				
													
301	301	1	9000	{3}	house.SendMessage301	1			1				
302	302	1	9000	{3}	house.SendMessage302	1			1				
303	303	1	6000	{3}	house.SendMessage303	1			1				
304	304	1	9000	{3}	house.SendMessage304	1			1				
305	305	1	6000	{3}	house.SendMessage305	1			1				
306	306	1	6000	{3}	house.SendMessage306	0			1				
307	307	1	6000	{3}	house.SendMessage307	0			1				
308	308	1	3000	{3}	house.SendMessage308	0			1				
309	309	1	3000	{3}	house.SendMessage309	0			1				
310	310	1	3000	{3}	house.SendMessage310	0			1				
313	313	2	0	{3}	house.SendMessage313	1	1	4000	2				
314	314	2	3000	{3}	house.SendMessage314	0			2			1	
316	316	2	3000	{3}	house.SendMessage316	0			2			1	
													
1801	1801	1	9000	{18}	house.SendMessage1801	1			1				
1802	1802	1	6000	{18}	house.SendMessage1802	1			1				
1803	1803	1	9000	{18}	house.SendMessage1803	1			1				
1804	1804	1	6000	{18}	house.SendMessage1804	1			1				
1805	1805	1	9000	{18}	house.SendMessage1805	1			1				
1806	1806	1	6000	{18}	house.SendMessage1806	0			1				
1807	1807	1	6000	{18}	house.SendMessage1807	0			1				
1808	1808	1	3000	{18}	house.SendMessage1808	0			1				
1809	1809	1	3000	{18}	house.SendMessage1809	0			1				
1810	1810	1	3000	{18}	house.SendMessage1810	0			1				
1811	1811	2	0	{18}	house.SendMessage1811	1	1	4000	2				
													
2001	2001	1	6000	{20}	house.SendMessage2001	1			1				
2002	2002	1	9000	{20}	house.SendMessage2002	1			1				
2003	2003	1	9000	{20}	house.SendMessage2003	1			1				
2004	2004	1	6000	{20}	house.SendMessage2004	1			1				
2005	2005	1	9000	{20}	house.SendMessage2005	1			1				
2006	2006	1	6000	{20}	house.SendMessage2006	0			1				
2007	2007	1	3000	{20}	house.SendMessage2007	0			1				
2008	2008	1	6000	{20}	house.SendMessage2008	0			1				
2009	2009	1	3000	{20}	house.SendMessage2009	0			1				
2010	2010	1	3000	{20}	house.SendMessage2010	0			1				
2011	2011	2	0	{20}	house.SendMessage2011	1	1	4000	2				
													
2101	2101	1	6000	{21}	house.SendMessage2101	1			1				
2102	2102	1	9000	{21}	house.SendMessage2102	1			1				
2103	2103	1	6000	{21}	house.SendMessage2103	1			1				
2104	2104	1	9000	{21}	house.SendMessage2104	1			1				
2105	2105	1	9000	{21}	house.SendMessage2105	1			1				
2106	2106	1	3000	{21}	house.SendMessage2106	0			1				
2107	2107	1	6000	{21}	house.SendMessage2107	0			1				
2108	2108	1	6000	{21}	house.SendMessage2108	0			1				
2109	2109	1	3000	{21}	house.SendMessage2109	0			1				
2110	2110	1	3000	{21}	house.SendMessage2110	0			1				
2111	2111	2	0	{21}	house.SendMessage2111	1	1	4000	2				
													
2201	2201	1	9000	{22}	house.SendMessage2201	1			1				
2202	2202	1	9000	{22}	house.SendMessage2202	1			1				
2203	2203	1	9000	{22}	house.SendMessage2203	1			1				
2204	2204	1	6000	{22}	house.SendMessage2204	1			1				
2205	2205	1	6000	{22}	house.SendMessage2205	1			1				
2206	2206	1	6000	{22}	house.SendMessage2206	0			1				
2207	2207	1	3000	{22}	house.SendMessage2207	0			1				
2208	2208	1	3000	{22}	house.SendMessage2208	0			1				
2209	2209	1	3000	{22}	house.SendMessage2209	0			1				
2210	2210	1	6000	{22}	house.SendMessage2210	0			1				
2211	2211	2	0	{22}	house.SendMessage2211	1	1	4000	2				
													
2301	2301	1	9000	{23}	house.SendMessage2301	1			1				
2302	2302	1	6000	{23}	house.SendMessage2302	1			1				
2303	2303	1	9000	{23}	house.SendMessage2303	1			1				
2304	2304	1	6000	{23}	house.SendMessage2304	1			1				
2305	2305	1	9000	{23}	house.SendMessage2305	1			1				
2306	2306	1	3000	{23}	house.SendMessage2306	0			1				
2307	2307	1	3000	{23}	house.SendMessage2307	0			1				
2308	2308	1	6000	{23}	house.SendMessage2308	0			1				
2309	2309	1	6000	{23}	house.SendMessage2309	0			1				
2310	2310	1	3000	{23}	house.SendMessage2310	0			1				
2311	2311	2	0	{23}	house.SendMessage2311	1	1	4000	2				
													
2401	2401	1	6000	{24}	house.SendMessage2401	1			1				
2402	2402	1	9000	{24}	house.SendMessage2402	1			1				
2403	2403	1	9000	{24}	house.SendMessage2403	1			1				
2404	2404	1	6000	{24}	house.SendMessage2404	1			1				
2405	2405	1	9000	{24}	house.SendMessage2405	1			1				
2406	2406	2	0	{24}	house.SendMessage2406	1	1	4000	2				
2407	2407	1	3000	{24}	house.SendMessage2407	0			1				
2408	2408	1	6000	{24}	house.SendMessage2408	0			1				
2409	2409	1	3000	{24}	house.SendMessage2409	0			1				
2410	2410	1	3000	{24}	house.SendMessage2410	0			1				
2411	2411	1	6000	{24}	house.SendMessage2411	0			1				
													
1	1			{0}	house.SendMessage001				5	110007503			
2	2			{0}	house.SendMessage002				6	110007703			
3	3			{0}	house.SendMessage003				7	110007903			
4	4			{0}	house.SendMessage004				8	110008303			
5	5			{0}	house.SendMessage005				9	110008403			
7	7			{0}	house.SendMessage007				11	110310602			
8	8			{0}	house.SendMessage008				12	110310732			
9	9			{0}	house.SendMessage009				13	110310802			
10	10			{0}	house.SendMessage010				14	110310792			
14	14			{0}	house.SendMessage014				15	110310852			
15	15			{0}	house.SendMessage015				16	110310972			
16	16			{0}	house.SendMessage016				17	110311002			
17	17			{0}	house.SendMessage017				18	110311032			
20	20			{0}	house.SendMessage020				21	110311202			
21	21			{0}	house.SendMessage021				10	110008503			
25	25			{0}	house.SendMessage025				25	110311232			
26	26			{0}	house.SendMessage026				26	110311382			
27	27			{0}	house.SendMessage027				27	110311522			
28	28			{0}	house.SendMessage028				28	110311532			
29	29			{0}	house.SendMessage029				29	110311552			
30	30			{0}	house.SendMessage030				30	110311672			
31	31			{0}	house.SendMessage031				31	110311782			
32	32			{0}	house.SendMessage032				32	110311792			
33	33			{0}	house.SendMessage033				33	110311912			
34	34			{0}	house.SendMessage034				34	110311922		1	
35	35			{0}	house.SendMessage035				35	110312042			
37	37			{}	house.SendMessage037				37				1
38	38			{60}	house.SendMessage038				38	110312152		1	
39	39			{51}	house.SendMessage039				39	110312162		1	
40	40			{}	house.SendMessage040				40				
41	41			{0}	house.SendMessage041				41	110312202			
42	42			{0}	house.SendMessage042				42	110312302			
43	43			{}	house.SendMessage043				43	110312402			
44	44			{}	house.SendMessage044				44	110312502			
													
5101	5101			{51}	dormgift.gift5101_des	1			5100	110310812	{1}		
5102	5102			{51}	dormgift.gift5102_des	1			5100	110310822	{5}		
5103	5103			{51}	dormgift.gift5103_des	1			5100	110310842	{17}		
5104	5104			{51}	dormgift.gift5104_des	1			5100	110310832	{6,11}		
5105	5105			{51}	house.SendMessage5105	1			5105	110311072			
5106	5106			{51}	house.SendMessage5106				5106	110311063		1	
5107	5107			{51}	house.SendMessage5107				5106	110311052		1	
5108	5108			{51}	dormgift.gift5108_des				5108	110311082			1
5109	5109			{51}	house.SendMessage5109				5109	110311402		1	
5110	5110			{51}	house.SendMessage5110				5110	110311392		1	
5111	5111			{51}	house.SendMessage5111				5111	110311642		1	
5112	5112			{51}	house.SendMessage5112				5112	110311662		1	
5113	5113			{51}	house.SendMessage5113				5113	110311652		1	
5114	5114			{51}	house.SendMessage5114				5114	110311702		1	
5115	5115			{51}	house.SendMessage5115				5115	110311712		1	
													
6001	6001			{60}	dormgift.gift6001_des	1			6000	110311092	{3}		
6002	6002			{60}	dormgift.gift6002_des	1			6000	110311102	{12,18}		
6003	6003			{60}	dormgift.gift6003_des	1			6000	110311112	{4,15}		
6004	6004			{60}	dormgift.gift6004_des	1			6000	110311122	{7}		
6005	6005			{60}	dormgift.gift6005_des	1			6000	110311132	{2,8,10,14}		
6006	6006			{60}	dormgift.gift6006_des	1			6000	110311142			
6007	6007			{60}	dormgift.gift6007_des	1			6000	110311152			
													
7021	7021			{70}	dormgift.gift7021_des	1			7000	110311582	{1,13}		
7022	7022			{70}	dormgift.gift7022_des	1			7000	110311592	{15,17}		
7023	7023			{70}	dormgift.gift7023_des	1			7000	110311602	{16,20}		
7024	7024			{70}	dormgift.gift7024_des	1			7000	110311612	{7,18,21}		
7025	7025			{70}	dormgift.gift7025_des	1			7000	110311622			
7026	7026			{70}	dormgift.gift7026_des	1			7000	110311632			
													
8001	8001			{80}	dormgift.gift8001_des	1			8000	110311722	{1,13}		
8002	8002			{80}	dormgift.gift8002_des	1			8000	110311732	{18}		
8003	8003			{80}	dormgift.gift8003_des	1			8000	110311742	{8}		
8004	8004			{80}	dormgift.gift8004_des	1			8000	110311752	{21}		
8005	8005			{80}	dormgift.gift8005_des	1			8000	110311762			
8006	8006			{80}	dormgift.gift8006_des	1			8000	110311772			
													
9001	9001			{90}	dormgift.gift9001_des	1			9000	110312062	{23}		
9002	9002			{90}	dormgift.gift9002_des	1			9000	110312072	{1,5}		
9003	9003			{90}	dormgift.gift9003_des	1			9000	110312082	{13}		
9004	9004			{90}	dormgift.gift9004_des	1			9000	110312092	{10}		
9005	9005			{90}	dormgift.gift9005_des	1			9000	110312102			
9006	9006			{90}	dormgift.gift9006_des	1			9000	110312112			
