Girl	Index	等级	故事Id	剧情名字	奖励列表
14	3	30	701403	house.girl14_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,12,1,1}}
14	4	40	701404	house.girl14_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
14	5	50	701405	house.girl14_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
6	1	10	700601	house.girl06_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
6	2	20	700602	house.girl06_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
6	3	30	700603	house.girl06_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,13,1,1}}
6	4	40	700604	house.girl06_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
6	5	50	700605	house.girl06_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
10	1	10	701001	house.girl10_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
10	2	20	701002	house.girl10_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
10	3	30	701003	house.girl10_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,9,1,1}}
10	4	40	701004	house.girl10_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
10	5	50	701005	house.girl10_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
5	1	10	700501	house.girl05_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
5	2	20	700502	house.girl05_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
5	3	30	700503	house.girl05_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,14,1,1}}
5	4	40	700504	house.girl05_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
5	5	50	700505	house.girl05_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
12	1	10	701201	house.girl12_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
12	2	20	701202	house.girl12_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
12	3	30	701203	house.girl12_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,15,1,1}}
12	4	40	701204	house.girl12_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
12	5	50	701205	house.girl12_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
17	1	10	701701	house.girl17_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
17	2	20	701702	house.girl17_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
17	3	30	701703	house.girl17_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,27,1,1}}
17	4	40	701704	house.girl17_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
17	5	50	701705	house.girl17_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
11	1	10	701101	house.girl11_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
11	2	20	701102	house.girl11_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
11	3	30	701103	house.girl11_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,16,1,1}}
11	4	40	701104	house.girl11_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
11	5	50	701105	house.girl11_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
15	1	10	701501	house.girl15_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
15	2	20	701502	house.girl15_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
15	3	30	701503	house.girl15_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,29,1,1}}
15	4	40	701504	house.girl15_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
15	5	50	701505	house.girl15_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
16	1	10	701601	house.girl16_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
16	2	20	701602	house.girl16_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
16	3	30	701603	house.girl16_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,34,1,1}}
16	4	40	701604	house.girl16_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
16	5	50	701605	house.girl16_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
3	1	10	700301	house.girl03_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
3	2	20	700302	house.girl03_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
3	3	30	700303	house.girl03_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,17,1,1}}
3	4	40	700304	house.girl03_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
3	5	50	700305	house.girl03_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
18	1	10	701801	house.girl18_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
18	2	20	701802	house.girl18_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
18	3	30	701803	house.girl18_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,47,1,1}}
18	4	40	701804	house.girl18_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
18	5	50	701805	house.girl18_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
20	1	10	702001	house.girl20_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
20	2	20	702002	house.girl20_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
20	3	30	702003	house.girl20_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,60,1,1}}
20	4	40	702004	house.girl20_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
20	5	50	702005	house.girl20_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
21	1	10	702101	house.girl21_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
21	2	20	702102	house.girl21_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
21	3	30	702103	house.girl21_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,79,1,1}}
21	4	40	702104	house.girl21_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
21	5	50	702105	house.girl21_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
22	1	10	702201	house.girl22_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
22	2	20	702202	house.girl22_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
22	3	30	702203	house.girl22_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,100,1,1}}
22	4	40	702204	house.girl22_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
22	5	50	702205	house.girl22_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
23	1	10	702301	house.girl23_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
23	2	20	702302	house.girl23_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
23	3	30	702303	house.girl23_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,104,1,1}}
23	4	40	702304	house.girl23_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
23	5	50	702305	house.girl23_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
