ID	模板ID（0代表人类通用）	模板备注	等级	基础生命值	基础攻击力	基础防御力	基础暴击率	基础暴击伤害	射击最大扩散倍率	射击增加扩散倍率	停止射击扩散恢复倍率	升级所需经验
109	1006	母体9级	9	5940	200	0	5	50	0	0	0	500
110	1006	母体10级	10	6050	200	0	5	50	0	0	0	500
111	1006	母体11级	11	6160	200	0	5	50	0	0	0	500
112	1006	母体12级	12	6270	200	0	5	50	0	0	0	500
113	1006	母体13级	13	6380	200	0	5	50	0	0	0	500
114	1006	母体14级	14	6490	200	0	5	50	0	0	0	500
115	1006	母体15级	15	6600	200	0	5	50	0	0	0	-1
151	1002	隐身漏洞1级	1	1188	100	0	5	50	0	0	0	250
152	1002	隐身漏洞2级	2	1386	100	0	5	50	0	0	0	300
153	1002	隐身漏洞3级	3	1584	100	0	5	50	0	0	0	350
154	1002	隐身漏洞4级	4	1782	100	0	5	50	0	0	0	400
155	1002	隐身漏洞5级	5	1980	100	0	5	50	0	0	0	450
156	1002	隐身漏洞6级	6	2178	100	0	5	50	0	0	0	500
157	1002	隐身漏洞7级	7	2376	100	0	5	50	0	0	0	500
158	1002	隐身漏洞8级	8	2574	100	0	5	50	0	0	0	500
159	1002	隐身漏洞9级	9	2772	100	0	5	50	0	0	0	500
160	1002	隐身漏洞10级	10	2970	100	0	5	50	0	0	0	500
161	1002	隐身漏洞11级	11	3168	100	0	5	50	0	0	0	500
162	1002	隐身漏洞12级	12	3366	100	0	5	50	0	0	0	500
163	1002	隐身漏洞13级	13	3564	100	0	5	50	0	0	0	500
164	1002	隐身漏洞14级	14	3762	100	0	5	50	0	0	0	500
165	1002	隐身漏洞15级	15	3960	100	0	5	50	0	0	0	-1
201	1003	肉盾漏洞1级	1	2640	100	0	5	50	0	0	0	250
202	1003	肉盾漏洞2级	2	3080	100	0	5	50	0	0	0	300
203	1003	肉盾漏洞3级	3	3520	100	0	5	50	0	0	0	350
204	1003	肉盾漏洞4级	4	3960	100	0	5	50	0	0	0	400
205	1003	肉盾漏洞5级	5	4400	100	0	5	50	0	0	0	450
206	1003	肉盾漏洞6级	6	4840	100	0	5	50	0	0	0	500
207	1003	肉盾漏洞7级	7	5280	100	0	5	50	0	0	0	500
208	1003	肉盾漏洞8级	8	5720	100	0	5	50	0	0	0	500
209	1003	肉盾漏洞9级	9	6160	100	0	5	50	0	0	0	500
210	1003	肉盾漏洞10级	10	6600	100	0	5	50	0	0	0	500
211	1003	肉盾漏洞11级	11	7040	100	0	5	50	0	0	0	500
212	1003	肉盾漏洞12级	12	7480	100	0	5	50	0	0	0	500
213	1003	肉盾漏洞13级	13	7920	100	0	5	50	0	0	0	500
214	1003	肉盾漏洞14级	14	8360	100	0	5	50	0	0	0	500
215	1003	肉盾漏洞15级	15	8800	100	0	5	50	0	0	0	-1
251	1004	狂暴漏洞1级	1	1980	100	0	5	50	0	0	0	250
252	1004	狂暴漏洞2级	2	2310	100	0	5	50	0	0	0	300
253	1004	狂暴漏洞3级	3	2640	100	0	5	50	0	0	0	350
254	1004	狂暴漏洞4级	4	2970	100	0	5	50	0	0	0	400
255	1004	狂暴漏洞5级	5	3300	100	0	5	50	0	0	0	450
256	1004	狂暴漏洞6级	6	3630	100	0	5	50	0	0	0	500
257	1004	狂暴漏洞7级	7	3960	100	0	5	50	0	0	0	500
258	1004	狂暴漏洞8级	8	4290	100	0	5	50	0	0	0	500
259	1004	狂暴漏洞9级	9	4620	100	0	5	50	0	0	0	500
260	1004	狂暴漏洞10级	10	4950	100	0	5	50	0	0	0	500
261	1004	狂暴漏洞11级	11	5280	100	0	5	50	0	0	0	500
262	1004	狂暴漏洞12级	12	5610	100	0	5	50	0	0	0	500
263	1004	狂暴漏洞13级	13	5940	100	0	5	50	0	0	0	500
264	1004	狂暴漏洞14级	14	6270	100	0	5	50	0	0	0	500
265	1004	狂暴漏洞15级	15	6600	100	0	5	50	0	0	0	-1
301	1005	治疗漏洞1级	1	1980	100	0	5	50	0	0	0	250
302	1005	治疗漏洞2级	2	2310	100	0	5	50	0	0	0	300
303	1005	治疗漏洞3级	3	2640	100	0	5	50	0	0	0	350
304	1005	治疗漏洞4级	4	2970	100	0	5	50	0	0	0	400
305	1005	治疗漏洞5级	5	3300	100	0	5	50	0	0	0	450
306	1005	治疗漏洞6级	6	3630	100	0	5	50	0	0	0	500
307	1005	治疗漏洞7级	7	3960	100	0	5	50	0	0	0	500
308	1005	治疗漏洞8级	8	4290	100	0	5	50	0	0	0	500
309	1005	治疗漏洞9级	9	4620	100	0	5	50	0	0	0	500
310	1005	治疗漏洞10级	10	4950	100	0	5	50	0	0	0	500
311	1005	治疗漏洞11级	11	5280	100	0	5	50	0	0	0	500
312	1005	治疗漏洞12级	12	5610	100	0	5	50	0	0	0	500
313	1005	治疗漏洞13级	13	5940	100	0	5	50	0	0	0	500
314	1005	治疗漏洞14级	14	6270	100	0	5	50	0	0	0	500
315	1005	治疗漏洞15级	15	6600	100	0	5	50	0	0	0	-1
351	1007	伪装母体1级	1	3960	200	0	5	50	0	0	0	250
352	1007	伪装母体2级	2	4510	200	0	5	50	0	0	0	300
353	1007	伪装母体3级	3	4950	200	0	5	50	0	0	0	350
354	1007	伪装母体4级	4	5280	200	0	5	50	0	0	0	400
355	1007	伪装母体5级	5	5500	200	0	5	50	0	0	0	450
356	1007	伪装母体6级	6	5610	200	0	5	50	0	0	0	500
357	1007	伪装母体7级	7	5720	200	0	5	50	0	0	0	500
358	1007	伪装母体8级	8	5830	200	0	5	50	0	0	0	500
359	1007	伪装母体9级	9	5940	200	0	5	50	0	0	0	500
360	1007	伪装母体10级	10	6050	200	0	5	50	0	0	0	500
361	1007	伪装母体11级	11	6160	200	0	5	50	0	0	0	500
362	1007	伪装母体12级	12	6270	200	0	5	50	0	0	0	500
363	1007	伪装母体13级	13	6380	200	0	5	50	0	0	0	500
364	1007	伪装母体14级	14	6490	200	0	5	50	0	0	0	500
365	1007	伪装母体15级	15	6600	200	0	5	50	0	0	0	-1
401	1008	自爆漏洞1级	1	1980	100	0	5	50	0	0	0	250
402	1008	自爆漏洞2级	2	2310	100	0	5	50	0	0	0	300
403	1008	自爆漏洞3级	3	2640	100	0	5	50	0	0	0	350
404	1008	自爆漏洞4级	4	2970	100	0	5	50	0	0	0	400
405	1008	自爆漏洞5级	5	3300	100	0	5	50	0	0	0	450
406	1008	自爆漏洞6级	6	3630	100	0	5	50	0	0	0	500
407	1008	自爆漏洞7级	7	3960	100	0	5	50	0	0	0	500
408	1008	自爆漏洞8级	8	4290	100	0	5	50	0	0	0	500
409	1008	自爆漏洞9级	9	4620	100	0	5	50	0	0	0	500
410	1008	自爆漏洞10级	10	4950	100	0	5	50	0	0	0	500
411	1008	自爆漏洞11级	11	5280	100	0	5	50	0	0	0	500
412	1008	自爆漏洞12级	12	5610	100	0	5	50	0	0	0	500
413	1008	自爆漏洞13级	13	5940	100	0	5	50	0	0	0	500
414	1008	自爆漏洞14级	14	6270	100	0	5	50	0	0	0	500
415	1008	自爆漏洞15级	15	6600	100	0	5	50	0	0	0	-1
2000	2001	挑战模式普通漏洞1级	1	520	100	0	0	50	0	0	0	-1
2001	2001	挑战模式普通漏洞2级	2	650	113	0	0	50	0	0	0	-1
2002	2001	挑战模式普通漏洞3级	3	780	126	0	0	50	0	0	0	-1
2003	2001	挑战模式普通漏洞4级	4	910	139	0	0	50	0	0	0	-1
2004	2001	挑战模式普通漏洞5级	5	1040	152	0	0	50	0	0	0	-1
2005	2001	挑战模式普通漏洞6级	6	1170	165	0	0	50	0	0	0	-1
2006	2001	挑战模式普通漏洞7级	7	1300	178	0	0	50	0	0	0	-1
2007	2001	挑战模式普通漏洞8级	8	1430	191	0	0	50	0	0	0	-1
2008	2001	挑战模式普通漏洞9级	9	1560	204	0	0	50	0	0	0	-1
2009	2001	挑战模式普通漏洞10级	10	1690	217	0	0	50	0	0	0	-1
2020	2002	挑战模式自爆漏洞1级	1	520	100	0	0	50	0	0	0	-1
2021	2002	挑战模式自爆漏洞2级	2	650	113	0	0	50	0	0	0	-1
2022	2002	挑战模式自爆漏洞3级	3	780	126	0	0	50	0	0	0	-1
2023	2002	挑战模式自爆漏洞4级	4	910	139	0	0	50	0	0	0	-1
2024	2002	挑战模式自爆漏洞5级	5	1040	152	0	0	50	0	0	0	-1
2025	2002	挑战模式自爆漏洞6级	6	1170	165	0	0	50	0	0	0	-1
2026	2002	挑战模式自爆漏洞7级	7	1300	178	0	0	50	0	0	0	-1
2027	2002	挑战模式自爆漏洞8级	8	1430	191	0	0	50	0	0	0	-1
2028	2002	挑战模式自爆漏洞9级	9	1560	204	0	0	50	0	0	0	-1
2029	2002	挑战模式自爆漏洞10级	10	1690	217	0	0	50	0	0	0	-1
2040	2003	挑战模式疾速漏洞1级	1	416	100	0	0	50	0	0	0	-1
2041	2003	挑战模式疾速漏洞2级	2	520	113	0	0	50	0	0	0	-1
2042	2003	挑战模式疾速漏洞3级	3	624	126	0	0	50	0	0	0	-1
2043	2003	挑战模式疾速漏洞4级	4	728	139	0	0	50	0	0	0	-1
2044	2003	挑战模式疾速漏洞5级	5	832	152	0	0	50	0	0	0	-1
2045	2003	挑战模式疾速漏洞6级	6	936	165	0	0	50	0	0	0	-1
2046	2003	挑战模式疾速漏洞7级	7	1040	178	0	0	50	0	0	0	-1
2047	2003	挑战模式疾速漏洞8级	8	1144	191	0	0	50	0	0	0	-1
2048	2003	挑战模式疾速漏洞9级	9	1248	204	0	0	50	0	0	0	-1
2049	2003	挑战模式疾速漏洞10级	10	1352	217	0	0	50	0	0	0	-1
2060	2004	挑战模式烟雾漏洞1级	1	520	100	0	0	50	0	0	0	-1
2061	2004	挑战模式烟雾漏洞2级	2	650	113	0	0	50	0	0	0	-1
2062	2004	挑战模式烟雾漏洞3级	3	780	126	0	0	50	0	0	0	-1
2063	2004	挑战模式烟雾漏洞4级	4	910	139	0	0	50	0	0	0	-1
2064	2004	挑战模式烟雾漏洞5级	5	1040	152	0	0	50	0	0	0	-1
2065	2004	挑战模式烟雾漏洞6级	6	1170	165	0	0	50	0	0	0	-1
2066	2004	挑战模式烟雾漏洞7级	7	1300	178	0	0	50	0	0	0	-1
2067	2004	挑战模式烟雾漏洞8级	8	1430	191	0	0	50	0	0	0	-1
2068	2004	挑战模式烟雾漏洞9级	9	1560	204	0	0	50	0	0	0	-1
2069	2004	挑战模式烟雾漏洞10级	10	1690	217	0	0	50	0	0	0	-1
2080	2005	挑战模式精英漏洞1级	1	1040	100	0	0	50	0	0	0	-1
2081	2005	挑战模式精英漏洞2级	2	1300	113	0	0	50	0	0	0	-1
2082	2005	挑战模式精英漏洞3级	3	1560	126	0	0	50	0	0	0	-1
2083	2005	挑战模式精英漏洞4级	4	1820	139	0	0	50	0	0	0	-1
2084	2005	挑战模式精英漏洞5级	5	2080	152	0	0	50	0	0	0	-1
2085	2005	挑战模式精英漏洞6级	6	2340	165	0	0	50	0	0	0	-1
2086	2005	挑战模式精英漏洞7级	7	2600	178	0	0	50	0	0	0	-1
2087	2005	挑战模式精英漏洞8级	8	2860	191	0	0	50	0	0	0	-1
2088	2005	挑战模式精英漏洞9级	9	3120	204	0	0	50	0	0	0	-1
2089	2005	挑战模式精英漏洞10级	10	3380	217	0	0	50	0	0	0	-1
2100	2006	挑战模式boss漏洞1级	1	15600	100	0	5	50	0	0	0	-1
2101	2006	挑战模式boss漏洞1级	2	19500	113	0	5	50	0	0	0	-1
2102	2006	挑战模式boss漏洞1级	3	23400	126	0	5	50	0	0	0	-1
2103	2006	挑战模式boss漏洞1级	4	27300	139	0	5	50	0	0	0	-1
2104	2006	挑战模式boss漏洞1级	5	31200	152	0	5	50	0	0	0	-1
2105	2006	挑战模式boss漏洞1级	6	35100	165	0	5	50	0	0	0	-1
2106	2006	挑战模式boss漏洞1级	7	39000	178	0	5	50	0	0	0	-1
2107	2006	挑战模式boss漏洞1级	8	42900	191	0	5	50	0	0	0	-1
2108	2006	挑战模式boss漏洞1级	9	46800	204	0	5	50	0	0	0	-1
2109	2006	挑战模式boss漏洞1级	10	50700	217	0	5	50	0	0	0	-1
2110	2007	挑战模式毒气漏洞1级	1	390	100	0	5	50	0	0	0	-1
2111	2007	挑战模式毒气漏洞2级	2	488	113	0	5	50	0	0	0	-1
2112	2007	挑战模式毒气漏洞3级	3	585	126	0	5	50	0	0	0	-1
2113	2007	挑战模式毒气漏洞4级	4	683	139	0	5	50	0	0	0	-1
2114	2007	挑战模式毒气漏洞5级	5	780	152	0	5	50	0	0	0	-1
2115	2007	挑战模式毒气漏洞6级	6	878	165	0	5	50	0	0	0	-1
2116	2007	挑战模式毒气漏洞7级	7	975	178	0	5	50	0	0	0	-1
2117	2007	挑战模式毒气漏洞8级	8	1073	191	0	5	50	0	0	0	-1
2118	2007	挑战模式毒气漏洞9级	9	1170	204	0	5	50	0	0	0	-1
2119	2007	挑战模式毒气漏洞10级	10	1268	217	0	5	50	0	0	0	-1
2120	2008	挑战模式boss漏洞1级	1	15600	100	0	5	50	0	0	0	-1
2121	2008	挑战模式boss漏洞1级	2	19500	113	0	5	50	0	0	0	-1
2122	2008	挑战模式boss漏洞1级	3	23400	126	0	5	50	0	0	0	-1
2123	2008	挑战模式boss漏洞1级	4	27300	139	0	5	50	0	0	0	-1
2124	2008	挑战模式boss漏洞1级	5	31200	152	0	5	50	0	0	0	-1
2125	2008	挑战模式boss漏洞1级	6	35100	165	0	5	50	0	0	0	-1
2126	2008	挑战模式boss漏洞1级	7	39000	178	0	5	50	0	0	0	-1
2127	2008	挑战模式boss漏洞1级	8	42900	191	0	5	50	0	0	0	-1
2128	2008	挑战模式boss漏洞1级	9	46800	204	0	5	50	0	0	0	-1
2129	2008	挑战模式boss漏洞1级	10	50700	217	0	5	50	0	0	0	-1
10001	10001	3.7挑战模式防御塔	1	2000	0	0	0	0	0	0	0	500
10002	10001	3.7挑战模式防御塔	2	3000	0	0	0	0	0	0	0	500
10003	10001	3.7挑战模式防御塔	3	4000	0	0	0	0	0	0	0	-1
