特效ID	特效备注	特效路径	是否合批	是否全员可见（ID60之后的生效,0否1是）	Attach的骨骼点(如果Attach特效才填)
46		/Game/Effects/Environments/DLC32/Zbug/e_nSpeedUp_01_p.e_nSpeedUp_01_p	0		
47		/Game/Effects/Environments/DLC32/Zbug/e_FightUpQ_01_p.e_FightUpQ_01_p	0		
48		/Game/Effects/Environments/DLC32/Zbug/e_FightUpQ_02_p.e_FightUpQ_02_p	0		
49		/Game/Effects/Environments/DLC32/Zbug/e_FightUpQ_03_p.e_FightUpQ_03_p	0		
50		/Game/Effects/Environments/DLC32/Zbug/e_ZSheildUp_p.e_ZSheildUp_p	0		Bip001-Head
51		/Game/Effects/Environments/DLC32/Zbug/e_HulkQ_p.e_HulkQ_p	0		
52		/Game/Effects/Environments/DLC32/Zbug/e_ViolentDash_p.e_ViolentDash_p	0		
53		/Game/Effects/Environments/DLC32/Zbug/e_Crowbar_Hit_01_p.e_Crowbar_Hit_01_p	0		
54		/Game/Effects/Environments/DLC32/Zbug/e_Crowbar_Hit_02_p.e_Crowbar_Hit_02_p	0		
55		/Game/Effects/Environments/DLC32/Zbug/e_CureQ_p.e_CureQ_p	0		
56		/Game/Effects/Environments/DLC32/Zbug/e_Smoke_p.e_Smoke_p	0		
57		/Game/Effects/Environments/DLC32/Zbug/e_ZSheildUp_hit_p.e_ZSheildUp_hit_p	0		
58		/Game/Effects/Environments/DLC32/Zbug/e_Crowbar_Wave_02_p.e_Crowbar_Wave_02_p	0		root_01
59		/Game/Effects/Environments/DLC32/Zbug/e_Crowbar_Wave_01_p.e_Crowbar_Wave_01_p	0		root_01
60	挑战模式boss漏洞死亡	/Game/Effects/Environments/DLC35/Zbug/e_zbug_pve_bigdead_p.e_zbug_pve_bigdead_p	0	1	
61	漏洞模式母体冲击波命中	/Game/Effects/Environments/DLC35/Zbug/e_zbug_pve_hamuwavecollision_p.e_zbug_pve_hamuwavecollision_p	0	1	
62	漏洞模式无敌道具	/Game/Effects/Environments/DLC35/Zbug/e_zbug_pve_unbeat_p.e_zbug_pve_unbeat_p	0	1	
63	挑战模式光环buff	/Game/Effects/Environments/DLC35/Zbug/e_zbug_pve_wave_p.e_zbug_pve_wave_p'	0	1	
64	挑战模式冻结弹爆炸	/Game/Effects/Environments/DLC35/Zbug/e_zbug_prop_broken001_ice01_p.e_zbug_prop_broken001_ice01_p	0	1	
65	挑战模式燃烧子弹命中	/Game/Effects/Environments/DLC35/Zbug/e_zbug_pve_burnhit02_p.e_zbug_pve_burnhit02_p	0	1	
66	挑战模式被冻结	/Game/Effects/Environments/DLC34/farmwar2/e_farmwar_freeze_01_p.e_farmwar_freeze_01_p	1	1	
67	挑战模式被点燃	/Game/Effects/General/common/buff/e_buff_burning_p.e_buff_burning_p	0	1	Bone_bip
68	挑战模式boss炸弹爆炸	/Game/Effects/Environments/DLC35/Zbug/e_zbug_pve_zbugbulletboom_p.e_zbug_pve_zbugbulletboom_p	0	1	
69	挑战模式boss蓄力	/Game/Effects/Environments/DLC35/Zbug/e_zbug_pve_zbugcast_p.e_zbug_pve_zbugcast_p	0	1	
70	挑战模式炸弹预警	/Game/Effects/General/common/warning/e_common_warning_gound_circle_composite_p.e_common_warning_gound_circle_composite_p	1	1	
71	挑战模式闪电链	/Game/Effects/Environments/DLC35/Zbug/e_zbug_pve_lightningchain_p.e_zbug_pve_lightningchain_p	0	1	
72	挑战模式燃烧弹爆炸	/Game/Effects/Environments/DLC35/Zbug/e_zbug_pve_burnhit01_p.e_zbug_pve_burnhit01_p	0	1	
73	挑战模式人类主动技能	/Game/Effects/Environments/DLC35/Zbug/e_Hero_01_p.e_Hero_01_p	1	1	
74	挑战模式自爆僵尸特效	/Game/Effects/Environments/DLC35/Zbug/e_zbug_prop_broken002_a06_p.e_zbug_prop_broken002_a06_p	0	1	
75	挑战模式炸弹爆炸特效	/Game/Effects/Environments/DLC35/Zbug/e_zbug_prop_broken001_steel01_p.e_zbug_prop_broken001_steel01_p	0	1	
76	漏洞模式激光枪开火特效	/Game/Effects/Environments/DLC37/Zbug/e_zbug_lasergun_light_p.e_zbug_lasergun_light_p	0	0	Fire_socket
77	漏洞模式激光枪命中特效	/Game/Effects/Environments/DLC37/Zbug/e_zbug_lasergun_goal_p.e_zbug_lasergun_goal_p	0	1	
78	躲猫猫冰冻	/Game/Effects/Environments/DLC35/LightObject/e_water_freeze_p.e_water_freeze_p	0	1	
79	防御塔buff附着特效	/Game/Effects/Environments/DLC37/Zbug/e_zbug_pve_tower_maxskill_01_p.e_zbug_pve_tower_maxskill_01_p	0	1	
80	漏洞模式伪装母体伪装	/Game/Effects/Environments/DLC37/Zbug/e_zbug_pvp_disguise_p.e_zbug_pvp_disguise_p	0	1	
81	漏洞模式破除伪装	/Game/Effects/Environments/DLC37/Zbug/e_zbug_pvp_disguise_broken_p.e_zbug_pvp_disguise_broken_p	0	1	
82	漏洞模式哈姆爆炸？	/Game/Effects/Environments/DLC37/Zbug/e_zbug_pvp_hamuboom_p.e_zbug_pvp_hamuboom_p	0	1	
83	漏洞模式角色踩水里波纹特效	/Game/Effects/Environments/DLC37/Zbug/e_zbug_aqua_p.e_zbug_aqua_p	0	1	root_01
