ID	国内数据	国外数据
195	若尘	SIN8528
196	为爱所走	Softlife
197	迷失冬至	rosealici
198	望月希夜	Moon
199	HOLT	Seii
200	beyoung	Sephtear
201	欣	you
202	唐韵尘	Tsuzael
203	清风明月	Lyfe'sLove
204	moon	gg
205	老公	MariRin08
206	小威	ZZZ
207	花卷明天见	NeyKrub
208	HerCity	BunshekiSag
209	优雅猫猫队	Kebin_50k
210	托德里克士官	ilLarion
211	千洛	シン
212	黎幻	Sekino
213	豹芙	Akira
214	输麻了	Nimimimi
215	阿清	Qhiba
216	慕情	Hyper
217	芙穗	Azururi
218	飞升者	V!
219	神明看蝼蚁	WEIic
220	水墨丹青	Aztme
221	邱	I406
222	月月	Ilya
223	亲爱的分析员	chan
224	诗涵涵	Modern
225	季春和	Emiya
226	闻熵	Datt.
227	秋山直	Sky
228	一首湿	Dralex
229	皮蛋鱼yuuu	Nah,I'dlose
230	叶子不迷路	RinXY
231	遇见	SovietWomble
232	秋満开	Loss
233	脖子右拧	dr.Febriant
234	awa	Jari
235	淳宝	ばくれつくん
236	夜月丶馨彤	ジーン
237	不愿忘却过往	Safhier
238	灰鸦	AnimGamer
239	红邪之月	swithin
240	未来	HQuinn
241	无敌霹雳暴龙	Carnage
242	无情	StarLinx
243	欧气满满	CrimsonL
244	KissyG	MUEZZA
245	繁星	spapa
246	抡捶	CODE408RTO
247	KASAKI	lvrosien
248	Eiao	heira
249	冥河莫有人	Alexen
250	岸沿	Melvis
251	null666	RyuZU
252	主人	Syeezy
253	柔骨兔冯宝宝	Macao
254	只抽米池	jsjdjd
255	4694946	星月希
256	芽已结不相思	Marinka
257	远行	Arkose
258	怪小郭	Tendo
259	猫头猫	Lelouch
260	田承桓	Sard
261	十六号咯	Noccoyn
262	叶云裳	最喜歡女孩子
263	空	Noname
264	升金焰	Miku2024
265	咲筱	Moonzwalk
266	疏丞	Febriant
267	null物欲拮抗	PandorinBox
268	离宝	T5600
269	梅川堀子	rotitawar
270	伊莱恩	kyrie
271	星野	Dezarious
272	otto曼	Mere
273	九	SalXTair
274	爱	ローヤル
275	艾尼	UwU
276	宗主	OhMyCat
277	小醋包	Timaeus
278	胖丁丁丁	áaaa
279	aaa星铃	Setsuna
280	変態の孙某君	Nirvana
281	拂晓荷鲁斯	Leshea
282	浔	vYoshi
283	洛丶天丨依	RotiSobek
284	橘猫猫	Asora
285	nico	Doktah
286	林恩威尔	po
287	梦	Sora
288	冷月千寒	สุดหล่
289	Guizhong	トウカ
290	Israin	Arnice
291	比企谷八幡	พลฯหมี
292	唐清玲	Bazookah
293	方子夜柒	Sav
294	樱玖六夜	Baiyue
295	老公	frafnir
296	心斋	HinaSimp
297	灯下雪雪中我	das
298	懒懒小魔王	DjYostar
299	馔	Schultz
300	桃	RuTao
301	荡漾离愁	Chris
302	扑多嘢结衣	Krist4l
303	Yeeicevy	Mosimoss
304	Murphy	Zoowai
305	风筝在雨天搁	MoonMoon
306	就那么回事	Adrian
307	仙人模式	Xreck
308	sa	Laffey
309	离安	無境
310	你好自为之	Kayas
311	阿巴	ArcLight
312	周时雨	XERONINE
313	詹泽彧	Nishikienrai
314	雾想春雨	shinigami.ae
315	积德	applevie
316	相闲居士	hibiki
317	呼鸟切	GolfStarGaze
318	桑乐	StrykyDX
319	分析员	SOVL
320	分析员	St.Ybounden
321	安	Raycist
322	金色天际线	Genans
323	城外蓝桉	Zyrus
324	凡	Mieyuki
325	Extra	Vices
326	家人侠	Rurucy
327	晓山青	CryoBlackZ
328	虫虫特工队	JustWanヅ
329	特蕾西亚	Lexa
330	豫省李少	祐祐
331	美味土豆	Vertin
332	轻音	O'clock
333	arlin780	Aodhan
334	总角听香	DarkTornado
335	Nailoong	Axeus
336	神	Testarossa
337	云畔闲人	SpecialWeek
338	帝筱	Yuesis
339	静心左	Irisciel
340	辰星	Kknd
341	清妍	Shino
342	元元有亿点仙	Ye
343	分析員	iRakan
344	云深不知处	Vick
345	夜子	dontsu
346	郁金香	Nero
347	陈平安	SE05QTM
348	朝汐颜	Ananda
349	爱穿背带裤	Khristian
350	干辣椒	Tofu
351	RoGe	Yelan
352	怜	Hiichan
353	钟函谷	Shiroo.
354	Gustave	xulong
355	荔枝鱼	夜貓
356	小易	Hitammmmmmmm
357	萧牢鼠	GodDoom
358	兰斯我的皮套	Vepley
359	白巧星坠	roosk
360	温水同学	MrBrochi
361	铁拳庸医	ツクヨミ
362	少羽树脂	Nam1291
363	一个女人	Ysze
364	未曾期待	windy
365	林林溢	Linh
366	Yolo	Dr
367	水無月	wizph
368	不会玩的萌新	Nara
369	青栀	Danny
370	林	SeceliaDote
371	驱风油搽滨周	KeisezrG
372	墨轩	D2P
373	无夜	あ
374	枫叶秋林	설수영
375	Yuki	Mario
376	青椰子	Lucis
377	鲤梦浮光	Jaden
378	爱丽丝	Vince
379	菜鸡苏白	Ezkyyy
380	在世一方	Hanzousie
381	六花丶惠	Velgrynd
382	都天纠察	천시류
383	分析员	HAKUNO
384	李某人	mininat
385	Y	Mozzarella
386	天江	setsunana
387	涅朵奇卡	Seiris
388	Silence	Scurra
389	战雷学长	木恋语
390	凯茜娅的狗	l0venectar
391	Cain渡	Grand
392	梦	wsyrld
393	风起	无名氏
394	大白	ss
395	ASH	Pujiwari
396	Devil丶魂	OxYy.
397	无糖可乐caco	tysm
398	十八心碎姨姨	Nubski
399	皇甫天道	Homura
400	分析员	k
401	寞雪	Nirilai
402	大雷分析员	WBAF
403	Griseo	Verdeus
404	子东	บังจี
405	Whiplash	SHINY
406	沈川	earlixe
407	TK君	youzuo
408	井芹仁菜	Ford
409	カオス	GrandEclipse
410	梦	Fetto
411	夜蓝未语	Yoshi
412	孤山寺北	Hitomoka
413	凤梨	Ainexz
414	姐姐大人	Shiki
415	晴雪	Ditsey
416	血渐冷	aiso
417	無糖薄荷	Senya
418	北海	Xenntoloph
419	麦朵大魔王	kede
420	太亦归1	Deksu
421	丁真魔人	Auto
422	这倒提醒我了	Nayuta
423	岁岁平平安安	Shrijon
424	Rewrtie	Wachi_H
425	HOLD412	天霸封神斩
426	Lumiko32	ADMIRALPIXE
427	kakuka	Aivye
428	老公	Human
429	黑子不漏鸡爪	DARKSYSTEM
430	呱	yura69
431	咽下动漫量	Rivazul
432	柒月	nuhuh
433	霄隆	Horus
434	数码暴龙大王	Ran
435	太阳很大	十六夜咲夜
436	墨知	remedyxo
437	抱辰星而长终	Shsieiho
438	玄篁簖穹	pupu☆
439	散夜	Ikki
440	摸鱼大王	KirinYato
441	或许是吧	nann
442	DOOR	Rain
443	r0maNtic	Hitsuku
444	小熊饼干	Alterna
445	最后的澄意	Derta
446	格雷福子	RAKGRK
447	沉默GX	Zames
448	电子布洛芬	no9310
449	舜晚	THOA
450	悦铭	xxxx
451	太可怕了	Mai
452	机战王卡布达	Rulias
453	无我	Ægir
454	姬璃缦	Caenris
455	禾一朵同学	GoKamiSo
456	摆烂的散兮	Drum
457	符玉	Veen
458	忘川	Maz
459	月有群雲	XIDE
460	wfkjvc	Lindsie
461	明烛	Blinko
462	烛玖	Narii
463	拾光	Hamwarmer40
464	乌龙茶	Muviaka
465	绫風	Birthday
466	喻文州js	ZalyStrife
467	冬日梦	LION
468	主人	Kankanin
469	白里墨十月	Rahim
470	闪光饿龙	長離
471	小雷	mAkimA
472	ruka	Wisteria
473	HZZ	DauntessLily
474	晴天代饭	Keisho
475	北海仙人掌	Shinanon
476	晚山月	SilkyZ
477	飞鸟	CHAOS
478	爱	Noleng
479	星空荡漾	seerinrin
480	Master	toyomi
481	金金	Azalea
482	反正我菜	Karin
483	天才大蛆	mma
484	琴诺	Aru
485	闪电风暴	ren
486	雾里寻芬香	gelap
487	丰川祥子	Wawa
488	公主岛咖啡店	MSan
489	星星	Aruaru
490	朔	Friday
491	重力小丑	KuurSyal
492	xanxus	smokeskull
493	病娇爱好者	MyBaby
494	天乐	Twilight
495	豹豹开超市	Gamingsoul20
496	紫皿	Penalty
497	露娜sama	zitamh
498	艾瑞莉娅	Raiden
499	再冲锋我就是	NateHiggers
500	猪猪屁	豆干
501	光風霽月	Lynfirial
502	Moutuls	Toquette
503	月	Pudding
504	仿生人05	kuy
505	肥肥柯基	Hoohh
506	666	REGi
507	爱爱	Kotone
508	玥玥	Raptor'S
509	蓝色星空	Black
510	竹影清风	SkullLad45
511	岁堰	Aung
512	苦命鸳鸯吕布	Zenkai
513	duya2233	rijo77
514	天云	Xeraph
515	幽梦	reem
516	问世间	Taksan
517	咸鱼一条	truk_tronton
518	王	Nierv
519	瑞洋	Huaxu
520	w芙头帮w	Edenhyuki
521	阿良良木历	mashP
522	雪月语	wonsy
523	歪比巴卜	Kurodoll
524	Stubborn	WangSang枉桑
525	漂泊者	nako
526	峻名	funixxxxxxxx
527	朗迪	Drift
528	古月方源	Azy
529	朔州小醋包	老公
530	增值的G	Kilu
531	阿成	NINENANO
532	樱岛麻衣	Limia
533	小灵	Aswaji
534	Shadow	Onywoo
535	夜碗碗	Caycat
536	切就这	Enoch
537	研究员	一个小调查员
538	mm	Klau
539	小鹿	Zeno
540	神而明之	BERNEL
541	选汕汕就对了	taex
542	VanWahbo	Tonhoom
543	想入卜卜	Andi
544	羽绒服	xI3z
545	图图兔	Ω•Tyr
546	清枫	Valtz
547	我孙子咲川	yuri4life
548	嘉i	Elsei
549	阿伟超勇的	Shu.
550	酸辣咸白菜	SINONZW
551	木	rijo77
552	天道カンナ	IOSS
553	LAPP	โห๊ววว
554	仪仪	ewww
555	江	kla
556	贪狼菌	JM
557	恐怖拉矢人	Takt
558	我的鱼	Viendetta
559	遐想	Lactor
560	赤木文山	Gimfy
561	赵好好	Arc-en-Ciel
562	芬妮占领世界	Fadil
563	魔王	Ankosei
564	三月的烟云	Azathoth
565	怜语	Haroshi
566	KanyeEast	Rizi67
567	涂涂兔	Pote.v2
568	独孤寒霜	ggg
569	雪	Ω•Poseidon
570	狸堡	Republique
571	北村哲也	shun
572	羽灯	hjj
573	亦桒	Lipstick
574	绝剑	Neofreedom
575	无敌战神	HorniSui
576	林逸	Rasagiline
577	sdoood	cshaka
578	wind	Sheldon
579	爱琴ghost	MiYABi
580	凝尘	Liz4L12
581	亚当	Poi.SEA
582	南上加男	Qiufeng
583	不适人	ASDFFF
584	南山	zyn
585	逍遥游世	hmmm
586	天际丶	mark
587	蓝洛	xinnnn
588	Sleeper	Notap
589	色丶孽	Seraphic.
590	无限狂冲	Xen
591	bb	kan
592	爱亿老师	S12
593	虚无	LEVEN-X
594	龙晓瑶	Kazaki
595	张摘星	Dar
596	红叶	NTP
597	星佑	Rangmon
598	森日向子	Jeanmn
599	玩个awa	owkwmajsjsis
600	冬	ヒロキ
601	星熬	tale
602	秋收幻梦	Fusilier
603	单	jjj
604	艾希	Ngiabza
605	伊尹	黑特
606	小小法师	BakaaZama
607	夏雪草	uzirah
608	我不闪躲	FuHua
609	k	Neinen
610	Sunness	Arc
611	枫随安	LyfeIsMylove
612	白	ReiReiki96
613	李孝恭	Ceee
614	大声声	AdaWongXI
615	浔	taek
616	大胃袋	Ram
617	金毛吸血姬	たにい
618	小皇	Mushroon
619	闪闪小金鱼	Chox
620	玄夜	Cosplay
621	Orange柠	iiiiuy
622	无忧	Yuukiya
623	花倌纳	Maleniaそ
624	诸葛亮倒拔林	ZOneOne
625	星州	TaiJing
626	一只川啊	凸囧凸
627	衫子	x0n
628	长庚	Jump
629	欣欣大王	Chloe97
630	秋韵	ZaHard
631	累赘	HikiyoseruC
632	带师	Hiro
633	江郎才尽	Vritra
634	雨鸢	Ciela
635	啾啾猫猫	Geats
636	安卡希芙提雅	Shirayuki
637	wkafg	クハナツナン
638	鸣谷	维
639	里杏	Valiant
640	CLoneLING	リョウタ
641	嘀嘀咕咕说什	Nexus
642	ロリコン	ArkEnd
643	aAASK	Hugo
644	龙衣	แงะ
645	星期五	Jyu-san
646	老黑Berial	THOMASGAMING
647	底牌	Athrun
648	旋转	AngeLisa
649	x	Handler＊
650	江逸渺	だめぐまさん
651	缘分	FrostNova
652	岸	asdasd
653	丰川祥子	HayanaseRits
654	aoH	Annie
655	当年明月	gggg
656	玖优	Ryuuken
657	阿諠	zex
658	麦当当	raiso
659	比格芬纽治	KaiZaki
660	源来视莪	Caaca
661	风霖玉	Paw
662	卡牛角扣	BlackAce
663	星河	SALTER
664	K	J1Mble
665	gdyfyou	Mist
666	请你吃泡芙	commander
667	沫沫兮	汐汐
668	小徐	KaZeLuna
669	曲终	Hamu
670	改名居然收费	Reiji
671	一直在tata开	IamTheN
672	归鹤	FrostBITE
673	叶辞柯	Ch'en
674	入职康	ee
675	念于北	Castella
676	一只木小兰	Exilium
677	努力做大佬	れもん
678	雪落竹尘	Rachesis
679	莹莹	Oakkung
680	温柔	helpme
681	初衷	Lu
682	沈春祥	F2PHJ
683	玫瑰过了花期	BruhID321
684	北枳	ryouzen
685	咁狼胎噶	life
686	白文州	VII
687	续写信	休
688	小舟潮	TakKaz
689	江月白	ZelsiusZero
690	叶Mying	Zacian
691	夏小A	Frye
692	夜寂渊	llมวน้ำ
693	三隈	vamp
694	灬泊灬	Ixchel
695	灵好弈	Yuto
696	Adter	Paraline
697	哪吒	Monday
698	暖霜	Fiena
699	扎男老崔	Kyura
700	名者不遇	Kmpna
701	咔咪	signora
702	三片五花肉	DIIN
703	愛的独白	forest
704	风到的地方	Penance
705	Apologize	keleza
706	小师	Wangsaf
707	晓晓	RyuSeiYang
708	风起	コリレイト
709	Mea	superaman
710	老公	栋
711	东海帝皇	sgsdf
712	鱼块佳心	RainbowRabb
713	斯内克	lentril
714	Nerosd	Rexzuu
715	炎头	Regret
716	守夜人	broisk
717	雨滴	Shin
718	老公	Mr.K
719	晨曦时梦见兮	ApolloCreed
720	贝壳贝贝	EneOs
721	l	Azrael
722	墨凌清雅	DAAH
723	黄桃咆哮	manusia
724	伏羲	宝可嗯？大师
725	苏有可卿	ponn
726	喵喵	ZeeZe
727	蒋光棚	Sankei
728	简幸川	Runmener
729	幻想	drow
730	宝	drowsy
731	十六号爱人	ลูแปง
732	星白	หู๊ววว
733	重活柳如烟	MaewNam
734	秋江鸭	MaiSuzaku
735	展源	Wise
736	青行	norn
737	myster	AutanKID
738	MACHI	baba
739	彭桑	sorint
740	誓言短心永恒	Himmel
741	赛博狐仙	Aztro
742	洋洋想抱抱	Mo
743	佳雨	Majin
744	南山忆	L<A>place
745	千枫栚	Ω•Athena
746	愛又如何	ipeyy
747	柳知珉的狗	R3iL
748	妙妙妙	ffand
749	小小乘风	Degurechaff
750	嗷开心	wasabi
751	绯天姬	Rydha
752	青岛啤酒	Limonis
753	江	Uncha
754	九凤来仪	Ghall
755	雨瑶	ghazll
756	三块两毛五	gin
757	忠孝帝君	Junn
758	禾一朵同学	YuuFy
759	負能	TDKing
760	始终情于萧	Nardz
761	老公	Nostalgia
762	李知恩	Shadowpu
763	siejx	Shiroyan
764	夏	Leon
765	亲爱的	Boomshaklaka
766	超级芬达	mTDome1e
767	苍古清云	StC
768	田中太郎	皐月駆
769	KUN	Violet
770	落识	Otacon
771	伴疯	Ov3RLorD
772	asd	Maddix
773	袁yuan	Täïgü
774	桃乐丝	Kenzyn
775	在里的偷浩文	NILIEE
776	千山之恋	Mess
777	米池最大受害	zei
778	LK	Natfumi
779	清丶风	Zygarde
780	主人	hsna2F
781	上官惊鸿	Kruzero
782	王不群	bingbing
783	Ayan	Ninety-7
784	傍晚登山	锦锦一挚爱
785	余歌	Nah
786	三角初華	szz
787	Terror	pecko
788	云梦竹	zuu
789	Arly	Pati
790	苦寻武汉富婆	Ein
791	超级爱莉	ヴェルセイン
792	琉星	AscartKuroki
793	无崇	Yuki
794	月色	dj
795	念	fantasy
796	鱼蛋蛋	BunnyBearz
797	海棠雨歇	lala
798	享受爱地包围	Kruze
799	妙妙不熬夜	MooN3eam
800	天小河	Ellora
801	凯嘟嘟	Elloria
802	鱼子睡不醒	JunMing
803	锁布	ブリリアント
804	偷吻苦茶子	镜花
805	繁华	ARTHITz
806	忧伤的吉田君	RoyalSky
807	晚来天欲雪	SHINX
808	大西瓜	Didi
809	阿洛娜	ิั้ัเ
810	风的变幻	PK9D
811	阿托酱	Iи†héЯÅ
812	宇宙蓝色闪光	Amarillo
813	三三	Game
814	汐缘	Tony
815	该睡觉了	CatTaiL
816	柠檬	hayato31444
817	缘为冰	lostLance
818	树夕	Kansaa
819	西	Geppetto
820	水水	LAWAMASTER
821	新生代	Man
822	千早爱音	Namioshi
823	银色弹丸	Thomy
824	折扇	Mrbull
825	离妃	Wis'Âdel
826	藤原肇	LLENN
827	lutzs	Numnabii
828	陈平安	Nishio
829	运输大队长	Pho
830	城廻巡	SalmonSashi
831	DeanD	p9d1
832	奈	Bazlaa
833	安杜路兽	Guestos
834	最爱汪姐	Litch
835	凛恩	zen
836	QWQ	Kurochii
837	南宫若悠	WAHIDone_<
838	糖灬糖	YaTzyAslan
839	懒羊羊羊懒	Dollars
840	小莫16c	E-Zellr
841	九九鹅	KaiYuY
842	小白alwast	El
843	暗猫	ggh
844	埃尔	RaihanAG
845	未璃	Hokky
846	时柒	Nagi
847	好利时	Ottagang
848	周五的幸运	PorscheSR
849	士多啤梨	Jo
850	NIKO	Daichi
851	Yy	Rufus
852	小夜	TuanZubair
853	怡	Verklarung
854	男明星6泪	igome
855	Polynomial	Rais
856	丁峻熙	Akate
857	一只濑	コンガ
858	醜肥鯮	红酒
859	抱抱	Giu12
860	魂魄妖梦	Kato
861	人无再少年	Niflheim
862	Slience	Yuutami
863	轻轻	Kouchi
864	小土豆泥	EmericaX8
865	妋妤	ReiL
866	Chtholly	Rekaniko
867	春日河畔	jancuk
868	双生月影	Vrs.
869	len	Poka
870	洋太	Eddey
871	辰宵	Archlyse
872	墨小羽	subd
873	良田77	Azex
874	醉犯	Chrome
875	海鱼	wijen
876	花羽怀	Clautus
877	白熊	NyanCaRT
878	憨色	XVIII
879	交流电	Kasugara
880	柒籽歌	AdamQ
881	zealzkx	Araa
882	黄昏	ExaltedAge
883	豆包	Nyanda
884	奈	Stunob
885	宝宝	Nikvard
886	喜欢hym的人	Syunsuke
887	水灵	MizzeryFade
888	老公	Aramzz
889	七海千秋	Gauri
890	何时下雨	asnpds
891	衍	神Lyne
892	竫曦	Y45
893	芬起舞	Zenra86
894	到底在为谁等	Plasmacannon
895	超超爱美丽	Zeath
896	余因	Astraea
897	晓尔威风	Rizal
898	圣小仙	Aezo
899	玄雩	Kaibacc
900	夜月	Villhaze
901	Super猫小姐	setan
902	狗冬嘻	hjg
903	萌萌哒嘤嘤怪	Wido
904	嘎丘	Hazuki
905	uezw	Rinher
906	赛普瑞	JoyEa
907	冷暴力大神	Apocrypa
908	网上邻居	MEZ
909	星尘	Narumichi
910	月明月清风	ChopYaiMakma
911	小老师	Mfazmi44
912	熊珂乐	Zitro
913	墨浅	Vyskeez
914	董卓瑶	Hovarix
915	不甘不刻	Frostia
916	DTHY	Aerin
917	畵潜影	JJEXTER
918	你看什么	Yunsama
919	nox	Anzuu
920	章鱼困	d
921	叱咤月海鱼鱼	Fenrir
922	欧阳清和	Soniar
923	niike	Liselotte
924	晓银	StratusMaers
925	阿阳NZGZZ	Meikato
926	羁鸟	kimaza
927	林中人	etaMate
928	洛雨唯	LaRen
929	布里吉斯	Dibo
930	提灯	zago
931	抹了油的猛猪	DevX
932	咸鱼	IDNIV
933	阿文	Azgalor
934	不爱吃甜	hshshz
935	祈	Vern
936	222	hafifie
937	智哲亮亮	L
938	汀雨	Aka
939	又一年春秋	Taku
940	幽夜	Beatrix
941	瑟琳	Rookie
942	查出凌华避税	Tonamu
943	梦来梦去梦成	Faizu
944	Miside	はしまる
945	雨花糖	Shadric
946	白言	Belle
947	永夜狗	neko
948	乐乐	isisisid
949	炽渊缔誓约	bb
950	YcxxJ	Lostlite
951	小明xf	Fushe
952	心情	Ryona
953	天启调查员	Mizu
954	Twistzz	Dharizma
955	上上	Frey
956	遗忘之中	light
957	若叶睦	Filler
958	鲸落空山	hhh
959	平遥	Mítrailleū
960	书生	Arisu
961	玉玉	กูดำ
962	林澈	Melza
963	德芙	Eusebio's
964	ber丶ger	GENOSAID
965	黎塞留	Canni
966	道爷我成了	owlstalker
967	醒了就困	Rocookies
968	婉鸢	SusISreal
969	青蓮清	TanggulAngin
970	惊虹	Kukay
