D	//备注	类型 1直接释放 2附着形	玩法类型	所属队伍(0为非队伍专属道具)	是否可设置(0:不可设置, 1:可设置)	躲猫猫绑定的技能按钮索引	是否是一个摇杆释放的道具	摇杆模式下最小发射距离	摇杆模式下道具最大水平释放速度	名字key	图标	描述key	描述中的数值	最大使用次数(-1无限使用)	冷却时间	内置使用CD（仅存储次数道具生效）	道具蓝图	数值参数	数值参数备注	是否自动使用（0:否, 1:是）	最大储存次数	拾取后的初始使用次数	实际使用道具ID
10	躲猫猫隐身	1	4	2	1	1				partygo_level.HideAndSeek_Skill02_name	1001477	partygo_level.HideAndSeek_Skill02_des	{10}	-1	{30}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_03/Actor/Item/BP_WP_Item_Transparent.BP_WP_Item_Transparent_C	{10,2000}	{持续时间}	0	0	0	
11	躲猫猫扫描	1	4	1	1	1				partygo_level.HideAndSeek_Skill03_name	1001479	partygo_level.HideAndSeek_Skill03_des	{6}	-1	{6,4}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_03/Actor/Item/BP_WP_Item_Scan.BP_WP_Item_Scan_C	{6}	{持续时间}	0	0	1	
12	漏洞模式炸弹	1	5	0	0					ui.TxtPartyZbugItem03	5209002	ui.TxtPartyZbugItem03_des		1	{0.5}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_ZBugBomb.BP_WP_Item_ZBugBomb_C			0	0	1	
13	漏洞模式模式羽毛	1	5	0	0					ui.TxtPartyZbugItem02	5209005	ui.TxtPartyZbugItem02_des	{5}	1	{12}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_OriginZBug_Feather.BP_WP_Item_OriginZBug_Feather_C	{3,5}	{减少的重力数值，持续时间}	0	0	1	
14	漏洞模式烟雾弹(场景表现)	1	0	0	0					ui.TxtPartyZbugItem01	5209001	ui.TxtPartyZbugItem01_des	{8}	1	{0.5}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_ZBugSmokeBombInLevel.BP_WP_Item_ZBugSmokeBombInLevel_C	{8}	{持续时间}	0	0	1	18
15	漏洞模式飞扑	1	5	0	0					ui.TxtPartyZbugItem04	5209004	ui.TxtPartyZbugItem04_des		1	{6}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_ZbugPounce.BP_WP_Item_ZbugPounce_C			0	0	1	
16	漏洞模式炸弹（场景表现）	1	0	0	0					ui.TxtPartyZbugItem03	5209002	ui.TxtPartyZbugItem03_des		1	{0.5}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_ZBugBombInLevel.BP_WP_Item_ZBugBombInLevel_C			0	0	1	12
17	漏洞模式冲刺	1	5	0	0					ui.TxtPartyZbugItem05	5209006	ui.TxtPartyZbugItem05_des	{4}	1	{12}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_ZBugRush.BP_WP_Item_ZBugRush_C	{160, 6}	{加速数值，持续时间}	0	0	1	
18	漏洞模式烟雾弹	1	5	0	0					ui.TxtPartyZbugItem01	5209001	ui.TxtPartyZbugItem01_des	{8}	1	{0.5}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_SmokeBomb.BP_WP_Item_SmokeBomb_C	{8}	{持续时间}	0	0	1	
19	漏洞挑战模式武器箱（需屏蔽背包显示）	1	0	2	0					ui.TxtPartyChallengeItem6		ui.TxtPartyChallengeItem6_des		1	{0.5}	0	/Game/Mod/PartyZBugChallenge/Blueprints/Item/BP_WP_Item_WeaponBox.BP_WP_Item_WeaponBox_C			1	0	1	
20	漏洞挑战模式医疗瓶	1	6	2	0					ui.TxtPartyChallengeItem1	5209009	ui.TxtPartyChallengeItem1_des	{50}	1	{0.5}	0	/Game/Mod/PartyZBugChallenge/Blueprints/Item/BP_WP_Item_CureBottile.BP_WP_Item_CureBottile_C	{50}	{治疗百分比}	0	0	1	
21	漏洞挑战模式冰冻弹	1	6	2	0					ui.TxtPartyChallengeItem2	5209011	ui.TxtPartyChallengeItem2_des	{3}	1	{0.5}	0	/Game/Mod/PartyZBugChallenge/Blueprints/Item/BP_WP_Item_IceBomb.BP_WP_Item_IceBomb_C	{3}	{冻结时长}	0	0	1	
22	漏洞挑战模式炸弹	1	6	2	0					ui.TxtPartyChallengeItem3	5209002	ui.TxtPartyChallengeItem3_des		1	{0.5}	0	/Game/Mod/PartyZBugChallenge/Blueprints/Item/BP_WP_Item_ZBugChallengeBomb.BP_WP_Item_ZBugChallengeBomb_C						
23	漏洞挑战模式盾牌	1	0	2	0					ui.TxtPartyChallengeItem4	5209003	ui.TxtPartyChallengeItem4_des	{40}	1	{0.5}	0	/Game/Mod/PartyZBugChallenge/Blueprints/Item/BP_WP_Item_ZBugChallengeShield.BP_WP_Item_ZBugChallengeShield_C	{40,6}	{减伤百分比,持续时间}				
24	漏洞挑战模式肾上腺素	1	6	2	0					ui.TxtPartyChallengeItem5	5209010	ui.TxtPartyChallengeItem5_des	{30}	1	{0.5}	0	/Game/Mod/PartyZBugChallenge/Blueprints/Item/BP_WP_Item_Adrenaline.BP_WP_Item_Adrenaline_C	{30}	{能量点数}				
25	漏洞挑战模式炸弹（场景表现）	1	0	0	0					ui.TxtPartyZbugItem03	5209002	ui.TxtPartyZbugItem03_des		1	{0.5}	0	/Game/Mod/PartyZBugChallenge/Blueprints/Item/BP_WP_Item_ZBugChallengeBombInScene.BP_WP_Item_ZBugChallengeBombInScene_C			0	0	1	22
26	漏洞挑战模式冰冻弹（场景表现）	1	0	0	0					ui.TxtPartyZbugItem03	5209011	ui.TxtPartyZbugItem03_des		1	{0.5}	0	/Game/Mod/PartyZBugChallenge/Blueprints/Item/BP_WP_Item_IceBombInScene.BP_WP_Item_IceBombInScene_C			0	0	1	21
27	漏洞模式无敌星	1	5	0	0					ui.TxtPartyItem1	5209007	ui.TxtPartyItem1_des	{1.5,17.5}	1	{0.5}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_InvincibleStar.BP_WP_Item_InvincibleStar_C	{1.5,17.5}	{持续时间,减速效果减少百分比}	0	0	1	
29	躲猫猫模式烟雾弹(场景表现)	1	4	0	0					ui.TxtPartyZbugItem01	5209001	ui.TxtPartyZbugItem01_des	{8}	1	{6,4}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_ZBugSmokeBombInLevel.BP_WP_Item_ZBugSmokeBombInLevel_C	{8}	{持续时间}	0	0	1	30
28	躲猫猫烟花	1	4	1	1	3				partygo_level.HideAndSeek_Skill03_name	1001777	partygo_level.HideAndSeek_Skill03_des	{6}	1	{1}	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_03/Actor/Item/BP_WP_Item_Scan.BP_WP_Item_Scan_C	{6,2}	{持续时间,锁定人数}	0	0	1	
30	躲猫猫烟雾弹	1	4	0	0	4	1	800	1450	ui.TxtPartyZbugItem01	5209001	ui.TxtPartyZbugItem01_des	{8}	1	{6,4}	0.5	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_SmokeBomb.BP_WP_Item_SmokeBomb_C	{8}	{持续时间}	0	0	1	
31	漏洞模式毒气弹（场景表现）	1	0	0	0					ui.TxtPartyZbugItem03	5209002	ui.TxtPartyZbugItem03_des		1	{0.5}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_PoisonBombInLevel.BP_WP_Item_PoisonBombInLevel_C			0	0	1	32
32	漏洞模式毒气弹	1	5	0	0					ui.TxtPartyChallengeItem3	5209002	ui.TxtPartyChallengeItem3_des		1	{0.5}	0	/Game/Mod/Party/Blueprints/Item/BP_WP_Item_PoisonBomb.BP_WP_Item_PoisonBomb_C						
