ID	节点1	节点2	节点3	节点4	节点5	节点6	节点7	节点8	节点9	节点10	节点11	节点12	节点13	节点14	节点15	节点16	节点17	节点18	节点19	节点20	节点21	节点22	节点23	节点24	节点25	节点26	节点27	节点28	节点29	节点30	节点31	节点32	节点33	节点34	节点35	节点36	节点37	节点38	节点39	节点40	节点41	节点42	节点43	节点44	节点45	节点46	节点47	节点48	节点49	节点50	节点51	节点52	节点53	节点54	节点55	节点56	节点57	节点58	节点59	节点60
10	1	0	1	0	2	2	0	1	0	-1	0	0	1	0	1	-1	1	1	-1	0	1	-1	0	1	2	0	-1	2	0	1	2	2	0	1	-1	2	0	0	0	-1	-1	0	-1	-1	1	0	2	-1	2	1	0	0	1	1	-1	1	0	1	1	1
11	1	1	1	2	2	0	-1	2	-1	1	1	-1	0	-1	0	1	-1	0	2	0	1	0	2	0	1	0	1	-1	-1	1	1	1	0	2	0	-1	2	-1	0	1	-1	1	0	2	-1	0	1	0	1	-1	1	0	1	0	-1	0	1	1	1	1
12	1	1	2	1	-1	2	0	0	2	2	-1	-1	1	0	2	-1	1	0	1	1	-1	0	1	2	-1	1	1	1	0	2	-1	0	-1	0	1	1	-1	-1	0	1	2	0	1	-1	0	1	-1	-1	0	1	0	1	-1	1	2	1	0	1	0	1
13	1	0	1	1	0	2	2	1	-1	0	0	0	2	1	-1	-1	1	0	-1	2	0	-1	2	0	1	2	-1	0	1	-1	1	-1	0	2	0	2	-1	0	0	2	2	2	-1	-1	1	-1	0	1	0	-1	1	0	1	1	0	0	0	1	1	1
14	1	2	2	0	0	-1	2	-1	1	0	1	-1	2	-1	1	0	2	0	-1	0	2	-1	1	-1	2	0	0	-1	0	2	-1	0	0	-1	0	-1	-1	1	1	-1	1	0	1	0	0	2	-1	0	1	2	1	0	0	1	-1	1	1	0	0	1
15	1	1	1	2	0	2	-1	-1	2	0	1	0	1	1	0	0	1	0	-1	2	0	0	1	0	0	-1	-1	0	1	1	1	0	1	-1	1	0	1	2	-1	-1	1	0	-1	1	0	-1	-1	0	2	-1	1	1	0	-1	1	0	1	0	1	1
16	0	1	1	2	0	0	1	2	2	1	-1	-1	1	0	1	1	1	-1	0	1	1	-1	2	1	-1	1	1	-1	0	0	1	0	1	1	0	0	1	0	0	1	-1	1	0	0	1	1	-1	1	0	0	-1	1	1	0	0	1	1	0	0	1
17	2	2	1	1	2	1	0	-1	0	1	1	2	-1	0	1	1	1	0	-1	2	1	0	-1	0	1	-1	2	0	-1	0	1	0	-1	1	2	-1	0	-1	-1	2	1	-1	2	1	1	-1	1	-1	1	1	-1	-1	2	0	1	0	0	1	0	1
18	2	2	0	2	0	1	1	0	-1	2	-1	1	-1	0	2	1	1	0	1	0	-1	1	-1	0	1	0	1	-1	1	0	1	-1	-1	1	-1	0	1	1	0	-1	1	0	1	-1	0	1	0	0	1	-1	-1	1	0	0	0	0	1	0	2	1
19	1	2	0	1	2	-1	1	1	1	2	0	-1	0	0	0	-1	1	0	1	0	1	0	1	2	-1	1	0	0	0	1	0	0	1	-1	1	1	0	1	-1	0	0	2	-1	2	0	1	-1	1	1	0	-1	0	-1	0	1	0	1	0	1	1
20	2	2	1	0	1	1	2	-1	1	0	0	0	0	2	0	-1	1	2	-1	0	1	-1	0	1	-1	1	-1	1	-1	2	1	0	1	0	0	0	1	-1	0	1	0	1	-1	0	0	-1	1	1	-1	0	1	1	0	1	0	1	0	-1	2	1
21	2	1	1	0	0	1	2	2	2	2	0	1	-1	-1	1	-1	0	1	-1	0	2	0	-1	0	0	1	0	0	0	1	-1	0	1	1	-1	1	0	-1	0	2	2	-1	-1	1	-1	2	-1	1	-1	1	1	-1	-1	1	1	0	1	0	1	1
22	1	1	2	1	0	2	0	-1	0	1	2	0	-1	2	-1	1	0	1	0	-1	0	1	0	-1	2	-1	-1	1	0	0	2	0	0	-1	0	0	0	1	0	0	1	-1	1	1	0	1	0	-1	1	0	1	1	-1	1	0	1	-1	1	1	1
23	1	1	0	1	-1	1	1	0	2	-1	0	1	0	0	0	-1	2	-1	2	-1	1	1	1	0	0	-1	0	0	0	-1	-1	-1	1	1	-1	0	0	-1	0	0	1	1	0	2	0	2	2	1	0	-1	-1	1	1	0	2	0	0	1	2	1
24	1	1	1	2	0	2	-1	1	-1	2	0	1	0	1	0	0	1	1	-1	1	2	1	-1	0	-1	1	1	-1	0	2	-1	1	1	0	-1	1	2	-1	1	0	1	2	-1	1	0	-1	1	0	1	-1	0	1	0	0	0	-1	0	1	1	1
25	1	2	2	2	-1	2	0	0	-1	-1	2	0	0	2	-1	2	0	1	0	1	1	1	-1	1	0	-1	-1	0	1	0	0	1	1	0	0	-1	0	1	-1	1	1	0	1	0	0	2	-1	0	-1	1	1	0	0	1	1	0	-1	0	2	1
26	1	1	1	1	2	0	1	1	1	1	0	1	0	1	0	1	0	-1	-1	1	-1	0	0	1	-1	0	1	0	1	1	0	1	-1	1	-2	1	0	-1	-1	0	1	0	-1	1	1	0	-1	1	-1	0	1	1	0	1	0	0	0	0	1	1
27	1	1	2	1	-1	1	0	2	0	-1	2	-1	1	0	-1	2	0	1	1	2	1	0	-1	1	0	0	0	-1	0	-1	-1	-1	-1	0	1	1	-1	1	-1	1	0	-1	1	0	-1	1	1	0	1	-1	2	0	1	0	0	0	1	1	0	1
28	1	1	1	0	-1	2	-1	2	2	-1	2	-1	1	-1	0	0	1	1	0	1	0	0	-1	-1	1	0	1	0	1	0	1	-1	1	-1	0	1	-1	1	0	0	1	1	1	0	-1	1	1	-1	1	0	0	1	1	0	1	0	0	0	1	1
29	2	0	1	1	0	1	1	0	1	-1	2	1	0	0	0	1	1	-1	-1	1	1	0	1	1	-1	0	2	1	-1	-1	1	-1	0	1	0	1	0	-1	1	0	1	0	-1	1	0	1	-1	-1	0	1	1	0	0	-1	2	1	-1	1	1	1
30	1	1	2	1	1	-1	2	0	1	0	1	0	0	1	-1	1	0	0	0	1	0	-1	2	-1	2	1	-1	0	1	0	1	0	-1	1	-1	1	0	-1	0	1	0	1	0	1	0	1	-1	1	0	1	0	1	0	0	1	1	0	0	1	1
