地图组	//备注	地图Id	权重	事件类型	组合事件的子类型	房间Tag列表，逗号隔开	关卡诅咒（出现概率，诅咒库）	威胁值	代币掉落	战后Buff数量	随机buff库	道具宝箱物品(id+数量)	Buff宝箱	货币宝箱	休整回血比率和价格	复活回血比例和价格	休整解除诅咒价格	休整商店id	老虎机ID（id，次数，每次花费）	连战房间波次buff{buff库，等级区间，所需完成波数}
reward_hard	福利随机-buff宝箱-5级buff	9001	6500	401		lounge		16					{{101},{5,5}}							
reward_hard	福利随机-道具宝箱-2个好道具	9002	1500	401		lounge		16				{{1,3,4,6},{2}}								
reward_hard	福利随机-货币宝箱-150-190块	9003	2000	401		lounge		16						{150,190}						
reward_super	福利随机-高级buff	9101	10000	402		lounge		16					{{205},{4,5}}							
																				
corridor1	通道-低级奖励-buff宝箱-2-4级buff	9501	5000					0					{{101},{2,4}}							
corridor1	通道-低级奖励-道具宝箱-1个一般道具	9502	2000					0				{{2,5,6},{1}}								
corridor1	通道-低级奖励-货币宝箱-60-80块	9503	3000					0						{60,80}						
corridor2	通道-中级奖励-buff宝箱-3-5级buff	9511	5000					0					{{101},{3,5}}							
corridor2	通道-中级奖励-道具宝箱-2个一般道具	9512	2000					0				{{2,5,6},{2}}								
corridor2	通道-中级奖励-货币宝箱-90-120块	9513	3000					0						{90,120}						
corridor3	通道-高级奖励-buff宝箱-4-5级buff	9521	6000					0					{{101},{4,5}}							
corridor3	通道-高级奖励-道具宝箱-2个好道具	9522	1500					0				{{1,3,4,6},{2}}								
corridor3	通道-高级奖励-货币宝箱-140-180块	9523	2500					0						{140,180}						
																				
//===========================================																				
// 以下是功能测试配置，不要动，正式内容配置在上面																				
//===========================================																				
test	测试房间	1				start	{10000,{101,102,103},{1,2}}	10	30	3	{{101},{3,4}}	{{2,5,6},{2}}	{{101},{3,5}}	{60,80}	{3000,50}	{3000,50}	30	101		
test	测试房间2	2				start		10	30											
																				
test_easy	测试-简单战斗	2		100		easy														
test_normal	测试-简单道具	3		200		normal														
test_hard	测试-随机事件1	4		300		hard														
test_boss		5		100		boss														
test_lounge		6		100		lounge														
