赛季ID	地图ID	连线ID	位置	解锁条件(cash)	初始状态（0隐藏 1可见）	显示所需道具（藏宝图）	主线支线（1主线 2支线）
3	3	215	15	{{32,1},{34,1}}	1		1
3	3	216	16	{{31,1},{34,1}}	1		1
3	3	217	17	{{32,1},{36,1}}	1		1
3	3	218	18	{{33,1},{36,1}}	1		1
3	3	219	19	{{35,1},{37,1}}	1		1
3	3	220	20	{{34,1},{35,1}}	1		2
3	3	221	21	{{31,1},{34,1}}	1		2
3	3	222	22	{{32,1},{37,1}}	1		2
3	3	223	23	{{31,1},{35,1}}	1		2
3	3	224	24	{{34,1},{36,1}}	1		2
3	3	225	25	{{31,1},{33,1}}	1		2
3	3	226	26	{{35,1},{36,1}}	1		2
3	3	227	27	{{31,1},{32,1}}	1		2
3	3	228	28	{{33,1},{34,1}}	1		2
3	3	229	29	{{33,1},{36,1}}	1		2
3	3	230	30	{{35,1},{37,1}}	1		2
3	3	231	31	{{34,1},{37,1}}	0	{4,5,6}	2
3	3	232	32	{{33,1},{36,1}}	1		2
3	3	233	33	{{34,1},{35,1}}	1		2
3	3	234	34	{{32,1},{34,1}}	1		2
3	3	235	35	{{32,1},{36,1}}	1		2
3	3	236	36	{{33,1},{36,1}}	1		2
3	3	237	37	{{32,1},{34,1}}	1		2
3	3	238	38	{{36,1},{37,1}}	1		2
3	3	239	39	{{33,1},{37,1}}	1		2
3	3	240	40	{{34,1},{35,1}}	1		2
3	3	241	41	{{31,1},{34,1}}	1		2
3	3	242	42	{{33,1},{37,1}}	1		2
3	3	243	43	{{31,1},{32,1}}	1		2
