序列ID	模式类型（1常规无尽 2赛季模式）	关卡ID（赛季对应关卡）	//关卡备注	波次id	数值模板	等级	buff
150	2	2	小怪浪潮-电击优势关	48	16	140	{7013012,49}
151	2	2	小怪浪潮-电击优势关	49	16	140	{7013012,51}
152	2	2	小怪浪潮-电击优势关	50	16	140	{7013012,53}
153	2	2	小怪浪潮-电击优势关	-1	16	140	{7013012,55}
154	2	3	小怪浪潮-动能优势关	1	16	140	{7013012,12}
155	2	3	小怪浪潮-动能优势关	2	16	140	{7013012,14}
156	2	3	小怪浪潮-动能优势关	3	16	140	{7013012,16}
157	2	3	小怪浪潮-动能优势关	4	16	140	{7013012,18}
158	2	3	小怪浪潮-动能优势关	5	16	140	{7013012,20}
159	2	3	小怪浪潮-动能优势关	6	16	140	{7013012,22}
160	2	3	小怪浪潮-动能优势关	7	16	140	{7013012,24}
161	2	3	小怪浪潮-动能优势关	8	16	140	{7013012,26}
162	2	3	小怪浪潮-动能优势关	9	16	140	{7013012,28}
163	2	3	小怪浪潮-动能优势关	10	16	140	{7013012,28}
164	2	3	小怪浪潮-动能优势关	11	16	140	{7013012,29}
165	2	3	小怪浪潮-动能优势关	12	16	140	{7013012,31}
166	2	3	小怪浪潮-动能优势关	13	16	140	{7013012,31}
167	2	3	小怪浪潮-动能优势关	14	16	140	{7013012,32}
168	2	3	小怪浪潮-动能优势关	15	16	140	{7013012,34}
169	2	3	小怪浪潮-动能优势关	16	16	140	{7013012,33}
170	2	3	小怪浪潮-动能优势关	17	16	140	{7013012,34}
171	2	3	小怪浪潮-动能优势关	18	16	140	{7013012,35}
172	2	3	小怪浪潮-动能优势关	19	16	140	{7013012,34}
173	2	3	小怪浪潮-动能优势关	20	16	140	{7013012,35}
174	2	3	小怪浪潮-动能优势关	21	16	140	{7013012,36}
175	2	3	小怪浪潮-动能优势关	22	16	140	{7013012,35}
176	2	3	小怪浪潮-动能优势关	23	16	140	{7013012,36}
177	2	3	小怪浪潮-动能优势关	24	16	140	{7013012,37}
178	2	3	小怪浪潮-动能优势关	25	16	140	{7013012,36}
179	2	3	小怪浪潮-动能优势关	26	16	140	{7013012,37}
180	2	3	小怪浪潮-动能优势关	27	16	140	{7013012,38}
181	2	3	小怪浪潮-动能优势关	28	16	140	{7013012,37}
182	2	3	小怪浪潮-动能优势关	29	16	140	{7013012,38}
183	2	3	小怪浪潮-动能优势关	30	16	140	{7013012,40}
184	2	3	小怪浪潮-动能优势关	31	16	140	{7013012,40}
185	2	3	小怪浪潮-动能优势关	32	16	140	{7013012,40}
186	2	3	小怪浪潮-动能优势关	33	16	140	{7013012,42}
187	2	3	小怪浪潮-动能优势关	34	16	140	{7013012,41}
188	2	3	小怪浪潮-动能优势关	35	16	140	{7013012,41}
189	2	3	小怪浪潮-动能优势关	36	16	140	{7013012,43}
190	2	3	小怪浪潮-动能优势关	37	16	140	{7013012,42}
191	2	3	小怪浪潮-动能优势关	38	16	140	{7013012,42}
192	2	3	小怪浪潮-动能优势关	39	16	140	{7013012,44}
193	2	3	小怪浪潮-动能优势关	40	16	140	{7013012,43}
194	2	3	小怪浪潮-动能优势关	41	16	140	{7013012,43}
195	2	3	小怪浪潮-动能优势关	42	16	140	{7013012,45}
196	2	3	小怪浪潮-动能优势关	43	16	140	{7013012,44}
197	2	3	小怪浪潮-动能优势关	44	16	140	{7013012,45}
198	2	3	小怪浪潮-动能优势关	45	16	140	{7013012,46}
199	2	3	小怪浪潮-动能优势关	46	16	140	{7013012,47}
200	2	3	小怪浪潮-动能优势关	47	16	140	{7013012,48}
201	2	3	小怪浪潮-动能优势关	48	16	140	{7013012,49}
202	2	3	小怪浪潮-动能优势关	49	16	140	{7013012,51}
203	2	3	小怪浪潮-动能优势关	50	16	140	{7013012,53}
204	2	3	小怪浪潮-动能优势关	-1	16	140	{7013012,55}
205	2	4	小怪浪潮-高热和低温优势关	1	16	140	{7013012,12}
206	2	4	小怪浪潮-高热和低温优势关	2	16	140	{7013012,14}
207	2	4	小怪浪潮-高热和低温优势关	3	16	140	{7013012,16}
208	2	4	小怪浪潮-高热和低温优势关	4	16	140	{7013012,18}
209	2	4	小怪浪潮-高热和低温优势关	5	16	140	{7013012,20}
210	2	4	小怪浪潮-高热和低温优势关	6	16	140	{7013012,22}
211	2	4	小怪浪潮-高热和低温优势关	7	16	140	{7013012,24}
212	2	4	小怪浪潮-高热和低温优势关	8	16	140	{7013012,26}
213	2	4	小怪浪潮-高热和低温优势关	9	16	140	{7013012,28}
214	2	4	小怪浪潮-高热和低温优势关	10	16	140	{7013012,28}
215	2	4	小怪浪潮-高热和低温优势关	11	16	140	{7013012,29}
216	2	4	小怪浪潮-高热和低温优势关	12	16	140	{7013012,31}
217	2	4	小怪浪潮-高热和低温优势关	13	16	140	{7013012,31}
218	2	4	小怪浪潮-高热和低温优势关	14	16	140	{7013012,32}
219	2	4	小怪浪潮-高热和低温优势关	15	16	140	{7013012,34}
220	2	4	小怪浪潮-高热和低温优势关	16	16	140	{7013012,33}
221	2	4	小怪浪潮-高热和低温优势关	17	16	140	{7013012,34}
222	2	4	小怪浪潮-高热和低温优势关	18	16	140	{7013012,35}
223	2	4	小怪浪潮-高热和低温优势关	19	16	140	{7013012,34}
224	2	4	小怪浪潮-高热和低温优势关	20	16	140	{7013012,35}
225	2	4	小怪浪潮-高热和低温优势关	21	16	140	{7013012,36}
226	2	4	小怪浪潮-高热和低温优势关	22	16	140	{7013012,35}
227	2	4	小怪浪潮-高热和低温优势关	23	16	140	{7013012,36}
228	2	4	小怪浪潮-高热和低温优势关	24	16	140	{7013012,37}
229	2	4	小怪浪潮-高热和低温优势关	25	16	140	{7013012,36}
230	2	4	小怪浪潮-高热和低温优势关	26	16	140	{7013012,37}
231	2	4	小怪浪潮-高热和低温优势关	27	16	140	{7013012,38}
232	2	4	小怪浪潮-高热和低温优势关	28	16	140	{7013012,37}
233	2	4	小怪浪潮-高热和低温优势关	29	16	140	{7013012,38}
234	2	4	小怪浪潮-高热和低温优势关	30	16	140	{7013012,40}
235	2	4	小怪浪潮-高热和低温优势关	31	16	140	{7013012,40}
236	2	4	小怪浪潮-高热和低温优势关	32	16	140	{7013012,40}
237	2	4	小怪浪潮-高热和低温优势关	33	16	140	{7013012,42}
238	2	4	小怪浪潮-高热和低温优势关	34	16	140	{7013012,41}
239	2	4	小怪浪潮-高热和低温优势关	35	16	140	{7013012,41}
240	2	4	小怪浪潮-高热和低温优势关	36	16	140	{7013012,43}
241	2	4	小怪浪潮-高热和低温优势关	37	16	140	{7013012,42}
242	2	4	小怪浪潮-高热和低温优势关	38	16	140	{7013012,42}
243	2	4	小怪浪潮-高热和低温优势关	39	16	140	{7013012,44}
244	2	4	小怪浪潮-高热和低温优势关	40	16	140	{7013012,43}
245	2	4	小怪浪潮-高热和低温优势关	41	16	140	{7013012,43}
246	2	4	小怪浪潮-高热和低温优势关	42	16	140	{7013012,45}
247	2	4	小怪浪潮-高热和低温优势关	43	16	140	{7013012,44}
248	2	4	小怪浪潮-高热和低温优势关	44	16	140	{7013012,45}
249	2	4	小怪浪潮-高热和低温优势关	45	16	140	{7013012,46}
250	2	4	小怪浪潮-高热和低温优势关	46	16	140	{7013012,47}
251	2	4	小怪浪潮-高热和低温优势关	47	16	140	{7013012,48}
252	2	4	小怪浪潮-高热和低温优势关	48	16	140	{7013012,49}
253	2	4	小怪浪潮-高热和低温优势关	49	16	140	{7013012,51}
254	2	4	小怪浪潮-高热和低温优势关	50	16	140	{7013012,53}
255	2	4	小怪浪潮-高热和低温优势关	-1	16	140	{7013012,55}
256	2	5	boss连战-谋策战役（混合）	1	16	140	{7013012,16}
257	2	5	boss连战-谋策战役（混合）	2	16	140	{7013012,18}
258	2	5	boss连战-谋策战役（混合）	3	16	140	{7013012,20}
259	2	5	boss连战-谋策战役（混合）	4	16	140	{7013012,22}
260	2	5	boss连战-谋策战役（混合）	5	16	140	{7013012,24}
261	2	5	boss连战-谋策战役（混合）	6	16	140	{7013012,25}
262	2	5	boss连战-谋策战役（混合）	7	16	140	{7013012,26}
263	2	5	boss连战-谋策战役（混合）	8	16	140	{7013012,27}
264	2	5	boss连战-谋策战役（混合）	9	16	140	{7013012,28}
265	2	5	boss连战-谋策战役（混合）	10	16	140	{7013012,29}
266	2	5	boss连战-谋策战役（混合）	11	16	140	{7013012,30}
267	2	5	boss连战-谋策战役（混合）	12	16	140	{7013012,31}
268	2	5	boss连战-谋策战役（混合）	13	16	140	{7013012,31}
269	2	5	boss连战-谋策战役（混合）	14	16	140	{7013012,32}
270	2	5	boss连战-谋策战役（混合）	15	16	140	{7013012,32}
271	2	5	boss连战-谋策战役（混合）	16	16	140	{7013012,33}
272	2	5	boss连战-谋策战役（混合）	17	16	140	{7013012,33}
273	2	5	boss连战-谋策战役（混合）	18	16	140	{7013012,34}
274	2	5	boss连战-谋策战役（混合）	19	16	140	{7013012,34}
275	2	5	boss连战-谋策战役（混合）	20	16	140	{7013012,35}
276	2	5	boss连战-谋策战役（混合）	21	16	140	{7013012,35}
277	2	5	boss连战-谋策战役（混合）	22	16	140	{7013012,36}
278	2	5	boss连战-谋策战役（混合）	23	16	140	{7013012,36}
279	2	5	boss连战-谋策战役（混合）	24	16	140	{7013012,37}
280	2	5	boss连战-谋策战役（混合）	25	16	140	{7013012,37}
281	2	5	boss连战-谋策战役（混合）	26	16	140	{7013012,38}
282	2	5	boss连战-谋策战役（混合）	27	16	140	{7013012,38}
283	2	5	boss连战-谋策战役（混合）	28	16	140	{7013012,39}
284	2	5	boss连战-谋策战役（混合）	29	16	140	{7013012,39}
285	2	5	boss连战-谋策战役（混合）	30	16	140	{7013012,40}
286	2	5	boss连战-谋策战役（混合）	31	16	140	{7013012,40}
287	2	5	boss连战-谋策战役（混合）	32	16	140	{7013012,41}
288	2	5	boss连战-谋策战役（混合）	33	16	140	{7013012,41}
289	2	5	boss连战-谋策战役（混合）	34	16	140	{7013012,42}
290	2	5	boss连战-谋策战役（混合）	35	16	140	{7013012,42}
291	2	5	boss连战-谋策战役（混合）	36	16	140	{7013012,43}
292	2	5	boss连战-谋策战役（混合）	37	16	140	{7013012,43}
293	2	5	boss连战-谋策战役（混合）	38	16	140	{7013012,44}
294	2	5	boss连战-谋策战役（混合）	39	16	140	{7013012,44}
295	2	5	boss连战-谋策战役（混合）	40	16	140	{7013012,45}
296	2	5	boss连战-谋策战役（混合）	41	16	140	{7013012,45}
297	2	5	boss连战-谋策战役（混合）	42	16	140	{7013012,46}
298	2	5	boss连战-谋策战役（混合）	43	16	140	{7013012,46}
299	2	5	boss连战-谋策战役（混合）	44	16	140	{7013012,47}
300	2	5	boss连战-谋策战役（混合）	45	16	140	{7013012,47}
301	2	5	boss连战-谋策战役（混合）	46	16	140	{7013012,48}
302	2	5	boss连战-谋策战役（混合）	47	16	140	{7013012,48}
303	2	5	boss连战-谋策战役（混合）	48	16	140	{7013012,50}
304	2	5	boss连战-谋策战役（混合）	49	16	140	{7013012,52}
305	2	5	boss连战-谋策战役（混合）	50	16	140	{7013012,54}
306	2	5	boss连战-谋策战役（混合）	-1	16	140	{7013012,56}
307	2	6	boss连战-重装战役(射击）	1	16	140	{7013012,16}
308	2	6	boss连战-重装战役(射击）	2	16	140	{7013012,18}
309	2	6	boss连战-重装战役(射击）	3	16	140	{7013012,20}
310	2	6	boss连战-重装战役(射击）	4	16	140	{7013012,22}
311	2	6	boss连战-重装战役(射击）	5	16	140	{7013012,24}
312	2	6	boss连战-重装战役(射击）	6	16	140	{7013012,25}
313	2	6	boss连战-重装战役(射击）	7	16	140	{7013012,26}
314	2	6	boss连战-重装战役(射击）	8	16	140	{7013012,27}
315	2	6	boss连战-重装战役(射击）	9	16	140	{7013012,28}
316	2	6	boss连战-重装战役(射击）	10	16	140	{7013012,29}
317	2	6	boss连战-重装战役(射击）	11	16	140	{7013012,30}
318	2	6	boss连战-重装战役(射击）	12	16	140	{7013012,31}
319	2	6	boss连战-重装战役(射击）	13	16	140	{7013012,31}
320	2	6	boss连战-重装战役(射击）	14	16	140	{7013012,32}
321	2	6	boss连战-重装战役(射击）	15	16	140	{7013012,32}
322	2	6	boss连战-重装战役(射击）	16	16	140	{7013012,33}
323	2	6	boss连战-重装战役(射击）	17	16	140	{7013012,33}
324	2	6	boss连战-重装战役(射击）	18	16	140	{7013012,34}
325	2	6	boss连战-重装战役(射击）	19	16	140	{7013012,34}
326	2	6	boss连战-重装战役(射击）	20	16	140	{7013012,35}
327	2	6	boss连战-重装战役(射击）	21	16	140	{7013012,35}
328	2	6	boss连战-重装战役(射击）	22	16	140	{7013012,36}
329	2	6	boss连战-重装战役(射击）	23	16	140	{7013012,36}
330	2	6	boss连战-重装战役(射击）	24	16	140	{7013012,37}
331	2	6	boss连战-重装战役(射击）	25	16	140	{7013012,37}
332	2	6	boss连战-重装战役(射击）	26	16	140	{7013012,38}
333	2	6	boss连战-重装战役(射击）	27	16	140	{7013012,38}
334	2	6	boss连战-重装战役(射击）	28	16	140	{7013012,39}
335	2	6	boss连战-重装战役(射击）	29	16	140	{7013012,39}
336	2	6	boss连战-重装战役(射击）	30	16	140	{7013012,40}
337	2	6	boss连战-重装战役(射击）	31	16	140	{7013012,40}
338	2	6	boss连战-重装战役(射击）	32	16	140	{7013012,41}
339	2	6	boss连战-重装战役(射击）	33	16	140	{7013012,41}
340	2	6	boss连战-重装战役(射击）	34	16	140	{7013012,42}
341	2	6	boss连战-重装战役(射击）	35	16	140	{7013012,42}
342	2	6	boss连战-重装战役(射击）	36	16	140	{7013012,43}
343	2	6	boss连战-重装战役(射击）	37	16	140	{7013012,43}
344	2	6	boss连战-重装战役(射击）	38	16	140	{7013012,44}
345	2	6	boss连战-重装战役(射击）	39	16	140	{7013012,44}
346	2	6	boss连战-重装战役(射击）	40	16	140	{7013012,45}
347	2	6	boss连战-重装战役(射击）	41	16	140	{7013012,45}
348	2	6	boss连战-重装战役(射击）	42	16	140	{7013012,46}
349	2	6	boss连战-重装战役(射击）	43	16	140	{7013012,46}
350	2	6	boss连战-重装战役(射击）	44	16	140	{7013012,47}
351	2	6	boss连战-重装战役(射击）	45	16	140	{7013012,47}
352	2	6	boss连战-重装战役(射击）	46	16	140	{7013012,48}
353	2	6	boss连战-重装战役(射击）	47	16	140	{7013012,48}
354	2	6	boss连战-重装战役(射击）	48	16	140	{7013012,50}
355	2	6	boss连战-重装战役(射击）	49	16	140	{7013012,52}
356	2	6	boss连战-重装战役(射击）	50	16	140	{7013012,54}
357	2	6	boss连战-重装战役(射击）	-1	16	140	{7013012,56}
358	2	7	boss连战-巧袭战役(技能、黄甲）	1	16	140	{7013012,16}
359	2	7	boss连战-巧袭战役(技能、黄甲）	2	16	140	{7013012,18}
360	2	7	boss连战-巧袭战役(技能、黄甲）	3	16	140	{7013012,20}
361	2	7	boss连战-巧袭战役(技能、黄甲）	4	16	140	{7013012,22}
362	2	7	boss连战-巧袭战役(技能、黄甲）	5	16	140	{7013012,24}
363	2	7	boss连战-巧袭战役(技能、黄甲）	6	16	140	{7013012,25}
364	2	7	boss连战-巧袭战役(技能、黄甲）	7	16	140	{7013012,26}
365	2	7	boss连战-巧袭战役(技能、黄甲）	8	16	140	{7013012,27}
366	2	7	boss连战-巧袭战役(技能、黄甲）	9	16	140	{7013012,28}
367	2	7	boss连战-巧袭战役(技能、黄甲）	10	16	140	{7013012,29}
368	2	7	boss连战-巧袭战役(技能、黄甲）	11	16	140	{7013012,30}
369	2	7	boss连战-巧袭战役(技能、黄甲）	12	16	140	{7013012,31}
370	2	7	boss连战-巧袭战役(技能、黄甲）	13	16	140	{7013012,31}
371	2	7	boss连战-巧袭战役(技能、黄甲）	14	16	140	{7013012,32}
372	2	7	boss连战-巧袭战役(技能、黄甲）	15	16	140	{7013012,32}
373	2	7	boss连战-巧袭战役(技能、黄甲）	16	16	140	{7013012,33}
374	2	7	boss连战-巧袭战役(技能、黄甲）	17	16	140	{7013012,33}
375	2	7	boss连战-巧袭战役(技能、黄甲）	18	16	140	{7013012,34}
376	2	7	boss连战-巧袭战役(技能、黄甲）	19	16	140	{7013012,34}
377	2	7	boss连战-巧袭战役(技能、黄甲）	20	16	140	{7013012,35}
378	2	7	boss连战-巧袭战役(技能、黄甲）	21	16	140	{7013012,35}
379	2	7	boss连战-巧袭战役(技能、黄甲）	22	16	140	{7013012,36}
380	2	7	boss连战-巧袭战役(技能、黄甲）	23	16	140	{7013012,36}
381	2	7	boss连战-巧袭战役(技能、黄甲）	24	16	140	{7013012,37}
382	2	7	boss连战-巧袭战役(技能、黄甲）	25	16	140	{7013012,37}
383	2	7	boss连战-巧袭战役(技能、黄甲）	26	16	140	{7013012,38}
384	2	7	boss连战-巧袭战役(技能、黄甲）	27	16	140	{7013012,38}
385	2	7	boss连战-巧袭战役(技能、黄甲）	28	16	140	{7013012,39}
386	2	7	boss连战-巧袭战役(技能、黄甲）	29	16	140	{7013012,39}
387	2	7	boss连战-巧袭战役(技能、黄甲）	30	16	140	{7013012,40}
388	2	7	boss连战-巧袭战役(技能、黄甲）	31	16	140	{7013012,40}
389	2	7	boss连战-巧袭战役(技能、黄甲）	32	16	140	{7013012,41}
390	2	7	boss连战-巧袭战役(技能、黄甲）	33	16	140	{7013012,41}
391	2	7	boss连战-巧袭战役(技能、黄甲）	34	16	140	{7013012,42}
392	2	7	boss连战-巧袭战役(技能、黄甲）	35	16	140	{7013012,42}
393	2	7	boss连战-巧袭战役(技能、黄甲）	36	16	140	{7013012,43}
394	2	7	boss连战-巧袭战役(技能、黄甲）	37	16	140	{7013012,43}
395	2	7	boss连战-巧袭战役(技能、黄甲）	38	16	140	{7013012,44}
396	2	7	boss连战-巧袭战役(技能、黄甲）	39	16	140	{7013012,44}
397	2	7	boss连战-巧袭战役(技能、黄甲）	40	16	140	{7013012,45}
398	2	7	boss连战-巧袭战役(技能、黄甲）	41	16	140	{7013012,45}
399	2	7	boss连战-巧袭战役(技能、黄甲）	42	16	140	{7013012,46}
400	2	7	boss连战-巧袭战役(技能、黄甲）	43	16	140	{7013012,46}
401	2	7	boss连战-巧袭战役(技能、黄甲）	44	16	140	{7013012,47}
402	2	7	boss连战-巧袭战役(技能、黄甲）	45	16	140	{7013012,47}
403	2	7	boss连战-巧袭战役(技能、黄甲）	46	16	140	{7013012,48}
404	2	7	boss连战-巧袭战役(技能、黄甲）	47	16	140	{7013012,48}
405	2	7	boss连战-巧袭战役(技能、黄甲）	48	16	140	{7013012,50}
406	2	7	boss连战-巧袭战役(技能、黄甲）	49	16	140	{7013012,52}
407	2	7	boss连战-巧袭战役(技能、黄甲）	50	16	140	{7013012,54}
408	2	7	boss连战-巧袭战役(技能、黄甲）	-1	16	140	{7013012,56}
409	2	8	boss连战-高难检验	1	16	160	{7013012,18}
410	2	8	boss连战-高难检验	2	16	160	{7013012,20}
411	2	8	boss连战-高难检验	3	16	160	{7013012,22}
412	2	8	boss连战-高难检验	4	16	160	{7013012,24}
413	2	8	boss连战-高难检验	5	16	160	{7013012,26}
414	2	8	boss连战-高难检验	6	16	160	{7013012,28}
415	2	8	boss连战-高难检验	7	16	160	{7013012,30}
416	2	8	boss连战-高难检验	8	16	160	{7013012,31}
417	2	8	boss连战-高难检验	9	16	160	{7013012,32}
418	2	8	boss连战-高难检验	10	16	160	{7013012,33}
