Id	皮肤名	备注	AI导演Id	数值模板	房间Tag	逻辑地图	Task路径	房间BGM
3009	area08	天楼	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_009.RogueSeason_Hard_009	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_009.Task_RogueSeason_Hard_009	
3010	area10	海岛	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_010.RogueSeason_Hard_010	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_010.Task_RogueSeason_Hard_010	
3011	area02	郊狼	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_011.RogueSeason_Hard_011	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_011.Task_RogueSeason_Hard_011	
3012	area11	雪原	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_012.RogueSeason_Hard_012	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_012.Task_RogueSeason_Hard_012	
3013	area08	天楼	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_013.RogueSeason_Hard_013	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_013.Task_RogueSeason_Hard_013	
3014	area10	海岛	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_014.RogueSeason_Hard_014	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_014.Task_RogueSeason_Hard_014	
3015	area02	郊狼	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_015.RogueSeason_Hard_015	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_015.Task_RogueSeason_Hard_015	
3016	area11	雪原	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_016.RogueSeason_Hard_016	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_016.Task_RogueSeason_Hard_016	
3017	area08	天楼	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_017.RogueSeason_Hard_017	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_017.Task_RogueSeason_Hard_017	
3018	area10	海岛	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_018.RogueSeason_Hard_018	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_018.Task_RogueSeason_Hard_018	
3019	area02	郊狼	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_019.RogueSeason_Hard_019	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_019.Task_RogueSeason_Hard_019	
3020	area11	雪原	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_020.RogueSeason_Hard_020	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_020.Task_RogueSeason_Hard_020	
3021	area18	水上乐园	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_021.RogueSeason_Hard_021	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_021.Task_RogueSeason_Hard_021	
3022	area25	新海岛	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_022.RogueSeason_Hard_022	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_022.Task_RogueSeason_Hard_022	
3023	area27	新海岛	7200		hard	/Game/Blueprints/LevelTask/Level/RogueSeason/HardLevel/RogueSeason_Hard_023.RogueSeason_Hard_023	/Game/Blueprints/LevelTask/Tasks/RogueSeason/HardLevel/Task_RogueSeason_Hard_023.Task_RogueSeason_Hard_023	
								
4001	area08	天楼	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_001.RogueSeason_Boss_001	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_001.Task_RogueSeason_Boss_001	
4002	area10	海岛	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_002.RogueSeason_Boss_002	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_002.Task_RogueSeason_Boss_002	
4003	area02	郊狼	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_003.RogueSeason_Boss_003	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_003.Task_RogueSeason_Boss_003	
4004	area11	雪原	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_004.RogueSeason_Boss_004	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_004.Task_RogueSeason_Boss_004	
4005	area08	天楼	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_005.RogueSeason_Boss_005	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_005.Task_RogueSeason_Boss_005	
4006	area10	海岛	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_006.RogueSeason_Boss_006	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_006.Task_RogueSeason_Boss_006	
4007	area02	郊狼	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_007.RogueSeason_Boss_007	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_007.Task_RogueSeason_Boss_007	
4008	area11	雪原	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_008.RogueSeason_Boss_008	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_008.Task_RogueSeason_Boss_008	
4009	area08	天楼	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_009.RogueSeason_Boss_009	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_009.Task_RogueSeason_Boss_009	
4010	area10	海岛	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_010.RogueSeason_Boss_010	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_010.Task_RogueSeason_Boss_010	
4011	area10	海岛	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_002.RogueSeason_Boss_002	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_002.Task_RogueSeason_Boss_002	
4012	area11	雪原	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_012.RogueSeason_Boss_012	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_012.Task_RogueSeason_Boss_012	
4013	area18	水上乐园	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_013.RogueSeason_Boss_013	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_013.Task_RogueSeason_Boss_013	
4014	area25	新海岛	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_014.RogueSeason_Boss_014	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_014.Task_RogueSeason_Boss_014	
4015	area27	新海岛	7200		boss	/Game/Blueprints/LevelTask/Level/RogueSeason/BossLevel/RogueSeason_Boss_015.RogueSeason_Boss_015	/Game/Blueprints/LevelTask/Tasks/RogueSeason/BossLevel/Task_RogueSeason_Boss_015.Task_RogueSeason_Boss_015	
								
5001	area08	天楼			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_001.RogueSeason_Lounge_001	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_001.Task_RogueSeason_Lounge_001	
5002	area10	海岛			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_002.RogueSeason_Lounge_002	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_002.Task_RogueSeason_Lounge_002	
5003	area02	郊狼			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_003.RogueSeason_Lounge_003	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_003.Task_RogueSeason_Lounge_003	
5004	area11	雪原			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_004.RogueSeason_Lounge_004	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_004.Task_RogueSeason_Lounge_004	
5005	area08	天楼			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_005.RogueSeason_Lounge_005	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_005.Task_RogueSeason_Lounge_005	
5006	area10	海岛			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_006.RogueSeason_Lounge_006	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_006.Task_RogueSeason_Lounge_006	
5007	area02	郊狼			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_007.RogueSeason_Lounge_007	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_007.Task_RogueSeason_Lounge_007	
5008	area11	雪原			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_008.RogueSeason_Lounge_008	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_008.Task_RogueSeason_Lounge_008	
5009	area18	水上乐园			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_009.RogueSeason_Lounge_009	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_009.Task_RogueSeason_Lounge_009	
5010	area25	新海岛			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_011.RogueSeason_Lounge_011	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_010.Task_RogueSeason_Lounge_010	
5011	area27	新海岛			lounge	/Game/Blueprints/LevelTask/Level/RogueSeason/OtherLevel/RogueSeason_Lounge_010.RogueSeason_Lounge_010	/Game/Blueprints/LevelTask/Tasks/RogueSeason/OtherLevel/Task_RogueSeason_Lounge_011.Task_RogueSeason_Lounge_011	
								
6001	area08	天楼	7200		fun_area08	/Game/Blueprints/LevelTask/Level/RogueSeason/FunLevel/RogueSeason_Fun_001.RogueSeason_Fun_001	/Game/Blueprints/LevelTask/Tasks/RogueSeason/FunLevel/Task_RogueSeason_Fun_001.Task_RogueSeason_Fun_001	
6002	area08	天楼	7200		fun_area08	/Game/Blueprints/LevelTask/Level/RogueSeason/FunLevel/RogueSeason_Fun_002.RogueSeason_Fun_002	/Game/Blueprints/LevelTask/Tasks/RogueSeason/FunLevel/Task_RogueSeason_Fun_002.Task_RogueSeason_Fun_002	
								
6051	area18	水上乐园	7200		challenge	/Game/Blueprints/LevelTask/Level/RogueSeason/ChallengeLevel/RogueSeason_Challenge_001.RogueSeason_Challenge_001	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChallengeLevel/Task_RogueSeason_Challenge_001.Task_RogueSeason_Challenge_001	
6052	area18	水上乐园	7200		challenge	/Game/Blueprints/LevelTask/Level/RogueSeason/ChallengeLevel/RogueSeason_Challenge_002.RogueSeason_Challenge_002	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChallengeLevel/Task_RogueSeason_Challenge_002.Task_RogueSeason_Challenge_002	
6053	area18	水上乐园	7200		challenge	/Game/Blueprints/LevelTask/Level/RogueSeason/ChallengeLevel/RogueSeason_Challenge_003.RogueSeason_Challenge_003	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChallengeLevel/Task_RogueSeason_Challenge_003.Task_RogueSeason_Challenge_003	
6054	area18	水上乐园	7200		challenge	/Game/Blueprints/LevelTask/Level/RogueSeason/ChallengeLevel/RogueSeason_Challenge_004.RogueSeason_Challenge_004	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChallengeLevel/Task_RogueSeason_Challenge_004.Task_RogueSeason_Challenge_004	
								
7001	area08	天楼	7200		inf	/Game/Blueprints/LevelTask/Level/RogueSeason/InfiniteLevel/RogueSeason_Inf_001.RogueSeason_Inf_001	/Game/Blueprints/LevelTask/Tasks/RogueSeason/InfiniteLevel/Task_RogueSeason_Inf_001.Task_RogueSeason_Inf_001	
7002	area08	天楼	7200		chaos	/Game/Blueprints/LevelTask/Level/RogueSeason/ChaosLevel/RogueSeason_chaos_002.RogueSeason_chaos_002	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChaosLevel/RogueSeason_chaos_002.RogueSeason_chaos_002	
7003	area10	海岛	7200		chaos	/Game/Blueprints/LevelTask/Level/RogueSeason/ChaosLevel/RogueSeason_chaos_003.RogueSeason_chaos_003	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChaosLevel/RogueSeason_chaos_003.RogueSeason_chaos_003	
7004	area02	郊狼	7200		chaos	/Game/Blueprints/LevelTask/Level/RogueSeason/ChaosLevel/RogueSeason_chaos_004.RogueSeason_chaos_004	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChaosLevel/RogueSeason_chaos_004.RogueSeason_chaos_004	
7005	area11	雪原	7200		chaos	/Game/Blueprints/LevelTask/Level/RogueSeason/ChaosLevel/RogueSeason_chaos_005.RogueSeason_chaos_005	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChaosLevel/RogueSeason_chaos_005.RogueSeason_chaos_005	
7006	area18	水上乐园	7200		chaos	/Game/Blueprints/LevelTask/Level/RogueSeason/ChaosLevel/RogueSeason_chaos_006.RogueSeason_chaos_006	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChaosLevel/RogueSeason_chaos_006.RogueSeason_chaos_006	
7007	area25	新海岛	7200		chaos	/Game/Blueprints/LevelTask/Level/RogueSeason/ChaosLevel/RogueSeason_chaos_007.RogueSeason_chaos_007	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChaosLevel/RogueSeason_chaos_007.RogueSeason_chaos_007	
7008	area27	新海岛	7200		chaos	/Game/Blueprints/LevelTask/Level/RogueSeason/ChaosLevel/RogueSeason_chaos_008.RogueSeason_chaos_008	/Game/Blueprints/LevelTask/Tasks/RogueSeason/ChaosLevel/RogueSeason_chaos_008.RogueSeason_chaos_008	
								
7051	area18	水上乐园			gacha	/Game/Blueprints/LevelTask/Level/RogueSeason/GachaLevel/RogueSeason_gacha_001.RogueSeason_gacha_001	/Game/Blueprints/LevelTask/Tasks/RogueSeason/GachaLevel/Task_RogueSeason_gacha_001.Task_RogueSeason_gacha_001	
7052	area08	天楼			gacha	/Game/Blueprints/LevelTask/Level/RogueSeason/GachaLevel/RogueSeason_gacha_002.RogueSeason_gacha_002	/Game/Blueprints/LevelTask/Tasks/RogueSeason/GachaLevel/Task_RogueSeason_gacha_002.Task_RogueSeason_gacha_002	
7053	area10	海岛			gacha	/Game/Blueprints/LevelTask/Level/RogueSeason/GachaLevel/RogueSeason_gacha_003.RogueSeason_gacha_003	/Game/Blueprints/LevelTask/Tasks/RogueSeason/GachaLevel/Task_RogueSeason_gacha_003.Task_RogueSeason_gacha_003	
7054	area02	郊狼			gacha	/Game/Blueprints/LevelTask/Level/RogueSeason/GachaLevel/RogueSeason_gacha_004.RogueSeason_gacha_004	/Game/Blueprints/LevelTask/Tasks/RogueSeason/GachaLevel/Task_RogueSeason_gacha_004.Task_RogueSeason_gacha_004	
7055	area11	雪原			gacha	/Game/Blueprints/LevelTask/Level/RogueSeason/GachaLevel/RogueSeason_gacha_005.RogueSeason_gacha_005	/Game/Blueprints/LevelTask/Tasks/RogueSeason/GachaLevel/Task_RogueSeason_gacha_005.Task_RogueSeason_gacha_005	
7056	area25	新海岛			gacha	/Game/Blueprints/LevelTask/Level/RogueSeason/GachaLevel/RogueSeason_gacha_006.RogueSeason_gacha_006	/Game/Blueprints/LevelTask/Tasks/RogueSeason/GachaLevel/Task_RogueSeason_gacha_006.Task_RogueSeason_gacha_006	
7057	area27	新海岛			gacha	/Game/Blueprints/LevelTask/Level/RogueSeason/GachaLevel/RogueSeason_gacha_007.RogueSeason_gacha_007	/Game/Blueprints/LevelTask/Tasks/RogueSeason/GachaLevel/Task_RogueSeason_gacha_007.Task_RogueSeason_gacha_007	
