房间Id	说明	权重	AI导演Id	数值模板	难度	描述	奖励代币	逻辑地图	Task路径	美术地图路径	标签，只支持一个
1006	简单6		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_006.RogueReal_Easy_006	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_006.Task_RogueReal_Easy_006	/Game/Maps/activity01/activity01_24.activity01_24	easy
1007	简单7		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_007.RogueReal_Easy_007	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_007.Task_RogueReal_Easy_007	/Game/Maps/activity01/activity01_22.activity01_22	easy
1008	简单8		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_008.RogueReal_Easy_008	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_008.Task_RogueReal_Easy_008	/Game/Maps/activity01/activity01_22.activity01_22	easy
1009	简单9		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_009.RogueReal_Easy_009	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_009.Task_RogueReal_Easy_009	/Game/Maps/activity01/activity01_30.activity01_30	easy
1010	简单10		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_010.RogueReal_Easy_010	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_010.Task_RogueReal_Easy_010	/Game/Maps/activity01/activity01_39.activity01_39	easy
1011	简单11		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_011.RogueReal_Easy_011	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_011.Task_RogueReal_Easy_011	/Game/Maps/activity01/activity01_35.activity01_35	easy
1012	简单12		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_012.RogueReal_Easy_012	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_012.Task_RogueReal_Easy_012	/Game/Maps/activity01/activity01_30.activity01_30	easy
1013	简单13		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_013.RogueReal_Easy_013	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_013.Task_RogueReal_Easy_013	/Game/Maps/activity01/activity01_24.activity01_24	easy
1014	简单14		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_014.RogueReal_Easy_014	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_014.Task_RogueReal_Easy_014	/Game/Maps/activity01/activity01_31.activity01_31	easy
1015	简单15		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_015.RogueReal_Easy_015	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_015.Task_RogueReal_Easy_015	/Game/Maps/activity01/activity01_22.activity01_22	easy
1016	简单16		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_016.RogueReal_Easy_016	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_016.Task_RogueReal_Easy_016	/Game/Maps/activity01/activity01_65.activity01_65	easy
1017	简单17		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_017.RogueReal_Easy_017	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_017.Task_RogueReal_Easy_017	/Game/Maps/activity01/activity01_62.activity01_62	easy
1018	简单18		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_018.RogueReal_Easy_018	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_018.Task_RogueReal_Easy_018	/Game/Maps/activity01/activity01_20.activity01_20	easy
1019	简单19		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_019.RogueReal_Easy_019	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_019.Task_RogueReal_Easy_019	/Game/Maps/activity04/activity04_02.activity04_02	easy
1020	简单20		7200					/Game/Blueprints/LevelTask/Level/RogueReal/EasyLevel/RogueReal_Easy_020.RogueReal_Easy_020	/Game/Blueprints/LevelTask/Tasks/RogueReal/EasyLevel/Task_RogueReal_Easy_020.Task_RogueReal_Easy_020	/Game/Maps/activity01/activity01_11.activity01_11	easy
											
2001	普通1		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_001.RogueReal_Normal_001	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_001.Task_RogueReal_Normal_001	/Game/Maps/activity01/activity01_11.activity01_11	normal
2002	普通2		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_002.RogueReal_Normal_002	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_002.Task_RogueReal_Normal_002	/Game/Maps/activity01/activity01_11.activity01_11	normal
2003	普通3		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_003.RogueReal_Normal_003	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_003.Task_RogueReal_Normal_003	/Game/Maps/activity01/activity01_11.activity01_11	normal
2004	普通4		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_004.RogueReal_Normal_004	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_004.Task_RogueReal_Normal_004	/Game/Maps/activity01/activity01_16.activity01_16	normal
2005	普通5		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_005.RogueReal_Normal_005	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_005.Task_RogueReal_Normal_005	/Game/Maps/activity01/activity01_35.activity01_35	normal
2006	普通6		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_006.RogueReal_Normal_006	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_006.Task_RogueReal_Normal_006	/Game/Maps/activity01/activity01_36.activity01_36	normal
2007	普通7		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_007.RogueReal_Normal_007	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_007.Task_RogueReal_Normal_007	/Game/Maps/activity01/activity01_37.activity01_37	normal
2008	普通8		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_008.RogueReal_Normal_008	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_008.Task_RogueReal_Normal_008	/Game/Maps/activity01/activity01_38.activity01_38	normal
2009	普通9		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_009.RogueReal_Normal_009	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_009.Task_RogueReal_Normal_009	/Game/Maps/activity01/activity01_20.activity01_20	normal
2010	普通10		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_010.RogueReal_Normal_010	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_010.Task_RogueReal_Normal_010	/Game/Maps/activity01/activity01_35.activity01_35	normal
2011	普通11		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_011.RogueReal_Normal_011	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_011.Task_RogueReal_Normal_011	/Game/Maps/activity01/activity01_20.activity01_20	normal
2012	普通12		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_012.RogueReal_Normal_012	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_012.Task_RogueReal_Normal_012	/Game/Maps/activity01/activity01_20.activity01_20	normal
2013	普通13		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_013.RogueReal_Normal_013	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_013.Task_RogueReal_Normal_013	/Game/Maps/activity01/activity01_22.activity01_22	normal
2014	普通14		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_014.RogueReal_Normal_014	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_014.Task_RogueReal_Normal_014	/Game/Maps/activity01/activity01_67.activity01_67	normal
2015	普通15		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_015.RogueReal_Normal_015	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_015.Task_RogueReal_Normal_015	/Game/Maps/activity01/activity01_61.activity01_61	normal
2016	普通16		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_016.RogueReal_Normal_016	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_016.Task_RogueReal_Normal_016	/Game/Maps/activity01/activity01_62.activity01_62	normal
2017	普通17		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_017.RogueReal_Normal_017	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_017.Task_RogueReal_Normal_017	/Game/Maps/activity01/activity01_11.activity01_11	normal
2018	普通18		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_018.RogueReal_Normal_018	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_018.Task_RogueReal_Normal_018	/Game/Maps/activity01/activity01_35.activity01_35	normal
2019	普通19		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_019.RogueReal_Normal_019	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_019.Task_RogueReal_Normal_019	/Game/Maps/activity01/activity01_12.activity01_12	normal
2020	普通20		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_020.RogueReal_Normal_020	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_020.Task_RogueReal_Normal_020	/Game/Maps/activity01/activity01_37.activity01_37	normal
2021	普通21		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_021.RogueReal_Normal_021	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_021.Task_RogueReal_Normal_021	/Game/Maps/activity01/activity01_38.activity01_38	normal
2022	普通22		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_022.RogueReal_Normal_022	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_022.Task_RogueReal_Normal_022	/Game/Maps/activity01/activity01_63.activity01_63	normal
2023	普通23		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_023.RogueReal_Normal_023	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_023.Task_RogueReal_Normal_023	/Game/Maps/activity04/activity04_01.activity04_01	normal
2024	普通24		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_024.RogueReal_Normal_024	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_024.Task_RogueReal_Normal_024	/Game/Maps/activity04/activity04_02.activity04_02	normal
2025	普通25		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_025.RogueReal_Normal_025	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_025.Task_RogueReal_Normal_025	/Game/Maps/activity01/activity01_65.activity01_65	normal
2026	普通26		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_026.RogueReal_Normal_026	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_026.Task_RogueReal_Normal_026	/Game/Maps/activity01/activity01_11.activity01_11	normal
2027	普通27		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_027.RogueReal_Normal_027	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_027.Task_RogueReal_Normal_027	/Game/Maps/activity01/activity01_31.activity01_31	normal
2028	普通28		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_028.RogueReal_Normal_028	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_028.Task_RogueReal_Normal_028	/Game/Maps/activity01/activity01_21.activity01_21	normal
2029	普通29		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_029.RogueReal_Normal_029	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_029.Task_RogueReal_Normal_029	/Game/Maps/activity01/activity01_12.activity01_12	normal
2030	普通30		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_030.RogueReal_Normal_030	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_030.Task_RogueReal_Normal_030	/Game/Maps/activity01/activity01_17.activity01_17	normal
2031	普通31		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_031.RogueReal_Normal_031	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_031.Task_RogueReal_Normal_031	/Game/Maps/activity01/activity01_36.activity01_36	normal
2032	普通32		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_032.RogueReal_Normal_032	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_032.Task_RogueReal_Normal_032	/Game/Maps/activity01/activity01_38.activity01_38	normal
2033	普通33		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_033.RogueReal_Normal_033	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_033.Task_RogueReal_Normal_033	/Game/Maps/activity01/activity01_35.activity01_35	normal
2034	普通34		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_034.RogueReal_Normal_034	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_034.Task_RogueReal_Normal_034	/Game/Maps/activity01/activity01_37.activity01_37	normal
2035	普通35		7200					/Game/Blueprints/LevelTask/Level/RogueReal/NormalLevel/RogueReal_Normal_035.RogueReal_Normal_035	/Game/Blueprints/LevelTask/Tasks/RogueReal/NormalLevel/Task_RogueReal_Normal_035.Task_RogueReal_Normal_035	/Game/Maps/activity01/activity01_11.activity01_11	normal
											
3001	困难1		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_001.RogueReal_Hard_001	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_001.Task_RogueReal_Hard_001	/Game/Maps/activity01/activity01_11.activity01_11	hard
3002	困难2		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_002.RogueReal_Hard_002	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_002.Task_RogueReal_Hard_002	/Game/Maps/activity01/activity01_23.activity01_23	hard
3003	困难3		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_003.RogueReal_Hard_003	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_003.Task_RogueReal_Hard_003	/Game/Maps/activity01/activity01_16.activity01_16	hard
3004	困难4		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_004.RogueReal_Hard_004	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_004.Task_RogueReal_Hard_004	/Game/Maps/activity01/activity01_20.activity01_20	hard
3005	困难5		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_005.RogueReal_Hard_005	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_005.Task_RogueReal_Hard_005	/Game/Maps/activity01/activity01_16.activity01_16	hard
3006	困难6		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_006.RogueReal_Hard_006	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_006.Task_RogueReal_Hard_006	/Game/Maps/activity01/activity01_16.activity01_16	hard
3007	困难7		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_007.RogueReal_Hard_007	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_007.Task_RogueReal_Hard_007	/Game/Maps/activity01/activity01_23.activity01_23	hard
3008	困难8		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_008.RogueReal_Hard_008	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_008.Task_RogueReal_Hard_008	/Game/Maps/activity01/activity01_11.activity01_11	hard
3009	困难9		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_009.RogueReal_Hard_009	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_009.Task_RogueReal_Hard_009	/Game/Maps/activity01/activity01_46.activity01_46	hard
3010	困难10		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_010.RogueReal_Hard_010	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_010.Task_RogueReal_Hard_010	/Game/Maps/activity01/activity01_47.activity01_47	hard
3011	困难11		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_011.RogueReal_Hard_011	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_011.Task_RogueReal_Hard_011	/Game/Maps/activity01/activity01_48.activity01_48	hard
3012	困难12		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_012.RogueReal_Hard_012	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_012.Task_RogueReal_Hard_012	/Game/Maps/activity01/activity01_51.activity01_51	hard
3013	困难13		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_013.RogueReal_Hard_013	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_013.Task_RogueReal_Hard_013	/Game/Maps/activity01/activity01_52.activity01_52	hard
3014	困难14		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_014.RogueReal_Hard_014	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_014.Task_RogueReal_Hard_014	/Game/Maps/activity01/activity01_54.activity01_54	hard
3015	困难15		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_015.RogueReal_Hard_015	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_015.Task_RogueReal_Hard_015	/Game/Maps/activity01/activity01_57.activity01_57	hard
3016	困难16		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_016.RogueReal_Hard_016	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_016.Task_RogueReal_Hard_016	/Game/Maps/activity01/activity01_20.activity01_20	hard
3017	困难17		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_017.RogueReal_Hard_017	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_017.Task_RogueReal_Hard_017	/Game/Maps/activity01/activity01_22.activity01_22	hard
3018	困难18		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_018.RogueReal_Hard_018	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_018.Task_RogueReal_Hard_018	/Game/Maps/activity01/activity01_22.activity01_22	hard
3019	困难19		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_019.RogueReal_Hard_019	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_019.Task_RogueReal_Hard_019	/Game/Maps/activity01/activity01_23.activity01_23	hard
3020	困难20		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_020.RogueReal_Hard_020	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_020.Task_RogueReal_Hard_020	/Game/Maps/activity01/activity01_63.activity01_63	hard
3021	困难21		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_021.RogueReal_Hard_021	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_021.Task_RogueReal_Hard_021	/Game/Maps/activity01/activity01_62.activity01_62	hard
3022	困难22		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_022.RogueReal_Hard_022	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_022.Task_RogueReal_Hard_022	/Game/Maps/activity01/activity01_31.activity01_31	hard
3023	困难23		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_023.RogueReal_Hard_023	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_023.Task_RogueReal_Hard_023	/Game/Maps/activity01/activity01_18.activity01_18	hard
3024	困难24		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_024.RogueReal_Hard_024	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_024.Task_RogueReal_Hard_024	/Game/Maps/activity01/activity01_19.activity01_19	hard
3025	困难25		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_025.RogueReal_Hard_025	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_025.Task_RogueReal_Hard_025	/Game/Maps/activity01/activity01_20.activity01_20	hard
3026	困难26		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_026.RogueReal_Hard_026	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_026.Task_RogueReal_Hard_026	/Game/Maps/activity01/activity01_70.activity01_70	hard
3027	困难27		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_027.RogueReal_Hard_027	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_027.Task_RogueReal_Hard_027	/Game/Maps/activity01/activity01_70.activity01_70	hard
3028	困难28		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_028.RogueReal_Hard_028	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_028.Task_RogueReal_Hard_028	/Game/Maps/activity01/activity01_68.activity01_68	hard
3029	困难29		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_029.RogueReal_Hard_029	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_029.Task_RogueReal_Hard_029	/Game/Maps/activity01/activity01_67.activity01_67	hard
3030	困难30		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_030.RogueReal_Hard_030	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_030.Task_RogueReal_Hard_030	/Game/Maps/activity01/activity01_66.activity01_66	hard
3031	困难31		7200					/Game/Blueprints/LevelTask/Level/RogueReal/HardLevel/RogueReal_Hard_031.RogueReal_Hard_031	/Game/Blueprints/LevelTask/Tasks/RogueReal/HardLevel/Task_RogueReal_Hard_031.Task_RogueReal_Hard_031	/Game/Maps/activity01/activity01_31.activity01_31	hard
