ID（不能修改，只能移除）	怪物id	//备注	//类型备注	掉落概率(多组，{数量,概率}, 概率从大到小配)(最大数量判断不要超过1023）	对应道具	怪物类型	铭牌最大数量
24	4001114	散射会员-降临团	普通	{{{200,10000},{100,1500},{0,600}},{{560,10000},{360,1500},{0,600}},{{1000,10000},{760,1500},{0,600}}}	{4,1,27,1}	1	3
25	5001101	波伏娃系统-降临团	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
26	4003103	长刀会员-降临团	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
27	4001116	降临火花-降临团	普通	{{{200,10000},{100,1500},{0,600}},{{560,10000},{360,1500},{0,600}},{{1000,10000},{760,1500},{0,600}}}	{4,1,27,1}	1	3
28	500110901	审判官-降临团	精英	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,2}	2	3
29	4003102	弓箭会员-降临团	普通	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,1}	1	3
30	4001112	连弩会员-降临团	普通	{{{200,10000},{100,1500},{0,600}},{{560,10000},{360,1500},{0,600}},{{1000,10000},{760,1500},{0,600}}}	{4,1,27,1}	1	3
31	5001111	幻射会员-降临团	精英	{{{80,10000},{40,1500},{0,600}},{{224,10000},{144,1500},{0,600}},{{400,10000},{304,1500},{0,600}}}	{4,1,27,2}	2	3
32	5001117	播种试图-降临团	精英	{{{20,10000},{10,1500},{0,600}},{{56,10000},{36,1500},{0,600}},{{100,10000},{76,1500},{0,600}}}	{4,1,27,2}	2	3
33	600120502	祟（火）-泰坦	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
34	6001102	加文-降临团	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
35	6001004	爱思特-郊狼	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
36	6002101	波伏娃13-降临团	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
37	6001206	尼亚尔-军方	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
38	6001003	约瑟夫-郊狼	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
39	6001005	二型验证机甲-郊狼	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
40	6001302	透墨索斯	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
41	6001303	尘白恶魔	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
42	4001103	长刀会员-降临团	普通	{{{20,10000},{10,1500},{0,600}},{{56,10000},{36,1500},{0,600}},{{100,10000},{76,1500},{0,600}}}	{4,1,27,1}	1	3
43	400110802	会员-老兵	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
44	4001106	爆破会员-降临团	普通	{{{50,10000},{25,1500},{0,600}},{{140,10000},{90,1500},{0,600}},{{250,10000},{190,1500},{0,600}}}	{4,1,27,1}	1	3
45	4001102	弓箭会员-降临团	普通	{{{20,10000},{10,1500},{0,600}},{{56,10000},{36,1500},{0,600}},{{100,10000},{76,1500},{0,600}}}	{4,1,27,1}	1	3
46	5001110	净化官-降临团	精英	{{{10,10000},{5,1500},{0,600}},{{28,10000},{18,1500},{0,600}},{{50,10000},{38,1500},{0,600}}}	{4,1,27,2}	2	3
47	400111201	连弩会员-老兵-降临团	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
48	400111401	散射会员（老兵）	普通	{{{20,10000},{10,1500},{0,600}},{{56,10000},{36,1500},{0,600}},{{100,10000},{76,1500},{0,600}}}	{4,1,27,1}	1	3
49	4002102	弓箭会员-降临团	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
50	5001311	太阳伞	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
51	5001308	塞壬	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
52	5001307	莱拉普斯	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
53	4001304	格里芬	普通	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,1}	1	3
54	4001303	哈比	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
55	4001301	埃罗	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
56	5001302	阿耳戈斯	精英	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,2}	2	3
57	4001306	滚石	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
58	400150602	清理部队（霰弹）	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
59	400250602	清理部队（步枪）	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
60	5001403	天启对策机	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
61	400130103	埃罗	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
62	400130403	格里芬	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
63	400350602	清理部队（近战）	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
64	5001402	巴伦支精英斥候	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
65	500100902	自走炮（换皮）	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
66	4001211	甲型异化人	普通	{{{150,10000},{75,1500},{0,600}},{{420,10000},{270,1500},{0,600}},{{750,10000},{570,1500},{0,600}}}	{4,1,27,1}	1	3
67	4001212	乙型异化人	普通	{{{150,10000},{75,1500},{0,600}},{{420,10000},{270,1500},{0,600}},{{750,10000},{570,1500},{0,600}}}	{4,1,27,1}	1	3
68	5001206	贡露（大眼）	精英	{{{60,10000},{30,1500},{0,600}},{{168,10000},{108,1500},{0,600}},{{300,10000},{228,1500},{0,600}}}	{4,1,27,2}	2	3
69	5001204	索列姆（扩音）	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
70	4001213	丙型异化人	普通	{{{150,10000},{75,1500},{0,600}},{{420,10000},{270,1500},{0,600}},{{750,10000},{570,1500},{0,600}}}	{4,1,27,1}	1	3
71	4001215	祸斗	普通	{{{200,10000},{100,1500},{0,600}},{{560,10000},{360,1500},{0,600}},{{1000,10000},{760,1500},{0,600}}}	{4,1,27,1}	1	3
72	4001216	侵蚀泰坦	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
73	5001208	密弥尔（低温）	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
74	5001209	古尔薇格（幻象）	精英	{{{20,10000},{10,1500},{0,600}},{{56,10000},{36,1500},{0,600}},{{100,10000},{76,1500},{0,600}}}	{4,1,27,2}	2	3
75	400101602	四象弩机	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
76	4001604	伪镖师	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
77	4001605	伪镖头	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
78	4002605	步枪兵	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
79	4003002	狙击兵	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
80	4001606	阴镖箱	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
81	4001602	鼯鼠无人机（换皮）	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
82	5001601	秉天护运机	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
83	5003010	加特林兵	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
84	5001607	伪造泰坦	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
85	400130105	埃罗换皮	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
86	400130405	格里芬换皮	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
87	400131005	噬咬球换皮	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
88	4001407	自爆机器人	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
89	500131105	太阳伞换皮	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
90	500130705	莱拉普斯换皮	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
91	5001406	AI机器人远程炮兵	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
92	5001405	AI机器人近战枪兵	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
93	4002016	炽热投手	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
94	5001305	西西弗斯	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
95	5001309	空壳遗迹守卫	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
96	6002601	玉节天龙(简化)	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
97	4002013	罐头a/b/c	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
98	600120801	二律背反的盟约(简化)	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
99	6001006	约瑟夫·顽骨	boss	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,3}	3	3
100	5002110	净化官-降临团	精英	{{{10,10000},{5,1500},{0,600}},{{28,10000},{18,1500},{0,600}},{{50,10000},{38,1500},{0,600}}}	{4,1,27,2}	2	3
101	4003016	污染投手	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
102	5001205	夏基（枯萎）	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
103	5001214	精英异化人	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
104	4001007	通条	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
105	400100304	螺钉（老兵）	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
106	4001016	炽热投手	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
