模式类型（1常规无尽 2赛季模式）	关卡ID（赛季对应关卡）	ID	怪物id	//备注	积分对应等级
2	1	76	5001111	精英:幻射会员-降临团	{{{120,180},43}}
2	1	77	5001117	精英:播种试图-降临团	{{{120,180},43}}
2	1	78	600120502	boss:祟（火）-泰坦	{{{120,180},423}}
2	1	79	6001102	boss:加文-降临团	{{{120,180},301}}
2	1	80	6001004	boss:爱思特-郊狼	{{{120,180},235}}
2	1	81	6002101	boss:波伏娃13-降临团	{{{120,180},308}}
2	1	82	6001206	boss:尼亚尔-军方	{{{120,180},340}}
2	1	83	6001003	boss:约瑟夫-郊狼	{{{120,180},320}}
2	1	84	6001005	boss:二型验证机甲-郊狼	{{{120,180},360}}
2	1	85	6001302	boss:透墨索斯	{{{120,180},336}}
2	1	86	6001303	boss:尘白恶魔	{{{120,180},462}}
2	1	87	4001103	长刀会员-降临团	{{{120,180},31}}
2	1	88	400110802	会员-老兵	{{{120,180},7}}
2	1	89	4001106	爆破会员-降临团	{{{120,180},9}}
2	1	90	4001102	弓箭会员-降临团	{{{120,180},18}}
2	1	91	5001110	净化官-降临团	{{{120,180},58}}
2	1	92	400111201	连弩会员-老兵-降临团	{{{120,180},9}}
2	1	93	400111401	散射会员（老兵）	{{{120,180},13}}
2	1	94	4002102	弓箭会员-降临团	{{{120,180},18}}
2	1	95	5001311	太阳伞	{{{120,180},90}}
2	1	96	5001308	塞壬	{{{120,180},72}}
2	1	97	5001307	莱拉普斯	{{{120,180},72}}
2	1	98	4001304	格里芬	{{{120,180},22}}
2	1	99	4001303	哈比	{{{120,180},35}}
2	1	100	4001301	埃罗	{{{120,180},7}}
2	1	101	5001302	阿耳戈斯	{{{120,180},54}}
2	1	102	4001306	滚石	{{{120,180},9}}
2	1	103	400150602	清理部队（霰弹）	{{{120,180},13}}
2	1	104	400250602	清理部队（步枪）	{{{120,180},13}}
2	1	105	5001403	天启对策机	{{{120,180},54}}
2	1	106	400130103	埃罗	{{{120,180},7}}
2	1	107	400130403	格里芬	{{{120,180},22}}
2	1	108	400350602	清理部队（近战）	{{{120,180},26}}
2	1	109	5001402	巴伦支精英斥候	{{{120,180},54}}
2	1	110	500100902	自走炮（换皮）	{{{120,180},36}}
2	1	111	4001211	甲型异化人	{{{120,180},4}}
2	1	112	4001212	乙型异化人	{{{120,180},4}}
2	1	113	5001206	贡露（大眼）	{{{120,180},54}}
2	1	114	5001204	索列姆（扩音）	{{{120,180},90}}
2	1	115	4001213	丙型异化人	{{{120,180},35}}
2	1	116	4001215	祸斗	{{{120,180},18}}
2	1	117	4001216	侵蚀泰坦	{{{120,180},9}}
2	1	118	5001208	密弥尔（低温）	{{{120,180},63}}
2	1	119	5001209	古尔薇格（幻象）	{{{120,180},108}}
2	1	120	400101602	四象弩机	{{{120,180},35}}
2	1	121	4001604	伪镖师	{{{120,180},13}}
2	1	122	4001605	伪镖头	{{{120,180},13}}
2	1	123	4002605	步枪兵	{{{120,180},13}}
2	1	124	4003002	狙击兵	{{{120,180},18}}
2	1	125	4001606	阴镖箱	{{{120,180},18}}
2	1	126	4001602	鼯鼠无人机（换皮）	{{{120,180},2}}
2	1	127	5001601	秉天护运机	{{{120,180},90}}
2	1	128	5003010	加特林兵	{{{120,180},72}}
2	1	129	5001607	伪造泰坦	{{{120,180},108}}
2	1	130	400130105	埃罗换皮	{{{120,180},7}}
2	1	131	400130405	格里芬换皮	{{{120,180},22}}
2	1	132	400131005	噬咬球换皮	{{{120,180},7}}
2	1	133	4001407	自爆机器人	{{{120,180},22}}
2	1	134	500131105	太阳伞换皮	{{{120,180},90}}
2	1	135	500130705	莱拉普斯换皮	{{{120,180},72}}
2	1	136	5001406	AI机器人远程炮兵	{{{120,180},90}}
2	1	137	5001405	AI机器人近战枪兵	{{{120,180},90}}
2	1	138	4002016	炽热投手	{{{120,180},26}}
2	1	139	5001305	西西弗斯	{{{120,180},72}}
2	1	140	5001309	空壳遗迹守卫	{{{120,180},72}}
2	1	141	6002601	蒙古沙虫	{{{120,180},336}}
2	1	142	4002013	罐头a/b/c	{{{120,180},35}}
2	1	143	600120801	二律背反的盟约	{{{120,180},336}}
2	1	144	6001006	约瑟夫·顽骨	{{{120,180},560}}
2	1	145	5002110	净化官-降临团	{{{120,180},58}}
2	1	146	4003016	污染投手	{{{120,180},26}}
2	1	147	5001205	夏基（枯萎）	{{{120,180},90}}
2	1	148	5001214	精英异化人	{{{120,180},54}}
2	1	149	4001007	通条	{{{120,180},13}}
2	1	150	400100304	螺钉（老兵）	{{{120,180},26}}
2	1	151	4001016	炽热投手	{{{120,180},26}}
2	1	152	600230103	刻耳柏洛斯·灼痕	{{{120,180},344}}
2	1	153	600140104	派·纯净	{{{120,180},299}}
2	1	154	600120507	祟·超限	{{{120,180},387}}
2	2	155	-1	通用小怪	{{{120,180},18}}
2	2	156	-2	通用精英	{{{120,180},70}}
2	2	157	-3	通用boss	{{{120,180},350}}
2	2	158	4001002	普通:灯泡-郊狼	{{{120,180},18}}
2	2	159	4001005	普通:钢珠-郊狼	{{{120,180},7}}
2	2	160	4001006	普通:喷壶-郊狼	{{{120,180},13}}
2	2	161	4001015	普通:简易哨兵-郊狼	{{{120,180},20}}
2	2	162	4001017	普通:链斧-郊狼	{{{120,180},44}}
2	2	163	4003003	普通:螺钉-郊狼	{{{120,180},26}}
2	2	164	4003004	普通:螺帽-郊狼	{{{120,180},7}}
2	2	165	4003006	普通:喷壶-郊狼	{{{120,180},13}}
2	2	166	4003007	普通:通条-郊狼	{{{120,180},13}}
2	2	167	5001001	精英:炉子-郊狼	{{{120,180},29}}
2	2	168	5001009	精英:自走炮-郊狼	{{{120,180},29}}
2	2	169	5001010	精英:铁锤-郊狼	{{{120,180},72}}
2	2	170	5001018	精英:猛火-郊狼	{{{120,180},54}}
2	2	171	5001019	精英:重壁-郊狼	{{{120,180},65}}
2	2	172	5002010	精英:喇叭-郊狼	{{{120,180},72}}
2	2	173	400160202	普通:鼹鼠无人机-郊狼	{{{120,180},2}}
2	2	174	5001113	精英:净化贤者-降临团	{{{120,180},47}}
2	2	175	5001118	精英:赐福者-降临团	{{{120,180},72}}
2	2	176	4001104	普通:武装会员-降临团	{{{120,180},40}}
2	2	177	4001108	普通:会员-降临团	{{{120,180},7}}
2	2	178	500110902	精英:审判官-降临团	{{{120,180},72}}
2	2	179	4003106	普通:爆破会员-降临团	{{{120,180},9}}
2	2	180	5003110	精英:净化官-降临团	{{{120,180},58}}
2	2	181	4001114	普通:散射会员-降临团	{{{120,180},13}}
2	2	182	5001101	精英:波伏娃系统-降临团	{{{120,180},50}}
2	2	183	4003103	普通:长刀会员-降临团	{{{120,180},31}}
2	2	184	4001116	普通:降临火花-降临团	{{{120,180},2}}
2	2	185	500110901	精英:审判官-降临团	{{{120,180},72}}
2	2	186	4003102	普通:弓箭会员-降临团	{{{120,180},18}}
2	2	187	4001112	普通:连弩会员-降临团	{{{120,180},9}}
2	2	188	5001111	精英:幻射会员-降临团	{{{120,180},43}}
2	2	189	5001117	精英:播种试图-降临团	{{{120,180},43}}
2	2	190	600120502	boss:祟（火）-泰坦	{{{120,180},423}}
2	2	191	6001102	boss:加文-降临团	{{{120,180},301}}
2	2	192	6001004	boss:爱思特-郊狼	{{{120,180},235}}
2	2	193	6002101	boss:波伏娃13-降临团	{{{120,180},308}}
2	2	194	6001206	boss:尼亚尔-军方	{{{120,180},340}}
2	2	195	6001003	boss:约瑟夫-郊狼	{{{120,180},320}}
2	2	196	6001005	boss:二型验证机甲-郊狼	{{{120,180},360}}
2	2	197	6001302	boss:透墨索斯	{{{120,180},336}}
2	2	198	6001303	boss:尘白恶魔	{{{120,180},462}}
2	2	199	4001103	长刀会员-降临团	{{{120,180},31}}
2	2	200	400110802	会员-老兵	{{{120,180},7}}
2	2	201	4001106	爆破会员-降临团	{{{120,180},9}}
2	2	202	4001102	弓箭会员-降临团	{{{120,180},18}}
2	2	203	5001110	净化官-降临团	{{{120,180},58}}
2	2	204	400111201	连弩会员-老兵-降临团	{{{120,180},9}}
2	2	205	400111401	散射会员（老兵）	{{{120,180},13}}
2	2	206	4002102	弓箭会员-降临团	{{{120,180},18}}
2	2	207	5001311	太阳伞	{{{120,180},90}}
2	2	208	5001308	塞壬	{{{120,180},72}}
2	2	209	5001307	莱拉普斯	{{{120,180},72}}
2	2	210	4001304	格里芬	{{{120,180},22}}
2	2	211	4001303	哈比	{{{120,180},35}}
2	2	212	4001301	埃罗	{{{120,180},7}}
2	2	213	5001302	阿耳戈斯	{{{120,180},54}}
2	2	214	4001306	滚石	{{{120,180},9}}
2	2	215	400150602	清理部队（霰弹）	{{{120,180},13}}
2	2	216	400250602	清理部队（步枪）	{{{120,180},13}}
2	2	217	5001403	天启对策机	{{{120,180},54}}
2	2	218	400130103	埃罗	{{{120,180},7}}
2	2	219	400130403	格里芬	{{{120,180},22}}
2	2	220	400350602	清理部队（近战）	{{{120,180},26}}
2	2	221	5001402	巴伦支精英斥候	{{{120,180},54}}
2	2	222	500100902	自走炮（换皮）	{{{120,180},36}}
2	2	223	4001211	甲型异化人	{{{120,180},4}}
2	2	224	4001212	乙型异化人	{{{120,180},4}}
2	2	225	5001206	贡露（大眼）	{{{120,180},54}}
2	2	226	5001204	索列姆（扩音）	{{{120,180},90}}
2	2	227	4001213	丙型异化人	{{{120,180},35}}
2	2	228	4001215	祸斗	{{{120,180},18}}
2	2	229	4001216	侵蚀泰坦	{{{120,180},9}}
2	2	230	5001208	密弥尔（低温）	{{{120,180},63}}
2	2	231	5001209	古尔薇格（幻象）	{{{120,180},108}}
2	2	232	400101602	四象弩机	{{{120,180},35}}
2	2	233	4001604	伪镖师	{{{120,180},13}}
2	2	234	4001605	伪镖头	{{{120,180},13}}
2	2	235	4002605	步枪兵	{{{120,180},13}}
2	2	236	4003002	狙击兵	{{{120,180},18}}
2	2	237	4001606	阴镖箱	{{{120,180},18}}
2	2	238	4001602	鼯鼠无人机（换皮）	{{{120,180},2}}
2	2	239	5001601	秉天护运机	{{{120,180},90}}
2	2	240	5003010	加特林兵	{{{120,180},72}}
2	2	241	5001607	伪造泰坦	{{{120,180},108}}
2	2	242	400130105	埃罗换皮	{{{120,180},7}}
2	2	243	400130405	格里芬换皮	{{{120,180},22}}
2	2	244	400131005	噬咬球换皮	{{{120,180},7}}
2	2	245	4001407	自爆机器人	{{{120,180},22}}
2	2	246	500131105	太阳伞换皮	{{{120,180},90}}
2	2	247	500130705	莱拉普斯换皮	{{{120,180},72}}
2	2	248	5001406	AI机器人远程炮兵	{{{120,180},90}}
2	2	249	5001405	AI机器人近战枪兵	{{{120,180},90}}
2	2	250	4002016	炽热投手	{{{120,180},26}}
2	2	251	5001305	西西弗斯	{{{120,180},72}}
2	2	252	5001309	空壳遗迹守卫	{{{120,180},72}}
2	2	253	6002601	蒙古沙虫	{{{120,180},336}}
2	2	254	4002013	罐头a/b/c	{{{120,180},35}}
2	2	255	600120801	二律背反的盟约	{{{120,180},336}}
2	2	256	6001006	约瑟夫·顽骨	{{{120,180},560}}
2	2	257	5002110	净化官-降临团	{{{120,180},58}}
2	2	258	4003016	污染投手	{{{120,180},26}}
2	2	259	5001205	夏基（枯萎）	{{{120,180},90}}
2	2	260	5001214	精英异化人	{{{120,180},54}}
2	2	261	4001007	通条	{{{120,180},13}}
2	2	262	400100304	螺钉（老兵）	{{{120,180},26}}
2	2	263	4001016	炽热投手	{{{120,180},26}}
2	2	264	600230103	刻耳柏洛斯·灼痕	{{{120,180},344}}
2	2	265	600140104	派·纯净	{{{120,180},299}}
2	2	266	600120507	祟·超限	{{{120,180},387}}
2	3	267	-1	通用小怪	{{{120,180},18}}
2	3	268	-2	通用精英	{{{120,180},70}}
2	3	269	-3	通用boss	{{{120,180},350}}
2	3	270	4001002	普通:灯泡-郊狼	{{{120,180},18}}
2	3	271	4001005	普通:钢珠-郊狼	{{{120,180},7}}
2	3	272	4001006	普通:喷壶-郊狼	{{{120,180},13}}
2	3	273	4001015	普通:简易哨兵-郊狼	{{{120,180},20}}
2	3	274	4001017	普通:链斧-郊狼	{{{120,180},44}}
2	3	275	4003003	普通:螺钉-郊狼	{{{120,180},26}}
2	3	276	4003004	普通:螺帽-郊狼	{{{120,180},7}}
2	3	277	4003006	普通:喷壶-郊狼	{{{120,180},13}}
2	3	278	4003007	普通:通条-郊狼	{{{120,180},13}}
2	3	279	5001001	精英:炉子-郊狼	{{{120,180},29}}
2	3	280	5001009	精英:自走炮-郊狼	{{{120,180},29}}
2	3	281	5001010	精英:铁锤-郊狼	{{{120,180},72}}
2	3	282	5001018	精英:猛火-郊狼	{{{120,180},54}}
2	3	283	5001019	精英:重壁-郊狼	{{{120,180},65}}
2	3	284	5002010	精英:喇叭-郊狼	{{{120,180},72}}
2	3	285	400160202	普通:鼹鼠无人机-郊狼	{{{120,180},2}}
2	3	286	5001113	精英:净化贤者-降临团	{{{120,180},47}}
2	3	287	5001118	精英:赐福者-降临团	{{{120,180},72}}
2	3	288	4001104	普通:武装会员-降临团	{{{120,180},40}}
2	3	289	4001108	普通:会员-降临团	{{{120,180},7}}
2	3	290	500110902	精英:审判官-降临团	{{{120,180},72}}
2	3	291	4003106	普通:爆破会员-降临团	{{{120,180},9}}
2	3	292	5003110	精英:净化官-降临团	{{{120,180},58}}
2	3	293	4001114	普通:散射会员-降临团	{{{120,180},13}}
2	3	294	5001101	精英:波伏娃系统-降临团	{{{120,180},50}}
2	3	295	4003103	普通:长刀会员-降临团	{{{120,180},31}}
2	3	296	4001116	普通:降临火花-降临团	{{{120,180},2}}
2	3	297	500110901	精英:审判官-降临团	{{{120,180},72}}
2	3	298	4003102	普通:弓箭会员-降临团	{{{120,180},18}}
2	3	299	4001112	普通:连弩会员-降临团	{{{120,180},9}}
2	3	300	5001111	精英:幻射会员-降临团	{{{120,180},43}}
2	3	301	5001117	精英:播种试图-降临团	{{{120,180},43}}
2	3	302	600120502	boss:祟（火）-泰坦	{{{120,180},423}}
2	3	303	6001102	boss:加文-降临团	{{{120,180},301}}
2	3	304	6001004	boss:爱思特-郊狼	{{{120,180},235}}
2	3	305	6002101	boss:波伏娃13-降临团	{{{120,180},308}}
2	3	306	6001206	boss:尼亚尔-军方	{{{120,180},340}}
2	3	307	6001003	boss:约瑟夫-郊狼	{{{120,180},320}}
2	3	308	6001005	boss:二型验证机甲-郊狼	{{{120,180},360}}
2	3	309	6001302	boss:透墨索斯	{{{120,180},336}}
2	3	310	6001303	boss:尘白恶魔	{{{120,180},462}}
2	3	311	4001103	长刀会员-降临团	{{{120,180},31}}
2	3	312	400110802	会员-老兵	{{{120,180},7}}
2	3	313	4001106	爆破会员-降临团	{{{120,180},9}}
2	3	314	4001102	弓箭会员-降临团	{{{120,180},18}}
2	3	315	5001110	净化官-降临团	{{{120,180},58}}
2	3	316	400111201	连弩会员-老兵-降临团	{{{120,180},9}}
2	3	317	400111401	散射会员（老兵）	{{{120,180},13}}
2	3	318	4002102	弓箭会员-降临团	{{{120,180},18}}
2	3	319	5001311	太阳伞	{{{120,180},90}}
2	3	320	5001308	塞壬	{{{120,180},72}}
2	3	321	5001307	莱拉普斯	{{{120,180},72}}
2	3	322	4001304	格里芬	{{{120,180},22}}
2	3	323	4001303	哈比	{{{120,180},35}}
2	3	324	4001301	埃罗	{{{120,180},7}}
2	3	325	5001302	阿耳戈斯	{{{120,180},54}}
2	3	326	4001306	滚石	{{{120,180},9}}
2	3	327	400150602	清理部队（霰弹）	{{{120,180},13}}
2	3	328	400250602	清理部队（步枪）	{{{120,180},13}}
2	3	329	5001403	天启对策机	{{{120,180},54}}
2	3	330	400130103	埃罗	{{{120,180},7}}
2	3	331	400130403	格里芬	{{{120,180},22}}
2	3	332	400350602	清理部队（近战）	{{{120,180},26}}
2	3	333	5001402	巴伦支精英斥候	{{{120,180},54}}
2	3	334	500100902	自走炮（换皮）	{{{120,180},36}}
2	3	335	4001211	甲型异化人	{{{120,180},4}}
2	3	336	4001212	乙型异化人	{{{120,180},4}}
2	3	337	5001206	贡露（大眼）	{{{120,180},54}}
2	3	338	5001204	索列姆（扩音）	{{{120,180},90}}
2	3	339	4001213	丙型异化人	{{{120,180},35}}
2	3	340	4001215	祸斗	{{{120,180},18}}
2	3	341	4001216	侵蚀泰坦	{{{120,180},9}}
2	3	342	5001208	密弥尔（低温）	{{{120,180},63}}
2	3	343	5001209	古尔薇格（幻象）	{{{120,180},108}}
2	3	344	400101602	四象弩机	{{{120,180},35}}
2	3	345	4001604	伪镖师	{{{120,180},13}}
2	3	346	4001605	伪镖头	{{{120,180},13}}
2	3	347	4002605	步枪兵	{{{120,180},13}}
2	3	348	4003002	狙击兵	{{{120,180},18}}
2	3	349	4001606	阴镖箱	{{{120,180},18}}
2	3	350	4001602	鼯鼠无人机（换皮）	{{{120,180},2}}
2	3	351	5001601	秉天护运机	{{{120,180},90}}
2	3	352	5003010	加特林兵	{{{120,180},72}}
2	3	353	5001607	伪造泰坦	{{{120,180},108}}
2	3	354	400130105	埃罗换皮	{{{120,180},7}}
2	3	355	400130405	格里芬换皮	{{{120,180},22}}
2	3	356	400131005	噬咬球换皮	{{{120,180},7}}
2	3	357	4001407	自爆机器人	{{{120,180},22}}
2	3	358	500131105	太阳伞换皮	{{{120,180},90}}
2	3	359	500130705	莱拉普斯换皮	{{{120,180},72}}
2	3	360	5001406	AI机器人远程炮兵	{{{120,180},90}}
2	3	361	5001405	AI机器人近战枪兵	{{{120,180},90}}
2	3	362	4002016	炽热投手	{{{120,180},26}}
2	3	363	5001305	西西弗斯	{{{120,180},72}}
2	3	364	5001309	空壳遗迹守卫	{{{120,180},72}}
2	3	365	6002601	蒙古沙虫	{{{120,180},336}}
2	3	366	4002013	罐头a/b/c	{{{120,180},35}}
2	3	367	600120801	二律背反的盟约	{{{120,180},336}}
2	3	368	6001006	约瑟夫·顽骨	{{{120,180},560}}
2	3	369	5002110	净化官-降临团	{{{120,180},58}}
2	3	370	4003016	污染投手	{{{120,180},26}}
2	3	371	5001205	夏基（枯萎）	{{{120,180},90}}
2	3	372	5001214	精英异化人	{{{120,180},54}}
2	3	373	4001007	通条	{{{120,180},13}}
2	3	374	400100304	螺钉（老兵）	{{{120,180},26}}
2	3	375	4001016	炽热投手	{{{120,180},26}}
2	3		600230103	刻耳柏洛斯·灼痕	{{{120,180},344}}
2	3		600140104	派·纯净	{{{120,180},299}}
2	3		600120507	祟·超限	{{{120,180},387}}
2	4	370	-1	通用小怪	{{{120,180},18}}
2	4	371	-2	通用精英	{{{120,180},70}}
2	4	372	-3	通用boss	{{{120,180},350}}
2	4	373	4001002	普通:灯泡-郊狼	{{{120,180},18}}
2	4	374	4001005	普通:钢珠-郊狼	{{{120,180},7}}
2	4	375	4001006	普通:喷壶-郊狼	{{{120,180},13}}
2	4	376	4001015	普通:简易哨兵-郊狼	{{{120,180},20}}
2	4	377	4001017	普通:链斧-郊狼	{{{120,180},44}}
2	4	378	4003003	普通:螺钉-郊狼	{{{120,180},26}}
2	4	379	4003004	普通:螺帽-郊狼	{{{120,180},7}}
2	4	380	4003006	普通:喷壶-郊狼	{{{120,180},13}}
2	4	381	4003007	普通:通条-郊狼	{{{120,180},13}}
2	4	382	5001001	精英:炉子-郊狼	{{{120,180},29}}
2	4	383	5001009	精英:自走炮-郊狼	{{{120,180},29}}
2	4	384	5001010	精英:铁锤-郊狼	{{{120,180},72}}
2	4	385	5001018	精英:猛火-郊狼	{{{120,180},54}}
2	4	386	5001019	精英:重壁-郊狼	{{{120,180},65}}
2	4	387	5002010	精英:喇叭-郊狼	{{{120,180},72}}
2	4	388	400160202	普通:鼹鼠无人机-郊狼	{{{120,180},2}}
2	4	389	5001113	精英:净化贤者-降临团	{{{120,180},47}}
2	4	390	5001118	精英:赐福者-降临团	{{{120,180},72}}
2	4	391	4001104	普通:武装会员-降临团	{{{120,180},40}}
2	4	392	4001108	普通:会员-降临团	{{{120,180},7}}
2	4	393	500110902	精英:审判官-降临团	{{{120,180},72}}
2	4	394	4003106	普通:爆破会员-降临团	{{{120,180},9}}
2	4	395	5003110	精英:净化官-降临团	{{{120,180},58}}
2	4	396	4001114	普通:散射会员-降临团	{{{120,180},13}}
2	4	397	5001101	精英:波伏娃系统-降临团	{{{120,180},50}}
2	4	398	4003103	普通:长刀会员-降临团	{{{120,180},31}}
2	4	399	4001116	普通:降临火花-降临团	{{{120,180},2}}
2	4	400	500110901	精英:审判官-降临团	{{{120,180},72}}
2	4	401	4003102	普通:弓箭会员-降临团	{{{120,180},18}}
2	4	402	4001112	普通:连弩会员-降临团	{{{120,180},9}}
2	4	403	5001111	精英:幻射会员-降临团	{{{120,180},43}}
2	4	404	5001117	精英:播种试图-降临团	{{{120,180},43}}
2	4	405	600120502	boss:祟（火）-泰坦	{{{120,180},423}}
2	4	406	6001102	boss:加文-降临团	{{{120,180},301}}
2	4	407	6001004	boss:爱思特-郊狼	{{{120,180},235}}
2	4	408	6002101	boss:波伏娃13-降临团	{{{120,180},308}}
2	4	409	6001206	boss:尼亚尔-军方	{{{120,180},340}}
2	4	410	6001003	boss:约瑟夫-郊狼	{{{120,180},320}}
2	4	411	6001005	boss:二型验证机甲-郊狼	{{{120,180},360}}
2	4	412	6001302	boss:透墨索斯	{{{120,180},336}}
2	4	413	6001303	boss:尘白恶魔	{{{120,180},462}}
2	4	414	4001103	长刀会员-降临团	{{{120,180},31}}
2	4	415	400110802	会员-老兵	{{{120,180},7}}
2	4	416	4001106	爆破会员-降临团	{{{120,180},9}}
2	4	417	4001102	弓箭会员-降临团	{{{120,180},18}}
2	4	418	5001110	净化官-降临团	{{{120,180},58}}
2	4	419	400111201	连弩会员-老兵-降临团	{{{120,180},9}}
2	4	420	400111401	散射会员（老兵）	{{{120,180},13}}
2	4	421	4002102	弓箭会员-降临团	{{{120,180},18}}
2	4	422	5001311	太阳伞	{{{120,180},90}}
2	4	423	5001308	塞壬	{{{120,180},72}}
2	4	424	5001307	莱拉普斯	{{{120,180},72}}
2	4	425	4001304	格里芬	{{{120,180},22}}
2	4	426	4001303	哈比	{{{120,180},35}}
2	4	427	4001301	埃罗	{{{120,180},7}}
2	4	428	5001302	阿耳戈斯	{{{120,180},54}}
2	4	429	4001306	滚石	{{{120,180},9}}
2	4	430	400150602	清理部队（霰弹）	{{{120,180},13}}
2	4	431	400250602	清理部队（步枪）	{{{120,180},13}}
2	4	432	5001403	天启对策机	{{{120,180},54}}
2	4	433	400130103	埃罗	{{{120,180},7}}
2	4	434	400130403	格里芬	{{{120,180},22}}
2	4	435	400350602	清理部队（近战）	{{{120,180},26}}
2	4	436	5001402	巴伦支精英斥候	{{{120,180},54}}
2	4	437	500100902	自走炮（换皮）	{{{120,180},36}}
2	4	438	4001211	甲型异化人	{{{120,180},4}}
2	4	439	4001212	乙型异化人	{{{120,180},4}}
