玩法组	节点id	备注	路线数量	地图风貌	通道地图	路线1	路线2	路线3{{地图组,权重}}	特殊路线和触发条件	房间等级	怪物数值模板	完成后获得的经验	完成后获得的科技点	完成后获得的奖券（赛季生效）	完成后获得的钥匙（冒险模式生效）	完成后获得的万能钥匙（冒险模式生效）	完成后消耗的精力值（冒险模式生效）	初始地图配置(地图组,地图id)
400	7	极难-房间6	3			fight_hard	fight_boss	fight_hard	{"mystery",1}	110	16	16	4	1	0	0	0	
400	8	极难-房间7	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	113	16	18	4	1	0	0	0	
400	9	极难-房间8	3			fight_hard_personal	fight_boss	fight_boss	{"mystery",1}	116	16	18	5	0	1	0	6	
400	10	极难-房间9	3			relx_rare_3	bingo_level1	shop_level2	{"mystery",1}	119	16	20	5	1	0	1	0	
400	11	极难-房间10	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	122	16	20	5	1	0	0	0	
400	12	极难-房间11	3			fight_boss	fight_hard_magic	fight_hard	{"mystery",1}	125	16	20	5	0	1	0	6	
400	13	极难-房间12	3			fight_boss	fight_boss	fight_boss	{"mystery",1}	128	16	22	6	1	0	0	0	
400	14	极难-房间13	3			relx_normal	random_nofight_hard	random_havefight_hard	{"mystery",1}	131	16	22	6	1	0	0	0	
400	15	极难-房间14	3			fight_hard	fight_hard	fight_boss	{"mystery",1}	134	16	22	6	1	1	0	6	
400	16	极难-房间15	3			bingo_level2	random_havefight_hard	random_havefight_hard	{"mystery",1}	137	16	24	6	0	0	1	0	
400	17	极难-房间16	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	140	16	24	7	1	0	0	0	
400	18	极难-房间17	3			fight_boss	fight_boss	fight_hard	{"mystery",1}	144	16	26	7	1	1	0	6	
400	19	极难-房间18	3			relx_rare_3	shop_level3	random_havefight_hard	{"mystery",1}	148	16	32	8	1	0	0	0	
400	20	极难-房间19	3			fight_hard	fight_hard	fight_hard		152	16	40	8	1	0	0	0	
400	21	极难-房间20	1			fight_finboss				156	16	48	10	1	1	0	6	
400	22	极难-房间21	1			fight_infinity				160	16	60	12	2	0	1	0	
400	23	极难-无尽关	0							160	16	0	0	0	0	0	0	
401	1	极难2-起点	3			fight_normal_vip	fight_normal_vip	fight_normal_vip		0	16	0	0	0	0	0	0	start,1
401	2	极难2-房间1	3			fight_normal	fight_normal	fight_normal_magic	{"mystery",1}	100	16	12	2	1	1	0	7	
401	3	极难2-房间2	3			reward_normal	random_havefight_hard	random_nofight_normal	{"mystery",1}	102	16	12	3	0	0	0	0	
401	4	极难2-房间3	3			fight_boss	fight_hard	fight_hard	{"mystery",1}	104	16	14	3	1	1	0	7	
401	5	极难2-房间4	3			fight_hard_personal	fight_hard	fight_hard	{"mystery",1}	106	16	14	4	1	0	0	0	
401	6	极难2-房间5	3			relx_normal	reward_normal	reward_normal	{"mystery",1}	108	16	16	4	0	1	0	6	
401	7	极难2-房间6	3			fight_boss	fight_boss	fight_boss	{"mystery",1}	110	16	16	4	1	0	0	0	
401	8	极难2-房间7	3			random_havefight_hard	random_havefight_hard	random_nofight_hard	{"mystery",1}	113	16	18	4	1	0	0	0	
401	9	极难2-房间8	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	116	16	18	5	0	1	0	6	
401	10	极难2-房间9	3			fight_hard	fight_boss	fight_hard	{"mystery",1}	119	16	20	5	1	0	1	0	
401	11	极难2-房间10	3			shop_level2	bingo_level1	relx_rare_3	{"mystery",1}	122	16	20	5	1	0	0	0	
401	12	极难2-房间11	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	125	16	20	5	0	1	0	6	
401	13	极难2-房间12	3			reward_hard	random_havefight_hard	random_havefight_hard	{"mystery",1}	128	16	22	6	1	0	0	0	
401	14	极难2-房间13	3			fight_hard_magic	fight_boss	fight_boss	{"mystery",1}	131	16	22	6	1	0	0	0	
401	15	极难2-房间14	3			fight_hard	fight_boss	fight_boss	{"mystery",1}	134	16	22	6	1	1	0	6	
401	16	极难2-房间15	3			relx_normal	fight_hard	fight_boss	{"mystery",1}	137	16	24	6	0	0	1	0	
401	17	极难2-房间16	3			fight_boss	fight_boss	fight_boss	{"mystery",1}	140	16	24	7	1	0	0	0	
401	18	极难2-房间17	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	144	16	26	7	1	1	0	6	
401	19	极难2-房间18	3			random_havefight_hard	bingo_level2	relx_rare_3	{"mystery",1}	148	16	32	8	1	0	0	0	
401	20	极难2-房间19	3			shop_level3	random_havefight_hard	random_nofight_hard		152	16	40	8	1	0	0	0	
401	21	极难2-房间20	1			fight_finboss				156	16	48	10	1	1	0	6	
401	22	极难2-房间21	1			fight_infinity				160	16	60	12	2	0	1	0	
401	23	极难2-无尽关	0							160	16	0	0	0	0	0	0	
402	1	极难3-起点	3			fight_normal_vip	fight_normal_vip	fight_normal_vip		0	16	0	0	0	0	0	0	start,1
402	2	极难3-房间1	3			fight_normal	reward_normal	fight_normal	{"mystery",1}	100	16	12	2	1	1	0	7	
402	3	极难3-房间2	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	102	16	12	3	0	0	0	0	
402	4	极难3-房间3	3			fight_hard	fight_hard_personal	fight_hard	{"mystery",1}	104	16	14	3	1	1	0	7	
402	5	极难3-房间4	3			relx_normal	reward_normal	random_havefight_hard	{"mystery",1}	106	16	14	4	1	0	0	0	
402	6	极难3-房间5	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	108	16	16	4	0	1	0	6	
402	7	极难3-房间6	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	110	16	16	4	1	0	0	0	
402	8	极难3-房间7	3			shop_level2	random_nofight_hard	relx_normal	{"mystery",1}	113	16	18	4	1	0	0	0	
402	9	极难3-房间8	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	116	16	18	5	0	1	0	6	
402	10	极难3-房间9	3			fight_hard	fight_boss	fight_boss	{"mystery",1}	119	16	20	5	1	0	1	0	
402	11	极难3-房间10	3			random_havefight_hard	shop_level3	reward_hard	{"mystery",1}	122	16	20	5	1	0	0	0	
402	12	极难3-房间11	3			fight_boss	fight_boss	fight_boss	{"mystery",1}	125	16	20	5	0	1	0	6	
402	13	极难3-房间12	3			fight_hard	fight_boss	fight_hard	{"mystery",1}	128	16	22	6	1	0	0	0	
402	14	极难3-房间13	3			random_havefight_hard	random_havefight_hard	relx_rare_3	{"mystery",1}	131	16	22	6	1	0	0	0	
402	15	极难3-房间14	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	134	16	22	6	1	1	0	6	
402	16	极难3-房间15	3			fight_boss	fight_hard	fight_boss	{"mystery",1}	137	16	24	6	0	0	1	0	
402	17	极难3-房间16	3			bingo_level2	relx_normal	fight_boss	{"mystery",1}	140	16	24	7	1	0	0	0	
402	18	极难3-房间17	3			fight_hard	fight_boss	fight_hard	{"mystery",1}	144	16	26	7	1	1	0	6	
402	19	极难3-房间18	3			fight_boss	fight_hard	fight_hard	{"mystery",1}	148	16	32	8	1	0	0	0	
402	20	极难3-房间19	3			shop_level3	reward_hard	relx_rare_3		152	16	40	8	1	0	0	0	
402	21	极难3-房间20	1			fight_finboss				156	16	48	10	1	1	0	6	
402	22	极难3-房间21	1			fight_infinity				160	16	60	12	2	0	1	0	
402	23	极难3-无尽关	0							160	16	0	0	0	0	0	0	
403	1	极难4-起点	3			reward_normal	fight_normal_vip	fight_normal_vip		0	16	0	0	0	0	0	0	start,1
403	2	极难4-房间1	3			fight_normal	fight_normal_magic	fight_normal	{"mystery",1}	100	16	12	2	1	1	0	7	
403	3	极难4-房间2	3			shop_level2	random_havefight_hard	fight_hard_personal	{"mystery",1}	102	16	12	3	0	0	0	0	
403	4	极难4-房间3	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	104	16	14	3	1	1	0	7	
403	5	极难4-房间4	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	106	16	14	4	1	0	0	0	
403	6	极难4-房间5	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	108	16	16	4	0	1	0	6	
403	7	极难4-房间6	3			random_nofight_normal	relx_normal	reward_normal	{"mystery",1}	110	16	16	4	1	0	0	0	
403	8	极难4-房间7	3			fight_hard	fight_boss	random_havefight_hard	{"mystery",1}	113	16	18	4	1	0	0	0	
403	9	极难4-房间8	3			fight_boss	fight_boss	fight_hard_personal	{"mystery",1}	116	16	18	5	0	1	0	6	
403	10	极难4-房间9	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	119	16	20	5	1	0	1	0	
403	11	极难4-房间10	3			reward_hard	random_havefight_hard	fight_hard	{"mystery",1}	122	16	20	5	1	0	0	0	
403	12	极难4-房间11	3			fight_hard	fight_hard	fight_hard	{"mystery",1}	125	16	20	5	0	1	0	6	
403	13	极难4-房间12	3			fight_boss	fight_boss	fight_boss	{"mystery",1}	128	16	22	6	1	0	0	0	
403	14	极难4-房间13	3			shop_level3	relx_rare_3	bingo_level2	{"mystery",1}	131	16	22	6	1	0	0	0	
403	15	极难4-房间14	3			fight_hard	fight_hard_magic	fight_hard	{"mystery",1}	134	16	22	6	1	1	0	6	
403	16	极难4-房间15	3			fight_hard	fight_hard	fight_boss	{"mystery",1}	137	16	24	6	0	0	1	0	
403	17	极难4-房间16	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	140	16	24	7	1	0	0	0	
403	18	极难4-房间17	3			fight_boss	random_havefight_hard	reward_hard	{"mystery",1}	144	16	26	7	1	1	0	6	
403	19	极难4-房间18	3			fight_hard	fight_boss	fight_hard	{"mystery",1}	148	16	32	8	1	0	0	0	
403	20	极难4-房间19	3			relx_rare_3	shop_level3	fight_boss		152	16	40	8	1	0	0	0	
403	21	极难4-房间20	1			fight_finboss				156	16	48	10	1	1	0	6	
403	22	极难4-房间21	1			fight_infinity				160	16	60	12	2	0	1	0	
403	23	极难4-无尽关	0							160	16	0	0	0	0	0	0	
404	1	极难5-起点	3			fight_normal_vip	fight_normal_vip	fight_normal_vip		0	16	0	0	0	0	0	0	start,1
404	2	极难5-房间1	3			random_havefight_hard	reward_normal	fight_normal	{"mystery",1}	100	16	12	2	1	1	0	7	
404	3	极难5-房间2	3			fight_normal	fight_normal	fight_normal	{"mystery",1}	102	16	12	3	0	0	0	0	
404	4	极难5-房间3	3			fight_hard_magic	fight_hard	fight_hard	{"mystery",1}	104	16	14	3	1	1	0	7	
404	5	极难5-房间4	3			shop_level2	relx_normal	fight_hard_personal	{"mystery",1}	106	16	14	4	1	0	0	0	
404	6	极难5-房间5	3			fight_boss	fight_boss	fight_boss	{"mystery",1}	108	16	16	4	0	1	0	6	
404	7	极难5-房间6	3			fight_boss	random_havefight_hard	reward_normal	{"mystery",1}	110	16	16	4	1	0	0	0	
404	8	极难5-房间7	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	113	16	18	4	1	0	0	0	
404	9	极难5-房间8	3			random_havefight_hard	random_havefight_hard	random_havefight_hard	{"mystery",1}	116	16	18	5	0	1	0	6	
404	10	极难5-房间9	3			random_havefight_hard	fight_boss	fight_hard_magic	{"mystery",1}	119	16	20	5	1	0	1	0	
404	11	极难5-房间10	3			random_havefight_hard	shop_level3	random_havefight_hard	{"mystery",1}	122	16	20	5	1	0	0	0	
404	12	极难5-房间11	3			fight_boss	fight_hard_personal	fight_boss	{"mystery",1}	125	16	20	5	0	1	0	6	
404	13	极难5-房间12	3			fight_hard	relx_rare_3	random_havefight_hard	{"mystery",1}	128	16	22	6	1	0	0	0	
404	14	极难5-房间13	3			fight_boss	fight_boss	fight_boss	{"mystery",1}	131	16	22	6	1	0	0	0	
