赛季ID	地图ID	点位id	位置	主线路追踪顺序	备注	初始状态（0隐藏 1可见）	解锁所需道具（藏宝图）	连线关系	点位类型（1起点，2奖励，3商店，4试用，5特殊门，6万能钥匙兑换，7buff）	点位类型为商店、特殊们时需要显示的icon	奖励道具	冒险道具奖励	试用角色ID	特殊门ID	BuffID
2	1	29	29			1		{39,40}	2		{5,5,1,1,18}				
2	1	30	30			1		{40}	2			{7,1}			
2	1	31	31			1		{9,10}	2		{5,21,2,5,1}				
2	1	32	32			1		{8,9}	2		{4,2,1,4,3}				
2	1	33	33			1		{7,8}	4				103122		
2	1	34	34	8		1		{13,14}	4				103126		
2	1	35	35	7		1		{6,7,13}	2		{5,2,1,4,5}				
2	1	36	36	5		1		{4,5,37}	4				103124		
2	1	37	37	4		1		{3,4}	2		{4,1,6,5,30}				
2	1	38	38			1		{37}	3	1001231					
2	1	39	39	3		1		{2,3,38}	2		{5,2,1,3,20}				
2	1	40	40			1		{36,38}	2		{5,21,2,5,1}				
2	1	41	41			1		{36}	4				103125		
2	1	42	42	2		1		{1,2,31}	2		{4,3,1,1,30000}				
2	1	43	43			1		{31,32}	2		{5,21,2,5,1}				
2	1	44	44			1		{32,33,35}	4				103123		
2	1	45	45			1		{35}	2			{2,1}			
2	1	46	46			1		{33,34}	2			{8,1}			
2	1	47	47			1		{34}	2		{5,5,1,4,1}				
2	1	100	100			1		{1}	1						
2	1	101	101	17		1		{22,23}	5					3	
2	1	102	102	11		1		{11,12,17}	5					1	
2	1	103	103	6		1		{5,6}	5					2	
															
3	2	1	1	1		1		{1,2,21,19}	2		{4,3,1,1,5000}				
3	2	3	3	3		1		{3,4}	2		{4,2,1,4,1}				
3	2	4	4	4		1		{4,5,26}	2		{5,5,1,1,4}				
3	2	5	5	5		1		{5,6}	2		{5,6,1,2,1}				
3	2	6	6	6		1		{6,7,33}	2		{4,3,1,1,8000}				
3	2	7	7	7		1		{7,8}	2		{5,2,1,3,5}				
3	2	8	8	8		1		{8,9}	2		{5,5,1,2,4}				
3	2	9	9	9		1		{9,10}	2		{4,3,2,1,50}				
3	2	10	10	10		1		{10,11}	2		{4,3,1,1,10000}				
3	2	11	11	11		1		{11,12}	2		{4,2,1,4,1}				
3	2	12	12	12		1		{12,13}	2		{4,1,6,5,20}				
3	2	14	14	14		1		{14,15}	2		{5,5,1,1,5}				
3	2	15	15	15		1		{15,16}	2		{5,5,1,3,1}				
3	2	16	16	16		1		{16,17,43}	2		{4,3,2,1,50}				
3	2	17	17	17		1		{17,18}	2		{4,3,1,1,20000}				
3	2	18	18	18		1		{18}	2		{13,1,17,1,1}				
3	2	19	19			1		{19,20}	2		{5,2,1,3,4}				
3	2	20	20			1		{20}	6	1001231					
3	2	21	21			1		{21,22}	2		{5,5,1,1,4}				
3	2	22	22			1		{22,23}	2		{5,5,1,1,6}				
3	2	23	23			1		{23,24}	2		{5,6,1,2,1}				
3	2	25	25			1		{25}	2			{1,1}			
3	2	26	26			1		{26,27}	2		{5,5,1,2,5}				
3	2	27	27			1		{27,28,29}	2		{4,3,1,1,15000}				
3	2	28	28			1		{28}	7	1001087					5003
3	2	29	29			1		{29,30}	2		{5,2,1,3,7}				
3	2	30	30			1		{30,31}	2		{5,6,1,2,1}				
3	2	31	31			1		{31,32}	2		{4,2,1,4,1}				
3	2	32	32			0	{1,2,3}	{32}	2		{5,21,2,5,1}				
3	2	33	33			1		{33,34}	2		{5,2,1,4,2}				
3	2	34	34			1		{34,35}	2		{5,2,1,3,7}				
3	2	35	35			1		{35,36}	2		{5,6,1,2,1}				
3	2	36	36			1		{36,37}	7	1001089					5002
3	2	37	37			1		{37}	2			{2,1}			
3	2	38	38			1		{38,39}	7	1001082					5001
3	2	39	39			1		{39,40}	2		{4,2,1,4,1}				
3	2	40	40			1		{40,41}	2		{5,21,2,5,1}				
3	2	41	41			1		{41,42}	2		{5,5,1,1,6}				
3	2	42	42			1		{42}	2			{3,1}			
3	2	43	43			1		{43,44}	2		{5,5,1,2,5}				
3	2	44	44			1		{44,45}	2		{5,5,1,4,1}				
3	2	45	45			1		{45}	2		{5,5,1,3,3}				
3	2	100	100			1		{1}	1						
3	2	101	101	2		1		{2,3}	5					11	
3	2	102	102			1		{24,25}	5					12	
3	2	103	103	13		1		{13,14,38}	5					13	
															
3	3	201	1	1		1		{201,202}	2		{5,2,1,3,5}				
3	3	202	2	2		1		{202,203}	2		{4,3,1,1,5000}				
3	3	203	3	3		1		{203,204}	2		{5,5,1,1,5}				
3	3	204	4	5		1		{205,206,223}	2		{4,2,1,4,1}				
3	3	205	5	6		1		{206,207,225}	2		{4,3,1,1,8000}				
3	3	206	6	7		1		{207,208}	2		{4,1,6,5,20}				
3	3	207	7	8		1		{208,209}	2		{5,2,1,4,2}				
3	3	208	8	10		1		{210,211}	2		{5,5,1,2,6}				
3	3	209	9	11		1		{211,212}	2		{4,3,1,1,15000}				
3	3	210	10	12		1		{212,213}	2		{4,2,1,4,1}				
3	3	211	11	13		1		{213,214}	2		{5,6,1,2,1}				
3	3	212	12	14		1		{214,215}	2		{5,5,1,3,2}				
3	3	213	13	15		1		{215,216}	2		{5,5,1,2,6}				
3	3	214	14	17		1		{217,218,232}	2		{5,5,1,4,1}				
3	3	215	15	18		1		{218,219}	2		{5,6,1,2,1}				
3	3	216	16	19		1		{219}	2		{5,21,2,5,1}				
3	3	217	17			1		{220,221}	2		{4,3,1,1,10000}				
3	3	218	18			1		{221,222}	7	1001093					5004
3	3	219	19			1		{222}	2			{4,1}			
3	3	220	20			1		{223,224}	2		{5,2,1,3,6}				
3	3	221	21			1		{224}	2		{5,5,1,2,4}				
3	3	222	22			1		{225,226}	2		{4,3,1,1,10000}				
3	3	223	23			1		{226}	2		{5,2,1,3,6}				
3	3	224	24			1		{227,228}	7	1001096					5005
3	3	225	25			1		{228,229}	2		{4,2,1,4,1}				
3	3	226	26			1		{229,230}	2		{4,3,2,1,50}				
3	3	227	27			1		{230,231}	2		{5,2,1,4,3}				
3	3	228	28			0	{4,5,6}	{231}	2		{5,21,2,5,1}				
3	3	229	29			1		{232,233,235}	2		{5,2,1,3,8}				
3	3	230	30			1		{233,234}	2		{5,5,1,1,6}				
3	3	231	31			1		{234}	2			{6,1}			
3	3	232	32			1		{235,236}	2		{4,3,2,1,50}				
3	3	233	33			1		{236}	2		{4,3,1,1,20000}				
3	3	234	34			1		{237,238}	2		{4,3,1,1,15000}				
3	3	235	35			1		{238,239}	2		{5,2,1,4,3}				
3	3	236	36			1		{239,240,241}	2		{5,5,1,1,6}				
3	3	237	37			1		{240}	2		{4,1,6,5,20}				
3	3	238	38			1		{241,242}	2		{4,2,1,4,1}				
3	3	239	39			1		{242,243}	2		{5,21,2,5,1}				
3	3	240	40			1		{243}	2			{5,1}			
3	3	300	100			1		{201}	1						
3	3	301	101	4		1		{204,205,220}	5					14	
3	3	302	102	9		1		{209,210,227,237}	5					15	
3	3	303	103	16		1		{216,217}	5					16	
