buffid	备注	效果分类1	效果分类2	名称	图标	描述	描述备注	描述中的数值	图鉴显示（1buff 2道具 3诅咒）	角色限制	武器限制	科技限制	前置buff	所属套装	套装名称（图鉴用）	所属套装备注	buff类型（1.全局  2.个人  3.通用可叠加)	SkillInfoId	SkillEffect	品质	在商店中的价格	丢掉时补偿的代币
1013	射击伤害提高60%/90%，但射击会消耗5%的当前生命值，每次消耗时获得一层【怨恨】效果，当持有5层怨恨时下次射击造成的伤害提高200%/300%，并回复本次伤害10%的生命值(这个值可以稍微给高点）	射击强化	{3}	rogue3.buff_name_13	1001118	rogue3.buff_des_13	射击伤害提升{1}%，每次射击消耗当前生命的5%，同时获得1层【积怨】效果，叠加至5层时下次射击造成的伤害提升{2}%，并回复本次伤害10%的生命	{60,200}	1					1	rogue3.talent_name_101	威势	1		{700011401}	4	240	80
1014	对【电涌】目标造成伤害提高60%/90%，并回复本次伤害5%的生命值，每3秒触发一次	回复	{7}	rogue3.buff_name_14	1001089	rogue3.buff_des_14	对【贯电】状态下目标造成伤害提升{1}%，并回复本次伤害5%的生命，触发间隔3秒	{60}	1				{1508}	1	rogue3.talent_name_101	威势	1		{700011402}	4	240	80
1015	每1秒射击伤害提高30%/45%，最多提高至300%/450%，射击造成伤害时消耗当前层数	射击强化	{3}	rogue3.buff_name_15	1001118	rogue3.buff_des_15	射击伤害每1秒提升{1}%，最多叠加{2}层，造成射击伤害时消耗当前层数	{30,10}	1					1	rogue3.talent_name_101	威势	1		{700011403}	4	240	80
1016	射击伤害会为敌人附加技能易伤效果，使3秒内受到的技能伤害提高30%/45%（包括dot伤害和附魔伤害）	破防	{8}	rogue3.buff_name_16	1001113	rogue3.buff_des_16	射击伤害会为目标施加技能易伤效果，使其3秒内受到的技能伤害提高{1}%	{30}	1					1	rogue3.talent_name_101	威势	1		{700011404}	4	240	80
1017	技能命中处于控制状态下的敌人或造成控制效果时，造成一次敌人2%/3%最大生命值的纯粹伤害，每3秒最多触发一次	额外伤害	{9}	rogue3.buff_name_17	1001112	rogue3.buff_des_17	技能命中处于控制状态下的目标或造成控制效果时，额外造成1次目标{1}%最大生命的真实伤害，触发间隔3秒	{3}	1					1	rogue3.talent_name_101	威势	2		{700011405}	4	240	80
1018	每次射击后会在【冰寒】【火热】两种属性间进行切换，【火热】属性射击命中时会为敌人附加一层【荒芜】效果，【冰寒】属性射击命中时附加【雾冻】效果，若单位u身上同时拥有【荒芜】【雾冻】两种效果，则会基于当前【荒芜】层数造成一次高热伤害，每层【荒芜】效果造成角色6%/9%攻击力的高热伤害（视为dot伤害），至多叠加5层。【雾冻】效果使目标攻击力降低20%/20%，持续3秒	额外伤害,破防	{9,8}	rogue3.buff_name_18	1001107	rogue3.buff_des_18	队员获得【阳】、【阴】两种效果，每次射击切换一次效果，【阳】效果的射击会对目标施加1层【光】效果，最多叠加5层，【阴】效果的射击会对目标施加【影】效果，使其攻击力降低{2}%，持续3秒；当目标处于【光】效果下，再被施加【影】效果时会基于当前【光】效果的层数对目标造成1次爆炸伤害：每层【光】效果造成队员{1}%攻击力的高热类型伤害	{9,20}	1					1	rogue3.talent_name_101	威势	2		{700011501}	5	360	120
1019	造成射击伤害时使自身技能伤害提升50/75%，造成技能伤害时使自身射击伤害提升50%/75%，强化效果持续5秒。当同时拥有两种强化效果时，两种强化的加成翻倍	射击强化,技能强化	{3,4}	rogue3.buff_name_19	1001118	rogue3.buff_des_19	造成射击伤害时，自身技能伤害提升{1}%，造成技能伤害时，则射击伤害提升{2}%，持续5秒；同时拥有这两个效果时，则二者提供的加成均翻倍	{50,50}	1					1	rogue3.talent_name_101	威势	1		{700011502}	5	360	120
1020	造成技能伤害时为自身和敌人都施加一层【过载】效果，【过载】最多叠加5层，自身拥有【过载】时，每次对敌人造成技能伤害时基于自身【过载】层数造成一次额外电击类型伤害，每层【过载】造成10%/15%攻击力伤害，视为技能伤害，敌人拥有【过载】时，每层使受到的技能伤害提高5%/7%，过载效果每秒移除一层	额外伤害,技能强化	{9,4}	rogue3.buff_name_20	1001106	rogue3.buff_des_20	技能造成伤害时，为自身和目标施加1层【爆】效果，最多叠加至5层，队员拥有该效果时，技能对目标造成伤害会基于【爆】的层数对目标额外造成1次电击类型伤害，每层造成{1}%攻击力的伤害，视为技能伤害；目标拥有【爆】效果时，每有1层，会使其受到的技能伤害提升{2}%，【爆】效果每秒移除1层	{10,5}	1					1	rogue3.talent_name_101	威势	1		{700011503}	5	360	120
1101	暴击伤害增幅提高30%/45%	暴击提升	{10}	rogue3.buff_name_21	1001085	rogue3.buff_des_21	暴击伤害提升{1}%	{45}	1					5	rogue3.talent_name_105	精准	2		{700013101}	1	60	20
1102	瞄准射击伤害提高30%/45%	射击强化	{3}	rogue3.buff_name_22	1001081	rogue3.buff_des_22	瞄准射击伤害提升{1}%	{30}	1					5	rogue3.talent_name_105	精准	1		{700013102}	1	60	20
1103	武器准确度提高50/75%	射击强化	{3}	rogue3.buff_name_23	1001081	rogue3.buff_des_23	武器准确度提升{1}%	{50}	1					5	rogue3.talent_name_105	精准	1	{7013103}		1	60	20
1104	命中弱点降低目标30%移动速度，持续5/10秒	控制	{6}	rogue3.buff_name_24	1001114	rogue3.buff_des_24	命中目标弱点可使其移动速度降低30%，持持续{1}秒	{5}	1					5	rogue3.talent_name_105	精准	1		{700013201}	2	90	30
1105	弱点伤害无视目标20%/30%防御力	破防	{8}	rogue3.buff_name_25	1001113	rogue3.buff_des_25	对目标弱点造成伤害时，可无视其{1}%防御力	{30}	1					5	rogue3.talent_name_105	精准	2		{700013202}	2	90	30
1106	瞄准状态下暴击率提高15%/25%	暴击提升	{10}	rogue3.buff_name_26	1001084	rogue3.buff_des_26	瞄准状态下暴击率提升{1}%	{15}	1					5	rogue3.talent_name_105	精准	1		{700013203}	2	90	30
1107	通过命中弱点的方式击杀敌人获得攻击力提升，每次触发提高1%/1.5%，最多叠加40次	攻击提升	{2}	rogue3.buff_name_27	1001086	rogue3.buff_des_27	每次通过命中弱点击败目标时，攻击力提升{1}%，最多叠加至40层	{1}	1					5	rogue3.talent_name_105	精准	1		{700013204}	2	90	30
1108	根据目标距离自己的距离提高造成的伤害，越远造成伤害越高，最多提高40%/60%	伤害提升	{5}	rogue3.buff_name_28	1001081	rogue3.buff_des_28	目标距离自身越远，则对其造成的伤害越高，最多提升{1}%	{40}	1					5	rogue3.talent_name_105	精准	1		{700013301}	3	120	40
1109	处于瞄准状态2秒后，受到的最终伤害降低25%/35%，移动速度提高20%/30%	移动提升,防御	{11,14}	rogue3.buff_name_29	1001081	rogue3.buff_des_29	处于瞄准状态2秒后，受到的伤害降低{1}%，移动速度提升{2}%	{25,20}	1					5	rogue3.talent_name_105	精准	1		{700013302}	3	120	40
1110	对处于控制状态下的目标造成伤害提高50%/75%	伤害提升	{5}	rogue3.buff_name_30	1001086	rogue3.buff_des_30	对处于控制状态下的目标造成的伤害提升{1}%	{75}	1					5	rogue3.talent_name_105	精准	2		{700013303}	3	120	40
1111	命中敌人弱点时将会击飞敌人，并额外造成一次自身攻击力120%/180%的动能伤害，触发间隔2秒	控制,额外伤害	{6,9}	rogue3.buff_name_31	1001112	rogue3.buff_des_31	命中目标弱点时会将其击飞，并额外造成1次自身攻击力{1}%的动能类型伤害，触发间隔2秒	{120}	1					5	rogue3.talent_name_105	精准	1		{700013304}	3	120	40
1112	每次命中弱点回复本次伤害10%/15%的生命值，每10秒触发一次	回复	{7}	rogue3.buff_name_32	1001089	rogue3.buff_des_32	每次命中弱点都回复本次伤害{1}%的生命，触发间隔10秒	{10}	1					5	rogue3.talent_name_105	精准	1		{700013305}	3	120	40
1113	射击命中弱点时，最终伤害提升30%/45%，命中非弱点时，最终伤害降低20%	伤害提升	{5}	rogue3.buff_name_33	1001081	rogue3.buff_des_33	射击命中弱点时，最终伤害提升{1}%，命中非弱点部位时，最终伤害降低20%	{30}	1					5	rogue3.talent_name_105	精准	1		{700013401}	4	240	80
1114	射击未命中弱点使目标下次受到的弱点伤害提高30%/50%，至多提高300%/500%	伤害提升	{5}	rogue3.buff_name_34	1001081	rogue3.buff_des_34	射击未命中目标弱点时，会使队员下次弱点受到的伤害提升{1}%，至多提升{2}%	{30,300}	1					5	rogue3.talent_name_105	精准	1		{700013402}	4	240	80
1115	对【霜冻】状态下目标造成的暴击伤害增幅提高50%/75%，且额外无视【霜冻】状态下目标10%/15%防御力	暴击提升,破防	{10,8}	rogue3.buff_name_35	1001113	rogue3.buff_des_35	对【霜腐】状态下目标造成的暴击伤害提升{1}%，且无视目标{2}%防御力	{75,15}	1				{1509}	5	rogue3.talent_name_105	精准	2		{700013403}	4	240	80
1116	命中弱点时使自身射击速度提高10%/15%，最多叠加5层，射击未命中弱点清除所有层数	射击强化	{3}	rogue3.buff_name_36	1001092	rogue3.buff_des_36	射击命中目标弱点时使自身射击速度提升{1}%，最多叠加5层，未命中弱点则清除所有层数	{10}	1					5	rogue3.talent_name_105	精准	1		{700013404}	4	240	80
1117	使用狙击枪命中弱点时，有1%的概率造成500%/700%最终伤害，每次命中弱点若未触发效果则使概率提高1%	伤害提升	{5}	rogue3.buff_name_37	1001100	rogue3.buff_des_37	狙击枪命中目标弱点时，有1%的概率造成{1}%最终伤害，每次命中弱点若未触发效果则使概率提升1%	{500}	1					5	rogue3.talent_name_105	精准	1		{700013405}	4	240	80
1118	通过命中弱点的方式击杀敌人回复两颗弹药，且暴击伤害提高20/30%，最多叠加5层，持续10秒	弹药回复,暴击提升	{12,10}	rogue3.buff_name_38	1001090	rogue3.buff_des_38	命中弱点击败目标，则立即装填2颗子弹，且暴击伤害提升{1}%，持续10秒，最多叠加5层	{20}	1					5	rogue3.talent_name_105	精准	1		{700013501}	5	360	120
1119	命中敌人弱点时会额外附带一次持续1秒的冻结效果，处于冻结状态的敌人受到攻击或冻结时间结束后会解冻但会被附加【碎冰】效果，受到的弱点伤害提升50%/75%并移动速度降低30%，持续10秒，敌人10秒内无法再次被附加【碎冰】效果。	控制	{6}	rogue3.buff_name_39	1001115	rogue3.buff_des_39	命中目标弱点会施加持续1秒的冻结效果，处于冻结效果的目标受到攻击时或冻结时间结束时会解冻，并被施加【碎碎冰】效果：受到的弱点伤害提升{1}%，移动速度降低30%，持续10秒，10秒内无法再次被施加【碎碎冰】效果	{50}	1					5	rogue3.talent_name_105	精准	1		{700013502}	5	360	120
1120	获得死神之眼，每10秒触发一次，进入瞄准状态后对自身30米范围内的和敌人施加5秒迟缓，死神之眼状态下暴击伤害增幅提升10%/100%，死神之眼持续5秒，结束后进入触发冷却	控制,暴击提升	{6,10}	rogue3.buff_name_40	1001085	rogue3.buff_des_40	获得【猎视】效果：进入瞄准状态后，暴击伤害增幅提升{1}%，并对周围30米范围内目标施加迟缓效果，持续5秒，触发间隔10秒，效果结束后开始计算	{100}	1					5	rogue3.talent_name_105	精准	2		{700013503}	5	360	120
1201	护盾获取效能提高20%/30%	护盾	{13}	rogue3.buff_name_41	1001109	rogue3.buff_des_41	护盾获取效能提升{1}%	{20}	1					4	rogue3.talent_name_104	坚毅	1		{700014101}	1	60	20
1202	护盾构建效能提高20%/30%	护盾	{13}	rogue3.buff_name_42	1001109	rogue3.buff_des_42	护盾构建效能提升{1}%	{20}	1					4	rogue3.talent_name_104	坚毅	1		{700014102}	1	60	20
1203	受到最终伤害降低10%/15%	防御	{14}	rogue3.buff_name_43	1001087	rogue3.buff_des_43	受到的最终伤害降低{1}%	{15}	1					4	rogue3.talent_name_104	坚毅	2		{700014103}	1	60	20
1204	释放技能时获得最大生命值2%/3%的护盾，不能叠加，持续3秒	护盾	{13}	rogue3.buff_name_44	1001109	rogue3.buff_des_44	使用技能时获得最大生命{1}%的护盾，持续3秒，不可叠加	{3}	1					4	rogue3.talent_name_104	坚毅	2		{700014201}	2	90	30
1205	当前生命值每降低1%，造成的伤害则提高0.4%/0.6%	伤害提升	{5}	rogue3.buff_name_45	1001086	rogue3.buff_des_45	队员生命每降低1%，则造成的伤害提升{1}%	{0.4}	1					4	rogue3.talent_name_104	坚毅	1		{700014202}	2	90	30
1206	每秒获得自身最大生命值0.3%/0.7%的护盾，该护盾最多叠加30层	护盾	{13}	rogue3.buff_name_46	1001109	rogue3.buff_des_46	每秒获得自身最大生命{1}%的护盾，最多叠加至30层	{0.3}	1					4	rogue3.talent_name_104	坚毅	1		{700014203}	2	90	30
1207	每次翻滚后获得50%/75%伤害提升，翻滚会额外消耗5%当前生命，角色不会因此效果死亡，持续10秒	伤害提升	{5}	rogue3.buff_name_47	1001086	rogue3.buff_des_47	每次战术闪避会消耗5%当前生命，然后伤害提升{1}%，持续10秒，队员不会因该效果倒下	{50}	1					4	rogue3.talent_name_104	坚毅	1		{700014204}	2	90	30
1208	根据目标距离自己的距离提高造成的伤害，越近造成伤害越高，最多提高50%/75%（在50m降低至0）	伤害提升	{5}	rogue3.buff_name_48	1001108	rogue3.buff_des_48	目标距离自身越近，则对其造成的伤害越高，最多提升{1}%	{50}	1					4	rogue3.talent_name_104	坚毅	1		{700014301}	3	120	40
1209	【套装提供护盾】在失效时，角色获得剩余护盾值5%/15%的治疗效果	回复	{7}	rogue3.buff_name_49	1001089	rogue3.buff_des_49	铁卫激励的护盾在失效时，队员获得剩余护盾值{1}%的治疗效果	{5}	1					4	rogue3.talent_name_104	坚毅	1		{700014302}	3	120	40
1210	降低30%最大生命，但造成的伤害提高60%/90%	伤害提升	{5}	rogue3.buff_name_50	1001086	rogue3.buff_des_50	最大生命降低30%，造成的伤害提升{1}%	{90}	1					4	rogue3.talent_name_104	坚毅	2		{700014303}	3	120	40
1211	若当前生命不满，则射击速度提高20%/30%	射击强化	{3}	rogue3.buff_name_51	1001092	rogue3.buff_des_51	若当前生命低于最大生命，则射击速度提升{1}%	{20}	1					4	rogue3.talent_name_104	坚毅	1		{700014304}	3	120	40
1212	血量低于80%时受到的最终伤害降低20%/30%	防御	{14}	rogue3.buff_name_52	1001087	rogue3.buff_des_52	当前生命低于最大生命80%时，受到的最终伤害降低{1}%	{20}	1					4	rogue3.talent_name_104	坚毅	1		{700014305}	3	120	40
1213	血量低于50%时技能伤害提高40%/60%，技能急速增加40/60，且每秒额外获得1/1.5点常规能量	技能强化	{4}	rogue3.buff_name_53	1001119	rogue3.buff_des_53	当前生命低于最大生命50%时，所有技能伤害提升{1}%，技能急速提升{2}%，且每秒额外获得{3}常规能量	{40,40,1}	1					4	rogue3.talent_name_104	坚毅	1		{700014401}	4	240	80
1214	造成伤害的0.5%/1%会转化为护盾，护盾上限为最大生命的100%/100%，该护盾每秒减少最大生命值的5%	护盾	{13}	rogue3.buff_name_54	1001109	rogue3.buff_des_54	每当造成伤害时，获得{1}%最大生命的护盾，护盾最多可叠加至{2}层，每秒自然减少{3}层	{5,20,1}	1					4	rogue3.talent_name_104	坚毅	1		{700014402}	4	240	80
1215	护盾值的5%/7.5%转化为攻击力	攻击提升	{2}	rogue3.buff_name_55	1001109	rogue3.buff_des_55	攻击力增加当前护盾的{1}%	{5}	1					4	rogue3.talent_name_104	坚毅	1		{700014403}	4	240	80
1216	对【流血】目标造成伤害量的0.5%转化为护盾，护盾上限为最大生命的30%/50%	护盾	{13}	rogue3.buff_name_56	1001092	rogue3.buff_des_56	对【风伤】状态下的目标造成伤害时，获得{1}%最大生命的护盾，最多叠加至{2}层	{3,10}	1				{1510}	4	rogue3.talent_name_104	坚毅	1		{700014404}	4	240	80
1217	释放技能时消耗自身10%的当前生命值，使5秒内造成的最终伤害提升50%/100%，每5秒最多触发一次	伤害提升	{5}	rogue3.buff_name_57	1001107	rogue3.buff_des_57	使用技能时会消耗当前生命5%，队员不会因该效果倒下，技能造成的最终伤害提升{1}%，持续5秒，触发间隔5秒	{100}	1					4	rogue3.talent_name_104	坚毅	2		{700014405}	4	240	80
1218	根据当前血量百分比获得阶段性强化，低于80%【激愤】：护盾获取效能提高30%/50%，低于50%【怨怒】：射击速度提升15%/25%；技能急速提高30/50，低于30%【狂暴】，攻击力提高50%/75%	射击强化,攻击提升	{3,2}	rogue3.buff_name_58	1001108	rogue3.buff_des_58	基于当前生命获得强化，低于80%时获得【愤】：护盾获取效能提升{1}%，低于50%时获得【怒】：射击速度提升{2}%且技能急速提升{3}，低于30%时说的【狂】：攻击力提高{4}%，以上效果可同时存在	{30,15,30,50}	1					4	rogue3.talent_name_104	坚毅	1		{700014501}	5	360	120
1219	受到致命伤害时，角色不会死亡并进入背水一战状态，获得持续10秒的无敌状态，并在接下来10秒内获得100%/200%射击速度，触发间隔60秒	防御,射击强化	{14,3}	rogue3.buff_name_59	1001108	rogue3.buff_des_59	队员受到致命伤害时不会倒下并进入【绝命】状态：获得持续10秒的无敌状态，且接下来10秒内射击速度提升{1}%，触发间隔60秒	{100}	1					4	rogue3.talent_name_104	坚毅	1		{700014502}	5	360	120
1220	进入战斗状态后当前生命值每秒降低5%，但造成的全伤害提升100%/150%，角色不会因该效果死亡，离开战斗状态若当前生命值低于50%则每秒回复5%最大生命值	伤害提升,回复	{5,7}	rogue3.buff_name_60	1001086	rogue3.buff_des_60	进入战斗状态后自身生命每秒降低5%，但造成的全类型伤害提升{1}%，队员不会因该效果倒下，离开战斗状态若当前生命低于50%则每秒回复5%最大生命	{150}	1					4	rogue3.talent_name_104	坚毅	2		{700014503}	5	360	120
1301	弹匣容量提高30%/45%(只保留整数)	弹容提升	{15}	rogue3.buff_name_61	1001090	rogue3.buff_des_61	弹匣容量提升{1}%	{30}	1					6	rogue3.talent_name_103	统御	1	{7015101}		1	60	20
1302	非瞄准射击伤害30%/45%	伤害提升	{5}	rogue3.buff_name_62	1001082	rogue3.buff_des_62	非瞄准射击伤害提升{1}%	{45}	1					6	rogue3.talent_name_103	统御	2		{700015102}	1	60	20
1303	射击伤害无视目标7%/10%防御力	破防	{8}	rogue3.buff_name_63	1001113	rogue3.buff_des_63	射击伤害无视目标{1}%防御力	{7}	1					6	rogue3.talent_name_103	统御	1		{700015103}	1	60	20
1304	获得1%/1.5%射击生命偷取	回复	{7}	rogue3.buff_name_64	1001089	rogue3.buff_des_64	每次射击造成伤害，该伤害的{1}%转化为自身生命	{1}	1					6	rogue3.talent_name_103	统御	1		{700015201}	2	90	30
1305	射击造成伤害有5%/7.5%概概率回复一颗子弹	弹药回复	{12}	rogue3.buff_name_65	1001082	rogue3.buff_des_65	射击造成伤害时有{1}%概率装填1个子弹	{5}	1					6	rogue3.talent_name_103	统御	1		{700015202}	3	120	40
1306	每次换弹后1.6/2.4秒内射击不消耗子弹，有10秒触发间隔	弹药回复	{12}	rogue3.buff_name_66	1001090	rogue3.buff_des_66	每次换弹后{1}秒内射击不消耗子弹，触发间隔10秒	{1.6}	1					6	rogue3.talent_name_103	统御	1		{700015203}	2	90	30
1307	击败敌人有15%/20%概率回满弹匣	弹药回复	{12}	rogue3.buff_name_67	1001090	rogue3.buff_des_67	击败目标时有{1}%概率装填满弹匣	{20}	1					6	rogue3.talent_name_103	统御	2		{700015204}	2	90	30
1308	弹匣内每颗子弹都会使角色射击伤害提高2%/3%	伤害提升	{5}	rogue3.buff_name_68	1001082	rogue3.buff_des_68	弹匣内每有1颗子弹，射击伤害提升{1}%	{2}	1					6	rogue3.talent_name_103	统御	1		{700015301}	3	120	40
1309	非瞄准射击伤害提高45%/65%，且武器稳定性提高20%	伤害提升	{5}	rogue3.buff_name_69	1001082	rogue3.buff_des_69	非瞄准射击伤害提升{1}%，武器稳定性提升{2}%	{45,20}	1					6	rogue3.talent_name_103	统御	1		{700015302}	2	90	30
1310	连续射击同一名敌人超过5次后，射击会对该敌人额外造成造成攻击力12%/18%的高热伤害并附带击退效果，切换射击目标时计数重置	额外伤害	{9}	rogue3.buff_name_70	1001103	rogue3.buff_des_70	连续射击命中同一目标5次时，射击对其额外造成攻击力{1}%的高热类型伤害并将其击退，切换目标时计数重置	{18}	1					6	rogue3.talent_name_103	统御	2		{700015303}	3	120	40
1311	每次射击命中使自身防御力提高5/5点，持续2秒，最多提高300/500点	防御	{14}	rogue3.buff_name_71	1001087	rogue3.buff_des_71	每次射击命中目标，自身防御力增加{1}，持续2秒，最多增加{2}	{5,300}	1					6	rogue3.talent_name_103	统御	1		{700015304}	3	120	40
1312	处于持续射击状态下移动速度提高30%/30%，防御力提高30%/45%	防御,移动提升	{14,11}	rogue3.buff_name_72	1001091	rogue3.buff_des_72	持续射击状态下移动速度提升{1}%，防御力提升{2}%	{30,30}	1					6	rogue3.talent_name_103	统御	1		{700015305}	3	120	40
1313	对【共振】状态下敌人造成伤害提高40%/60%，且暴击率提高20%/30%	伤害提升,暴击提升	{5,10}	rogue3.buff_name_73	1001084	rogue3.buff_des_73	对【浓焰】状态下的目标造成伤害提升{1}%，且暴击率提升{2}%	{40,20}	1				{1511}	6	rogue3.talent_name_103	统御	1		{700015401}	4	240	80
1314	进入持续射击状态超过1秒后进入【倾泻】状态，射击速度提高30%/45%，每次射击命中使自己攻击力提高1%/1%，至多提高至30%/45%，退出持续射击状态移除强化效果	射击强化,攻击提升	{3,2}	rogue3.buff_name_74	1001092	rogue3.buff_des_74	持续射击超过1秒后获得【愈烈】效果：射击速度提升{1}%，每次射击命中使攻击力提升{2}%，至多提升{3}%，退出持续射击状态移除该效果	{30,1,30}	1					6	rogue3.talent_name_103	统御	1		{700015402}	4	240	80
1315	每次射击命中会使枪械的稳定性和精准度提高10%，持续2秒，至多提升100%，效果叠加至上限时获得【神枪手】效果，弱点伤害提高80%/120%	伤害提升	{5}	rogue3.buff_name_75	1001081	rogue3.buff_des_75	每次射击命中会使枪械的稳定性和准确度提升10%，持续2秒，最多叠加10层，效果叠加至上限时获得【神枪】效果：弱点伤害提升{1}%	{120}	1					6	rogue3.talent_name_103	统御	2		{700015403}	4	240	80
1316	持续射击状态下获得霸体效果，且受到的最终伤害降低10%/15%	防御	{14}	rogue3.buff_name_76	1001108	rogue3.buff_des_76	持续射击状态下获得霸体效果，且受到的最终伤害降低{1}%	{10}	1					6	rogue3.talent_name_103	统御	1		{700015404}	4	240	80
1317	射击命中敌人会为敌人积叠一层易损效果，每层易损使目标受到来自射击的伤害提高1%/2%，持续0.5秒，易损最多叠加30层	破防	{8}	rogue3.buff_name_77	1001113	rogue3.buff_des_77	射击命中目标会为其施加1层【惊】效果：每层使目标受到的射击伤害提升{1}%，持续0.5秒，最多叠加30层	{1}	1					6	rogue3.talent_name_103	统御	1		{700015405}	4	240	80
1318	处于持续射击状态时，提高100%弹匣容量，且每2秒补充20%/30%子弹，退出持续射击状态则清空	弹药回复	{12}	rogue3.buff_name_78	1001090	rogue3.buff_des_78	持续射击状态下，弹容提升{1}%，且每2秒装填{2}%子弹，退出持续射击状态则移除效果	{100,30}	1					6	rogue3.talent_name_103	统御	2		{700015501}	5	360	120
1319	使用射击击杀敌人时接下来2秒内射击不消耗弹药，且不消耗弹药期间射击的所有子弹附带一次当前弹匣容量*10%/15%攻击力的高热伤害	弹药回复	{12}	rogue3.buff_name_79	1001082	rogue3.buff_des_79	通过射击击败目标后{1}秒内射击不消耗子弹，同时每次射击附带1次当前弹匣容量*{2}%攻击力的高热类型伤害	{2,10}	1					6	rogue3.talent_name_103	统御	1		{700015502}	5	360	120
