ID	备注	词条组	词条名称	词条组
1126	噬体的动能/高热类型抗性降低30%，同时特异/电击类型抗性提升30%。	{1106,1110,1104,1103}	seasonboss.seasonbossname138	seasonboss.seasonbossdes138
1127	噬体的低温/动能类型抗性降低30%，同时高热/电击类型抗性提升30%。	{1107,1110,1103,1101}	seasonboss.seasonbossname139	seasonboss.seasonbossdes139
1128	噬体的动能/特异类型抗性降低30%，同时低温/电击类型抗性提升30%。	{1109,1110,1103,1102}	seasonboss.seasonbossname140	seasonboss.seasonbossdes140
1129	噬体的低温/电击类型抗性降低30%，同时特异/高热类型抗性提升30%。	{1107,1108,1104,1101}	seasonboss.seasonbossname201	seasonboss.seasonbossdes201
1130	噬体的动能/高热类型抗性降低30%，同时特异/电击类型抗性提升30%。	{1106,1110,1104,1103}	seasonboss.seasonbossname202	seasonboss.seasonbossdes202
1131	噬体的低温/动能类型抗性降低30%，同时高热/电击类型抗性提升30%。	{1107,1110,1103,1101}	seasonboss.seasonbossname203	seasonboss.seasonbossdes203
1132	噬体的动能/特异类型抗性降低30%，同时低温/电击类型抗性提升30%。	{1109,1110,1103,1102}	seasonboss.seasonbossname204	seasonboss.seasonbossdes204
1133	噬体的低温/电击类型抗性降低30%，同时特异/高热类型抗性提升30%。	{1107,1108,1104,1101}	seasonboss.seasonbossname205	seasonboss.seasonbossdes205
1134	噬体的动能/高热类型抗性降低30%，同时特异/电击类型抗性提升30%。	{1106,1110,1104,1103}	seasonboss.seasonbossname206	seasonboss.seasonbossdes206
1135	噬体的低温/动能类型抗性降低30%，同时高热/电击类型抗性提升30%。	{1107,1110,1103,1101}	seasonboss.seasonbossname207	seasonboss.seasonbossdes207
1136	噬体的动能/特异类型抗性降低30%，同时低温/电击类型抗性提升30%。	{1109,1110,1103,1102}	seasonboss.seasonbossname208	seasonboss.seasonbossdes208
1201	队员射击伤害提升40%但队员被命中后有30%概率被眩晕1秒，每5秒至多被眩晕1次	{1201}	seasonboss.seasonbossname5	seasonboss.seasonbossdes5
1202	使用常规技后，技能伤害提升40%但射击伤害降低40%，持续10秒	{1202}	seasonboss.seasonbossname6	seasonboss.seasonbossdes6
1203	全队及其附属单位的治疗加成提升50%但全队队员防御力降低40%	{1203}	seasonboss.seasonbossname7	seasonboss.seasonbossdes7
1204	射击命中目标后，目标防御降低20%，持续5秒但队员受到的伤害提升20%	{1204}	seasonboss.seasonbossname8	seasonboss.seasonbossdes8
1205	造成暴击伤害时，无视目标20%抗性但非暴击伤害最终伤害降低15%（含没暴击的技能伤害）	{1205}	seasonboss.seasonbossname18	seasonboss.seasonbossdes18
1206	生命高于50%时，攻击力提升40%，生命低于50%时，防御力降低40%	{1206}	seasonboss.seasonbossname19	seasonboss.seasonbossdes19
1207	敌方与我方攻击力提升30%	{1207}	seasonboss.seasonbossname20	seasonboss.seasonbossdes20
1208	全队队员全类型伤害提升40%，但当前场上队员全类型伤害每秒降低3%，至多降低90%，离场后该效果移除	{1208}	seasonboss.seasonbossname21	seasonboss.seasonbossdes21
1209	全队队员全类型伤害提升40%，但当前场上队员全类型伤害每秒降低3%，至多降低91%，离场后该效果移除	{1209}	seasonboss.seasonbossname30	seasonboss.seasonbossdes30
1210	全队队员全类型伤害提升40%，但当前场上队员全类型伤害每秒降低3%，至多降低92%，离场后该效果移除	{1210}	seasonboss.seasonbossname31	seasonboss.seasonbossdes31
1211	射击命中目标后，目标防御降低20%，持续5秒但队员受到的伤害提升20%；	{1211}	seasonboss.seasonbossname32	seasonboss.seasonbossdes32
1212	使用常规技后，技能伤害提升40%但射击伤害降低40%，持续10秒；	{1212}	seasonboss.seasonbossname33	seasonboss.seasonbossdes33
1213	射击命中目标后，目标防御降低20%，持续5秒但队员受到的伤害提升20%；	{1213}	seasonboss.seasonbossname105	seasonboss.seasonbossdes105
1214	使用常规技后，暴击伤害增幅降低50%，但技能伤害提升40%，持续8秒	{1214}	seasonboss.seasonbossname106	seasonboss.seasonbossdes106
1215	全队队员全类型伤害提升40%，但当前场上队员全类型伤害每秒降低3%，至多降低90%，离场后该效果移除	{1215}	seasonboss.seasonbossname107	seasonboss.seasonbossdes107
1216	使用常规技后，技能伤害提升40%但射击伤害降低40%，持续10秒；	{1216}	seasonboss.seasonbossname108	seasonboss.seasonbossdes108
1217	2.8环境buff1	{1217}	seasonboss.seasonbossname117	seasonboss.seasonbossdes117
1218	2.8环境buff2	{1218}	seasonboss.seasonbossname118	seasonboss.seasonbossdes118
1219	2.8环境buff3	{1219}	seasonboss.seasonbossname119	seasonboss.seasonbossdes119
1220	2.8环境buff4	{1220}	seasonboss.seasonbossname120	seasonboss.seasonbossdes120
1221	3.0环境buff1	{1221}	seasonboss.seasonbossname129	seasonboss.seasonbossdes129
1222	3.0环境buff2	{1222}	seasonboss.seasonbossname130	seasonboss.seasonbossdes130
1223	3.0环境buff3	{1223}	seasonboss.seasonbossname131	seasonboss.seasonbossdes131
1224	3.0环境buff4	{1224}	seasonboss.seasonbossname132	seasonboss.seasonbossdes132
1225	3.1环境buff1	{1225}	seasonboss.seasonbossname141	seasonboss.seasonbossdes141
1226	3.1环境buff2	{1226}	seasonboss.seasonbossname142	seasonboss.seasonbossdes142
1227	3.1环境buff3	{1227}	seasonboss.seasonbossname143	seasonboss.seasonbossdes143
1228	3.1环境buff4	{1228}	seasonboss.seasonbossname144	seasonboss.seasonbossdes144
1229	3.2环境buff1	{1229}	seasonboss.seasonbossname209	seasonboss.seasonbossdes209
1230	3.2环境buff2	{1230}	seasonboss.seasonbossname210	seasonboss.seasonbossdes210
1231	3.2环境buff3	{1231}	seasonboss.seasonbossname211	seasonboss.seasonbossdes211
1232	3.2环境buff4	{1232}	seasonboss.seasonbossname212	seasonboss.seasonbossdes212
1233	下一环境buff1	{1233}	seasonboss.seasonbossname213	seasonboss.seasonbossdes213
1234	下一环境buff2	{1234}	seasonboss.seasonbossname214	seasonboss.seasonbossdes214
1235	下一环境buff3	{1235}	seasonboss.seasonbossname215	seasonboss.seasonbossdes215
1236	下一环境buff4	{1236}	seasonboss.seasonbossname216	seasonboss.seasonbossdes216
2101	使用爆发技后，暴击伤害增幅提升45%，持续8秒	{2101}	seasonboss.seasonbossname1	seasonboss.seasonbossdes1
2102	支援技的技能急速增加100	{2102}	seasonboss.seasonbossname2	seasonboss.seasonbossdes2
2103	每次射击命中会使目标受到的技能伤害提升3%，持续0.5秒，至多叠加10层	{2103}	seasonboss.seasonbossname3	seasonboss.seasonbossdes3
2104	使用常规技后，队员射击伤害会无视目标25%防御力，持续5秒	{2104}	seasonboss.seasonbossname4	seasonboss.seasonbossdes4
2105	使用常规技后，暴击伤害增幅提升45%，持续8秒	{2105}	seasonboss.seasonbossname22	seasonboss.seasonbossdes22
2106	战术闪避和冲刺不消耗耐力	{2106}	seasonboss.seasonbossname23	seasonboss.seasonbossdes23
2107	射击暴击后，全队防御力提升10%，至多叠加5层	{2107}	seasonboss.seasonbossname24	seasonboss.seasonbossdes24
2108	切换队员后，当前场上队员技能伤害提升40%，持续10秒	{2108}	seasonboss.seasonbossname25	seasonboss.seasonbossdes25
2109	使用常规技后，下一次爆发技伤害提升20%，至多叠加3次	{2109}	seasonboss.seasonbossname34	seasonboss.seasonbossdes34
2110	使用常规技后，暴击伤害增幅提升45%，持续8秒	{2110}	seasonboss.seasonbossname35	seasonboss.seasonbossdes35
2111	战术闪避和冲刺不消耗耐力	{2111}	seasonboss.seasonbossname36	seasonboss.seasonbossdes36
2112	切换队员后，当前场上队员技能伤害提升40%，持续10秒	{2112}	seasonboss.seasonbossname37	seasonboss.seasonbossdes37
2113	使用爆发技后，暴击伤害增幅提升45%，持续8秒	{2113}	seasonboss.seasonbossname109	seasonboss.seasonbossdes109
2114	首领生命及技能护盾不会降低，受到的技能伤害额外提升25%	{2114}	seasonboss.seasonbossname110	seasonboss.seasonbossdes110
2115	切换队员后，当前场上队员技能伤害提升40%，持续10秒	{2115}	seasonboss.seasonbossname111	seasonboss.seasonbossdes111
2116	首领生命及技能护盾不会降低，受到的技能伤害额外提升25%	{2116}	seasonboss.seasonbossname112	seasonboss.seasonbossdes112
2117	2.8环境对抗buff1	{2117}	seasonboss.seasonbossname121	seasonboss.seasonbossdes121
2118	2.8环境对抗buff2	{2118}	seasonboss.seasonbossname122	seasonboss.seasonbossdes122
2119	2.8环境对抗buff3	{2119}	seasonboss.seasonbossname123	seasonboss.seasonbossdes123
2120	2.8环境对抗buff4	{2120}	seasonboss.seasonbossname124	seasonboss.seasonbossdes124
2121	3.0环境对抗buff1	{2121}	seasonboss.seasonbossname133	seasonboss.seasonbossdes133
2122	3.0环境对抗buff2	{2122}	seasonboss.seasonbossname134	seasonboss.seasonbossdes134
2123	3.0环境对抗buff3	{2123}	seasonboss.seasonbossname135	seasonboss.seasonbossdes135
2124	3.0环境对抗buff4	{2124}	seasonboss.seasonbossname136	seasonboss.seasonbossdes136
2125	3.1环境对抗buff1	{2125}	seasonboss.seasonbossname145	seasonboss.seasonbossdes145
2126	3.1环境对抗buff2	{2126}	seasonboss.seasonbossname146	seasonboss.seasonbossdes146
2127	3.1环境对抗buff3	{2127}	seasonboss.seasonbossname147	seasonboss.seasonbossdes147
2128	3.1环境对抗buff4	{2128}	seasonboss.seasonbossname148	seasonboss.seasonbossdes148
2129	3.2环境对抗buff1	{2129}	seasonboss.seasonbossname217	seasonboss.seasonbossdes217
2130	3.2环境对抗buff2	{2130}	seasonboss.seasonbossname218	seasonboss.seasonbossdes218
2131	3.2环境对抗buff3	{2131}	seasonboss.seasonbossname219	seasonboss.seasonbossdes219
2132	3.2环境对抗buff4	{2132}	seasonboss.seasonbossname220	seasonboss.seasonbossdes220
2133	下一环境对抗buff1	{2133}	seasonboss.seasonbossname221	seasonboss.seasonbossdes221
2134	下一环境对抗buff2	{2134}	seasonboss.seasonbossname222	seasonboss.seasonbossdes222
2135	下一环境对抗buff3	{2135}	seasonboss.seasonbossname223	seasonboss.seasonbossdes223
2136	下一环境对抗buff4	{2136}	seasonboss.seasonbossname224	seasonboss.seasonbossdes224
3101	每25次射击命中会提高10%爆发技伤害和10%特异类型伤害，最多叠加8层	{3101}	worldboss.bossname1	worldboss.bossdes1
3102	使用常规技后，每5次特异类型射击的下一次会附带攻击力50%的特异类型赋能伤害；使用爆发技后，接下来100次射击会附带10%特异类型赋能伤害	{3102}	worldboss.bossname2	worldboss.bossdes2
