ID	注释	推荐角色数量	推荐角色平均等级	推荐武器稀有度	推荐武器平均等级	推荐后勤稀有度	推荐后勤数量	推荐后勤套装数	推荐后勤平均等级	推荐神经激活数	同步率	天启	角色权重	武器权重	后勤权重	比较的百分比	战力权重
13	13	3	8	3	8	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.77	{1.2,1,0.8}
14	14	3	9	3	9	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.78	{1.2,1,0.8}
15	15	3	10	4	10	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.79	{1.2,1,0.8}
16	16	3	11	4	11	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.8	{1.5,0.9,0.6}
17	17	3	12	4	12	0	{0,0,0}	{0,0,0}	0	{0,0,0}	{0,0,0}	{0,0,0}	12	3	3	0.81	{1.5,0.9,0.6}
18	18	3	13	4	13	0	{0,0,0}	{0,0,0}	0	{9,9,9}	{0,0,0}	{0,0,0}	12	3	3	0.82	{1.5,0.9,0.6}
19	19	3	14	4	14	0	{0,0,0}	{0,0,0}	0	{9,9,9}	{0,0,0}	{0,0,0}	12	3	3	0.83	{1.5,0.9,0.6}
20	20	3	15	4	15	0	{0,0,0}	{0,0,0}	0	{9,9,9}	{1,1,1}	{0,0,0}	12	3	3	0.84	{1.5,0.9,0.6}
21	21	3	16	4	16	3	{0,0,0}	{0,0,0}	0	{9,9,9}	{1,1,1}	{0,0,0}	12	3	3	0.85	{1.5,0.9,0.6}
22	22	3	17	4	17	3	{0,0,0}	{0,0,0}	0	{9,9,9}	{1,1,1}	{0,0,0}	12	3	3	0.85	{1.5,0.9,0.6}
23	23	3	18	4	18	3	{0,0,0}	{0,0,0}	1	{9,9,9}	{1,1,1}	{0,0,0}	12	3	3	0.85	{1.5,0.9,0.6}
24	24	3	19	4	19	3	{1,0,0}	{0,0,0}	1	{9,9,9}	{1,1,1}	{0,0,0}	12	3	3	0.85	{1.5,0.9,0.6}
25	25	3	20	4	20	3	{1,1,0}	{0,0,0}	1	{9,9,9}	{1,1,1}	{0,0,0}	12	3	3.5	0.85	{1.5,0.9,0.6}
26	26	3	21	4	21	3	{1,1,0}	{0,0,0}	1	{9,9,9}	{1,1,1}	{0,0,0}	12	3	3.5	0.85	{1.5,0.9,0.6}
27	27	3	22	4	22	3	{2,1,0}	{0,0,0}	1	{9,9,9}	{1,1,1}	{0,0,0}	12	3	3.5	0.85	{1.5,0.9,0.6}
28	28	3	23	4	23	3	{2,1,0}	{2,0,0}	1	{9,9,9}	{1,1,1}	{0,0,0}	12	3	3.5	0.85	{1.5,0.9,0.6}
29	29	3	24	4	24	3	{2,2,0}	{2,0,0}	2	{9,9,9}	{1,1,1}	{0,0,0}	12	3	3.5	0.85	{1.5,0.9,0.6}
30	30	3	25	4	25	4	{2,2,0}	{2,2,0}	2	{18,18,18}	{1,1,1}	{0,0,0}	12	3	4	0.85	{1.5,0.9,0.6}
31	31	3	26	4	26	4	{2,2,1}	{2,2,0}	2	{18,18,18}	{1,1,1}	{0,0,0}	12	3	4	0.85	{1.6,0.8,0.6}
32	32	3	27	4	27	4	{2,2,1}	{2,2,0}	3	{18,18,18}	{1,1,1}	{0,0,0}	12	3	4	0.85	{1.6,0.8,0.6}
33	33	3	28	4	28	4	{2,2,2}	{2,2,0}	3	{18,18,18}	{1,1,1}	{0,0,0}	12	3	4	0.85	{1.6,0.8,0.6}
34	34	3	29	4	29	4	{2,2,2}	{2,2,0}	3	{18,18,18}	{1,1,1}	{0,0,0}	12	3	4	0.85	{1.6,0.8,0.6}
35	35	3	30	4	30	4	{3,2,2}	{2,2,2}	3	{18,18,18}	{1,1,1}	{0,0,0}	12	3	4	0.85	{1.6,0.8,0.6}
36	36	3	31	4	31	4	{3,2,2}	{2,2,2}	4	{18,18,18}	{1,1,1}	{0,0,0}	12	3	4.5	0.85	{1.6,0.8,0.6}
37	37	3	32	4	32	4	{3,3,2}	{2,2,2}	4	{18,18,18}	{1,1,1}	{0,0,0}	12	3	4.5	0.85	{1.6,0.8,0.6}
38	38	3	33	4	33	4	{3,3,2}	{2,2,2}	4	{18,18,18}	{1,1,1}	{0,0,0}	12	3	4.5	0.85	{1.6,0.8,0.6}
39	39	3	34	4	34	4	{3,3,3}	{3,2,2}	4	{18,18,18}	{1,1,1}	{0,0,0}	12	3	4.5	0.85	{1.6,0.8,0.6}
40	40	3	35	4	35	4	{3,3,3}	{3,2,2}	4	{27,27,27}	{1,1,1}	{0,0,0}	12	3	4.5	0.85	{1.7,0.7,0.6}
41	41	3	36	4	36	4	{3,3,3}	{3,2,2}	5	{27,27,27}	{1,1,1}	{0,0,0}	12	3	4.5	0.85	{1.7,0.7,0.6}
42	42	3	37	4	37	4	{3,3,3}	{3,2,2}	5	{27,27,27}	{1,1,1}	{0,0,0}	12	3	4.5	0.85	{1.7,0.7,0.6}
43	43	3	38	4	38	4	{3,3,3}	{3,2,2}	5	{27,27,27}	{1,1,1}	{0,0,0}	12	3	4.5	0.85	{1.7,0.7,0.6}
44	44	3	39	4	39	4	{3,3,3}	{3,3,2}	5	{27,27,27}	{1,1,1}	{0,0,0}	12	3	4.5	0.85	{1.7,0.7,0.6}
45	45	3	40	4	40	4	{3,3,3}	{3,3,2}	5	{27,27,27}	{1,1,1}	{0,0,0}	12	3	4.5	0.85	{1.7,0.7,0.6}
46	46	3	41	4	41	4	{3,3,3}	{3,3,2}	5	{27,27,27}	{1,1,1}	{0,0,0}	12	3	5	0.85	{1.7,0.7,0.6}
47	47	3	42	4	42	4	{3,3,3}	{3,3,2}	6	{27,27,27}	{1,1,1}	{0,0,0}	12	3	5	0.85	{1.7,0.7,0.6}
48	48	3	43	4	43	4	{3,3,3}	{3,3,2}	6	{27,27,27}	{1,1,1}	{0,0,0}	12	3	5	0.85	{1.7,0.7,0.6}
49	49	3	44	4	44	4	{3,3,3}	{3,3,2}	6	{27,27,27}	{1,1,1}	{0,0,0}	12	3	5	0.85	{1.7,0.7,0.6}
50	50	3	45	4	45	4	{3,3,3}	{3,3,3}	6	{36,36,36}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.7,0.7,0.6}
51	51	3	46	4	46	4	{3,3,3}	{3,3,3}	6	{36,36,36}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.7,0.7,0.6}
52	52	3	47	4	47	4	{3,3,3}	{3,3,3}	7	{36,36,36}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.7,0.7,0.6}
53	53	3	48	4	48	4	{3,3,3}	{3,3,3}	7	{36,36,36}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.7,0.7,0.6}
54	54	3	49	4	49	4	{3,3,3}	{3,3,3}	7	{36,36,36}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.7,0.7,0.6}
55	55	3	50	4	50	4	{3,3,3}	{3,3,3}	7	{36,36,36}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.8,0.6,0.6}
56	56	3	51	4	51	4	{3,3,3}	{3,3,3}	8	{36,36,36}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.8,0.6,0.6}
57	57	3	52	4	52	4	{3,3,3}	{3,3,3}	8	{36,36,36}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.8,0.6,0.6}
58	58	3	53	4	53	4	{3,3,3}	{3,3,3}	8	{36,36,36}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.8,0.6,0.6}
59	59	3	54	4	54	4	{3,3,3}	{3,3,3}	8	{36,36,36}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.8,0.6,0.6}
60	60	3	55	4	55	4	{3,3,3}	{3,3,3}	9	{45,45,45}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.8,0.6,0.6}
61	61	3	56	4	56	4	{3,3,3}	{3,3,3}	9	{45,45,45}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.8,0.6,0.6}
62	62	3	57	4	57	4	{3,3,3}	{3,3,3}	9	{45,45,45}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.8,0.6,0.6}
63	63	3	58	4	58	4	{3,3,3}	{3,3,3}	9	{45,45,45}	{2,2,2}	{0,0,0}	12	3	5	0.85	{1.8,0.6,0.6}
64	64	3	59	4	59	4	{3,3,3}	{3,3,3}	10	{45,45,45}	{2,2,2}	{0,0,0}	12	3	5	0.86	{1.8,0.6,0.6}
65	65	3	60	4	60	4	{3,3,3}	{3,3,3}	10	{45,45,45}	{2,2,2}	{0,0,0}	12	3	5	0.87	{1.8,0.6,0.6}
66	66	3	61	4	61	4	{3,3,3}	{3,3,3}	10	{45,45,45}	{2,2,2}	{0,0,0}	12	3	5	0.88	{1.8,0.6,0.6}
67	67	3	62	4	62	4	{3,3,3}	{3,3,3}	11	{45,45,45}	{2,2,2}	{0,0,0}	12	3	5	0.89	{1.8,0.6,0.6}
68	68	3	63	4	63	4	{3,3,3}	{3,3,3}	11	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
69	69	3	64	4	64	4	{3,3,3}	{3,3,3}	11	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
70	70	3	65	4	65	4	{3,3,3}	{3,3,3}	12	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
71	71	3	66	4	66	4	{3,3,3}	{3,3,3}	12	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
72	72	3	67	4	67	5	{3,3,3}	{3,3,3}	12	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
73	73	3	68	4	68	5	{3,3,3}	{3,3,3}	13	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
74	74	3	69	4	69	5	{3,3,3}	{3,3,3}	13	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
75	75	3	70	4	70	5	{3,3,3}	{3,3,3}	13	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
76	76	3	71	4	71	5	{3,3,3}	{3,3,3}	14	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
77	77	3	72	4	72	5	{3,3,3}	{3,3,3}	14	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
78	78	3	73	4	73	5	{3,3,3}	{3,3,3}	15	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
79	79	3	74	4	74	5	{3,3,3}	{3,3,3}	15	{54,54,54}	{2,2,2}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
80	80	3	75	4	75	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.9	{1.8,0.6,0.6}
81	81	3	76	4	76	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.89	{1.8,0.6,0.6}
82	82	3	77	4	77	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.88	{1.8,0.6,0.6}
83	83	3	78	4	78	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.87	{1.8,0.6,0.6}
84	84	3	79	4	79	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.86	{1.8,0.6,0.6}
85	85	3	80	4	80	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.85	{1.8,0.6,0.6}
86	86	3	80	4	80	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.84	{1.8,0.6,0.6}
87	87	3	80	4	80	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.83	{1.8,0.6,0.6}
88	88	3	80	4	80	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.82	{1.8,0.6,0.6}
89	89	3	80	4	80	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.81	{1.8,0.6,0.6}
90	90	3	80	4	80	5	{3,3,3}	{3,3,3}	16	{54,54,54}	{3,3,3}	{0,0,0}	12	3	5	0.8	{1.8,0.6,0.6}
