唯一Id	类型	Pos	Rot	区域	传送点	时间类型	自定义参数1	自定义参数2	自定义参数3
63	7	{21888.5,-29957.2,156.4}	{0.0,-133.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	0	13	0
64	7	{24668.5,-16725.2,215.7}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	631	12	0
65	7	{26917.8,-16688.1,98.8}	{15.6,31.8,-0.8}	3	1	{0.0,0.0,0.0,0.0}	632	12	0
66	7	{28162.1,-18827.8,125.0}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	633	12	0
67	7	{27587.7,-22980.6,238.1}	{80.3,171.7,-170.9}	3	1	{0.0,0.0,0.0,0.0}	634	12	0
68	7	{22634.4,-13379.7,403.9}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	635	12	0
69	7	{19868.6,-13072.7,462.1}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	636	12	0
70	7	{24019.0,-10805.9,382.4}	{0.0,0.0,-180.0}	3	1	{0.0,0.0,0.0,0.0}	637	12	0
71	7	{24374.3,-8670.0,47.2}	{0.0,-37.8,0.0}	3	1	{0.0,0.0,0.0,0.0}	638	12	0
72	7	{25605.5,-6621.0,322.3}	{0.0,0.0,-180.0}	3	1	{0.0,0.0,0.0,0.0}	639	12	0
73	7	{27484.7,-3285.1,-25.2}	{-39.5,10.4,0.0}	3	1	{0.0,0.0,0.0,0.0}	640	12	0
74	7	{28866.4,-908.9,-7.3}	{-14.3,0.0,-23.2}	3	1	{0.0,0.0,0.0,0.0}	641	12	0
75	7	{24506.5,-4167.8,408.0}	{-13.7,-4.3,-5.8}	3	1	{0.0,0.0,0.0,0.0}	642	12	0
76	7	{20989.5,597.7,608.2}	{90.0,-19.8,-22.3}	3	1	{0.0,0.0,0.0,0.0}	643	12	0
77	7	{16469.0,-3037.7,608.2}	{-88.7,-9.9,0.0}	3	1	{0.0,0.0,0.0,0.0}	644	12	0
78	7	{18975.2,-8484.7,408.3}	{0.0,0.0,10.5}	3	1	{0.0,0.0,0.0,0.0}	645	12	0
79	7	{14770.1,-8536.1,1593.3}	{-3.0,-0.0,27.1}	3	1	{0.0,0.0,0.0,0.0}	646	12	0
80	7	{8380.2,-8930.0,1842.7}	{1.2,-13.3,103.8}	3	1	{0.0,0.0,0.0,0.0}	647	12	0
81	7	{6692.6,-2672.8,1842.7}	{-8.0,177.2,81.5}	3	1	{0.0,0.0,0.0,0.0}	648	12	0
82	7	{9756.8,-5197.2,1073.1}	{-26.8,-46.3,-2.0}	3	1	{0.0,0.0,0.0,0.0}	649	12	0
83	7	{13828.3,-5065.3,1519.5}	{-27.0,-44.0,-6.0}	3	1	{0.0,0.0,0.0,0.0}	650	12	0
84	7	{27456.0,-21349.0,862.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	932	15	0
85	7	{22264.0,-13734.0,1619.2}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	933	15	0
86	7	{18909.8,-11285.0,649.0}	{0.0,27.9,0.0}	3	2	{0.0,0.0,0.0,0.0}	934	15	0
87	7	{17625.0,-2694.0,1532.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	935	15	0
88	7	{27627.7,-3572.6,748.7}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	936	15	0
89	7	{23170.0,-268.0,1537.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	937	15	0
90	7	{14386.0,-8831.0,2110.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	938	15	0
91	7	{10380.0,-8752.0,1752.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	939	15	0
92	7	{10867.0,-4859.0,2680.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	940	15	0
93	7	{29255.0,-8607.0,286.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	941	15	0
94	7	{26404.3,-11667.8,-70.0}	{0.0,11.9,0.0}	3	0	{0.0,0.0,0.0,0.0}	863	7	31
95	7	{18219.0,-3438.0,163.0}	{0.0,-123.1,0.0}	3	0	{0.0,0.0,0.0,0.0}	864	7	32
96	7	{25740.4,-19256.4,300.7}	{0.0,-28.7,0.0}	3	1	{0.0,0.0,0.0,0.0}	799	10	0
97	7	{27149.0,-15000.1,-11.3}	{0.0,-139.5,0.0}	3	1	{0.0,0.0,0.0,0.0}	800	10	0
98	7	{20201.1,-11942.5,207.5}	{0.0,-71.8,0.0}	3	1	{0.0,0.0,0.0,0.0}	801	10	0
99	7	{23843.5,-9796.4,113.5}	{0.0,-96.7,0.0}	3	1	{0.0,0.0,0.0,0.0}	802	10	0
100	7	{25668.1,-6659.7,-10.4}	{0.0,-131.4,0.0}	3	1	{0.0,0.0,0.0,0.0}	803	10	0
101	7	{21754.6,-6303.8,135.7}	{0.0,56.8,0.0}	3	1	{0.0,0.0,0.0,0.0}	804	10	0
102	7	{10270.6,-6663.5,1061.8}	{0.0,175.4,0.0}	3	1	{0.0,0.0,0.0,0.0}	805	10	0
103	7	{26737.9,-20494.2,393.7}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	531	11	0
104	7	{26117.6,-24727.4,234.0}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	532	11	0
105	7	{23020.2,-14891.3,446.5}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	533	11	0
106	7	{24070.6,-10745.6,159.3}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	534	11	0
107	7	{26280.0,-4549.6,165.3}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	535	11	0
108	7	{23451.0,-1170.5,294.7}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	536	11	0
109	7	{19704.8,-1733.8,294.7}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	537	11	0
110	7	{19822.6,-6332.1,401.7}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	538	11	0
111	7	{14329.7,-5821.6,1172.1}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	539	11	0
112	7	{6628.8,-5978.6,1676.2}	{0.0,0.0,0.0}	3	1	{0.0,0.0,0.0,0.0}	540	11	0
113	7	{22391.1,-520.1,137.3}	{0.0,171.5,0.0}	3	1	{0.0,0.0,0.0,0.0}	806	10	0
114	7	{24961.0,-3695.0,212.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	1017	14	0
115	7	{18658.0,-795.0,326.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	1018	14	0
116	7	{13227.0,-7901.0,1348.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	1019	14	0
117	7	{8528.0,-4419.0,1364.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	1020	14	0
118	7	{19508.0,-4840.0,584.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	1021	14	0
119	7	{26891.0,-16473.0,73.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	1061	16	0
120	7	{25558.0,-4183.0,62.0}	{0.0,-33.8,0.0}	3	2	{0.0,0.0,0.0,0.0}	1062	16	0
121	7	{19093.0,-8797.0,412.0}	{0.0,0.0,0.0}	3	2	{0.0,0.0,0.0,0.0}	1063	16	0
122	7	{7199.0,-6448.0,1188.0}	{0.0,-33.8,0.0}	3	2	{0.0,0.0,0.0,0.0}	1064	16	0
123	7	{24066.2,-11121.0,48.7}	{0.0,-77.6,0.0}	3	0	{0.0,0.0,0.0,0.0}	0	13	0
124	7	{-2395.7,2894.4,615.1}	{0.0,-33.7,0.0}	4	1	{0.0,0.0,0.0,0.0}	651	12	0
125	7	{2490.4,387.3,1154.0}	{0.0,-33.7,0.0}	4	1	{0.0,0.0,0.0,0.0}	652	12	0
126	7	{-100.6,1455.4,319.2}	{9.5,-0.9,9.2}	4	1	{0.0,0.0,0.0,0.0}	653	12	0
127	7	{-3432.1,1750.8,556.1}	{9.5,-0.9,9.2}	4	1	{0.0,0.0,0.0,0.0}	654	12	0
128	7	{-7081.7,4464.5,364.5}	{9.5,-0.9,9.2}	4	1	{0.0,0.0,0.0,0.0}	655	12	0
129	7	{-9035.0,-428.4,765.6}	{9.1,2.9,32.0}	4	1	{0.0,0.0,0.0,0.0}	656	12	0
130	7	{-9933.4,-2860.1,1057.6}	{-2.8,-180.0,-180.0}	4	1	{0.0,0.0,0.0,0.0}	657	12	0
131	7	{-7352.1,-546.7,969.0}	{0.0,-180.0,-180.0}	4	1	{0.0,0.0,0.0,0.0}	658	12	0
132	7	{-6768.7,-4660.8,371.7}	{48.7,-40.2,-25.3}	4	1	{0.0,0.0,0.0,0.0}	659	12	0
133	7	{-11404.5,-7185.1,1001.2}	{-8.6,-43.8,23.7}	4	1	{0.0,0.0,0.0,0.0}	660	12	0
134	7	{-8526.3,-7771.6,672.4}	{-2.5,0.0,2.7}	4	1	{0.0,0.0,0.0,0.0}	661	12	0
135	7	{-8326.0,-12381.3,1114.3}	{5.1,-6.5,-58.6}	4	1	{0.0,0.0,0.0,0.0}	662	12	0
136	7	{-3505.0,-11262.0,1773.7}	{77.6,-20.1,-8.7}	4	1	{0.0,0.0,0.0,0.0}	663	12	0
137	7	{-5412.2,-9851.9,1251.4}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	664	12	0
138	7	{-7877.3,-6805.2,1240.6}	{-1.3,-0.1,-13.4}	4	1	{0.0,0.0,0.0,0.0}	665	12	0
139	7	{-10352.7,-15740.8,2959.6}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	666	12	0
140	7	{-8503.6,-17241.8,2522.0}	{6.5,0.0,-11.5}	4	1	{0.0,0.0,0.0,0.0}	667	12	0
141	7	{-13133.6,-16974.7,-73.1}	{10.2,3.2,18.2}	4	1	{0.0,0.0,0.0,0.0}	668	12	0
142	7	{-11627.0,-18756.7,229.3}	{9.8,4.3,24.1}	4	1	{0.0,0.0,0.0,0.0}	669	12	0
143	7	{-7184.2,-18570.0,1337.1}	{44.6,15.5,50.1}	4	1	{0.0,0.0,0.0,0.0}	670	12	0
144	7	{-4967.3,-18471.0,1967.8}	{44.2,-91.3,27.9}	4	1	{0.0,0.0,0.0,0.0}	671	12	0
145	7	{-8085.0,-19362.0,3059.8}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	672	12	0
146	7	{-8438.6,-13987.1,2054.9}	{34.4,-56.6,11.4}	4	1	{0.0,0.0,0.0,0.0}	673	12	0
147	7	{-11673.0,-3875.9,1204.3}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	674	12	0
148	7	{-18601.7,-436.5,223.2}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	675	12	0
149	7	{-13473.1,3859.2,150.0}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	676	12	0
150	7	{-11385.1,13255.5,333.1}	{-6.6,0.0,-3.2}	4	1	{0.0,0.0,0.0,0.0}	677	12	0
151	7	{-8293.9,7290.8,1155.1}	{0.0,-27.5,0.0}	4	1	{0.0,0.0,0.0,0.0}	678	12	0
152	7	{-12848.8,10519.6,-5.8}	{0.0,-27.5,0.0}	4	1	{0.0,0.0,0.0,0.0}	679	12	0
153	7	{-16145.4,9646.3,176.4}	{9.6,-28.4,-8.1}	4	1	{0.0,0.0,0.0,0.0}	680	12	0
154	7	{-10144.3,3641.4,371.6}	{0.5,-27.9,-3.2}	4	1	{0.0,0.0,0.0,0.0}	681	12	0
155	7	{-14272.1,-1102.2,272.1}	{20.1,-28.0,-5.6}	4	1	{0.0,0.0,0.0,0.0}	682	12	0
156	7	{-15025.3,-9718.1,544.3}	{0.0,-42.9,0.0}	4	1	{0.0,0.0,0.0,0.0}	683	12	0
157	7	{-13412.1,16944.6,668.6}	{7.7,-42.3,8.8}	4	1	{0.0,0.0,0.0,0.0}	684	12	0
158	7	{-18196.2,21253.5,1011.1}	{-44.7,-19.5,-3.0}	4	1	{0.0,0.0,0.0,0.0}	685	12	0
159	7	{-16502.9,26848.9,1508.0}	{89.0,-131.1,180.0}	4	1	{0.0,0.0,0.0,0.0}	686	12	0
160	7	{-17914.5,31130.7,1817.0}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	687	12	0
161	7	{-17496.8,34512.4,1333.7}	{22.4,-28.7,0.7}	4	1	{0.0,0.0,0.0,0.0}	688	12	0
162	7	{-19582.4,18985.9,626.9}	{-6.5,0.4,-8.0}	4	1	{0.0,0.0,0.0,0.0}	689	12	0
163	7	{-4847.9,9286.3,750.9}	{21.0,2.9,8.1}	4	1	{0.0,0.0,0.0,0.0}	690	12	0
164	7	{-944.0,2579.0,1926.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	942	15	0
165	7	{3926.0,4947.0,1926.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	943	15	0
166	7	{-5787.0,7232.0,1749.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	944	15	0
167	7	{-10500.0,7173.0,1433.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	945	15	0
168	7	{-5497.0,-1784.0,1936.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	946	15	0
169	7	{-15161.0,-17595.0,1166.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	947	15	0
170	7	{-10546.0,-21499.0,2921.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	948	15	0
171	7	{-9207.0,-19100.0,2160.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	949	15	0
172	7	{-16737.0,-13906.0,1442.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	950	15	0
173	7	{-14039.0,-13037.0,376.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	951	15	0
174	7	{-21278.7,1468.1,-68.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	952	15	0
175	7	{-20728.0,10955.0,314.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	953	15	0
176	7	{-17540.0,16178.0,1126.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	954	15	0
177	7	{-13277.0,20560.0,2062.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	955	15	0
178	7	{-20281.0,25807.0,1034.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	956	15	0
179	7	{-18438.4,35518.4,843.7}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	957	15	0
180	7	{-15128.7,29447.0,1949.8}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	958	15	0
181	7	{-19647.0,20539.0,2415.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	959	15	0
182	7	{-12668.0,17489.0,1385.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	960	15	0
183	7	{-7074.0,15964.0,1385.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	961	15	0
184	7	{-19477.8,-5603.0,-35.7}	{0.0,19.6,0.0}	4	0	{0.0,0.0,0.0,0.0}	865	7	41
185	7	{-20884.9,2434.2,-59.0}	{0.0,51.9,0.0}	4	0	{0.0,0.0,0.0,0.0}	866	7	42
186	7	{-1528.3,2068.1,305.1}	{0.0,-46.8,0.0}	4	1	{0.0,0.0,0.0,0.0}	807	10	0
187	7	{-1623.4,5535.8,488.8}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	541	11	0
188	7	{2754.6,5759.1,1150.1}	{0.0,-169.2,0.0}	4	1	{0.0,0.0,0.0,0.0}	808	10	0
189	7	{-5644.6,321.8,759.6}	{0.0,18.8,0.0}	4	1	{0.0,0.0,0.0,0.0}	809	10	0
190	7	{-6690.8,-7681.8,1198.6}	{0.0,-56.2,0.0}	4	1	{0.0,0.0,0.0,0.0}	810	10	0
191	7	{-5394.5,-15027.0,1847.2}	{0.0,83.2,0.0}	4	1	{0.0,0.0,0.0,0.0}	811	10	0
192	7	{-11709.8,-15089.2,1875.1}	{0.0,-166.7,0.0}	4	1	{0.0,0.0,0.0,0.0}	812	10	0
193	7	{-13297.5,-19568.2,1850.0}	{0.0,48.5,0.0}	4	1	{0.0,0.0,0.0,0.0}	813	10	0
194	7	{-17142.2,-4908.7,141.3}	{0.0,48.5,0.0}	4	1	{0.0,0.0,0.0,0.0}	814	10	0
195	7	{-19453.2,10696.0,-59.0}	{0.0,-40.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	815	10	0
196	7	{-12574.5,6532.7,660.0}	{0.0,-61.7,0.0}	4	1	{0.0,0.0,0.0,0.0}	816	10	0
197	7	{-16292.0,13713.2,-19.9}	{0.0,133.1,0.0}	4	1	{0.0,0.0,0.0,0.0}	817	10	0
198	7	{-21015.8,18597.8,132.7}	{0.0,99.2,0.0}	4	1	{0.0,0.0,0.0,0.0}	818	10	0
199	7	{-19541.9,19933.1,1001.7}	{0.0,99.2,0.0}	4	1	{0.0,0.0,0.0,0.0}	819	10	0
200	7	{-16741.4,33947.4,1417.6}	{0.0,148.2,0.0}	4	1	{0.0,0.0,0.0,0.0}	820	10	0
201	7	{-6978.8,13741.1,305.1}	{0.0,-60.1,0.0}	4	1	{0.0,0.0,0.0,0.0}	821	10	0
202	7	{-9117.3,-2934.6,1104.7}	{0.0,47.6,0.0}	4	1	{0.0,0.0,0.0,0.0}	822	10	0
203	7	{1058.9,1206.0,1031.3}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	542	11	0
204	7	{-8271.8,-904.5,1266.7}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	543	11	0
205	7	{-9927.6,-8779.9,789.8}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	544	11	0
206	7	{-16171.8,-9765.9,200.4}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	545	11	0
207	7	{-14231.1,-12203.7,840.6}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	546	11	0
208	7	{-10225.7,-13575.2,2343.5}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	547	11	0
209	7	{-11075.7,-11770.4,2776.3}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	548	11	0
210	7	{-15420.3,-15319.1,1952.0}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	549	11	0
211	7	{-19749.2,-4594.9,48.8}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	550	11	0
212	7	{-19560.6,5866.1,234.5}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	551	11	0
213	7	{-9473.3,15799.3,859.5}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	552	11	0
214	7	{-15085.6,19569.5,987.3}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	553	11	0
215	7	{-18774.4,15236.3,105.1}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	554	11	0
