ID	备注	标签信息(N代表角色or武器，M代表常驻orUP）	生效范围	蛋池限定时间	界面上是否显示时间（1代表不显示）	排序权重（越高越前）	蛋池类型区(0新手1常规2限定3常规自选UP4锁定自选UP5庆典卡池6单选7庆典单选）	保底类型（1特选，2非特选）	蛋池描述（名称，时间描述，外围描述，详情）	详细描述配置	展示资源（界面名字，资源名字{武器填视频名字，角色填spine名字}，缩放时间，初始位移点，最终位移点，缩放大小，slogan资源，展示角色GDPL，从第几秒开始循环、背景乐ID）	单抽价格{{g,d,p,l,n}}	十连价格{{g,d,p,l,n}}	特殊抽卡道具	具体蛋池内容配置{表名，表名}	保底必得{{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}},{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}}}		保底继承序列（影响UP+箱子）	概率	十连重置标记{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}	第十抽保底概率	每日抽奖次数上限	十连内概率叠加	保底内概率叠加	特殊不歪池概率叠加	指定抽数出道具	是否开启UP选择功能	显示概率	初始特殊保底	独立新手池抽取次数	展示4星道具	定轨UP自选	锁定关联池子ID	锁定关联池子确认提示	标签页UI资源关联	蛋池大图UI资源关联	是否禁止播放视频（不配正常播，1全部不播，2和谐下不播）	武器spine	获取途径	获取途径	获取途径	推荐id
10	藏锋UP池【晴-藏锋】	{1,2}	0	{202405011000,202405300400}		203	2	2	10009	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"10009_detailtitle1","10009_detaildes11","10009_detaildes12","10009_detaildes13","10009_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10009_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl006a','/Game/Spine/Hero/Girl006a/GachaGirl_006a.GachaGirl_006a',0.3,{0,0},{0,0},{1.2,1},1602151,{1,6,2,1},1,3063}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool10'}	{80,{{'pool01',5},{'pool10',5}}}	{80,{'pool10',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool10',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
11	藏锋专武UP池【普赛克16】	{2,2}	0	{202405011000,202405300400}		202	2	2	10010	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"10010_detailtitle1","10010_detaildes11","10010_detaildes12","10010_detaildes13","10010_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10010_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_42051',1602174, {2,4,20,1},7.5,3062,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool11'}	{60,{{'pool02',5},{'pool11',5}}}	{60,{'pool11',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool11',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_42051.weapon_42051				120
12	缄默UP池【芙提雅-缄默】	{1,2}	0	{202405011000,202405300400}		201	2	2	10011	{{"10011_detailtitle1","10011_detaildes11","10011_detaildes13","10011_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10011_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl004a','/Game/Spine/Hero/Girl004a/GachaGirl_004a.GachaGirl_004a',0.3,{0,0},{0,0},{1.2,1},1602153,{1,4,2,1},1,3061}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool012','pool12'}	{80,{{'pool012',5},{'pool12',5}}}	{80,{'pool12',5}}	1	10001	{{'pool012',4},{'pool012',5},{'pool12',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
13	溯影UP池【猫汐尔-溯影】	{1,2}	0	{202411071000,202412190400}		206	2	2	10012	{{"90001_detailtitle4","90001_detaildes41","90001_detaildes42"},{"10012_detailtitle1","10012_detaildes11","10012_detaildes12","10012_detaildes13","10012_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10012_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl012a','/Game/Spine/Hero/Girl012a/GachaGirl_012a.GachaGirl_012a',0.3,{0,0},{0,0},{1.2,1},1602181,{1,12,2,1},3,3066}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool13'}	{80,{{'pool01',5},{'pool13',5}}}	{80,{'pool13',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool13',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
14	溯影专武UP池【合金真理】	{2,2}	0	{202411071000,202412190400}		205	2	2	10013	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10013_detailtitle1","10013_detaildes11","10013_detaildes12","10013_detaildes13","10013_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10013_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_13502',1602191, {2,1,25,1},10,3064,12,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool14'}	{60,{{'pool02',5},{'pool14',5}}}	{60,{'pool14',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool14',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_13502.weapon_13502				120
15	苔丝UP池【苔丝-魔术师】	{1,2}	0	{202405011000,202405300400}		208	2	2	10014	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"10014_detailtitle1","10014_detaildes11","10014_detaildes12","10014_detaildes13","10014_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10014_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl017','/Game/Spine/Hero/Girl017/GachaGirl_017.GachaGirl_017',0.3,{0,0},{0,0},{1.2,1},1602242,{1,17,1,1},1,3067}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool15'}	{80,{{'pool01',5},{'pool15',5}}}	{80,{'pool15',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool15',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
16	苔丝专武UP池【王牌怪诞】	{2,2}	0	{202405011000,202405300400}		207	2	2	10015	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"10015_detailtitle1","10015_detaildes11","10015_detaildes12","10015_detaildes13","10015_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10015_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_22502',1602245, {2,2,22,1},11,3068,13,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool16'}	{60,{{'pool02',5},{'pool16',5}}}	{60,{'pool16',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool16',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_22502.weapon_22502				120
17	凯茜娅UP池【凯茜娅-蓝闪】	{1,2}	0	{202503061000,202503270400}		210	2	2	10016	{{"10016_detailtitle1","10016_detaildes11","10016_detaildes12","10016_detaildes13","10016_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10016_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl015a','/Game/Spine/Hero/Girl015/GachaGirl_015.GachaGirl_015',0.3,{0,0},{0,0},{1.2,1},1602267,{1,15,1,1},3,3070}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool17'}	{80,{{'pool01',5},{'pool17',5}}}	{80,{'pool17',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool17',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
18	凯茜娅专武UP池【海王星】	{2,2}	0	{202503061000,202503270400}		209	2	2	10017	{{"10017_detailtitle1","10017_detaildes11","10017_detaildes12","10017_detaildes13","10017_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10017_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_61501',1602270, {2,6,4,1},9,3071,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02_18','pool18'}	{60,{{'pool02_18',5},{'pool18',5}}}	{60,{'pool18',5}}	2	10002	{{'pool02_18',4},{'pool02_18',5},{'pool18',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1					120
19	伊切尔UP池【伊切尔-豹豹】	{1,2}	0	{202412191000,202501090400}		214	2	2	10018	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10018_detailtitle1","10018_detaildes11","10018_detaildes12","10018_detaildes13","10018_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10018_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl016','/Game/Spine/Hero/Girl016/GachaGirl_016.GachaGirl_016',0.3,{0,0},{0,0},{1.2,1},1602297,{1,16,1,1},3,3074}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool19'}	{80,{{'pool01',5},{'pool19',5}}}	{80,{'pool19',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool19',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
20	伊切尔专武UP池【镭射风虎】	{2,2}	0	{202412191000,202501090400}		213	2	2	10019	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10019_detailtitle1","10019_detaildes11","10019_detaildes12","10019_detaildes13","10019_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10019_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_31503',1602299, {2,3,24,1},8,3073,10,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool20'}	{60,{{'pool02',5},{'pool20',5}}}	{60,{'pool20',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool20',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_31503.weapon_31503				120
21	辉夜溯影自选池	{1,2}	0	{202405301000,202406270400}		212	3	2	10021	{{"10003_detailtitle1","10003_detaildes11","10003_detaildes12","10003_detaildes13","10003_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10003_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl001a','/Game/Spine/Hero/Girl001a/GachaGirl_001a.GachaGirl_001a',0.3,{0,0},{0,0},{1.2,1},1602066,{1,1,2,1},1,3052}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool4'}	{80,{{'pool01',5},{'pool4',5}}}	{80,{'pool4',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool4',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{4,{1,1,2,1}},{13,{1,12,2,1}}}					1					120
22	辉夜溯影专武自选池	{2,2}	0	{202405301000,202406270400}		211	3	2	10022	{{"10004_detailtitle1","10004_detaildes11","10004_detaildes12","10004_detaildes13","10004_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10004_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_41502',1602079, {2,4,18,1},13,3044,16,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool5'}	{60,{{'pool02',5},{'pool5',5}}}	{60,{'pool5',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool5',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{5,{2,4,18,1}},{14,{2,1,25,1}}}					1	/Game/Spine/Weapon/weapon_41502.weapon_41502				120
23	悖谬UP池【琴诺-悖谬】	{1,2}	0	{202405011000,202405300400}		220	2	2	10023	{{"90003_detailtitle4","90003_detaildes41","90003_detaildes42"},{"10023_detailtitle1","10023_detaildes11","10023_detaildes12","10023_detaildes13","10023_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10023_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl007a','/Game/Spine/Hero/Girl007a/GachaGirl_007a.GachaGirl_007a',0.3,{0,0},{0,0},{1.2,1},1602330,{1,7,2,1},3,3075}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool21'}	{80,{{'pool01',5},{'pool21',5}}}	{80,{'pool21',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool21',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
24	悖谬专武UP池【白夜别诗】	{2,2}	0	{202405011000,202405300400}		219	2	2	10024	{{"90004_detailtitle4","90004_detaildes41","90004_detaildes42"},{"10024_detailtitle1","10024_detaildes11","10024_detaildes12","10024_detaildes13","10024_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10024_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12502',1602328, {2,1,27,1},10,3076,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool22'}	{60,{{'pool02',5},{'pool22',5}}}	{60,{'pool22',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool22',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_12502.weapon_12502				120
25	羽蜕UP池【恩雅-羽蜕】	{1,2}	0	{202405011000,202405300400}		218	2	2	10025	{{"90001_detailtitle4","90001_detaildes41","90001_detaildes42"},{"10025_detailtitle1","10025_detaildes11","10025_detaildes12","10025_detaildes13","10025_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10025_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl011a','/Game/Spine/Hero/Girl011a/GachaGirl_011a.GachaGirl_011a',0.3,{0,0},{0,0},{1.2,1},1602329,{1,11,2,1},3,3077}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool23'}	{80,{{'pool01',5},{'pool23',5}}}	{80,{'pool23',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool23',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
