类别ID	图片路径ID	标题	说明	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	是否显示页码	是否循环	切页方式（默认滑动加按钮）1：仅可滑动	备注
12	2000034	TxtTutorialMultiTitle03	ui.TxtTutorialMulti03		1	1		联机玩法介绍
12	2000015	TxtTutorialMultiTitle04	ui.TxtTutorialMulti04		1	1		联机玩法介绍
12	2000056	TxtTutorialMultiTitle05	ui.TxtTutorialMulti05		1	1		联机玩法介绍
12	2000017	TxtTutorialMultiTitle06	ui.TxtTutorialMulti06		1	1		联机玩法介绍
12	2000018	TxtTutorialMultiTitle07	ui.TxtTutorialMulti07		1	1		联机玩法介绍
12	2000035	TxtTutorialMultiTitle08	ui.TxtTutorialMulti08		1	1		联机玩法介绍
13	2000019	TxtTutorialDefenseTitle01	ui.TxtTutorialDefense01		1	1		【荣誉冲突】背景
13	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【荣誉冲突】史诗系统
13	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【荣誉冲突】跳跃
13	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【荣誉冲突】限时挑战
13	2000071	TxtTutorialDefenseTitle0802	ui.TxtTutorialDefense0802		1	1		【荣誉冲突】龙息令
13	2000072	TxtTutorialDefenseTitle0803	ui.TxtTutorialDefense0803		1	1		【荣誉冲突】存档&局内商店
13	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【荣誉冲突】补给装置
13	2000073	TxtTutorialDefenseTitle10	ui.TxtTutorialDefense10		1	1		【荣誉冲突】重置
14	2000028	TxtTutorialFightTitle2	ui.TxtTutorialFight13		1	1		跳弹介绍
16	2000032	TxtTutorialDailyTitle01	ui.TxtTutorialDaily01					欲火之战介绍
18	2000051	TxtTutorialDLC1Title01	ui.TxtTutorialDLC101				1	DLC1射击机关教学图
19	2000036	TxtTutorialChess1Title01	ui.TxtTutorialChess101		1	1		棋盘格一期介绍
19	2000055	TxtTutorialChess1Title07	ui.TxtTutorialChess107		1	1		棋盘格一期介绍7
19	2000037	TxtTutorialChess1Title02	ui.TxtTutorialChess102		1	1		棋盘格一期介绍
19	2000038	TxtTutorialChess1Title03	ui.TxtTutorialChess103		1	1		棋盘格一期介绍
19	2000039	TxtTutorialChess1Title04	ui.TxtTutorialChess104		1	1		棋盘格一期介绍
19	2000040	TxtTutorialChess1Title05	ui.TxtTutorialChess105		1	1		棋盘格一期介绍
19	2000041	TxtTutorialChess1Title06	ui.TxtTutorialChess106		1	1		棋盘格一期介绍
20	2000038	TxtTutorialChess1Title03	ui.TxtTutorialChess103		1	1	1	棋盘格一期介绍，自动弹出用
21	2000039	TxtTutorialChess1Title04	ui.TxtTutorialChess104		1	1	1	棋盘格一期介绍，自动弹出用
22	2000052	TxtTutorialFightTitle5	ui.TxtTutorialFight04		1	1		特化怪出场介绍
23	2000041	TxtTutorialFightTitle6	ui.TxtTutorialFight16		1	1		特化阻断介绍
24	2000052	TxtTutorialFightTitle2	ui.TxtTutorialFight13		1	1		跳弹概率介绍
25	2000055	TxtTutorialChess1Title07	ui.TxtTutorialChess107		1	1		棋盘格一期操作介绍，自动弹出用
26	2000042	TxtTutorialDefenseDLC01Title01	ui.TxtTutorialDefenseDLC0101		1	1		【天楼纷争】背景介绍
26	2000047	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【天楼纷争】史诗系统
26	2000043	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【天楼纷争】跳跃
26	2000044	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【天楼纷争】限时挑战
26	2000101	TxtTutorialDefenseTitle0802	ui.TxtTutorialDefense0802		1	1		【荣誉冲突】龙息令
26	2000072	TxtTutorialDefenseTitle0803	ui.TxtTutorialDefense0803		1	1		【荣誉冲突】存档&局内商店
26	2000045	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【天楼纷争】补给装置
26	2000102	TxtTutorialDefenseTitle10	ui.TxtTutorialDefense10		1	1		【天楼纷争】重置
27	2000057	TxtTutorialFightTitle7	ui.TxtTutorialFight17		1	1		护盾介绍
28	2000058	TxtTutorialRogueTitle01	ui.TxtTutorialRogue01		1	1		dlc1肉鸽—玩法教学
28	2000059	TxtTutorialRogueTitle02	ui.TxtTutorialRogue02		1	1		dlc1肉鸽—任务教学
28	2000062	TxtTutorialRogueTitle05	ui.TxtTutorialRogue05		1	1		dlc1肉鸽—节点类型说明
28	2000064	TxtTutorialRogueTitle06	ui.TxtTutorialRogue06		1	1		dlc1肉鸽—代币教学
28	2000063	TxtTutorialRogueTitle07	ui.TxtTutorialRogue07		1	1		dlc1肉鸽—角色教学
28	2000065	TxtTutorialRogueTitle08	ui.TxtTutorialRogue08		1	1		dlc1肉鸽—重置教学
28	2000066	TxtTutorialRogueTitle09	ui.TxtTutorialRogue09		1	1		dlc1肉鸽—每日增益教学
28	2000067	TxtTutorialRogueTitle10	ui.TxtTutorialRogue10		1	1		dlc1肉鸽—buff栏教学
29	2000068	TxtTutorialRogueTitle11	ui.TxtTutorialRogue11		1	1		dlc1肉鸽—商店角色商品教学
29	2000060	TxtTutorialRogueTitle03	ui.TxtTutorialRogue03		1	1		dlc1肉鸽—商店教学
30	2000061	TxtTutorialRogueTitle04	ui.TxtTutorialRogue04					dlc1肉鸽—buff背包教学
31	2000069	TxtTutorialFightTitle	ui.TxtTutorialFight18		1	1		常规能量教学PC
32	2000070	TxtTutorialFightTitle	ui.TxtTutorialFight18		1	1		常规能量教学安卓
33	2000096	TxtTutorialOW01Title16	ui.TxtTutorialOW0116		1	1		DLC2_暗区_总览
33	2000083	TxtTutorialOW01Title03	ui.TxtTutorialOW0103		1	1		DLC2_暗区_存档
33	2000088	TxtTutorialOW01Title08	ui.TxtTutorialOW0108		1	1		DLC2_暗区_周期性
33	2000093	TxtTutorialOW01Title13	ui.TxtTutorialOW0113		1	1		DLC2_暗区_数据样本
33	2000081	TxtTutorialOW01Title01	ui.TxtTutorialOW0101		1	1		DLC2_暗区_超对称样本
33	2000092	TxtTutorialOW01Title12	ui.TxtTutorialOW0112		1	1		DLC2_暗区_数据分析平台
33	2000089	TxtTutorialOW01Title09	ui.TxtTutorialOW0109		1	1		DLC2_暗区_激励点数
33	2000084	TxtTutorialOW01Title04	ui.TxtTutorialOW0104		1	1		DLC2_暗区_大型晶体
33	2000090	TxtTutorialOW01Title10	ui.TxtTutorialOW0110		1	1		DLC2_暗区_晶体附着物
33	2000086	TxtTutorialOW01Title06	ui.TxtTutorialOW0106		1	1		DLC2_暗区_等离子体
33	2000082	TxtTutorialOW01Title02	ui.TxtTutorialOW0102		1	1		DLC2_暗区_传送点
33	2000085	TxtTutorialOW01Title05	ui.TxtTutorialOW0105		1	1		DLC2_暗区_地图事件
34	2000093	TxtTutorialOW01Title13	ui.TxtTutorialOW0113		1	1		DLC2_暗区_数据样本_单独弹出
35	2000081	TxtTutorialOW01Title01	ui.TxtTutorialOW0101		1	1		DLC2_暗区_超对称样本_单独弹出
36	2000092	TxtTutorialOW01Title12	ui.TxtTutorialOW0112		1	1		DLC2_暗区_数据分析平台_单独弹出
37	2000089	TxtTutorialOW01Title09	ui.TxtTutorialOW0109		1	1		DLC2_暗区_激励点数_单独弹出
40	2000084	TxtTutorialOW01Title04	ui.TxtTutorialOW0104		1	1		DLC2_暗区_大型晶体_单独弹出
41	2000090	TxtTutorialOW01Title10	ui.TxtTutorialOW0110		1	1		DLC2_暗区_晶体附着物_单独弹出
42	2000086	TxtTutorialOW01Title06	ui.TxtTutorialOW0106		1	1		DLC2_暗区_等离子体_单独弹出
43	2000082	TxtTutorialOW01Title02	ui.TxtTutorialOW0102		1	1		DLC2_暗区_传送点_单独弹出
44	2000085	TxtTutorialOW01Title05	ui.TxtTutorialOW0105		1	1		DLC2_暗区_地图事件_单独弹出
46	2000075	TxtTutorialRepressionTitle1	ui.TxtTutorialRepression1		1	1		DLC2_危境战幕_概述
46	2000077	TxtTutorialRepressionTitle3	ui.TxtTutorialRepression3		1	1		DLC2_危境战幕_临时阵地
46	2000076	TxtTutorialRepressionTitle2	ui.TxtTutorialRepression2		1	1		DLC2_危境战幕_通行密钥
46	2000078	TxtTutorialRepressionTitle4	ui.TxtTutorialRepression4		1	1		DLC2_危境战幕_战幕绩点
46	2000079	TxtTutorialRepressionTitle5	ui.TxtTutorialRepression5		1	1		DLC2_危境战幕_驻守队伍
46	2000080	TxtTutorialRepressionTitle6	ui.TxtTutorialRepression6		1	1		DLC2_危境战幕_战线挑战
46	2000106	TxtTutorialRepressionTitle7	ui.TxtTutorialRepression7		1	1		DLC2_危境战幕_相位协调仪
47	2000098	TxtTutorialDormTitle1	ui.TxtTutorialDormDesc1		1	1		宿舍_拼图_收集碎片
47	2000099	TxtTutorialDormTitle2	ui.TxtTutorialDormDesc2		1	1		宿舍_拼图_进行拼图
48	2000097	TxtTutorialWeaponPartTitle	ui.TxtTutorialWeaponPartDesc		1	1		武器配件教学图
49	2000416	TxtTutorialMultiTitle_2_01	ui.Txt26Multhelp1		1	1		2.6 永续新商店
49	2000417	TxtTutorialMultiTitle_2_01	ui.Txt26Multhelp2		1	1		2.6 永续新特殊怪
49	2000018	TxtTutorialMultiTitle_2_03	ui.TxtTutorialMulti_2_03		1	1		2.6 永续新防守装置
49	2000012	TxtTutorialMultiTitle_2_01	ui.TxtTutorialMulti_2_01		1	1		联机-永续联战玩法介绍1
49	2000100	TxtTutorialMultiTitle_2_02	ui.TxtTutorialMulti_2_02		1	1		联机-永续联战玩法介绍2
49	2000336	TxtTutorialMultiTitle_2_04	ui.TxtTutorialMulti_2_04		1	1		联机-永续联战玩法介绍4
50	2000105	TxtTutorialSettingTitle	ui.TxtTutorialSetting		1	1		序章设置终端
51	2000104	TxtTutorialOverBunkerTitle	ui.TxtTutorialOverBunker1					移动端翻越掩体
52	2000103	TxtTutorialOverBunkerTitle	ui.TxtTutorialOverBunker2					PC端翻越掩体
53	2000012	TxtTutorialMultiTitle_2_05	ui.TxtTutorialMulti_2_05					联机-勇者游戏玩法介绍
54	2000019	TxtTutorialDefenseTitle0101	ui.TxtTutorialDefense01		1	1		【荣誉冲突】背景
54	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【荣誉冲突】史诗系统
54	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【荣誉冲突】跳跃
54	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【荣誉冲突】限时挑战
54	2000071	TxtTutorialDefenseTitle0802	ui.TxtTutorialDefense0802		1	1		【荣誉冲突】龙息令
54	2000072	TxtTutorialDefenseTitle0803	ui.TxtTutorialDefense0803		1	1		【荣誉冲突】存档&局内商店
54	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【荣誉冲突】补给装置
54	2000107	TxtTutorialDefenseTitle0901	ui.TxtTutorialDefense0901		1	1		【荣誉冲突】低频振荡器
54	2000073	TxtTutorialDefenseTitle10	ui.TxtTutorialDefense10		1	1		【荣誉冲突】重置
55	2000108	TxtTutorialJumpTitle	ui.TxtTutorialJump1					11-1跳跃教学移动端
56	2000108	TxtTutorialJumpTitle	ui.TxtTutorialJump2					11-1跳跃教学PC端
57	2000112	TxtTutorialOnlineBossTitle1	ui.TxtTutorialOnlineBoss1		1	1		DLC3联机BOSS挑战-概览
57	2000113	TxtTutorialOnlineBossTitle2	ui.TxtTutorialOnlineBoss2		1	1		DLC3联机BOSS挑战-总伤害
57	2000114	TxtTutorialOnlineBossTitle3	ui.TxtTutorialOnlineBoss3		1	1		DLC3联机BOSS挑战-BOSS
57	2000115	TxtTutorialOnlineBossTitle4	ui.TxtTutorialOnlineBoss4		1	1		DLC3联机BOSS挑战-奖励
58	2000116	TxtTutorialFishTitle1	ui.TxtTutorialFish1		1	1		DLC3钓鱼模式说明
58	2000117	TxtTutorialFishTitle2	ui.TxtTutorialFish2		1	1		DLC3钓鱼模式说明
58	2000118	TxtTutorialFishTitle3	ui.TxtTutorialFish3		1	1		DLC3钓鱼模式说明
58	2000119	TxtTutorialFishTitle4	ui.TxtTutorialFish4		1	1		DLC3钓鱼模式说明
59	2000127	TxtTutorialElementTitle1	ui.TxtTutorialElementDes1		1	1		DLC3乱战宝礁说明
59	2000128	TxtTutorialElementTitle2	ui.TxtTutorialElementDes2		1	1		DLC3乱战宝礁说明
59	2000129	TxtTutorialElementTitle3	ui.TxtTutorialElementDes3		1	1		DLC3乱战宝礁说明
59	2000130	TxtTutorialElementTitle4	ui.TxtTutorialElementDes4		1	1		DLC3乱战宝礁说明
59	2000131	TxtTutorialElementTitle5	ui.TxtTutorialElementDes5		1	1		DLC3乱战宝礁说明
59	2000132	TxtTutorialElementTitle6	ui.TxtTutorialElementDes6		1	1		DLC3乱战宝礁说明
60	2000005	TxtTutorialBossTitle01	ui.TxtTutorialBoss06		1	1		BOSS挑战新版教学图1
60	2000109	TxtTutorialBossTitle01	ui.TxtTutorialBoss07		1	1		BOSS挑战新版教学图2
60	2000007	TxtTutorialBossTitle03	ui.TxtTutorialBoss03		1	1		BOSS挑战新版教学图3
60	2000110	TxtTutorialBossTitle04	ui.TxtTutorialBoss08		1	1		BOSS挑战新版教学图4
60	2000111	TxtTutorialBossTitle06	ui.TxtTutorialBoss09		1	1		BOSS挑战新版教学图5
61	2000019	TxtTutorialDefenseDLC03Title01	ui.TxtTutorialDefenseDLC0301		1	1		【荣誉冲突】背景
61	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【荣誉冲突】史诗系统
61	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【荣誉冲突】跳跃
61	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【荣誉冲突】限时挑战
61	2000071	TxtTutorialDefenseTitle0802	ui.TxtTutorialDefense0802		1	1		【荣誉冲突】龙息令
61	2000072	TxtTutorialDefenseTitle0803	ui.TxtTutorialDefense0803		1	1		【荣誉冲突】存档&局内商店
61	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【荣誉冲突】补给装置
61	2000126	TxtTutorialDefenseTitle1001	ui.TxtTutorialDefense1001		1	1		【荣誉冲突】炸弹车
61	2000073	TxtTutorialDefenseTitle10	ui.TxtTutorialDefense10		1	1		【荣誉冲突】重置
62	2000019	TxtTutorialDefenseDLC04Title01	ui.TxtTutorialDefenseDLC0401		1	1		【DLC4荣誉冲突】背景
62	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【DLC4荣誉冲突】史诗系统
62	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【DLC4荣誉冲突】跳跃
62	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【DLC4荣誉冲突】限时挑战
62	2000071	TxtTutorialDefenseTitle0802	ui.TxtTutorialDefense0802		1	1		【DLC4荣誉冲突】龙息令
62	2000072	TxtTutorialDefenseTitle0803	ui.TxtTutorialDefense0803		1	1		【DLC4荣誉冲突】存档&局内商店
62	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【DLC4荣誉冲突】补给装置
62	2000073	TxtTutorialDefenseTitle10	ui.TxtTutorialDefense10		1	1		【DLC4荣誉冲突】重置
63	2000120	TxtTutorialRichManTitle1	season_item.TxtRichManDes1_1		1	1		大富翁教学图1
63	2000121	TxtTutorialRichManTitle2	season_item.TxtRichManDes2_1		1	1		大富翁教学图2
63	2000122	TxtTutorialRichManTitle3	season_item.TxtRichManDes3		1	1		大富翁教学图3
63	2000125	TxtTutorialRichManTitle4	season_item.TxtRichManDes4_1		1	1		大富翁教学图4
								
63	2000124	TxtTutorialRichManTitle6	season_item.TxtRichManDes6_1		1	1		大富翁教学图6
64	2000133	TxtTutorialexploreTitle1	ui.TxtTutorialexplore1		1	1		海岛探索说明1
64	2000134	TxtTutorialexploreTitle2	ui.TxtTutorialexplore2		1	1		海岛探索说明2
64	2000135	TxtTutorialexploreTitle3	ui.TxtTutorialexplore3		1	1		海岛探索说明3
64	2000136	TxtTutorialexploreTitle4	ui.TxtTutorialexplore4		1	1		海岛探索说明4
64	2000137	TxtTutorialexploreTitle5	ui.TxtTutorialexplore5		1	1		海岛探索说明5
64	2000116	TxtTutorialFishTitle1	ui.TxtTutorialFish1		1	1		海岛探索说明6
65	2000144	TxtTutorialRepressionTitle1_2	ui.TxtTutorialRepression1		1	1		DLC4_危境战幕_概述
65	2000146	TxtTutorialRepressionTitle3	ui.TxtTutorialRepression3		1	1		DLC4_危境战幕_临时阵地
65	2000145	TxtTutorialRepressionTitle2	ui.TxtTutorialRepression2		1	1		DLC4_危境战幕_通行密钥
65	2000147	TxtTutorialRepressionTitle4	ui.TxtTutorialRepression4		1	1		DLC4_危境战幕_战幕绩点
65	2000148	TxtTutorialRepressionTitle5	ui.TxtTutorialRepression5		1	1		DLC4_危境战幕_驻守队伍
65	2000149	TxtTutorialRepressionTitle6	ui.TxtTutorialRepression6_2		1	1		DLC4_危境战幕_战线挑战
66	2000138	TxtTutorialOnlineBossTitle2_1	ui.TxtTutorialOnlineBoss2_1		1	1		DLC4联机BOSS挑战-概览
66	2000139	TxtTutorialOnlineBossTitle2_2	ui.TxtTutorialOnlineBoss2_2		1	1		DLC4联机BOSS挑战-概览
66	2000140	TxtTutorialOnlineBossTitle2_3	ui.TxtTutorialOnlineBoss2_3		1	1		DLC4联机BOSS挑战-概览
66	2000141	TxtTutorialOnlineBossTitle2_4	ui.TxtTutorialOnlineBoss2_4		1	1		DLC4联机BOSS挑战-概览
67	2000150	TxtTutorialOnlineBossTitle3_1	ui.TxtTutorialOnlineBoss3_1		1	1		DLC5联机BOSS挑战-概览
67	2000151	TxtTutorialOnlineBossTitle3_2	ui.TxtTutorialOnlineBoss3_2		1	1		DLC5联机BOSS挑战-总伤害
67	2000152	TxtTutorialOnlineBossTitle3_3	ui.TxtTutorialOnlineBoss3_3		1	1		DLC5联机BOSS挑战-BOSS
67	2000153	TxtTutorialOnlineBossTitle4	ui.TxtTutorialOnlineBoss4		1	1		DLC5联机BOSS挑战-奖励
68	2000156		ui.TxtTutorialSneak1		1	1		12-1潜行教学图1
68	2000157		ui.TxtTutorialSneak2		1	1		12-1潜行教学图2
69	2000019	TxtTutorialDefenseDLC05Title01	ui.TxtTutorialDefenseDLC0501		1	1		【DLC5荣誉冲突】背景
69	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【DLC5荣誉冲突】史诗系统
69	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【DLC5荣誉冲突】跳跃
69	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【DLC5荣誉冲突】限时挑战
69	2000071	TxtTutorialDefenseTitle0802	ui.TxtTutorialDefense0802		1	1		【DLC5荣誉冲突】龙息令
69	2000072	TxtTutorialDefenseTitle0803	ui.TxtTutorialDefense0803		1	1		【DLC5荣誉冲突】存档&局内商店
69	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【DLC5荣誉冲突】补给装置
69	2000155	TxtTutorialDefenseDLC05MGTitle	ui.TxtTutorialDefenseDLC05MG		1	1		【DLC5荣誉冲突】机枪塔
69	2000073	TxtTutorialDefenseTitle10	ui.TxtTutorialDefense10		1	1		【DLC5荣誉冲突】重置
70	2000160	TxtTutorialRogue3Title1	ui.TxtTutorialRogue3Des1		1	1		悖论迷宫（大肉鸽）
70	2000162	TxtTutorialRogue3Title3	ui.TxtTutorialRogue3Des3		1	1		悖论迷宫（大肉鸽）
70	2000161	TxtTutorialRogue3Title2	ui.TxtTutorialRogue3Des2		1	1		悖论迷宫（大肉鸽）
70	2000163	TxtTutorialRogue3Title4	ui.TxtTutorialRogue3Des4		1	1		悖论迷宫（大肉鸽）
70	2000164	TxtTutorialRogue3Title5	ui.TxtTutorialRogue3Des5		1	1		悖论迷宫（大肉鸽）
70	2000165	TxtTutorialRogue3Title6	ui.TxtTutorialRogue3Des6		1	1		悖论迷宫（大肉鸽）
70	2000196	TxtTutorialRogue3Title9	ui.TxtTutorialRogue3Des9		1	1		悖论迷宫（大肉鸽）
71	2000167	TxtTutorialOnlineBossTitle4_1	ui.TxtTutorialOnlineBoss4_1		1	1		DLC6联机BOSS挑战-概览
71	2000168	TxtTutorialOnlineBossTitle4_2	ui.TxtTutorialOnlineBoss4_2		1	1		DLC6联机BOSS挑战-总伤害
71	2000169	TxtTutorialOnlineBossTitle4_3	ui.TxtTutorialOnlineBoss4_3		1	1		DLC6联机BOSS挑战-BOSS
71	2000170	TxtTutorialOnlineBossTitle4	ui.TxtTutorialOnlineBoss4		1	1		DLC6联机BOSS挑战-奖励
72	2000019	TxtTutorialDefenseDLC06Title01	ui.TxtTutorialDefenseDLC0601		1	1		【DLC6荣誉冲突】背景
72	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【DLC6荣誉冲突】史诗系统
72	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【DLC6荣誉冲突】跳跃
72	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【DLC6荣誉冲突】限时挑战
72	2000071	TxtTutorialDefenseTitle0802	ui.TxtTutorialDefense0802		1	1		【DLC6荣誉冲突】龙息令
72	2000072	TxtTutorialDefenseTitle0803	ui.TxtTutorialDefense0803		1	1		【DLC6荣誉冲突】存档&局内商店
72	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【DLC6荣誉冲突】补给装置
72	2000073	TxtTutorialDefenseTitle10	ui.TxtTutorialDefense10		1	1		【DLC6荣誉冲突】重置
73	2000180	TxtTutorialRepressionTitle1_3	ui.TxtTutorialRepression1		1	1		DLC6_危境战幕_概述
73	2000181	TxtTutorialRepressionTitle3	ui.TxtTutorialRepression3		1	1		DLC6_危境战幕_临时阵地
73	2000182	TxtTutorialRepressionTitle2	ui.TxtTutorialRepression2		1	1		DLC6_危境战幕_通行密钥
73	2000183	TxtTutorialRepressionTitle4	ui.TxtTutorialRepression4		1	1		DLC6_危境战幕_战幕绩点
73	2000184	TxtTutorialRepressionTitle5	ui.TxtTutorialRepression5		1	1		DLC6_危境战幕_驻守队伍
73	2000185	TxtTutorialRepressionTitle6	ui.TxtTutorialRepression6_3		1	1		DLC6_危境战幕_战线挑战
74	2000166	TxtFashionArmTip12	ui.TxtFashionArmTip13		1	1		武器小分类介绍
75	2000012	TxtMultiiTower_name	ui.TxtMultiiTower_des		1	1		塔防联机
75	2000199	TxtMultiiTower_name8	ui.TxtMultiiTower_des8		1	1		塔防联机
75	2000174	TxtMultiiTower_name2	ui.TxtMultiiTower_des2		1	1		塔防联机
75	2000175	TxtMultiiTower_name3	ui.TxtMultiiTower_des3		1	1		塔防联机
75	2000201	TxtMultiiTower_name9	ui.TxtMultiiTower_des9		1	1		塔防联机
75	2000202	TxtMultiiTower_name11	ui.TxtMultiiTower_des11		1	1		塔防联机
75	2000203	TxtMultiiTower_name12	ui.TxtMultiiTower_des12		1	1		塔防联机
75	2000176	TxtMultiiTower_name4	ui.TxtMultiiTower_des4		1	1		塔防联机
75	2000200	TxtMultiiTower_name10	ui.TxtMultiiTower_des10		1	1		塔防联机
76	2000171	TxtTutorialRotateTitle01	ui.TxtTutorialRotate01		1	1		12-6B旋转门教学图1
76	2000172	TxtTutorialRotateTitle02	ui.TxtTutorialRotate02		1	1		12-6B旋转门教学图2
76	2000173	TxtTutorialRotateTitle03	ui.TxtTutorialRotate03		1	1		12-6B旋转门教学图3
77	2000174	TxtMultiiTower_name2	ui.TxtMultiiTower_des2		1	1		塔防联机关卡内教学图1
78	2000177	TxtMultiiTower_name5	ui.TxtMultiiTower_des5		1	1		塔防联机关卡内教学图2
79	2000186	TxtTutorialDlcSupportTitle1	ui.TxtTutorialDlcSupport1					DLC后勤本炼心之战介绍
80	2000019	TxtTutorialDefenseDLC07Title01	ui.TxtTutorialDefenseDLC0701		1	1		【DLC7荣誉冲突】背景
80	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【DLC7荣誉冲突】史诗系统
80	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【DLC7荣誉冲突】跳跃
80	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【DLC7荣誉冲突】限时挑战
80	2000071	TxtTutorialDefenseTitle0802	ui.TxtTutorialDefense0802		1	1		【DLC7荣誉冲突】龙息令
80	2000072	TxtTutorialDefenseTitle0803	ui.TxtTutorialDefense0803		1	1		【DLC7荣誉冲突】存档&局内商店
80	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【DLC7荣誉冲突】补给装置
80	2000073	TxtTutorialDefenseTitle10	ui.TxtTutorialDefense10		1	1		【DLC7荣誉冲突】重置
81	2000243	TxtTutorialVircaptureTitle1	ui.TxtTutorialVircapture1		1	1		新星开拓_概述
81	2000245	TxtTutorialVircaptureTitle3	ui.TxtTutorialVircapture3		1	1		新星开拓_劝降名单
