活动Id(最大6550)	排序	//备注	所在页签（0或不填则隐藏，1为限时页，2为常驻页，3为新手活动页）	组别	组Icon（父标签ICON，可不填，默认读后面的子标签ICON）	组名（父标签名称，可不填，默认读后面的子标签名称）	活动类型	起始时间	结束时间	临时关闭(常规不用 0默认开启 1关闭,任务计数 2关闭,任务不计数)	是否隐藏	解锁条件(例{{{1,1}}})（1账号等级 2前置关卡 3获得某个道具）双{{}}隔开为或条件，单{}隔开为且条件	模板Id(主要是非签到模板)	背景图	页签Icon	抬头图标	立绘	帮助描述{文本key,显示标记 1默认统一位置显示2活动模板自己显示，外围隐藏}	内容描述(逗号分割多个)	页签描述	每日任务({成就id}activity_quest.txt)	每周任务({成就id}activity_quest.txt)	活动期任务({成就id}activity_quest.txt)	代币ID({id1,..})	自定义数据(商店模板:商店id;返还模板:0展示阶段1领奖阶段;首充模板：奖励物品;短签模板:弹窗顺序;任务回归离线时间【只限活动大厅内的回归使用】)	自定义数据(任务活动1013模板:{1显示常驻标签,默认关闭}；联机活动模板:{按钮的IconId})	跳转界面({类型,值}1类型,function id;2类型,ui窗口名字;3类型,lua函数)	跳转参数	每日解锁任务({{第几天开放,Normal任务id,...},..})	终身模式(1标记)	弹窗顺序(仅短签活动)；序号越大越先弹出	地区限制目前可填：0国内外,1国内,2海外	是否已有核心奖励	是否能领取核心奖励	是否是新手活动
25	9	扭蛋试玩_DLC1_狂猎	1	12			gacha_try	[202308310400]	[202309210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701104			{"activity.try_girl_test",1}		activity.TxtActivityTry1															
26	6	提灯巡礼	1	25			activity_quest_return	[202308070400]	[202308210400]			{{{1,20}},{{1,20},{2,10104}}}	1013	1602144	1701104	1602145			activity.template_9_des	activity.Lable16			{1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529}		{7}										
30	7	勇者游戏跳转	1	30				[202606050400]	[202606190400]			{{{1,20}}}	1012	1602141	1701104	1602142			ui.online_boss_ActivityDes	ui.TxtBraveGame					{{4,3,2,1,1},{5,3,1,3,1},{4,3,1,1,1}}	{1602143}	{3,"FunctionRouter.GoTo(14)"}								
31		勇者游戏任务(废弃)	1	31			activity_quest	[202307251000]	[202308070359]		1	{{{1,20}}}	1016										{9201,9202,9203,9204,9205,9206,9207,9301,9302,9303}												
32		永续联战任务	1	32			activity_quest	[202309221000]	[202310090400]		1		1016										{9501,9502,9503,9504,9505,9506,9507,9508,9509,9510,9511,9512,9513,9514,9515}												
33	9	角色试玩_藏锋_DLC2	1	33	1701195	activity.TxtActivityTry1	gacha_try	[202309211000]	[202310190400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_4															
34	9	角色试玩_缄默_DLC2	1	33	1701195	activity.TxtActivityTry1	gacha_try	[202310121000]	[202311020400]			{{{2,11429}},{{2,10104}}}	1011	1602168	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_5															
35	9	皮肤试玩_缄默行疾脱兔_DLC2	1	34	1701196	activity.TxtActivityTry2	gacha_try	[202310121000]	[202311020400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_2															
36	9	皮肤试玩_藏锋凛冬冽花_DLC2	1	34	1701196	activity.TxtActivityTry2	gacha_try	[202309211000]	[202310190400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_1															
37	9	皮肤试玩_咎冠荆棘皮_DLC2	1	34	1701196	activity.TxtActivityTry2	gacha_try	[202309211000]	[202311010400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_3															
38	13	DLC2版本签到	1	38			signin_monthly	[202309211000]	[202310120400]			{{{2,11429}},{{2,10104}}}	1018	1602169	1701104	1602170	1602170	{"activity.template_5_des",1}		activity.Lable17										1	1				
39	11	海外专属PC引导活动	1	39			activity_quest	[202309211000]				{{{2,11429}},{{2,10104}}}	1013	1602160	1701104	1602162			activity.template_10_des	activity.Lable18			{1701,1702,1703,1704}							1		2			
40	11	国内专属引导活动	1	40			activity_quest	[202309211000]				{{{2,11429}},{{2,10104}}}	1013	1602160	1701104	1602162			activity.template_11_des	activity.Lable18			{1801,1802,1803,1804}							1		1			
41		回归	1	19			player_return	[202311021000]	[202312140400]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
42	12	逐日沐潮	1	38			signin_monthly	[202311021000]	[202311230400]			{{{2,11429}},{{2,10104}}}	1018	1602185	1701104	1602183	1602183	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable19										1					
43	9	角色试玩_溯影_DLC3	1	43	1701195	activity.TxtActivityTry1	gacha_try	[202311021000]	[202311300400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_6															
44	9	角色试玩_辉夜_DLC3	1	43	1701195	activity.TxtActivityTry1	gacha_try	[202311231000]	[202312140400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_1															
45	9	皮肤试玩_溯影灼阳假期_DLC3	1	44	1701196	activity.TxtActivityTry3	gacha_try	[202311021000]	[202311300400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_4															
46	9	皮肤试玩_云篆波光倩影_DLC3	1	44	1701196	activity.TxtActivityTry3	gacha_try	[202311021000]	[202312140400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_5															
47	9	皮肤试玩_恩雅情迷炎日_DLC3	1	44	1701196	activity.TxtActivityTry3	gacha_try	[202311021000]	[202312140400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_6															
48	9	皮肤试玩_雨燕一掷千金_DLC3	1	44	1701196	activity.TxtActivityTry3	gacha_try	[202311021000]	[202312130400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_7															
50	10	皮肤试玩_冬至粼粼尾浪_DLC3	1	50	1701196	activity.TxtActivityTry2	gacha_try	[202311021000]	[202509291000]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_9															
49	10	皮肤试玩_肴战损皮_DLC3	1	50	1701196	activity.TxtActivityTry2	gacha_try	[202311021000]	[202509291000]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_8															
51	15	月卡皮肤	1	51			monthcard_reward	[202210021000]	[202211130400]			{{{2,11429}},{{2,10104}}}	1019	1602026	1701196					activity.Lable20					{{7,10,1,3,1}}	49									
52		dlc4永续联战任务	1	32			activity_quest	[202401041000]	[202401180400]		1		1016										{9701,9702,9703,9704,9705,9706,9708,9709,9710,9711,9712,9713,9714,9715}												
60	3	【宿舍上新】恩雅苔丝	1	60			dorm_cpfur_off	[202312141000]	[202401180400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable21					{'activity.dlc4house_detail1','activity.dlc4house_detail1','activity.dlc4house_detail2','activity.dlc4house_detail3',1602247,1602248}	{3,4}									
61	13	DLC4版本签到	1	61			signin_monthly	[202312141000]	[202401040400]			{{{2,11429}},{{2,10104}}}	1021	1602225	1701104	1602224	1602223	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable22										1					
62		回归	1	19			player_return	[202312141000]	[202401180959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
63	9	角色试玩_苔丝_DLC4	1	63	1701195	activity.TxtActivityTry1	gacha_try	[202312141000]	[202401110400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_7															
64	9	角色试玩_云篆_DLC4	1	63	1701195	activity.TxtActivityTry1	gacha_try	[202312281000]	[202401180400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_2															
65	9	皮肤试玩_苔丝流放欢愉_DLC4	1	65	1701196	activity.TxtActivityTry3	gacha_try	[202312141000]	[202401110400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_10															
66	9	皮肤试玩_狂猎霜舞盛典_DLC4	1	65	1701196	activity.TxtActivityTry3	gacha_try	[202312141000]	[202401180400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_11															
67	9	皮肤试玩_咎冠初晴金雪_DLC4	1	65	1701196	activity.TxtActivityTry3	gacha_try	[202312141000]	[202401180400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_12															
68	9	皮肤试玩_冬至滑雪服_DLC4	1	65	1701196	activity.TxtActivityTry3	gacha_try	[202312141000]	[202401170400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_13															
69	13	23-24跨年签到	1	69			signin_monthly	[202312240400]	[202401060400]			{{{2,11429}},{{2,10104}}}	1021	1602235	1701104	1602234	1602233	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable23										1					
70	21	多倍掉落活动	1	70			mult_drop	[202311020400]	[202311020401]			{{{2,11429}},{{2,10104}}}	1022	1602239	1701104	1602241			activity.drop1_des	activity.TxtActivityDrop1					{4,1}		{1,13}								
71	22	体力兑换活动	1	71			energy_exchange	[202312270400]	[202401100400]			{{{2,11429}},{{2,10104}}}	1023	1602236	1701104	1602237			activity.road1_des	activity.TxtActivityRoad1					{45}										
72	9	角色试玩_凯茜娅_DLC5	1	72	1701195	activity.TxtActivityTry1	gacha_try	[202401181000]	[202402150400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_8															
73	9	角色试玩_藏锋_DLC5	1	72	1701195	activity.TxtActivityTry1	gacha_try	[202402081000]	[202403070400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_4															
74	9	皮肤试玩_凯茜娅远曲独舞_DLC5	1	74	1701196	activity.TxtActivityTry3	gacha_try	[202401181000]	[202402150400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_14															
75	9	皮肤试玩_缄默狂曲雅跃_DLC5	1	74	1701196	activity.TxtActivityTry3	gacha_try	[202401181000]	[202403070400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_15															
76	9	皮肤试玩_藏锋夜临谍舞_DLC5	1	74	1701196	activity.TxtActivityTry3	gacha_try	[202401181000]	[202403060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_16															
77	9	皮肤试玩_芬妮战损皮_DLC5	1	50	1701196	activity.TxtActivityTry2	gacha_try	[202401181000]	[202509291000]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_17															
78		dlc5永续联战任务	1	32			activity_quest	[202402191000]	[202403040400]		1		1016										{9801,9802,9803,9804,9805,9806,9808,9809,9810,9811,9812,9813,9814,9815}												
79		回归_DLC5	1	19			player_return	[202401181000]	[202403070959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
80	13	DLC5版本签到	1	80			signin_monthly	[202401181000]	[202402080400]			{{{2,11429}},{{2,10104}}}	1021	1602251	1701104	1602250	1602249	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable24										1					
81	13	2024新年签到	1	81			signin_monthly	[202402081000]	[202402290400]			{{{2,11429}},{{2,10104}}}	1021	1602232	1701104	1602231	1602230	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable25										1					
82	3	【宿舍上新】芬妮凯茜娅	1	82			dorm_cpfur_off	[202401181000]	[202403070400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable21					{'activity.dlc5house_detail1','activity.dlc5house_detail1','activity.dlc5house_detail2','activity.dlc5house_detail3',1601005,1601004}	{3,4}									
83	22	体力兑换活动2期	1	83			energy_exchange	[202402081000]	[202402220400]			{{{2,11429}},{{2,10104}}}	1023	1602236	1701104	1602237			activity.road1_des	activity.TxtActivityRoad1					{45}										
84	9	皮肤试玩_狂猎宵宴绯盏_DLC5	1	74	1701196	activity.TxtActivityTry3	gacha_try	[202401181000]	[202403070400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_18															
85	8	悖论迷宫跳转	1	85				[202401030400]	[202403070400]				1012	1602272	1701104	1602273			rogue3.massage_adDes	ui.TxtDLC5.RogueTitle					{{2,2,18,1,1},{15,1,2,1,1},{4,3,2,1,1}}	{1602274}	{3,"Rogue3DLogic.OpenUI()"}								
86	9	皮肤试玩_辉夜国风皮试玩_DLC5	1	74	1701196	activity.TxtActivityTry3	gacha_try	[202402081000]	[202402260400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_19															
87	2	聊门作战	1	87		activity.ChatActivity		[202401251000]	[202401280400]			{{{2,11429}},{{2,10104}}}	1025	1602294	1701104																	1			
88	13	DLC6版本签到	1	88			signin_monthly	[202403071000]	[202403280400]			{{{2,11429}},{{2,10104}}}	1021	1602293	1701104	1602292	1602291	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable26										1					
89	9	角色试玩_伊切尔_DLC6	1	89	1701195	activity.TxtActivityTry1	gacha_try	[202403071000]	[202404040400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_9															
90	9	角色试玩_溯影_DLC6	1	89	1701195	activity.TxtActivityTry1	gacha_try	[202403281000]	[202404180400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_6															
91	9	皮肤试玩_咎冠甜蜜统治_DLC6	1	90	1701196	activity.TxtActivityTry3	gacha_try	[202403071000]	[202404180400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_20															
92	9	皮肤试玩_伊切尔迟到花蕾_DLC6	1	90	1701196	activity.TxtActivityTry3	gacha_try	[202403071000]	[202404040400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_21															
93	9	皮肤试玩_狂猎3星皮_DLC6	1	90	1701196	activity.TxtActivityTry3	gacha_try	[202403071000]	[202404170400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_22															
94		回归_DLC6	1	19			player_return	[202403071000]	[202404180959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
95	3	【宿舍上新】伊切尔安卡	1	95			dorm_cpfur_off	[202403071000]	[202404180400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable21					{'activity.dlc6house_detail1','activity.dlc6house_detail1','activity.dlc6house_detail2','activity.dlc6house_detail3',1601006,1601007}	{3,4}									
96	7	独家委托	1	96			daily_mission	[202404081000]	[202404150400]			{{{2,11429}},{{2,10104}}}	1027	1602315	1701104	1602125				activity.Lable27					{{4,3,2,1,20},{4,1,8,1,1},{4,3,1,1,2000}}	{{12001,12002,12003,12004,12005,12007,12008,12009,12010},{12101,12102,12103}}				1					
97	1	特别邀请_恩雅	1	97			free_items	[202405011000]	[202405300400]				1028	1602322	1701104				activity.template_13_des	activity.Lable28					{{1,11,2,1,1,12},{3,1,35,2,1},{3,2,35,2,1},{3,3,35,2,1}}	{202405021000}				1					
98	9	角色试玩_辉夜_DLC6	1	89	1701195	activity.TxtActivityTry1	gacha_try	[202403281000]	[202404180400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_1															
99	9	皮肤试玩_辉夜国风皮试玩_DLC6	1	90	1701196	activity.TxtActivityTry3	gacha_try	[202403281000]	[202404180400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_19															
																																			
100	9	角色试玩_琴诺_DLC7	1	100	1701195	activity.TxtActivityTry1	gacha_try	[202404181000]	[202405160400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_10															
101	9	角色试玩_恩雅_DLC7	1	100	1701195	activity.TxtActivityTry1	gacha_try	[202405021000]	[202405300400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_11															
102	9	角色试玩_苔丝_DLC7	1	100	1701195	activity.TxtActivityTry1	gacha_try	[202405091000]	[202405300400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_7															
103		回归_DLC7	1	19			player_return	[202404181000]	[202405300959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
104	9	皮肤试玩_琴诺见习侍奉_DLC7	1	104	1701196	activity.TxtActivityTry3	gacha_try	[202404181000]	[202405160400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test",1}		activity.TxtActivityTry2_23															
105	9	皮肤试玩_恩雅轻吻疗法_DLC7	1	104	1701196	activity.TxtActivityTry3	gacha_try	[202405021000]	[202405300400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_24															
106	9	皮肤试玩_苔丝流放欢愉_DLC7	1	104	1701196	activity.TxtActivityTry3	gacha_try	[202405091000]	[202405300400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_10															
107	9	皮肤试玩_苔丝BP皮_DLC7	1	104	1701196	activity.TxtActivityTry3	gacha_try	[202404181000]	[202405290400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_25															
108	13	DLC7版本签到	1	88			signin_monthly	[202404181000]	[202405090400]			{{{2,11429}},{{2,10104}}}	1021	1602343	1701104	1602342	1602341	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable29										1					
109	3	【宿舍上新】辰星芙提雅	1	109			dorm_cpfur_off	[202404181000]	[202405300400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable21					{'activity.dlc7house_detail1','activity.dlc7house_detail1','activity.dlc7house_detail2','activity.dlc7house_detail3',1601008,1601009}	{3,4}									
110		dlc7永续联战任务	1	32			activity_quest	[202405131000]	[202405270400]		1		1016										{14001,14002,14003,14004,14005,14006,14007,14008,14009,14010,14011,14012}												
111	8	悖论迷宫赛季跳转	1	111				[202407250400]	[202408150400]				1012	1602272	1701104	1602273			rogue3.massage_adDesSeason	ui.TxtDLC5.RogueTitle					{{13,1,14,1,1},{5,21,2,5,1},{4,3,2,1,1}}	{1602274}	{3,"Rogue3DLogic.OpenUI()"}								
112	13	下半期七日累签	1	88			signin_monthly	[202405011000]	[202405150400]			{{{2,11429}},{{2,10104}}}	1021	1602364	1701104	1602363	1602362	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable30										1					
113	3	【宿舍上新】DLC8	1	113			dorm_cpfur_off	[202405301000]	[202407110400]			{{{2,11422},{15,10230}},{{2,10104}}}	1029	1602365	1701104					activity.Lable31					{'activity.dlc8house_detail',1601109,1601108,1601106,1601107}	{3,4}									
114		回归_DLC8	1	19			player_return	[202405301000]	[202407110959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
115	9	角色试玩_瞬刻_DLC8	1	115	1701195	activity.TxtActivityTry1	gacha_try	[202405301000]	[202406270400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_12															
116	9	皮肤试玩_瞬刻须臾蹁跹_DLC8	1	116	1701196	activity.TxtActivityTry3	gacha_try	[202405301000]	[202406270400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_26															
117	9	皮肤试玩_凯西娅贴身特助_DLC8	1	116	1701196	activity.TxtActivityTry3	gacha_try	[202405301000]	[202407110400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_27															
118	9	皮肤试玩_芙提雅不灭耀心_DLC8	1	50	1701196	activity.TxtActivityTry2	gacha_try	[202405301000]	[202509291000]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_28															
119	9	皮肤试玩_猫汐尔喵步巧跃_DLC8	1	116	1701196	activity.TxtActivityTry3	gacha_try	[202405301000]	[202407100400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_29															
120	13	DLC8版本签到	1	88			signin_monthly	[202405301000]	[202406200400]			{{{2,11429}},{{2,10104}}}	1021	1602351	1701104	1602350	1602349	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable32										1					
121	9	角色试玩_凯茜娅_DLC8	1	115	1701195	activity.TxtActivityTry1	gacha_try	[202406201000]	[202407110400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_8															
122	9	皮肤试玩_恩雅轻吻疗法_DLC8	1	116	1701196	activity.TxtActivityTry3	gacha_try	[202405301000]	[202406060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_24															
123	7	勇者游戏跳转（3.5临时延期使用）	1	30				[202605080400]	[202605150400]			{{{1,20}}}	1012	1602141	1701104	1602142			ui.online_boss_ActivityDes	ui.TxtBraveGame					{{4,3,2,1,1},{5,3,1,3,1},{4,3,1,1,1}}	{1602143}	{3,"FunctionRouter.GoTo(14)"}								
124	1	特别邀请_芬妮	1	124			free_items	[202407240400]	[202408220400]				1028	1602385	1701104	1602384	1602387		activity.template_14_des	activity.Lable28					{{1,8,3,1,1,12},{3,1,38,2,1},{3,2,38,2,1},{3,3,38,2,1}}	{202407251000}				1					
125	9	角色试玩_里芙-新换装_DLC9	1	125	1701195	activity.TxtActivityTry1	gacha_try	[202407110400]	[202408080400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_13															
