Id,不能变	说明	动画类型	动画名	路径	注释		
99	呼吸叠加素材	sequence	girl020_01_house_dialogue_Tpose	AnimSequence'/Game/Characters/Girl/girl020_01/Anim/girl020_01_house_dialogue_Tpose.girl020_01_house_dialogue_Tpose'			
100	一次思考	custom_seq	12;13;14				
101	思考循环	custom_loop_last	12;13				
102	一次消极	custom_seq	15;16;17				
103	消极循环	custom_loop_last	15;16				
104	一次背手站	custom_seq	18;19;20				
105	背手站循环	custom_loop_last	18;19				
106	一次生气	custom_seq	21;22;23				
107	生气循环	custom_loop_last	21;22				
108	一次吧台转换	custom_seq	25;26;27				
109	吧台转换循环	custom_loop_last	25;26				
