Id,不能变	说明	动画类型	动画名	路径	注释	套装80	套装5
14	吧台喝水	sequence	player002_house_pub_idle01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_pub_idle01.player002_house_pub_idle01'			
15	吧台坐-前	sequence	player002_house_stool_standsit01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_stool_standsit01.player002_house_stool_standsit01'			
16	吧台坐-循环	sequence	player002_house_stool_sit01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_stool_sit01.player002_house_stool_sit01'			
17	吧台坐-后	sequence	player002_house_stool_sitstand01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_stool_sitstand01.player002_house_stool_sitstand01'			
18	沙发坐-前	sequence	player002_house_sofa_standsit01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_sofa_standsit01.player002_house_sofa_standsit01'			
19	沙发坐-循环	sequence	player002_house_sofa_sit01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_sofa_sit01.player002_house_sofa_sit01'			
20	沙发坐-后	sequence	player002_house_sofa_sitstand01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_sofa_sitstand01.player002_house_sofa_sitstand01'			
21	抱手臂-前	sequence	player002_house_dialogue_armshug01_start	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_armshug01_start.player002_house_dialogue_armshug01_start'			
22	抱手臂-循环	sequence	player002_house_dialogue_armshug01_loop	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_armshug01_loop.player002_house_dialogue_armshug01_loop'			
23	抱手臂-后	sequence	player002_house_dialogue_armshug01_end	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_armshug01_end.player002_house_dialogue_armshug01_end'			
24	双手拒绝	sequence	player002_house_dialogue_armshug02	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_armshug02.player002_house_dialogue_armshug02'			
25	咳咳	sequence	player002_house_dialogue_cough	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_cough.player002_house_dialogue_cough'			
26	摸头无语	sequence	player002_house_dialogue_depressed01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_depressed01.player002_house_dialogue_depressed01'			
27	摊手无奈	sequence	player002_house_dialogue_depressed02	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_depressed02.player002_house_dialogue_depressed02'			
28	活动筋骨	sequence	player002_house_dialogue_depressed03	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_depressed03.player002_house_dialogue_depressed03'			
29	灵机一动	sequence	player002_house_dialogue_idea	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_idea.player002_house_dialogue_idea'			
30	合掌请求	sequence	player002_house_dialogue_please01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_please01.player002_house_dialogue_please01'			
31	伸手邀请	sequence	player002_house_dialogue_please02	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_please02.player002_house_dialogue_please02'			
32	手刀	sequence	player002_house_dialogue_pat01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_pat01.player002_house_dialogue_pat01'			
33	摸头杀	sequence	player002_house_dialogue_pat02	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_pat02.player002_house_dialogue_pat02'			
							
							
							
99	呼吸叠加素材	sequence	player002_house_dialogue_Tpose	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_Tpose.player002_house_dialogue_Tpose'			
100	一次思考	custom_seq	4;5;6				
101	思考循环	custom_loop_last	4;5				
102	一次抱手臂	custom_seq	21;22;23				
103	抱手臂循环	custom_loop_last	21;22				
