ID	备注	开启时间	结束时间	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	队伍规则	Boss概念图	关卡概念图	任务资源	最大伤害值	关卡描述	索引到具体BOSS
9033	DLC6第四期单机关卡4	[202403140400]	[202403250400]	0	9030	1	{{2,9032}}	{{6001207,70}}	4						1801020	MultiTask/RandomTest/MultTask_9033.MultTask_9033	1086895	chapter.level_des_9033	
																			
9040	DLC7第五期单机关卡1	[202404221000]	[202405060400]	0	9040	1		{{6001208,40}}	4						1803051	MultiTask/RandomTest/MultTask_9040.MultTask_9040	199290	chapter.level_des_9040	
9041	DLC7第五期单机关卡2	[202404230400]	[202405060400]	0	9040	1	{{2,9040}}	{{6001208,50}}	4						1803051	MultiTask/RandomTest/MultTask_9041.MultTask_9041	344630	chapter.level_des_9041	
9042	DLC7第五期单机关卡3	[202404240400]	[202405060400]	0	9040	1	{{2,9041}}	{{6001208,60}}	4						1803051	MultiTask/RandomTest/MultTask_9042.MultTask_9042	554580	chapter.level_des_9042	
9043	DLC7第五期单机关卡4	[202404250400]	[202405060400]	0	9040	1	{{2,9042}}	{{6001208,70}}	4						1803051	MultiTask/RandomTest/MultTask_9043.MultTask_9043	831155	chapter.level_des_9043	
																			
9050	DLC8第六期单机关卡1	[202406061000]	[202406200400]	0	9050	1		{{6001401,40}}	4						1803060	MultiTask/RandomTest/MultTask_9050.MultTask_9050	185830	chapter.level_des_9050	
9051	DLC8第六期单机关卡2	[202406070400]	[202406200400]	0	9050	1	{{2,9050}}	{{6001401,50}}	4						1803060	MultiTask/RandomTest/MultTask_9051.MultTask_9051	321354	chapter.level_des_9051	
9052	DLC8第六期单机关卡3	[202406080400]	[202406200400]	0	9050	1	{{2,9051}}	{{6001401,60}}	4						1803060	MultiTask/RandomTest/MultTask_9052.MultTask_9052	517124	chapter.level_des_9052	
9053	DLC8第六期单机关卡4	[202406090400]	[202406200400]	0	9050	1	{{2,9052}}	{{6001401,70}}	4						1803060	MultiTask/RandomTest/MultTask_9053.MultTask_9053	775020	chapter.level_des_9053	
																			
9060	DLC9第七期单机关卡1	[202407150400]	[202407290400]	0	9060	1		{{6001502,40}}	4						1803063	MultiTask/RandomTest/MultTask_9060.MultTask_9060	551880	chapter.level_des_9060	
9061	DLC9第七期单机关卡2	[202407160400]	[202407290400]	0	9060	1	{{2,9060}}	{{6001502,50}}	4						1803063	MultiTask/RandomTest/MultTask_9061.MultTask_9061	954360	chapter.level_des_9061	
9062	DLC9第七期单机关卡3	[202407170400]	[202407290400]	0	9060	1	{{2,9061}}	{{6001502,60}}	4						1803063	MultiTask/RandomTest/MultTask_9062.MultTask_9062	1535760	chapter.level_des_9062	
9063	DLC9第七期单机关卡4	[202407180400]	[202407290400]	0	9060	1	{{2,9062}}	{{6001502,70}}	4						1803063	MultiTask/RandomTest/MultTask_9063.MultTask_9063	2301660	chapter.level_des_9063	
																			
2000	DLC10第八期单机关卡1	[202408231000]	[202409060400]	0	2000	1		{{6001503,40}}	4						1803085	AmassBoss/AmassBoss_2000.AmassBoss_2000	245280	chapter.level_des_2000	6001503
2001	DLC10第八期单机关卡2	[202408240400]	[202409060400]	0	2000	1	{{2,2000}}	{{6001503,50}}	4						1803085	AmassBoss/AmassBoss_2001.AmassBoss_2001	424160	chapter.level_des_2001	6001503
2002	DLC10第八期单机关卡3	[202408250400]	[202409060400]	0	2000	1	{{2,2001}}	{{6001503,60}}	4						1803085	AmassBoss/AmassBoss_2002.AmassBoss_2002	682560	chapter.level_des_2002	6001503
2003	DLC10第八期单机关卡4	[202408260400]	[202409060400]	0	2000	1	{{2,2002}}	{{6001503,70}}	4						1803085	AmassBoss/AmassBoss_2003.AmassBoss_2003	1022960	chapter.level_des_2003	6001503
2004	DLC10第八期单机关卡5	[202408270400]	[202409060400]	0	2000	1	{{2,2003}}	{{6001503,80}}	4						1803085	AmassBoss/AmassBoss_2004.AmassBoss_2004	-1	chapter.level_des_2004	6001503
																			
2010	DLC11第九期单机关卡1	[202409300400]	[202410140400]	0	2010	1		{{6001303,40}}	4						1803088	AmassBoss/AmassBoss_2010.AmassBoss_2010	337260	chapter.level_des_2010	6001303
2011	DLC11第九期单机关卡2	[202410010400]	[202410140400]	0	2010	1	{{2,2010}}	{{6001303,50}}	4						1803088	AmassBoss/AmassBoss_2011.AmassBoss_2011	583220	chapter.level_des_2011	6001303
2012	DLC11第九期单机关卡3	[202410020400]	[202410140400]	0	2010	1	{{2,2011}}	{{6001303,60}}	4						1803088	AmassBoss/AmassBoss_2012.AmassBoss_2012	938520	chapter.level_des_2012	6001303
2013	DLC11第九期单机关卡4	[202410030400]	[202410140400]	0	2010	1	{{2,2012}}	{{6001303,70}}	4						1803088	AmassBoss/AmassBoss_2013.AmassBoss_2013	1406570	chapter.level_des_2013	6001303
2014	DLC11第九期单机关卡5	[202410040400]	[202410140400]	0	2010	1	{{2,2013}}	{{6001303,80}}	4						1803088	AmassBoss/AmassBoss_2014.AmassBoss_2014	-1	chapter.level_des_2014	6001303
																			
2020	DLC12第十期单机关卡1	[202411110400]	[202411250400]	0	2020	1		{{6001601,40}}	4						1803092	AmassBoss/AmassBoss_2020.AmassBoss_2020	76650	chapter.level_des_2020	6001601
2021	DLC12第十期单机关卡2	[202411120400]	[202411250400]	0	2020	1	{{2,2020}}	{{6001601,50}}	4						1803092	AmassBoss/AmassBoss_2021.AmassBoss_2021	132550	chapter.level_des_2021	6001601
2022	DLC12第十期单机关卡3	[202411130400]	[202411250400]	0	2020	1	{{2,2021}}	{{6001601,60}}	4						1803092	AmassBoss/AmassBoss_2022.AmassBoss_2022	213300	chapter.level_des_2022	6001601
2023	DLC12第十期单机关卡4	[202411140400]	[202411250400]	0	2020	1	{{2,2022}}	{{6001601,70}}	4						1803092	AmassBoss/AmassBoss_2023.AmassBoss_2023	319675	chapter.level_des_2023	6001601
2024	DLC12第十期单机关卡5	[202411150400]	[202411250400]	0	2020	1	{{2,2023}}	{{6001601,80}}	4						1803092	AmassBoss/AmassBoss_2024.AmassBoss_2024	-1	chapter.level_des_2024	6001601
																			
2030	DLC24第十一期单机关卡1	[202411110400]	[202411250400]	0	2030	1		{{6001602,40}}	4						1804153	AmassBoss/AmassBoss_2030.AmassBoss_2030	76650	chapter.level_des_2030	6001602
2031	DLC24第十一期单机关卡2	[202411120400]	[202411250400]	0	2030	1	{{2,2030}}	{{6001602,50}}	4						1804153	AmassBoss/AmassBoss_2031.AmassBoss_2031	132550	chapter.level_des_2031	6001602
2032	DLC24第十一期单机关卡3	[202411130400]	[202411250400]	0	2030	1	{{2,2031}}	{{6001602,60}}	4						1804153	AmassBoss/AmassBoss_2032.AmassBoss_2032	213300	chapter.level_des_2032	6001602
2033	DLC24第十一期单机关卡4	[202411140400]	[202411250400]	0	2030	1	{{2,2032}}	{{6001602,70}}	4						1804153	AmassBoss/AmassBoss_2033.AmassBoss_2033	319675	chapter.level_des_2033	6001602
2034	DLC24第十一期单机关卡5	[202411150400]	[202411250400]	0	2030	1	{{2,2033}}	{{6001602,80}}	4						1804153	AmassBoss/AmassBoss_2034.AmassBoss_2034	-1	chapter.level_des_2034	6001602
