期数id	奖励Id	伤害	奖励内容
8	2	360000	{{5,5,1,1,5},{4,3,1,1,3000}}
8	3	500000	{{4,3,2,1,20},{4,3,1,1,3000}}
8	4	680000	{{5,5,1,1,5},{4,3,1,1,3000}}
8	5	900000	{{4,3,2,1,20},{4,3,1,1,5000}}
8	6	1250000	{{5,5,1,1,5},{4,3,1,1,5000}}
8	7	1600000	{{4,3,2,1,30},{4,3,1,1,5000}}
8	8	2000000	{{5,5,1,1,5},{4,3,1,1,8000}}
8	9	2500000	{{5,5,1,2,3},{4,3,1,1,10000}}
8	10	2700000	{{5,5,1,2,3},{4,3,1,1,12000}}
8	11	3200000	{{5,5,1,2,4},{4,3,1,1,12000}}
			
9	1	247500	{{4,3,2,1,20},{4,3,1,1,3000}}
9	2	495000	{{5,5,1,1,5},{4,3,1,1,3000}}
9	3	687500	{{4,3,2,1,20},{4,3,1,1,3000}}
9	4	935000	{{5,5,1,1,5},{4,3,1,1,3000}}
9	5	1237500	{{4,3,2,1,20},{4,3,1,1,5000}}
9	6	1718750	{{5,5,1,1,5},{4,3,1,1,5000}}
9	7	2200000	{{4,3,2,1,30},{4,3,1,1,5000}}
9	8	2750000	{{5,5,1,1,5},{4,3,1,1,8000}}
9	9	3437500	{{5,5,1,2,3},{4,3,1,1,10000}}
9	10	3712500	{{5,5,1,2,3},{4,3,1,1,12000}}
9	11	4400000	{{5,5,1,2,4},{4,3,1,1,12000}}
			
10	1	56250	{{4,3,2,1,30},{4,3,1,1,3000}}
10	2	112500	{{5,5,1,1,5},{4,3,1,1,3000}}
10	3	156250	{{4,3,2,1,30},{4,3,1,1,3000}}
10	4	212500	{{5,5,1,1,5},{4,3,1,1,3000}}
10	5	281250	{{4,3,2,1,30},{4,3,1,1,5000}}
10	6	390625	{{5,5,1,1,5},{4,3,1,1,5000}}
10	7	500000	{{5,5,1,1,5},{4,3,1,1,5000}}
10	8	625000	{{5,5,1,1,5},{4,3,1,1,8000}}
10	9	781250	{{5,5,1,2,3},{4,3,1,1,10000}}
10	10	843750	{{5,5,1,2,3},{4,3,1,1,12000}}
10	11	1000000	{{5,5,1,2,4},{4,3,1,1,12000}}
