怪物队列ID	怪物列表
17	{102,102,101,102,102,103,103,103,103,104,101,104,104,101,101,101,104,103,102,103,103,103,106,104,104,101,104,104,102,102,102,103,102,101,101,104,101,101,103,103,103,102,103,104,104,101,104,104}
18	{103,103,104,103,103,101,101,101,102,101,104,102,102,104,104,104,102,101,103,101,106,101,101,102,102,104,102,102,103,103,103,101,103,104,104,102,104,104,101,101,101,103,101,102,102,104,102,102}
19	{104,104,103,104,104,102,102,102,101,102,103,101,101,107,103,103,103,101,102,104,102,102,102,106,101,101,103,101,101,104,104,104,102,104,103,103,101,103,103,102,102,102,104,102,101,101,103,101,101}
20	{101,101,102,101,101,104,104,104,103,105,104,102,103,103,102,102,102,103,104,101,104,104,104,103,103,102,103,103,101,101,101,104,101,102,102,105,103,102,102,104,104,104,101,104,103,103,102,103,103}
21	{101,101,102,101,101,103,104,103,103,103,103,102,104,101,102,102,102,104,103,101,104,104,101,103,104,104,104,102,101,103,102,102,103,101,104,101,101,103,102,103,103,103,101,104,102,102,101,102,101,102,102,102,101,101,102,101,101,103,103,103,103,104,102,104,104,102,102,102,104,101,101,101,104,101,102,103,103,103,104,104,104,104}
22	{102,102,103,102,102,101,104,101,101,101,101,103,104,102,103,103,103,101,104,102,101,101,104,102,104,104,104,103,102,101,103,103,101,102,104,102,102,101,103,101,101,101,102,104,102,103,103,103,103,103,102,102,103,102,102,104,101,104,104,104,103,102,102,101,101,101,102,103,103,104,103,103,101,101,102,102,102,102}
23	{103,103,104,103,103,102,101,102,102,102,102,104,101,103,104,104,104,102,101,103,102,102,101,103,101,101,101,104,103,102,104,104,102,103,101,103,103,102,104,102,102,102,103,101,104,103,104,104,104,103,103,101,103,103,102,102,102,102,104,101,104,104,103,103,103,104,102,104,102,102,102,103,103,104,104,104,104}
24	{104,104,101,104,104,103,102,103,103,103,103,101,102,104,101,101,101,103,102,104,103,103,102,104,102,102,102,101,104,103,101,101,103,104,102,104,104,103,101,103,103,103,104,102,104,101,101,101,104,104,102,104,104,101,101,101,103,102,102,103,103,104,104,104,104,103,101,103,101,101,101,102,102,103,103,103,103,104,104,103,103}
25	{101,101,103,101,101,104,102,104,104,104,104,103,102,101,104,104,104,102,103,101,102,102,103,101,103,103,103,104,102,101,103,103,101,104,102,101,101,104,103,102,102,102,101,103,101,104,104,104,104,104,102,104,104,101,101,101,103,102,102,103,103,104,104,104,104,103,101,103,101,101,101,102,102,103,103,103,103,104,104,103,103}
26	{102,102,104,102,102,103,101,103,103,103,103,104,101,102,103,103,103,101,104,102,101,101,104,102,104,104,104,103,102,101,103,103,101,102,104,102,102,101,103,101,101,101,102,104,102,103,103,103,103,103,101,103,103,102,104,102,102,102,101,101,101,103,104,104,103,104,102,103,103,103,101,101,102,102,103,102,104,104,104,101,104}
27	{103,103,101,103,103,102,104,102,102,102,102,101,104,103,102,102,102,104,101,103,104,104,101,103,101,101,101,102,104,103,102,102,103,101,104,103,103,102,101,102,102,102,103,104,103,101,101,101,103,103,101,103,103,102,104,102,102,102,101,101,101,103,104,104,103,104,102,103,103,103,101,101,102,102,103,102,104,104,104,101,104}
28	{104,104,102,104,104,101,103,101,101,101,101,102,103,104,101,101,101,103,102,104,103,103,102,104,102,102,102,101,104,103,101,101,103,104,102,104,104,103,101,103,103,103,104,102,104,101,101,101,104,104,101,104,104,103,102,103,103,103,101,101,101,104,102,102,104,102,103,104,104,104,102,102,103,103,102,101,101,101}
29	{101,101,104,101,101,102,103,102,102,102,102,104,103,101,102,102,102,103,104,101,103,103,104,101,104,104,104,102,103,101,104,104,101,102,103,101,101,103,104,102,102,102,101,103,101,104,104,104,101,101,103,101,101,104,102,104,104,104,103,103,103,101,102,102,101,102,104,101,101,101,103,103,104,104,102,101,102,102,102,104}
30	{102,102,101,102,102,103,104,103,103,103,103,101,104,102,103,103,103,104,101,102,104,104,101,102,101,101,101,103,104,102,103,103,102,101,104,102,102,103,101,103,103,103,102,104,102,101,101,101,102,102,104,102,102,103,101,103,103,103,102,102,102,104,101,101,104,101,103,102,102,102,104,104,101,104,103,104,103,103,103}
100	{101,101,102,101,101,102,102,102,103,102,104,104,101,104}
101	{108,104,104,107,104,104,101,106,101,101,103,104,101,105,102,103,102}
201	{101,101,102,101,101,103,103,103,103,104,102,104,104,102,102,102,104,101,101,101,104,101,102,103,103,103,104,104,104,104}
202	{102,102,103,102,102,104,101,104,104,104,103,102,102,101,101,101,102,103,103,104,103,103,101,101,102,102,102,102}
203	{103,103,101,103,103,102,102,102,102,104,101,104,104,103,103,103,104,102,104,102,102,102,103,103,104,104,104,104}
204	{104,104,102,104,104,101,101,101,103,102,102,103,103,104,104,104,104,103,101,103,101,101,101,102,102,103,103,103,103,104,104,103,103}
	
	
301	{109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109}
