字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
65		0				芙提雅微微鼓起脸蛋，双手叉腰地盯着我们。妮塔挠着头，脚步一滑就溜到了我的身后。	0	2.7版本玩法
66		0	分析员			好了好了，让我们回归主题，芙提雅，你继续吧。	0	2.7版本玩法
67		4	芙提雅驰掣			嗯哼，那我就继续啦~	0	2.7版本玩法
68		0				会议重新开始，妮塔却没选择乖乖回到桌前。	0	2.7版本玩法
69		0				身后时不时传来两声轻微的窃笑。	0	2.7版本玩法
70		0				可想而知，她把我当成了“掩体”，藏住此时她因为憋笑而流露出的滑稽表情。	0	2.7版本玩法
71		0				想到自己本就强悍的装甲，还将融合新的力量时，她内心的狂喜是怎么都压制不住了。	0	2.7版本玩法
72		6	芙提雅驰掣			除了刚才说的那些，新模组还有个核心技术，那就是……感知共振！	0	2.7版本玩法
73		9	妮塔			听上去怪厉害的。	0	2.7版本玩法
74		6	芙提雅驰掣			实际用起来也很厉害！	0	2.7版本玩法
75		6	芙提雅驰掣			感知共振技术的原理是通过实时监测使用者的生理状态，让装甲能随着情绪波动自适应调节输出功率。	0	2.7版本玩法
76		6	芙提雅驰掣			从而~	0	2.7版本玩法
77		0				芙提雅刻意停顿了一下，试图为枯燥的讲解增加一点跌宕起伏感。	0	2.7版本玩法
78		9	妮塔			从而啥？	0	2.7版本玩法
79		6	芙提雅驰掣			从而……激发出身体潜能的极限！	0	2.7版本玩法
80		0				一系列术语在车间上空飘飘荡荡，就是不肯进入妮塔的脑子。	0	2.7版本玩法
81		0				但她只是笑而不语，连连点头。	0	2.7版本玩法
82		6	研究员			目前新模组的硬件搭载已经完成，但研发部门也遇上了些问题……	0	2.7版本玩法
83		0	研究员			所以……我们需要分析员的协助。	0	2.7版本玩法
84		0				一直默不作声的研究员忽然发声，言语间还带着几分困惑。	0	2.7版本玩法
85		0	分析员			终于说到重点了吗……	0	2.7版本玩法
86		0	分析员			研发部门需要我协助什么？	0	2.7版本玩法
87		0	研究员			为了准确设定模组的响应阈值，我们需要采集妮塔的一些关键生理指标。	0	2.7版本玩法
88		0	分析员			医疗部的记录里找不到吗？	0	2.7版本玩法
89		0	研究员			我们所需要的，是妮塔的极限心率数值，这超出了常规医疗检测的范畴。	0	2.7版本玩法
90		0	研究员			而且，研发部门目前也无法确定，什么样的状态能够触发她心率的上限。	0	2.7版本玩法
91		0				妮塔看看研究员，又看看我，最后“啪”地一声将手贴在了额头上。	0	2.7版本玩法
92		6	妮塔			那这事儿不是两眼一抹黑吗？	0	2.7版本玩法
93		6	芙提雅驰掣			也没有那么糟糕啦~我们还是拟定了几个值得尝试的切入点。	0	2.7版本玩法
94		0				啪——！	0	2.7版本玩法
95		0				灯光亮起，片刻刺眼后，周遭环境逐渐清晰起来。	0	2.7版本玩法
96		0				白板上，芙提雅用油墨笔写下的黑字也更醒目了。	0	2.7版本玩法
97		0	黑幕白字			高强度运动	0	2.7版本玩法
98		0	黑幕白字			情绪亢奋	0	2.7版本玩法
99		0	黑幕白字			惊吓应激	0	2.7版本玩法
100		6	芙提雅驰掣			这些就是研发部门认为，有可能激发妮塔极限心率的方向~	0	2.7版本玩法
101		6	芙提雅驰掣			怎么样？听明白了吗？如果还有不懂的地方，就快点告诉芙提雅老师哦。	0	2.7版本玩法
102		5	妮塔			呃……反正……就是通过这些法子，让心跳得超级超级快对吧？	0	2.7版本玩法
103		0	分析员			研发部门有预设的理论值吗？	0	2.7版本玩法
104		6	研究员			初步设定的理论值是200bpm，如果无法达到，感知共振模组的设计可能需要重新论证。	0	2.7版本玩法
105		4	芙提雅驰掣			虽然话是这么说，但芙提雅老师的设计怎么会有问题呢？	0	2.7版本玩法
106		0				芙提雅满怀自信的神态把妮塔脸上的忧虑衬得更加明显。	0	2.7版本玩法
107		5	妮塔			跳这么快，我不会原地去世吧？	0	2.7版本玩法
108		4	芙提雅驰掣			怎……怎么可能啦！天启者的生理极限远超常人，这个数值绝对在安全范围内！	0	2.7版本玩法
109		0	分析员			总之，我要做的，就是陪妮塔找到她的极限心率值。	0	2.7版本玩法
110		0	分析员			感觉……这会是场持久战啊。妮塔，有信心吗？	0	2.7版本玩法
111		0				听到我的召唤，妮塔立刻从犹疑中恢复过来，元气满满地把拳头举到了我的面前。	0	2.7版本玩法
112		6	妮塔			和分析员一起的话，我可是很有干劲的！	0	2.7版本玩法
112_1		6	妮塔			<orange>而且运动刚好是我的强项，分析员~我们就先从这个方向开始吧。</>	0	2.7版本玩法
b-2	b-2	0					0	2.7版本玩法
113	b-2-1	0				击拳！	0	2.7版本玩法
114		0				两只拳头在空中相遇，指节相触的瞬间传递着无声的信心。	0	2.7版本玩法
115		0				这个颇具仪式感的小动作为这场会议画上句号，也宣告着“心率实验”的开始。	0	2.7版本玩法
