期数id	等级	普通奖励{g,d,p,l,n}	是否是特殊奖励	普通奖励显示优先级(越小越靠前)	进阶奖励{g,d,p,l,n}	是否是特殊奖励	进阶奖励显示优先级(越小越靠前)	地区限制目前可填：0国内外,1国内,2海外
2	30	{5,21,1,4,1}	1	30	{5,21,1,5,1}	1	2	
2	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
2	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
2	33	{4,3,1,1,4500}		33	{4,3,1,1,18000}			
2	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
2	35	{5,9,1,3,1}	1	35	{5,9,1,3,1}	1	3	
2	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
2	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
2	38	{4,3,1,1,4500}		38	{4,3,1,1,18000}			
2	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
2	40	{5,21,1,4,1}	1	40	{5,21,1,5,1}	1	2	
2	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
2	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
2	43	{4,3,1,1,4500}		43	{4,3,1,1,18000}			
2	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
2	45	{5,5,1,4,1}	1	45	{4,2,1,4,2}	1	4	
2	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
2	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
2	48	{4,3,1,1,6000}		48	{4,3,1,1,24000}			
2	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
2	50	{5,21,1,4,1}	1	50	{4,3,1,1,50000}	1		
								
3	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
3	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
3	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
3	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
3	5	{4,2,1,4,1}	1	5	{4,2,1,4,2}	1	4	
3	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
3	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
3	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
3	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
3	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
3	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
3	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
3	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
3	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
3	15	{5,9,1,3,1}	1	15	{5,9,1,3,1}	1	3	
3	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
3	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
3	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
3	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
3	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
3	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
3	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
3	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
3	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
3	25	{4,2,1,4,1}	1	25	{4,2,1,4,2}	1	4	
3	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
3	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
3	28	{4,3,1,1,3000}		28	{4,3,1,1,12000}			
3	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
3	30	{5,21,1,4,1}	1	30	{5,21,1,5,1}	1	2	
3	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
3	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
3	33	{4,3,1,1,4500}		33	{4,3,1,1,18000}			
3	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
3	35	{5,9,1,3,1}	1	35	{5,9,1,3,1}	1	3	
3	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
3	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
3	38	{4,3,1,1,4500}		38	{4,3,1,1,18000}			
3	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
3	40	{5,21,1,4,1}	1	40	{5,21,1,5,1}	1	2	
3	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
3	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
3	43	{4,3,1,1,4500}		43	{4,3,1,1,18000}			
3	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
3	45	{5,5,1,4,1}	1	45	{4,2,1,4,2}	1	4	
3	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
3	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
3	48	{4,3,1,1,6000}		48	{4,3,1,1,24000}			
3	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
3	50	{5,21,1,4,1}	1	50	{4,3,1,1,50000}	1		
								
4	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
4	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
4	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
4	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
4	5	{4,2,1,4,1}	1	5	{4,2,1,4,2}	1	4	
4	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
4	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
4	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
4	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
4	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
4	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
4	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
4	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
4	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
4	15	{5,9,1,3,1}	1	15	{5,9,1,3,1}	1	3	
4	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
4	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
4	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
4	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
4	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
4	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
4	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
4	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
4	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
4	25	{4,2,1,4,1}	1	25	{4,2,1,4,2}	1	4	
4	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
4	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
4	28	{4,3,1,1,3000}		28	{4,3,1,1,12000}			
4	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
4	30	{5,21,1,4,1}	1	30	{5,21,1,5,1}	1	2	
4	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
4	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
4	33	{4,3,1,1,4500}		33	{4,3,1,1,18000}			
4	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
4	35	{5,9,1,3,1}	1	35	{5,9,1,3,1}	1	3	
4	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
4	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
4	38	{4,3,1,1,4500}		38	{4,3,1,1,18000}			
4	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
4	40	{5,21,1,4,1}	1	40	{5,21,1,5,1}	1	2	
4	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
4	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
4	43	{4,3,1,1,4500}		43	{4,3,1,1,18000}			
4	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
4	45	{5,5,1,4,1}	1	45	{4,2,1,4,2}	1	4	
4	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
4	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
4	48	{4,3,1,1,6000}		48	{4,3,1,1,24000}			
4	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
4	50	{5,21,1,4,1}	1	50	{4,3,1,1,50000}	1		
								
5	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
5	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
5	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
5	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
5	5	{4,2,1,4,1}	1	5	{4,2,1,4,2}	1	4	
5	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
5	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
5	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
5	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
5	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
5	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
5	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
5	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
5	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
5	15	{5,9,1,3,1}	1	15	{5,9,1,3,1}	1	3	
5	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
5	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
5	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
5	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
5	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
5	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
5	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
5	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
5	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
5	25	{4,2,1,4,1}	1	25	{4,2,1,4,2}	1	4	
5	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
5	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
5	28	{4,3,1,1,3000}		28	{4,3,1,1,12000}			
5	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
5	30	{5,21,1,4,1}	1	30	{5,21,1,5,1}	1	2	
5	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
5	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
5	33	{4,3,1,1,4500}		33	{4,3,1,1,18000}			
5	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
5	35	{5,9,1,3,1}	1	35	{5,9,1,3,1}	1	3	
5	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
5	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
5	38	{4,3,1,1,4500}		38	{4,3,1,1,18000}			
5	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
5	40	{5,21,1,4,1}	1	40	{5,21,1,5,1}	1	2	
5	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
5	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
5	43	{4,3,1,1,4500}		43	{4,3,1,1,18000}			
5	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
5	45	{5,5,1,4,1}	1	45	{4,2,1,4,2}	1	4	
5	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
5	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
5	48	{4,3,1,1,6000}		48	{4,3,1,1,24000}			
5	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
5	50	{5,21,1,4,1}	1	50	{4,3,1,1,50000}	1		
								
6	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
6	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
6	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
6	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
6	5	{4,2,1,4,1}	1	5	{4,2,1,4,2}	1	4	
6	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
6	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
6	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
6	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
6	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
6	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
6	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
6	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
6	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
6	15	{5,9,1,3,1}	1	15	{5,9,1,3,1}	1	3	
6	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
6	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
6	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
6	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
6	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
6	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
6	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
6	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
6	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
6	25	{4,2,1,4,1}	1	25	{4,2,1,4,2}	1	4	
6	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
6	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
6	28	{4,3,1,1,3000}		28	{4,3,1,1,12000}			
6	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
6	30	{5,21,1,4,1}	1	30	{5,21,1,5,1}	1	2	
6	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
6	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
6	33	{4,3,1,1,4500}		33	{4,3,1,1,18000}			
6	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
6	35	{5,9,1,3,1}	1	35	{5,9,1,3,1}	1	3	
6	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
6	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
6	38	{4,3,1,1,4500}		38	{4,3,1,1,18000}			
6	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
6	40	{5,21,1,4,1}	1	40	{5,21,1,5,1}	1	2	
6	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
6	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
6	43	{4,3,1,1,4500}		43	{4,3,1,1,18000}			
6	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
6	45	{5,5,1,4,1}	1	45	{4,2,1,4,2}	1	4	
6	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
6	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
6	48	{4,3,1,1,6000}		48	{4,3,1,1,24000}			
6	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
6	50	{5,21,1,4,1}	1	50	{4,3,1,1,50000}	1		
								
7	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
7	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
7	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
7	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
7	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
7	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
7	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
7	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
7	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
7	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
7	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
7	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
7	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
7	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
7	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
7	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
7	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
7	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
7	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
7	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
7	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
7	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
7	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
7	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
7	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
7	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
7	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
7	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
7	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
7	30	{5,21,1,4,1}	1	30	{5,21,1,5,1}	1	2	
7	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
7	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
7	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
7	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
7	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
7	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
7	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
7	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
7	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
7	40	{5,21,1,4,1}	1	40	{5,21,1,5,1}	1	2	
7	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
7	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
7	43	{4,3,1,1,4500}		43	{4,3,1,1,28000}			
7	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
7	45	{5,5,1,4,1}	1	45	{4,2,1,4,8}	1	4	
7	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
7	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
7	48	{4,3,1,1,6000}		48	{4,3,1,1,34000}			
7	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
7	50	{5,21,1,4,1}	1	50	{5,6,1,2,4}	1		
								
8	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
8	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
8	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
8	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
8	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
8	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
8	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
8	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
8	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
8	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
8	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
8	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
8	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
8	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
8	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
8	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
8	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
8	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
8	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
8	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
8	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
8	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
8	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
8	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
8	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
8	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
8	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
8	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
8	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
8	30	{5,21,1,4,1}	1	30	{5,21,1,5,1}	1	2	
8	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
8	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
8	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
8	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
8	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
8	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
8	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
8	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
8	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
8	40	{5,21,1,4,1}	1	40	{5,21,1,5,1}	1	2	
8	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
8	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
8	43	{4,3,1,1,4500}		43	{4,3,1,1,28000}			
8	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
8	45	{5,5,1,4,1}	1	45	{4,2,1,4,8}	1	4	
8	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
8	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
8	48	{4,3,1,1,6000}		48	{4,3,1,1,34000}			
8	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
8	50	{5,21,1,4,1}	1	50	{5,6,1,2,4}	1		
								
9	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
9	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
9	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
9	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
9	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
9	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
9	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
9	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
9	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
9	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
9	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
9	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
9	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
9	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
9	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
9	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
9	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
9	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
