任务组分页ID	任务ID（注意：任务ID不能超过65500）	刷新规则(不配置为不刷新 1为每日刷新 2为每周刷新)	组ID，选取数量	权重	备注	分页名	任务名	任务介绍	任务或成就图标	标签{"颜色ID","表.key"})	排序	解锁条件	未解锁隐藏	前置任务id	领取奖励后是否在列表中显示	任务类型	检查值	扩展参数 不填为不限制	可执行次数	奖励列表	开始时间,格式	结束时间，格式同开始时间	隐藏倒计时	跳转界面	跳转参数	条件跳转	背景图	背景SPINE	地区限制目前可填：0国内外,1国内,2海外
1	10019				完成起于子半·普通	achievement_dlc.type1	achievement_dlc.Name6	achievement_dlc.Describe6_2							1	2	1	{4102}		{{5,23,1,1,10},{4,3,1,1,2000}}	[202308070400]	[202309140400]		Dlc1Refresh	{2}				
1	10020				完成起于子半·困难	achievement_dlc.type1	achievement_dlc.Name6	achievement_dlc.Describe6_3							1	2	1	{4103}		{{5,23,1,1,10},{4,3,1,1,2000}}	[202308070400]	[202309140400]		Dlc1Refresh	{2}				
1	10021				完成起于子半·恐惧	achievement_dlc.type1	achievement_dlc.Name6	achievement_dlc.Describe6_4							1	2	1	{4104}		{{5,23,1,1,10},{4,3,1,1,2000}}	[202308070400]	[202309140400]		Dlc1Refresh	{2}				
1	10022				完成起于子半·噩梦	achievement_dlc.type1	achievement_dlc.Name6	achievement_dlc.Describe6_5							1	2	1	{4105}		{{5,23,1,1,10},{4,3,1,1,2000}}	[202308070400]	[202309140400]		Dlc1Refresh	{2}				
1	10023				完成起于子半·深渊	achievement_dlc.type1	achievement_dlc.Name6	achievement_dlc.Describe6_6							1	2	1	{4106}		{{5,23,1,1,10},{4,3,1,1,2000}}	[202308070400]	[202309140400]		Dlc1Refresh	{2}				
																													
2	10024	2			本周内完成一次“决胜危战”	achievement_dlc.type4	achievement_dlc.Name7	achievement_dlc.Describe7		{"FFC500","achievement.icon2"}					1	2	1	{4341,4342}		{{4,3,2,1,60},{4,3,1,1,5000}}	[202308210400]	[202309110400]				RogueLogic.GoToRouge			
2	10025	2			获得1500青蓝之羽	achievement_dlc.type4	achievement_dlc.Name9	achievement_dlc.Describe9		{"FFC500","achievement.icon2"}					1	3	1500	{4,1,6,1}		{{4,3,2,1,15},{4,3,1,1,2000}}	[202308210400]	[202309110400]				RogueLogic.GoToRouge			
																													
2	10028	2			完成15个战斗节点	achievement_dlc.type4	achievement_dlc.Name10	achievement_dlc.Describe10		{"FFC500","achievement.icon2"}					1	84	15			{{4,3,2,1,15},{4,3,1,1,2000}}	[202308210400]	[202309110400]				RogueLogic.GoToRouge			
																													
2	10031	2			完成12次“天降奇遇”	achievement_dlc.type4	achievement_dlc.Name11	achievement_dlc.Describe11		{"FFC500","achievement.icon2"}					1	85	12			{{4,3,2,1,15},{4,3,1,1,2000}}	[202308210400]	[202309110400]				RogueLogic.GoToRouge			
																													
2	10034	2			完成6次商店	achievement_dlc.type4	achievement_dlc.Name12	achievement_dlc.Describe12		{"FFC500","achievement.icon2"}					1	86	6			{{4,3,2,1,15},{4,3,1,1,2000}}	[202308210400]	[202309110400]				RogueLogic.GoToRouge			
																													
2	10037	2			完成4次休息点	achievement_dlc.type4	achievement_dlc.Name13	achievement_dlc.Describe13		{"FFC500","achievement.icon2"}					1	87	4			{{4,3,2,1,15},{4,3,1,1,2000}}	[202308210400]	[202309110400]				RogueLogic.GoToRouge			
																													
2	10040				角色未退场的情况下通关1次	achievement_dlc.type4	achievement.Name85	achievement.Describe85							1	108	1			{{4,3,2,1,20},{4,3,1,1,2000}}	[202308210400]	[202309110400]				RogueLogic.GoToRouge			
2	10041				不购买试用角色的情况下通关1次	achievement_dlc.type4	achievement.Name84	achievement.Describe84							1	106	1			{{4,3,2,1,20},{4,3,1,1,2000}}	[202308210400]	[202309110400]				RogueLogic.GoToRouge			
2	10042				BUFF数量少于20通关1次	achievement_dlc.type4	achievement.Name83	achievement.Describe83							1	107	1	{20}		{{4,3,2,1,20},{4,3,1,1,2000}}	[202308210400]	[202309110400]				RogueLogic.GoToRouge			
																													
3	10043	2			完成天楼纷争活动第6波（每周刷新）	achievement_dlc.type3	achievement.Name80	achievement.Describe80_6		{"FFC500","achievement.icon2"}					1	73	6			{{4,3,2,1,30},{4,3,1,1,2000}}	[202308070400]	[202308210400]				DefendLogic.CheckOpenAct()			
3	10044	2			完成天楼纷争活动第12波（每周刷新）	achievement_dlc.type3	achievement.Name80_1	achievement.Describe80_6		{"FFC500","achievement.icon2"}					1	73	12			{{4,3,2,1,30},{4,3,1,1,2000}}	[202308070400]	[202308210400]				DefendLogic.CheckOpenAct()			
3	10045	2			完成天楼纷争活动第15波（每周刷新）	achievement_dlc.type3	achievement.Name80_2	achievement.Describe80_6		{"FFC500","achievement.icon2"}					1	73	15			{{4,3,2,1,30},{4,3,1,1,2000}}	[202308070400]	[202308210400]				DefendLogic.CheckOpenAct()			
3	10046	2			完成天楼纷争活动第18波（每周刷新）	achievement_dlc.type3	achievement.Name80_3	achievement.Describe80_6		{"FFC500","achievement.icon2"}					1	73	18			{{4,3,2,1,30},{4,3,1,1,2000}}	[202308070400]	[202308210400]				DefendLogic.CheckOpenAct()			
3	10047	2			完成天楼纷争活动第21波（每周刷新）	achievement_dlc.type3	achievement.Name80_4	achievement.Describe80_6		{"FFC500","achievement.icon2"}					1	73	21			{{4,3,2,1,30},{4,3,1,1,2000}}	[202308070400]	[202308210400]				DefendLogic.CheckOpenAct()			
																													
4	10048				图1：灯节收集度100%	achievement_dlc.type2	season_task.chesstask2	season_task.chesstask2.desc							1	81	100	{1}		{{4,3,2,1,20},{4,3,1,1,5000}}	[202308140400]	[202309040400]				ChessLogic.CheckOpenAct()			
4	10049				图2：祈愿收集度100%	achievement_dlc.type2	season_task.chesstask4	season_task.chesstask4.desc							1	81	100	{2}		{{4,3,2,1,20},{4,3,1,1,5000}}	[202308140400]	[202309040400]				ChessLogic.CheckOpenAct()			
4	10050				图3：隐秘收集度100%	achievement_dlc.type2	season_task.chesstask6	season_task.chesstask6.desc							1	81	100	{3}		{{4,3,2,1,20},{4,3,1,1,5000}}	[202308140400]	[202309040400]				ChessLogic.CheckOpenAct()			
4	10051				图4：患失收集度100%	achievement_dlc.type2	season_task.chesstask8	season_task.chesstask8.desc							1	81	100	{4}		{{4,3,2,1,20},{4,3,1,1,5000}}	[202308140400]	[202309040400]				ChessLogic.CheckOpenAct()			
4	10052				图5：难关收集度100%	achievement_dlc.type2	season_task.chesstask10	season_task.chesstask10.desc							1	81	100	{5}		{{4,3,2,1,20},{4,3,1,1,5000}}	[202308140400]	[202309040400]				ChessLogic.CheckOpenAct()			
4	10053				图6：福至收集度100%	achievement_dlc.type2	season_task.chesstask12	season_task.chesstask12.desc							1	81	100	{6}		{{4,3,2,1,20},{4,3,1,1,5000}}	[202308140400]	[202309040400]				ChessLogic.CheckOpenAct()			
4	10054				棋盘格全收集	achievement_dlc.type2	season_task.chesstask100	season_task.chesstask100.desc							1	82	6	{10048,10049,10050,10051,10052,10053}		{{4,3,2,1,60},{4,3,1,1,30000}}	[202308140400]	[202309040400]				ChessLogic.CheckOpenAct()			
																													
5	20001	1			活动期间，登陆一次游戏	ui.TxtDLC2.Title	achievement_dlc.Name24	achievement_dlc.Describe24		{"F8FBFF","achievement.icon1"}					1	11	1			{{4,1,6,3,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]							
5	20002				累计消耗1500枚样本晶簇（实际文本显示激励点数）	ui.TxtDLC2.Title	achievement_dlc.Name26	achievement_dlc.Describe26							1	5	1500	{4,1,6,3}		{{4,1,6,2,20},{4,3,1,1,5000}}	[202309211000]	[202311020400]		Dlc2Shop					
5	20050				累计获得400先驱铭牌	ui.TxtDLC2.Title	achievement_dlc.Name33	achievement_dlc.Describe33							1	3	400	{4,1,6,2}		{{10,1,5,1,1}}	[202309211000]	[202311020400]							
5	20004				完成角色试用本——藏锋	ui.TxtDLC2.Title	achievement_dlc.Name20	achievement_dlc.Describe20_1		{"46D8D9","achievement.icon3"}					1	2	1	{5009}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202310190400]				Activity.OpenActicity(33,6)			
5	20003				完成角色试用本——缄默	ui.TxtDLC2.Title	achievement_dlc.Name20	achievement_dlc.Describe20_2		{"46D8D9","achievement.icon3"}					1	2	1	{5008}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202310121000]	[202311020400]				Activity.OpenActicity(34,7)			
5	20005				完成角色试用本——藏锋4星皮	ui.TxtDLC2.Title	achievement_dlc.Name20_1	achievement_dlc.Describe20_3		{"46D8D9","achievement.icon3"}					1	2	1	{5006}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202310190400]				Activity.OpenActicity(36,8)			
5	20006				完成角色试用本——缄默4星皮	ui.TxtDLC2.Title	achievement_dlc.Name20_1	achievement_dlc.Describe20_4		{"46D8D9","achievement.icon3"}					1	2	1	{5005}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202310121000]	[202311020400]				Activity.OpenActicity(35,9)			
5	20007				完成角色试用本——咎冠3星皮	ui.TxtDLC2.Title	achievement_dlc.Name20_1	achievement_dlc.Describe20_5		{"46D8D9","achievement.icon3"}					1	2	1	{5007}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311010400]				Activity.OpenActicity(37,10)			
																													
5	20008				完成主线关卡 11-1	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11101}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11101}}				
5	20009				完成主线关卡 11-2	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11102}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11102}}				
5	20010				完成主线关卡 11-3	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11103}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11103}}				
5	20011				完成主线关卡 11-4	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11104}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11104}}				
5	20012				完成主线关卡 11-5	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11105}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11105}}				
5	20013				完成主线关卡 11-6	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11106}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11106}}				
5	20014				完成主线关卡 11-7	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11107}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11107}}				
5	20015				完成主线关卡 11-8	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11108}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11108}}				
5	20016				完成主线关卡 11-9	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11109}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11109}}				
5	20017				完成主线关卡 11-10	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11110}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11110}}				
5	20018				完成主线关卡 11-11	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11111}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11111}}				
5	20019				完成主线关卡 11-12	ui.TxtDLC2.Title	achievement_dlc.Name19	achievement.Describe10							1	2	1	{11112}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202311020400]	1	Level	{true,1,11,{levelId = 11112}}				
																													
5	20020				通关材料关卡 死寂门扉1次	ui.TxtDLC2.Title	achievement_dlc.Name18	achievement_dlc.Describe18_1							1	2	1	{410}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202310270400]		Dlc2Refresh	{3}				
5	20021				通关材料关卡 沉默喧嚣1次	ui.TxtDLC2.Title	achievement_dlc.Name18	achievement_dlc.Describe18_2							1	2	1	{411}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202310270400]		Dlc2Refresh	{3}				
5	20022				通关材料关卡 腐蚀生息1次	ui.TxtDLC2.Title	achievement_dlc.Name18	achievement_dlc.Describe18_3							1	2	1	{412}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202310270400]		Dlc2Refresh	{3}				
5	20023				通关材料关卡 风化繁荣1次	ui.TxtDLC2.Title	achievement_dlc.Name18	achievement_dlc.Describe18_4							1	2	1	{413}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202310270400]		Dlc2Refresh	{3}				
5	20024				通关材料关卡 秽浊潮汐1次	ui.TxtDLC2.Title	achievement_dlc.Name18	achievement_dlc.Describe18_5							1	2	1	{414}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202310270400]		Dlc2Refresh	{3}				
5	20025				通关材料关卡 失控幕布1次	ui.TxtDLC2.Title	achievement_dlc.Name18	achievement_dlc.Describe18_6							1	2	1	{415}		{{4,1,6,2,5},{4,3,1,1,2000}}	[202309211000]	[202310270400]		Dlc2Refresh	{3}				
																													
6	20026				通关危险评级Ⅰ-速攻战线、生续战线、攻坚战线关卡	ui.TxtDLC2.Tower	achievement_dlc.Name21	achievement_dlc.Describe21_1							1	128	3	{15,{481,482,483}}		{{4,3,2,1,20},{4,3,1,1,10000}}	[202310121000]	[202310290400]				Repression_Chapter.GoToRepression			
6	20027				通关危险评级Ⅱ-速攻战线、生续战线、攻坚战线关卡	ui.TxtDLC2.Tower	achievement_dlc.Name21	achievement_dlc.Describe21_2							1	128	3	{15,{484,485,486}}		{{4,3,2,1,30},{4,3,1,1,15000}}	[202310121000]	[202310290400]				Repression_Chapter.GoToRepression			
6	20028				通关危险评级Ⅲ-速攻战线、生续战线、攻坚战线关卡	ui.TxtDLC2.Tower	achievement_dlc.Name21	achievement_dlc.Describe21_3							1	128	3	{15,{487,488,489}}		{{4,3,2,1,50},{4,3,1,1,20000}}	[202310121000]	[202310290400]				Repression_Chapter.GoToRepression			
6	20029				通关危险评级Ⅰ-累计通关临时阵地关卡2次	ui.TxtDLC2.Tower	achievement_dlc.Name21_1	achievement_dlc.Describe21_4							1	128	6	{15,{450,451,452,453,454,455}}		{{4,3,2,1,20},{4,1,6,2,10}}	[202310121000]	[202310290400]				Repression_Chapter.GoToRepression			
6	20030				通关危险评级Ⅱ-累计通关临时阵地关卡3次	ui.TxtDLC2.Tower	achievement_dlc.Name21_1	achievement_dlc.Describe21_5							1	128	9	{15,{456,457,458,459,460,461,462,463,464}}		{{4,3,2,1,30},{4,1,6,2,20}}	[202310121000]	[202310290400]				Repression_Chapter.GoToRepression			
6	20031				通关危险评级Ⅲ-累计通关临时阵地关卡4次	ui.TxtDLC2.Tower	achievement_dlc.Name21_1	achievement_dlc.Describe21_6							1	128	12	{15,{465,466,467,468,469,470,471,472,473,474,475,476}}		{{4,3,2,1,50},{4,1,6,2,30}}	[202310121000]	[202310290400]				Repression_Chapter.GoToRepression			
6	20032				【迷城扫浊】绩点达到30000	ui.TxtDLC2.Tower	achievement_dlc.Name21_2	achievement_dlc.Describe21_7							1	141	30000	{30000}		{{10,1,4,1,1},{4,3,1,1,25000}}	[202310121000]	[202310290400]				Repression_Chapter.GoToRepression			
																													
7	20033	2			获得180枚激励点数（每周刷新）	ui.TxtDLC2.Dark	achievement_dlc.Name22	achievement_dlc.Describe22_1		{"FFC500","achievement.icon2"}					1	145	180	{180}		{{4,3,2,1,30},{4,1,6,2,10}}	[202309251000]	[202310160400]				DarkZone.CheckOpenAct()			
7	20034	2			累计完成8次“晶簇任务”（每周刷新）	ui.TxtDLC2.Dark	achievement_dlc.Name22_1	achievement_dlc.Describe22_2		{"FFC500","achievement.icon2"}					1	135	8	{2}		{{4,3,2,1,30},{4,1,6,2,10}}	[202309251000]	[202310160400]				DarkZone.CheckOpenAct()			
7	20035	2			累计完成3次“区域任务”（每周刷新）	ui.TxtDLC2.Dark	achievement_dlc.Name22_2	achievement_dlc.Describe22_3		{"FFC500","achievement.icon2"}					1	135	3	{1}		{{4,3,2,1,30},{4,1,6,2,10}}	[202309251000]	[202310160400]				DarkZone.CheckOpenAct()			
7	20036	2			击破100个小型水晶（每周刷新）	ui.TxtDLC2.Dark	achievement_dlc.Name22_3	achievement_dlc.Describe22_4		{"FFC500","achievement.icon2"}					1	136	100	{100}		{{4,3,2,1,30},{4,1,6,2,10}}	[202309251000]	[202310160400]				DarkZone.CheckOpenAct()			
7	20037				在追光逐影活动中收集10个探索见闻碎片	ui.TxtDLC2.Dark	achievement_dlc.Name22_4	achievement_dlc.Describe22_5							1	110	10	{7125,7126,7127,7128,7129,7130,7131,7132,7133,7134,7135,7136,7137,7138,7139,7140,7141,7142,7143,7144,7208,7209,7210,7211,7212,7213,7214,7215,7216,7217,7218,7219,7220,7221,7222,7223,7505,7506,7611,7612,7613,7614,7615,7616,7617,7618,7619,7620,7621,7622,7623,7624,7625,7626,7627,7628}		{{4,3,2,1,20},{4,1,6,2,10}}	[202309251000]	[202310160400]				DarkZone.CheckOpenAct()			
7	20038				在追光逐影活动中收集20个探索见闻碎片	ui.TxtDLC2.Dark	achievement_dlc.Name22_4	achievement_dlc.Describe22_5							1	110	20	{7125,7126,7127,7128,7129,7130,7131,7132,7133,7134,7135,7136,7137,7138,7139,7140,7141,7142,7143,7144,7208,7209,7210,7211,7212,7213,7214,7215,7216,7217,7218,7219,7220,7221,7222,7223,7505,7506,7611,7612,7613,7614,7615,7616,7617,7618,7619,7620,7621,7622,7623,7624,7625,7626,7627,7628}		{{4,3,2,1,20},{4,1,6,2,10}}	[202309251000]	[202310160400]				DarkZone.CheckOpenAct()			
7	20039				在追光逐影活动中收集30个探索见闻碎片	ui.TxtDLC2.Dark	achievement_dlc.Name22_4	achievement_dlc.Describe22_5							1	110	30	{7125,7126,7127,7128,7129,7130,7131,7132,7133,7134,7135,7136,7137,7138,7139,7140,7141,7142,7143,7144,7208,7209,7210,7211,7212,7213,7214,7215,7216,7217,7218,7219,7220,7221,7222,7223,7505,7506,7611,7612,7613,7614,7615,7616,7617,7618,7619,7620,7621,7622,7623,7624,7625,7626,7627,7628}		{{4,3,2,1,30},{4,1,6,2,15}}	[202309251000]	[202310160400]				DarkZone.CheckOpenAct()			
7	20040				在追光逐影活动中收集40个探索见闻碎片	ui.TxtDLC2.Dark	achievement_dlc.Name22_4	achievement_dlc.Describe22_5							1	110	40	{7125,7126,7127,7128,7129,7130,7131,7132,7133,7134,7135,7136,7137,7138,7139,7140,7141,7142,7143,7144,7208,7209,7210,7211,7212,7213,7214,7215,7216,7217,7218,7219,7220,7221,7222,7223,7505,7506,7611,7612,7613,7614,7615,7616,7617,7618,7619,7620,7621,7622,7623,7624,7625,7626,7627,7628}		{{4,3,2,1,40},{4,1,6,2,20}}	[202309251000]	[202310160400]				DarkZone.CheckOpenAct()			
7	20041				在追光逐影活动中收集50个探索见闻碎片	ui.TxtDLC2.Dark	achievement_dlc.Name22_4	achievement_dlc.Describe22_5							1	110	50	{7125,7126,7127,7128,7129,7130,7131,7132,7133,7134,7135,7136,7137,7138,7139,7140,7141,7142,7143,7144,7208,7209,7210,7211,7212,7213,7214,7215,7216,7217,7218,7219,7220,7221,7222,7223,7505,7506,7611,7612,7613,7614,7615,7616,7617,7618,7619,7620,7621,7622,7623,7624,7625,7626,7627,7628}		{{4,3,2,1,50},{4,1,6,2,20}}	[202309251000]	[202310160400]				DarkZone.CheckOpenAct()			
																													
8	20042	2			完成愚妄乱局活动第6波（每周刷新）	ui.TxtDLC2.Defense	achievement_dlc.Name25	achievement_dlc.Describe25		{"FFC500","achievement.icon2"}					1	73	6			{{4,3,2,1,20},{4,1,6,2,5}}	[202310091000]	[202310230400]				DefendLogic.CheckOpenAct()			
8	20043	2			完成愚妄乱局活动第12波（每周刷新）	ui.TxtDLC2.Defense	achievement_dlc.Name25	achievement_dlc.Describe25		{"FFC500","achievement.icon2"}					1	73	12			{{4,3,2,1,20},{4,1,6,2,5}}	[202310091000]	[202310230400]				DefendLogic.CheckOpenAct()			
8	20044	2			完成愚妄乱局活动第15波（每周刷新）	ui.TxtDLC2.Defense	achievement_dlc.Name25	achievement_dlc.Describe25		{"FFC500","achievement.icon2"}					1	73	15			{{4,3,2,1,20},{4,1,6,2,10}}	[202310091000]	[202310230400]				DefendLogic.CheckOpenAct()			
8	20045	2			完成愚妄乱局活动第18波（每周刷新）	ui.TxtDLC2.Defense	achievement_dlc.Name25	achievement_dlc.Describe25		{"FFC500","achievement.icon2"}					1	73	18			{{4,3,2,1,20},{4,1,6,2,15}}	[202310091000]	[202310230400]				DefendLogic.CheckOpenAct()			
8	20046	2			完成愚妄乱局活动第21波（每周刷新）	ui.TxtDLC2.Defense	achievement_dlc.Name25	achievement_dlc.Describe25		{"FFC500","achievement.icon2"}					1	73	21			{{4,3,2,1,20},{4,1,6,2,20}}	[202310091000]	[202310230400]				DefendLogic.CheckOpenAct()			
																													
9	20047	2			累计通关永续联战任意难度1次	ui.TxtOnlineEvent14	achievement_dlc.Name23	achievement_dlc.Describe23		{"FFC500","achievement.icon2"}					1	52	1	{2,4}		{{4,3,2,1,30},{4,3,1,1,3000}}	[202309221000]	[202310090400]				Online.GoToUI({2,4})			
9	20048	2			累计通关永续联战任意难度3次	ui.TxtOnlineEvent14	achievement_dlc.Name23	achievement_dlc.Describe23		{"FFC500","achievement.icon2"}					1	52	2	{2,4}		{{4,3,2,1,30},{4,3,1,1,3000}}	[202309221000]	[202310090400]				Online.GoToUI({2,4})			
9	20049	2			累计通关永续联战任意难度5次	ui.TxtOnlineEvent14	achievement_dlc.Name23	achievement_dlc.Describe23		{"FFC500","achievement.icon2"}					1	52	3	{2,4}		{{4,3,2,1,30},{4,3,1,1,3000}}	[202309221000]	[202310090400]				Online.GoToUI({2,4})			
																													
																													
																													
