商店ID	商品ID	GDPLN	Up定向池的限制，配置格式为{{定向卡池ID1,所选卡池ID…},{定向卡池ID2,所选卡池ID…}…}	//备注	固定位置	后置商品ID（需要按ID顺序解锁时配）	解锁条件	购买逻辑	售价	限购类型	限购数量	拥有数量限制（超过则不可购买）	超过限购提示（1或不配显示售罄标签，2显示下次刷新倒计时）	折扣类型（1按比例，2超值）	折扣{{概率,比例或超值}...}	上线时间	下线时间	是否隐藏限时标签	是否未上架时进行显示	是否提示防沉迷	是否显示后勤专属角色角标（1=显示，0或不配=不显示）	扩展参数
105	10513	{5,5,1,4,1}		碳原子板	5			ordinary	{16,100}	5	5											
105	10514	{5,3,1,3,8}		职级认证丙	17			ordinary	{16,16}	5	30											
105	10515	{5,3,1,4,5}		职级认证丁	12			ordinary	{16,30}	5	15											
105	10516	{5,6,1,2,1}		人事档案2	6			ordinary	{16,75}	5	10											
105	10517	{4,3,1,1,15000}		通用银	18			ordinary	{16,20}	5	40											
105	10518	{4,3,1,1,15000}		通用银	19			ordinary	{22,10}	5	5											
105	10519	{7,11,1,2,1}		恩雅泳装 情迷炎日	2			ordinary	{22,300}	5	1											
105	10520	{4,5,9,4,1}		橙色角色自选箱	1			ordinary	{16,500}	5	1											
																						
106	10601	{3,1,30,1,1}		阿赫莫特	1			ordinary	{16,50}													
106	10602	{3,2,30,1,1}		卜内菲尔	2			ordinary	{16,50}													
106	10603	{3,3,30,1,1}		梅克塔腾	3			ordinary	{16,50}													
106	10604	{2,1,14,1,1}		浮浪s	4			ordinary	{16,300}													
106	10605	{4,3,1,1,200}		通用银	6			ordinary	{16,1}													
																						
107	10701	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,1,2,50}	5	5											
107	10702	{5,1,1,3,8}		战斗记录3	12			ordinary	{5,29,1,1,16}	5	10											
107	10703	{5,1,1,4,5}		战斗记录4	8			ordinary	{5,29,1,1,30}	5	5											
107	10704	{5,9,1,2,10}		光纤轴突	13			ordinary	{5,29,1,1,16}	5	20											
107	10705	{5,9,1,3,1}		量子胞体	4			ordinary	{5,29,1,1,75}	5	10											
107	10706	{6,5,125,1,1}		仙境通行·记录仪	3			ordinary	{5,29,1,2,100}	5	1											
107	10707	{2,2,6,1,1}		黄蜂	7			ordinary	{5,29,1,1,150}	5	1											
107	10708	{5,2,1,3,8}		强化套件3	14			ordinary	{5,29,1,1,16}	5	8											
107	10709	{5,2,1,4,5}		强化套件4	9			ordinary	{5,29,1,1,30}	5	4											
107	10710	{5,5,1,1,10}		合成颗粒	19			ordinary	{5,29,1,1,8}	5	8											
107	10711	{5,5,1,2,10}		芳烃塑料	15			ordinary	{5,29,1,1,16}	5	8											
107	10712	{5,5,1,3,4}		单极纤维	10			ordinary	{5,29,1,1,16}	5	8											
107	10713	{5,3,1,3,8}		职级认证丙	16			ordinary	{5,29,1,1,16}	5	20											
107	10714	{5,3,1,4,5}		职级认证丁	11			ordinary	{5,29,1,1,30}	5	10											
107	10715	{5,5,1,4,1}		碳原子板	5			ordinary	{5,29,1,1,100}	5	5											
107	10716	{5,6,1,2,1}		人事档案2	6			ordinary	{5,29,1,1,75}	5	10											
107	10717	{4,3,1,1,15000}		通用银	17			ordinary	{5,29,1,1,20}	5	30											
107	10718	{4,3,1,1,15000}		通用银	18			ordinary	{5,29,1,2,10}	5	10											
107	10719	{8,99,2,3,1}		宿舍推车纪念品	2			ordinary	{5,29,1,2,100}	5	1											
																						
108	10801	{2,2,6,1,1}		黄蜂s	7			ordinary	{5,29,1,1,300}													
108	10802	{3,1,31,1,1}		伊蓓	1			ordinary	{5,29,1,1,50}													
108	10803	{3,2,31,1,1}		苏诺	2			ordinary	{5,29,1,1,50}													
108	10804	{3,3,31,1,1}		吉菲尔	3			ordinary	{5,29,1,1,50}													
108	10805	{4,3,1,1,200}		通用银	9			ordinary	{5,29,1,1,1}													
108	10806	{2,5,10,1,1}		荒野微笑	8			ordinary	{5,29,1,1,300}													
108	10807	{3,1,28,1,1}		明夷-赭毫	4			ordinary	{5,29,1,1,50}													
108	10808	{3,2,28,1,1}		明夷-玄铠	5			ordinary	{5,29,1,1,50}													
108	10809	{3,3,28,1,1}		明夷-金琅	6			ordinary	{5,29,1,1,50}													
108	10810	{4,3,1,1,5000}		通用银	10			ordinary	{5,29,1,2,5}													
																						
109	10901	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,2,2,50}	5	5											
109	10902	{5,1,1,3,8}		战斗记录3	13			ordinary	{5,29,2,1,16}	5	18											
109	10903	{5,1,1,4,5}		战斗记录4	9			ordinary	{5,29,2,1,30}	5	10											
109	10904	{5,9,1,2,10}		光纤轴突	15			ordinary	{5,29,2,1,16}	5	30											
109	10905	{5,9,1,3,1}		量子胞体	16			ordinary	{5,29,2,1,75}	5	10											
109	10906	{6,4,126,1,1}		风琴·箭筒	3			ordinary	{5,29,2,2,100}	5	1											
109	10907	{2,6,2,1,1}		龙胆	7			ordinary	{5,29,2,1,150}	5	1											
109	10908	{5,2,1,3,8}		强化套件3	14			ordinary	{5,29,2,1,16}	5	15											
109	10909	{5,2,1,4,5}		强化套件4	8			ordinary	{5,29,2,1,30}	5	8											
109	10910	{5,5,1,1,10}		合成颗粒	21			ordinary	{5,29,2,1,8}	5	10											
109	10911	{5,5,1,2,10}		芳烃塑料	17			ordinary	{5,29,2,1,16}	5	10											
109	10912	{5,5,1,3,4}		单极纤维	10			ordinary	{5,29,2,1,16}	5	10											
109	10913	{5,5,1,4,1}		碳原子板	6			ordinary	{5,29,2,1,100}	5	5											
109	10914	{5,3,1,3,8}		职级认证丙	18			ordinary	{5,29,2,1,16}	5	30											
109	10915	{5,3,1,4,5}		职级认证丁	11			ordinary	{5,29,2,1,30}	5	15											
109	10916	{5,6,1,2,1}		重修申请	5			ordinary	{5,29,2,1,75}	5	10											
109	10917	{4,3,1,1,15000}		通用银	19			ordinary	{5,29,2,1,20}	5	40											
109	10918	{4,3,1,1,15000}		通用银	20			ordinary	{5,29,2,2,10}	5	10											
109	10919	{8,99,3,3,1}		面具纪念品	2			ordinary	{5,29,2,2,100}	5	1											
109	10920	{4,1,6,5,100}		奥普奖券	4			ordinary	{5,29,2,2,25}	5	6											
																						
110	11001	{3,1,32,1,1}		安提	1			ordinary	{5,29,2,1,50}													
110	11002	{3,2,32,1,1}		斯特拉	2			ordinary	{5,29,2,1,50}													
110	11003	{3,3,32,1,1}		伊达米娅	3			ordinary	{5,29,2,1,50}													
110	11004	{2,6,2,1,1}		龙胆	4			ordinary	{5,29,2,1,300}													
110	11005	{4,3,1,1,200}		通用银	5			ordinary	{5,29,2,1,1}													
																						
111	11101	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,30,2,3,50}	5	5											
111	11102	{5,1,1,3,8}		战斗记录3	13			ordinary	{5,30,2,4,16}	5	15											
111	11103	{5,1,1,4,5}		战斗记录4	10			ordinary	{5,30,2,4,30}	5	8											
111	11104	{5,9,1,2,10}		光纤轴突	15			ordinary	{5,30,2,4,16}	5	30											
111	11105	{5,9,1,3,1}		量子胞体	7			ordinary	{5,30,2,4,75}	5	10											
111	11106	{6,2,129,1,1}		恶灵守护·瞄准	3			ordinary	{5,30,2,3,100}	5	1											
111	11107	{2,3,15,1,1}		岩蟒	8			ordinary	{5,30,2,4,150}	5	1											
111	11108	{5,2,1,3,8}		强化套件3	14			ordinary	{5,30,2,4,16}	5	10											
111	11109	{5,2,1,4,5}		强化套件4	9			ordinary	{5,30,2,4,30}	5	5											
111	11110	{5,5,1,1,10}		合成颗粒	21			ordinary	{5,30,2,4,8}	5	10											
111	11111	{5,5,1,2,10}		芳烃塑料	17			ordinary	{5,30,2,4,16}	5	10											
111	11112	{5,5,1,3,4}		单极纤维	11			ordinary	{5,30,2,4,16}	5	10											
111	11113	{5,5,1,4,1}		碳原子板	6			ordinary	{5,30,2,4,100}	5	5											
111	11114	{5,3,1,3,8}		职级认证丙	18			ordinary	{5,30,2,4,16}	5	30											
111	11115	{5,3,1,4,5}		职级认证丁	12			ordinary	{5,30,2,4,30}	5	15											
111	11116	{5,6,1,2,1}		重修申请	5			ordinary	{5,30,2,4,75}	5	10											
111	11117	{4,3,1,1,15000}		通用银	19			ordinary	{5,30,2,4,20}	5	35											
111	11118	{4,3,1,1,15000}		通用银	20			ordinary	{5,30,2,3,10}	5	10											
111	11119	{8,99,4,3,1}		星盘徽章	2			ordinary	{5,30,2,3,100}	5	1											
111	11120	{4,1,6,5,100}		奥普奖券	4			ordinary	{5,30,2,3,25}	5	6											
																						
112	11201	{3,1,33,1,1}		维塔利娜	1			ordinary	{5,30,2,4,50}													
112	11202	{3,2,33,1,1}		格洛莉娅	2			ordinary	{5,30,2,4,50}													
112	11203	{3,3,33,1,1}		伊芙尼卡	3			ordinary	{5,30,2,4,50}													
112	11204	{3,1,30,1,1}		阿赫莫特	4			ordinary	{5,30,2,4,50}							[202403281000]		1				
112	11205	{3,2,30,1,1}		卜内菲尔	5			ordinary	{5,30,2,4,50}							[202403281000]		1				
112	11206	{3,3,30,1,1}		梅克塔腾	6			ordinary	{5,30,2,4,50}							[202403281000]		1				
112	11207	{2,3,15,1,1}		岩蟒	7			ordinary	{5,30,2,4,300}													
112	11208	{2,1,14,1,1}		浮浪	8			ordinary	{5,30,2,4,300}							[202403281000]		1				
112	11209	{4,3,1,1,200}		通用银	9			ordinary	{5,30,2,4,1}													
																						
113	11301	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,3,2,50}	5	5											
113	11302	{5,1,1,3,8}		战斗记录3	15			ordinary	{5,29,3,1,16}	5	15											
113	11303	{5,1,1,4,5}		战斗记录4	13			ordinary	{5,29,3,1,30}	5	8											
113	11304	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,3,1,16}	5	30											
113	11305	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,3,1,75}	5	10											
113	11306	{6,2,130,1,1}		善意陷阱·瞄准镜	3			ordinary	{5,29,3,2,100}	5	1											
113	11307	{6,1,133,1,1}		黑脉桫椤·消声器	4			ordinary	{5,29,3,2,100}	5	1					[202405021000]	[202405300400]	1				
113	11308	{2,1,26,1,1}		洁白之环	9			ordinary	{5,29,3,1,150}	5	1											
113	11309	{2,4,25,1,1}		玫瑰之荣	10			ordinary	{5,29,3,1,150}	5	1					[202405021000]	[202405300400]	1				
113	11310	{5,2,1,3,8}		强化套件3	16			ordinary	{5,29,3,1,16}	5	10											
113	11311	{5,2,1,4,5}		强化套件4	11			ordinary	{5,29,3,1,30}	5	5											
113	11312	{5,5,1,1,10}		合成颗粒	22			ordinary	{5,29,3,1,8}	5	10											
113	11313	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,3,1,16}	5	10											
113	11314	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,3,1,16}	5	10											
113	11315	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,3,1,100}	5	5											
113	11316	{5,3,1,3,8}		职级认证丙	18			ordinary	{5,29,3,1,16}	5	30											
113	11317	{5,3,1,4,5}		职级认证丁	14			ordinary	{5,29,3,1,30}	5	15											
113	11318	{5,6,1,2,1}		重修申请	6			ordinary	{5,29,3,1,75}	5	10											
113	11319	{4,3,1,1,15000}		通用银	20			ordinary	{5,29,3,1,20}	5	35											
113	11320	{4,3,1,1,15000}		通用银	21			ordinary	{5,29,3,2,10}	5	10											
113	11321	{8,99,7,3,1}		dlc7沙漏纪念品	2			ordinary	{5,29,3,2,100}	5	1											
113	11322	{4,1,6,5,100}		奥普奖券	5			ordinary	{5,29,3,2,25}	5	6											
																						
114	11401	{3,1,34,1,1}		祖灵-穆希娜	1			ordinary	{5,29,3,1,50}													
114	11402	{3,2,34,1,1}		祖灵-斯卡特	2			ordinary	{5,29,3,1,50}													
114	11403	{3,3,34,1,1}		祖灵-艾丽娅	3			ordinary	{5,29,3,1,50}													
114	11404	{3,1,35,1,1}		沙叶-阿什叶	4			ordinary	{5,29,3,1,50}							[202405021000]	[202405300400]	1				
114	11405	{3,2,35,1,1}		沙叶-娜姆	5			ordinary	{5,29,3,1,50}							[202405021000]	[202405300400]	1				
114	11406	{3,3,35,1,1}		沙叶-帕斯特	6			ordinary	{5,29,3,1,50}							[202405021000]	[202405300400]	1				
114	11407	{3,1,31,1,1}		伊蓓	7			ordinary	{5,29,3,1,50}							[202405091000]	[202405300400]	1				
114	11408	{3,2,31,1,1}		苏诺	8			ordinary	{5,29,3,1,50}							[202405091000]	[202405300400]	1				
114	11409	{3,3,31,1,1}		吉菲尔	9			ordinary	{5,29,3,1,50}							[202405091000]	[202405300400]	1				
114	11410	{2,1,26,1,1}		洁白之环	10			ordinary	{5,29,3,1,300}													
114	11411	{2,4,25,1,1}		玫瑰之荣	11			ordinary	{5,29,3,1,300}							[202405021000]	[202405300400]	1				
114	11412	{2,2,6,1,1}		黄蜂s	12			ordinary	{5,29,3,1,300}							[202405091000]	[202405300400]	1				
114	11413	{4,3,1,1,200}		通用银	13			ordinary	{5,29,3,1,1}													
																						
115	11501	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,4,2,50}	5	5											
115	11502	{5,1,1,3,8}		战斗记录3	13			ordinary	{5,29,4,1,16}	5	15											
115	11503	{5,1,1,4,5}		战斗记录4	10			ordinary	{5,29,4,1,30}	5	8											
115	11504	{5,9,1,2,10}		光纤轴突	15			ordinary	{5,29,4,1,16}	5	30											
115	11505	{5,9,1,3,1}		量子胞体	7			ordinary	{5,29,4,1,75}	5	10											
115	11506	{6,5,138,1,1}		繁荣几何·制导模块	3			ordinary	{5,29,4,2,100}	5	1											
115	11507	{2,3,25,1,1}		圣甲	8			ordinary	{5,29,4,1,150}	5	1											
115	11508	{5,2,1,3,8}		强化套件3	14			ordinary	{5,29,4,1,16}	5	10											
115	11509	{5,2,1,4,5}		强化套件4	9			ordinary	{5,29,4,1,30}	5	5											
115	11510	{5,5,1,1,10}		合成颗粒	21			ordinary	{5,29,4,1,8}	5	10											
115	11511	{5,5,1,2,10}		芳烃塑料	17			ordinary	{5,29,4,1,16}	5	10											
115	11512	{5,5,1,3,4}		单极纤维	11			ordinary	{5,29,4,1,16}	5	10											
115	11513	{5,5,1,4,1}		碳原子板	6			ordinary	{5,29,4,1,100}	5	5											
115	11514	{5,3,1,3,8}		职级认证丙	18			ordinary	{5,29,4,1,16}	5	30											
115	11515	{5,3,1,4,5}		职级认证丁	12			ordinary	{5,29,4,1,30}	5	15											
115	11516	{5,6,1,2,1}		重修申请	5			ordinary	{5,29,4,1,75}	5	10											
115	11517	{4,3,1,1,15000}		通用银	19			ordinary	{5,29,4,1,20}	5	35											
115	11518	{4,3,1,1,15000}		通用银	20			ordinary	{5,29,4,2,10}	5	10											
115	11519	{8,99,8,3,1}		汉诺幻方	2			ordinary	{5,29,4,2,100}	5	1											
115	11520	{4,1,6,5,100}		奥普奖券	4			ordinary	{5,29,4,2,25}	5	6											
																						
116	11601	{3,1,36,1,1}		金甲-菈普克	1			ordinary	{5,29,4,1,50}													
116	11602	{3,2,36,1,1}		金甲-莫尔德莉	2			ordinary	{5,29,4,1,50}													
116	11603	{3,3,36,1,1}		金甲-艾巴赫	3			ordinary	{5,29,4,1,50}													
116	11604	{3,1,32,1,1}		安提	4			ordinary	{5,29,4,1,50}							[202406201000]		1				
116	11605	{3,2,32,1,1}		斯特拉	5			ordinary	{5,29,4,1,50}							[202406201000]		1				
116	11606	{3,3,32,1,1}		伊达米娅	6			ordinary	{5,29,4,1,50}							[202406201000]		1				
116	11607	{2,3,25,1,1}		圣甲	7			ordinary	{5,29,4,1,300}													
116	11608	{2,6,2,1,1}		龙胆	8			ordinary	{5,29,4,1,300}							[202406201000]		1				
116	11609	{4,3,1,1,200}		通用银	9			ordinary	{5,29,4,1,1}													
																						
117	11701	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,5,2,50}	5	5											
117	11702	{5,1,1,3,8}		战斗记录3	15			ordinary	{5,29,5,1,16}	5	15											
117	11703	{5,1,1,4,5}		战斗记录4	13			ordinary	{5,29,5,1,30}	5	8											
117	11704	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,5,1,16}	5	30											
117	11705	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,5,1,75}	5	10											
117	11706	{6,1,146,1,1}		洞悉者·消焰器	3			ordinary	{5,29,5,2,100}	5	1											
117	11707	{6,4,142,1,1}		憧憬温度·弹匣	4			ordinary	{5,29,5,2,100}	5	1					[202407251000]		1				
117	11708	{2,7,2,1,1}		轮转辉光	9			ordinary	{5,29,5,1,150}	5	1											
117	11709	{2,5,23,1,1}		像素时代	10			ordinary	{5,29,5,1,150}	5	1					[202407251000]		1				
117	11710	{5,2,1,3,8}		强化套件3	16			ordinary	{5,29,5,1,16}	5	10											
117	11711	{5,2,1,4,5}		强化套件4	11			ordinary	{5,29,5,1,30}	5	5											
117	11712	{5,5,1,1,10}		合成颗粒	22			ordinary	{5,29,5,1,8}	5	10											
117	11713	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,5,1,16}	5	10											
117	11714	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,5,1,16}	5	10											
117	11715	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,5,1,100}	5	5											
117	11716	{5,3,1,3,8}		职级认证丙	18			ordinary	{5,29,5,1,16}	5	30											
117	11717	{5,3,1,4,5}		职级认证丁	14			ordinary	{5,29,5,1,30}	5	15											
117	11718	{5,6,1,2,1}		重修申请	6			ordinary	{5,29,5,1,75}	5	10											
117	11719	{4,3,1,1,15000}		通用银	20			ordinary	{5,29,5,1,20}	5	35											
117	11720	{4,3,1,1,15000}		通用银	21			ordinary	{5,29,5,2,10}	5	10											
117	11721	{8,99,9,3,1}		辅助机	2			ordinary	{5,29,5,2,100}	5	1											
117	11722	{4,1,6,5,100}		奥普奖券	5			ordinary	{5,29,5,2,25}	5	6											
																						
118	11801	{3,1,37,1,1}		星朗-朵薇尔	1			ordinary	{5,29,5,1,50}													
118	11802	{3,2,37,1,1}		星朗-爱莉薇娅	2			ordinary	{5,29,5,1,50}													
118	11803	{3,3,37,1,1}		星朗-妲柯丝	3			ordinary	{5,29,5,1,50}													
118	11804	{3,1,38,1,1}		清乐-桫椤	4			ordinary	{5,29,5,1,50}							[202407251000]		1				
118	11805	{3,2,38,1,1}		清乐-白桦	5			ordinary	{5,29,5,1,50}							[202407251000]		1				
118	11806	{3,3,38,1,1}		清乐-棕榈	6			ordinary	{5,29,5,1,50}							[202407251000]		1				
118	11807	{3,1,33,1,1}		维塔利娜	7			ordinary	{5,29,5,1,50}							[202408010400]		1				
118	11808	{3,2,33,1,1}		格洛莉娅	8			ordinary	{5,29,5,1,50}							[202408010400]		1				
118	11809	{3,3,33,1,1}		伊芙尼卡	9			ordinary	{5,29,5,1,50}							[202408010400]		1				
118	11810	{2,7,2,1,1}		轮转辉光	10			ordinary	{5,29,5,1,300}													
118	11811	{2,5,23,1,1}		像素时代	11			ordinary	{5,29,5,1,300}							[202407251000]		1				
118	11812	{2,3,15,1,1}		岩蟒	12			ordinary	{5,29,5,1,300}							[202408010400]		1				
118	11813	{4,3,1,1,200}		通用银	13			ordinary	{5,29,5,1,1}													
118	11814	{4,3,1,1,500}		通用银	14			ordinary	{5,29,5,2,1}							[202408150400]		1				
																						
119	11901	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,6,2,50}	5	5											
119	11902	{5,1,1,3,8}		战斗记录3	15			ordinary	{5,29,6,1,16}	5	5											
119	11903	{5,1,1,4,5}		战斗记录4	13			ordinary	{5,29,6,1,30}	5	5											
119	11904	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,6,1,16}	5	30											
119	11905	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,6,1,75}	5	10											
119	11906	{6,5,149,1,1}		顶尖补光·电筒	3			ordinary	{5,29,6,2,100}	5	1											
119	11907	{2,4,27,1,1}		澄叶	9			ordinary	{5,29,6,1,150}	5	1											
119	11908	{5,2,1,3,8}		强化套件3	16			ordinary	{5,29,6,1,16}	5	5											
119	11909	{5,2,1,4,5}		强化套件4	11			ordinary	{5,29,6,1,30}	5	5											
119	11910	{5,5,1,1,10}		合成颗粒	22			ordinary	{5,29,6,1,8}	5	10											
119	11911	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,6,1,16}	5	10											
119	11912	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,6,1,16}	5	10											
119	11913	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,6,1,100}	5	5											
119	11914	{5,3,1,3,8}		职级认证丙	18			ordinary	{5,29,6,1,16}	5	10											
119	11915	{5,3,1,4,5}		职级认证丁	14			ordinary	{5,29,6,1,30}	5	10											
119	11916	{5,6,1,2,1}		重修申请	6			ordinary	{5,29,6,1,75}	5	10											
119	11917	{4,3,1,1,15000}		通用银	20			ordinary	{5,29,6,1,20}	5	35											
119	11918	{8,99,14,3,1}		特制胶片盘	2			ordinary	{5,29,6,2,100}	5	1											
119	11919	{4,1,6,5,100}		奥普奖券	5			ordinary	{5,29,6,2,25}	5	6											
																						
120	12001	{3,1,39,1,1}		掠影-弗栗多	1			ordinary	{5,29,6,1,50}													
120	12002	{3,2,39,1,1}		掠影-伐楼妮	2			ordinary	{5,29,6,1,50}													
120	12003	{3,3,39,1,1}		掠影-因陀罗	3			ordinary	{5,29,6,1,50}													
120	12004	{3,1,34,1,1}		祖灵-穆希娜	4			ordinary	{5,29,6,1,50}							[202409051000]		1				
