商店ID	//备注	商店名称	开启时间	结束时间	界面开启时间	界面关闭时间	每次展示商品数（大于等于99表示全部展示）	解锁条件	使用的代币	排序	版本号	地区限制目前可填：0国内外,1国内,2海外	跳转商店
301	3.3联合清剿商店-奖励	online.SpeedSocreShopName1	[202511101000]	[202512010400]	[202511101000]	[202512010400]	99		{60}	1	1		
302	3.3联合清剿商店-buff宝箱	online.SpeedSocreShopName2	[202511101000]	[202512010400]	[202511101000]	[202512010400]	99		{59}	1	1		
303	3.5进击行动商店抽奖商店	ui.TxtAssaulShopType1	[202602020400]	[209912310400]	[202602020400]	[209912310400]	99		{62}	1	1		
304	3.5进击行动商店高品质补全商店	ui.TxtAssaulShopType2	[202602020400]	[209912310400]	[202602020400]	[209912310400]	99		{62}	1	1		
305	3.6联合清剿商店-奖励	online.SpeedSocreShopName1	[202605250400]	[202606190400]	[202605250400]	[202606190400]	99		{60}	1	1		
306	3.6联合清剿商店-buff宝箱	online.SpeedSocreShopName2	[202605250400]	[202606190400]	[202605250400]	[202606190400]	99		{59}	1	1		
401	DLC7复刻商店-有限	ui.DLC_fomer_shop1	[202505291000]	[202507100400]	[202505291000]	[202507100400]	99		{{5,29,3,3},{5,29,3,4}}	1	1		Dlc7Shop
402	DLC3复刻商店	ui.DLC_fomer_shop1	[202509040400]	[202509250400]	[202509040400]	[202509250400]	99		{{5,29,15,3},{5,29,15,4}}	1	1		Dlc3Shop
403	DLC11复刻商店	ui.DLC_fomer_shop1	[202511200400]	[202512180400]	[202511200400]	[202512180400]	99		{{5,29,17,3},{5,29,17,4}}	1	1		Dlc11Shop
404	DLC2.6复刻商店	ui.DLC_fomer_shop1	[202605220400]	[202606190400]	[202605220400]	[202606190400]	99		{{5,29,20,3},{5,29,20,4}}	1	1		Dlc26Shop
