a	//描述	资源路径															
1001030	dlc4巴别塔击败敌人对护盾加伤	Icon/DLC4buff/Frames/icon_repression02_buff007_png.icon_repression02_buff007_png															
1001031	dlc4巴别塔怪物加盾减血	Icon/DLC4buff/Frames/icon_repression02_buff008_png.icon_repression02_buff008_png															
1001032	dlc4巴别塔技能冷却降低	Icon/DLC4buff/Frames/icon_repression02_buff009_png.icon_repression02_buff009_png															
1001033	dlc4巴别塔击败怪物聚怪	Icon/DLC4buff/Frames/icon_repression02_buff012_png.icon_repression02_buff012_png															
1001034	dlc4巴别塔怪物有击晕	Icon/DLC4buff/Frames/icon_repression02_buff013_png.icon_repression02_buff013_png															
1001035	dlc4巴别塔击中回复大招能量	Icon/DLC4buff/Frames/icon_repression02_buff015_png.icon_repression02_buff015_png															
1001036	dlc4巴别塔换弹提速	Icon/DLC4buff/Frames/icon_repression02_buff016_png.icon_repression02_buff016_png															
1001037	dlc4巴别塔使用技能后增加射击伤害	Icon/DLC4buff/Frames/icon_repression02_buff017_png.icon_repression02_buff017_png															
1001038	dlc4巴别塔怪物濒死无敌	Icon/DLC4buff/Frames/icon_repression02_buff018_png.icon_repression02_buff018_png															
1001039	肉鸽开门交互icon	Icon/RogueFightBuff/Frames/gui_fight34_bg10_06_png.gui_fight34_bg10_06_png															
1001040	肉鸽结算交互icon	Icon/RogueFightBuff/Frames/gui_fight34_bg10_07_png.gui_fight34_bg10_07_png															
1001041	肉鸽开宝箱交互icon	Icon/RogueFightBuff/Frames/gui_fight34_bg10_09_png.gui_fight34_bg10_09_png															
1001042	肉鸽复活交互icon	Icon/RogueFightBuff/Frames/gui_fight34_bg10_10_png.gui_fight34_bg10_10_png															
1001043	肉鸽治疗交互icon	Icon/RogueFightBuff/Frames/gui_fight34_bg10_11_png.gui_fight34_bg10_11_png															
1001044	肉鸽解除诅咒交互icon	Icon/RogueFightBuff/Frames/gui_fight34_bg10_12_png.gui_fight34_bg10_12_png															
1001045	肉鸽商店交易交互icon	Icon/RogueFightBuff/Frames/gui_fight34_bg10_13_png.gui_fight34_bg10_13_png															
1001046	肉鸽诅咒攻击降低	Icon/RogueFightBuff/Frames/icon_rogue01_curse01_001_png.icon_rogue01_curse01_001_png															
1001047	肉鸽诅咒防御降低	Icon/RogueFightBuff/Frames/icon_rogue01_curse01_002_png.icon_rogue01_curse01_002_png															 
1001048	肉鸽诅咒生命疗效降低	Icon/RogueFightBuff/Frames/icon_rogue01_curse01_003_png.icon_rogue01_curse01_003_png															
1001049	肉鸽诅咒cd相关加长	Icon/RogueFightBuff/Frames/icon_rogue01_curse01_004_png.icon_rogue01_curse01_004_png															
1001050	肉鸽诅咒移动速度降低	Icon/RogueFightBuff/Frames/icon_rogue01_curse01_005_png.icon_rogue01_curse01_005_png															
1001051	肉鸽诅咒减弹药换弹慢	Icon/RogueFightBuff/Frames/icon_rogue01_curse01_006_png.icon_rogue01_curse01_006_png															
1001052	肉鸽诅咒持续伤害	Icon/RogueFightBuff/Frames/icon_rogue01_curse01_007_png.icon_rogue01_curse01_007_png															
1001053	肉鸽诅咒其他（dna样式）	Icon/RogueFightBuff/Frames/icon_rogue01_curse01_008_png.icon_rogue01_curse01_008_png															
1001054	肉鸽战斗事件	Icon/RogueFightBuff/Frames/icon_rogue01_event01_001_png.icon_rogue01_event01_001_png															
1001055	肉鸽BOSS战斗事件	Icon/RogueFightBuff/Frames/icon_rogue01_event01_002_png.icon_rogue01_event01_002_png															
1001056	肉鸽休整事件	Icon/RogueFightBuff/Frames/icon_rogue01_event01_003_png.icon_rogue01_event01_003_png															
1001057	肉鸽宝箱事件	Icon/RogueFightBuff/Frames/icon_rogue01_event01_004_png.icon_rogue01_event01_004_png															
1001058	肉鸽商店事件	Icon/RogueFightBuff/Frames/icon_rogue01_event01_005_png.icon_rogue01_event01_005_png															
1001059	肉鸽随机事件	Icon/RogueFightBuff/Frames/icon_rogue01_event01_006_png.icon_rogue01_event01_006_png															
1001060	肉鸽buff套系1	Icon/RogueFightBuff/Frames/icon_rogue01_suit01_001_png.icon_rogue01_suit01_001_png															
1001061	肉鸽buff套系2	Icon/RogueFightBuff/Frames/icon_rogue01_suit01_002_png.icon_rogue01_suit01_002_png															
1001062	肉鸽buff套系3	Icon/RogueFightBuff/Frames/icon_rogue01_suit01_003_png.icon_rogue01_suit01_003_png															
1001063	肉鸽buff套系4	Icon/RogueFightBuff/Frames/icon_rogue01_suit01_004_png.icon_rogue01_suit01_004_png															
1001064	肉鸽buff套系5	Icon/RogueFightBuff/Frames/icon_rogue01_suit01_005_png.icon_rogue01_suit01_005_png															
1001065	肉鸽buff套系6	Icon/RogueFightBuff/Frames/icon_rogue01_suit01_006_png.icon_rogue01_suit01_006_png															
1001066	肉鸽buff套系7	Icon/RogueFightBuff/Frames/icon_rogue01_suit01_007_png.icon_rogue01_suit01_007_png															
1001067	肉鸽buff套系8	Icon/RogueFightBuff/Frames/icon_rogue01_suit01_008_png.icon_rogue01_suit01_008_png															
1001068	肉鸽buff套系9	Icon/RogueFightBuff/Frames/icon_rogue01_suit01_009_png.icon_rogue01_suit01_009_png															
1001069	肉鸽buff套系10	Icon/RogueFightBuff/Frames/icon_rogue01_suit01_010_png.icon_rogue01_suit01_010_png															
1001070	肉鸽抵挡诅咒道具	Icon/RogueProps/Frames/icon_rogue01_item01_001_png.icon_rogue01_item01_001_png															
1001071	肉鸽回血道具	Icon/RogueProps/Frames/icon_rogue01_item01_002_png.icon_rogue01_item01_002_png															
1001072	肉鸽复活道具	Icon/RogueProps/Frames/icon_rogue01_item01_003_png.icon_rogue01_item01_003_png															
1001073	肉鸽解除诅咒道具	Icon/RogueProps/Frames/icon_rogue01_item01_004_png.icon_rogue01_item01_004_png															
1001074	肉鸽刷新商店道具	Icon/RogueProps/Frames/icon_rogue01_item01_005_png.icon_rogue01_item01_005_png															
1001075	肉鸽降低威胁度道具	Icon/RogueProps/Frames/icon_rogue01_item01_006_png.icon_rogue01_item01_006_png															
1001076	肉鸽天赋快速射击	Icon/RogueTalent/Frames/icon_rogue01_talent01_001_png.icon_rogue01_talent01_001_png															
1001077	肉鸽天赋爆发射击	Icon/RogueTalent/Frames/icon_rogue01_talent01_002_png.icon_rogue01_talent01_002_png															
1001078	肉鸽天赋技能流派	Icon/RogueTalent/Frames/icon_rogue01_talent01_003_png.icon_rogue01_talent01_003_png															
1001079	肉鸽天赋生存流派	Icon/RogueTalent/Frames/icon_rogue01_talent01_004_png.icon_rogue01_talent01_004_png															
1001080	肉鸽天赋控制流派	Icon/RogueTalent/Frames/icon_rogue01_talent01_005_png.icon_rogue01_talent01_005_png															
1001081	瞄准射击触发	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_001_png.icon_rogue01_buff01_001_png															
1001082	普通射击触发	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_002_png.icon_rogue01_buff01_002_png															
1001083	暴击触发	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_003_png.icon_rogue01_buff01_003_png															
1001084	暴击率提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_004_png.icon_rogue01_buff01_004_png															
1001085	暴击伤害提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_005_png.icon_rogue01_buff01_005_png															
1001086	攻击提升/伤害提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_006_png.icon_rogue01_buff01_006_png															
1001087	防御提升/免伤提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_007_png.icon_rogue01_buff01_007_png															
1001088	生命值提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_008_png.icon_rogue01_buff01_008_png															
1001089	治疗提升和治疗相关	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_009_png.icon_rogue01_buff01_009_png															
1001090	弹夹容量提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_010_png.icon_rogue01_buff01_010_png															
1001091	移速提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_011_png.icon_rogue01_buff01_011_png															
1001092	射击速度提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_012_png.icon_rogue01_buff01_012_png															
1001093	常规技能提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_013_png.icon_rogue01_buff01_013_png															
1001094	爆发技能提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_014_png.icon_rogue01_buff01_014_png															
1001095	能量获取效率提升	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_015_png.icon_rogue01_buff01_015_png															
1001096	技能cd减少	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_016_png.icon_rogue01_buff01_016_png															
1001097	步枪加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_017_png.icon_rogue01_buff01_017_png															
1001098	冲锋枪加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_018_png.icon_rogue01_buff01_018_png															
1001099	霰弹枪加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_019_png.icon_rogue01_buff01_019_png															
1001100	狙击枪加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_020_png.icon_rogue01_buff01_020_png															
1001101	手枪加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_021_png.icon_rogue01_buff01_021_png															
1001102	动能元素加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_022_png.icon_rogue01_buff01_022_png															
1001103	高热元素加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_023_png.icon_rogue01_buff01_023_png															
1001104	低温元素加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_024_png.icon_rogue01_buff01_024_png															
1001105	特异元素加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_025_png.icon_rogue01_buff01_025_png															
1001106	电击元素加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_026_png.icon_rogue01_buff01_026_png															
1001107	全局元素加成	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_027_png.icon_rogue01_buff01_027_png															
1001108	获得无敌	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_028_png.icon_rogue01_buff01_028_png															
1001109	护盾相关	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_029_png.icon_rogue01_buff01_029_png															
1001110	商店打折	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_030_png.icon_rogue01_buff01_030_png															
1001111	战斗后货币增加	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_031_png.icon_rogue01_buff01_031_png															
1001112	额外附加攻击	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_032_png.icon_rogue01_buff01_032_png															
1001113	破防	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_033_png.icon_rogue01_buff01_033_png															
1001114	减速	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_034_png.icon_rogue01_buff01_034_png															
1001115	冰冻	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_035_png.icon_rogue01_buff01_035_png															
1001116	眩晕	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_036_png.icon_rogue01_buff01_036_png															
1001117	麻痹	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_037_png.icon_rogue01_buff01_037_png															
1001118	通用射击伤害增加	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_038_png.icon_rogue01_buff01_038_png															
1001119	通用辅助内容	Icon/RogueFightBuff/Frames/icon_rogue01_buff01_039_png.icon_rogue01_buff01_039_png															
1001120	肉鸽负面霜冻	Icon/FightBuff/Frames/icon_skill01_022_png.icon_skill01_022_png															
1001121	肉鸽负面电涌	Icon/FightBuff/Frames/icon_skill01_023_png.icon_skill01_023_png															
1001122	肉鸽红色底图的火	Icon/FightBuff/Frames/icon_skill01_024_png.icon_skill01_024_png															
1001123	肉鸽增益噬心蛊	Icon/FightBuff/Frames/icon_skill02_015_png.icon_skill02_015_png															
1001124	肉鸽负面背水一战	Icon/FightBuff/Frames/icon_skill03_016_png.icon_skill03_016_png															
1001125	肉鸽负面激愤	Icon/FightBuff/Frames/icon_skill03_017_png.icon_skill03_017_png															
1001126	肉鸽负面怨怒	Icon/FightBuff/Frames/icon_skill03_018_png.icon_skill03_018_png															
1001127	肉鸽负面狂暴	Icon/FightBuff/Frames/icon_skill03_019_png.icon_skill03_019_png															
1001128	肉鸽蓝色底图的火	Icon/FightBuff/Frames/icon_skill03_020_png.icon_skill03_020_png															
1001129	肉鸽负面冰	Icon/FightBuff/Frames/icon_skill03_021_png.icon_skill03_021_png															
1001130	肉鸽天赋AOE流派	Icon/RogueTalent/Frames/icon_rogue01_talent01_006_png.icon_rogue01_talent01_006_png															
1001131	DLC6巴别塔回血提升BUFF	Icon/DLC2buff/Frames/icon_repression03_buff001_png.icon_repression03_buff001_png															
1001132	DLC6巴别塔血量提升BUFF	Icon/DLC2buff/Frames/icon_repression03_buff002_png.icon_repression03_buff002_png															
1001133	DLC6巴别塔CD提升BUFF	Icon/DLC2buff/Frames/icon_repression03_buff003_png.icon_repression03_buff003_png															
1001134	DLC6巴别塔敌方伤害增加	Icon/DLC2buff/Frames/icon_repression03_buff004_png.icon_repression03_buff004_png															
1001135	新星开拓buff1级	UI/Catch/Frames/gui_catch03_icon003_01_png.gui_catch03_icon003_01_png															
1001136	新星开拓buff2级	UI/Catch/Frames/gui_catch03_icon002_01_png.gui_catch03_icon002_01_png															
1001137	新星开拓buff2级	UI/Catch/Frames/gui_catch03_icon001_01_png.gui_catch03_icon001_01_png															
1001138	新星开拓debuff1级	UI/Catch/Frames/gui_catch03_icon001_01_png.gui_catch03_icon001_01_png															
1001139	新星开拓debuff2级	UI/Catch/Frames/gui_catch03_icon001_01_png.gui_catch03_icon001_01_png															
1001140	新星开拓debuff2级	UI/Catch/Frames/gui_catch03_icon005_01_png.gui_catch03_icon005_01_png															
1001141	肉鸽词条1	Icon/RogueFightBuff/Frames/icon_rogue01_mutation01_001_png.icon_rogue01_mutation01_001_png															
1001142	肉鸽词条2	Icon/RogueFightBuff/Frames/icon_rogue01_mutation01_002_png.icon_rogue01_mutation01_002_png															
1001143	肉鸽玩法图1	Picture/Rogue/pic_rouge02_003.pic_rouge02_003															
1001144	肉鸽玩法图2	Picture/Rogue/pic_rouge02_004.pic_rouge02_004															
1001145	眩晕buff	Icon/FightBuff/Frames/icon_skill01_005_png.icon_skill01_005_png															
1001146	麻痹buff	Icon/FightBuff/Frames/icon_skill01_006_png.icon_skill01_006_png															
1001147	冰冻buff	Icon/FightBuff/Frames/icon_skill01_004_png.icon_skill01_004_png															
1001148	迟缓buff	Icon/FightBuff/Frames/icon_skill04_004_png.icon_skill04_004_png															
1001149	属性抗性	UI/Common2/Frames/icon_attribute02_001_png.icon_attribute02_001_png															
1001150	普通能量护盾	UI/Common2/Frames/icon_attribute02_002_png.icon_attribute02_002_png															
1001151	低效部位	UI/Common2/Frames/icon_attribute02_003_png.icon_attribute02_003_png															
1001152	弱点部位	UI/Common2/Frames/icon_attribute02_004_png.icon_attribute02_004_png															
1001153	不可破坏部位	UI/Common2/Frames/icon_attribute02_005_png.icon_attribute02_005_png															
1001154	破坏部位	UI/Common2/Frames/icon_attribute02_006_png.icon_attribute02_006_png															
1001155	装甲	UI/Common2/Frames/icon_attribute02_007_png.icon_attribute02_007_png															
1001156	肉鸽一期背景图	Picture/Rogue/pic_rouge02_001.pic_rouge02_001															
1001157	联机冲锋手	UI/Online2/Frames/gui_onlinetower04_icon001_01_png.gui_onlinetower04_icon001_01_png															
1001158	联机炮塔手	UI/Online2/Frames/gui_onlinetower04_icon001_02_png.gui_onlinetower04_icon001_02_png															
1001159	联机采集者	UI/Online2/Frames/gui_onlinetower04_icon001_03_png.gui_onlinetower04_icon001_03_png															
1001160	联机冲锋手小	UI/Online2/Frames/gui_onlinetower04_icon002_01_png.gui_onlinetower04_icon002_01_png															
1001161	联机炮塔手小	UI/Online2/Frames/gui_onlinetower04_icon002_02_png.gui_onlinetower04_icon002_02_png															
1001162	联机采集者小	UI/Online2/Frames/gui_onlinetower04_icon002_03_png.gui_onlinetower04_icon002_03_png															
1001163	死斗连杀0	UI/Fight2/Frames/gui_fight68_other001_10_png.gui_fight68_other001_10_png															
1001164	死斗连杀1	UI/Fight2/Frames/gui_fight68_other001_01_png.gui_fight68_other001_01_png															
1001165	死斗连杀2	UI/Fight2/Frames/gui_fight68_other001_02_png.gui_fight68_other001_02_png															
1001166	死斗连杀3	UI/Fight2/Frames/gui_fight68_other001_03_png.gui_fight68_other001_03_png															
1001167	死斗连杀4	UI/Fight2/Frames/gui_fight68_other001_04_png.gui_fight68_other001_04_png															
1001168	死斗连杀5	UI/Fight2/Frames/gui_fight68_other001_05_png.gui_fight68_other001_05_png															
1001169	死斗连杀6	UI/Fight2/Frames/gui_fight68_other001_06_png.gui_fight68_other001_06_png															
1001170	死斗连杀7	UI/Fight2/Frames/gui_fight68_other001_07_png.gui_fight68_other001_07_png															
1001171	死斗连杀8	UI/Fight2/Frames/gui_fight68_other001_08_png.gui_fight68_other001_08_png															
1001172	死斗连杀9	UI/Fight2/Frames/gui_fight68_other001_09_png.gui_fight68_other001_09_png															
1001173	死斗倍率1	UI/Fight2/Frames/gui_fight68_other001_11_png.gui_fight68_other001_11_png															
1001174	死斗倍率2	UI/Fight2/Frames/gui_fight68_other001_12_png.gui_fight68_other001_12_png															
1001175	死斗倍率3	UI/Fight2/Frames/gui_fight68_other001_13_png.gui_fight68_other001_13_png															
1001176	死斗倍率4	UI/Fight2/Frames/gui_fight68_other001_14_png.gui_fight68_other001_14_png															
1001177	死斗倍率5	UI/Fight2/Frames/gui_fight68_other001_15_png.gui_fight68_other001_15_png															
1001178	死斗倍率6	UI/Fight2/Frames/gui_fight68_other001_16_png.gui_fight68_other001_16_png															
1001179	本体	UI/Common2/Frames/icon_attribute02_008_png.icon_attribute02_008_png															
1001180	四肢	UI/Common2/Frames/icon_attribute02_009_png.icon_attribute02_009_png															
1001181	能力部位	UI/Common2/Frames/icon_attribute02_010_png.icon_attribute02_010_png															
1001182	阶段	UI/Common2/Frames/icon_attribute02_011_png.icon_attribute02_011_png															
1001183	鳞片	UI/Common2/Frames/icon_attribute02_012_png.icon_attribute02_012_png															
1001184	联机事件1*44	Icon/OnlineEvent/Frames/gui_dungeonsonline09_icon001_44_png.gui_dungeonsonline09_icon001_44_png															
1001185	联机事件1*80	Icon/OnlineEvent/Frames/gui_dungeonsonline09_icon001_80_png.gui_dungeonsonline09_icon001_80_png															
1001186	联机事件2*44	Icon/OnlineEvent/Frames/gui_dungeonsonline09_icon002_44_png.gui_dungeonsonline09_icon002_44_png															
1001187	联机事件2*80	Icon/OnlineEvent/Frames/gui_dungeonsonline09_icon002_80_png.gui_dungeonsonline09_icon002_80_png															
1001188	联机事件3*44	Icon/OnlineEvent/Frames/gui_dungeonsonline09_icon003_44_png.gui_dungeonsonline09_icon003_44_png															
1001189	联机事件3*80	Icon/OnlineEvent/Frames/gui_dungeonsonline09_icon003_80_png.gui_dungeonsonline09_icon003_80_png															
1001190	肉鸽词条3	Icon/RogueFightBuff/Frames/icon_rogue02_mutation01_001_png.icon_rogue02_mutation01_001_png															
1001191	肉鸽词条4	Icon/RogueFightBuff/Frames/icon_rogue02_mutation01_002_png.icon_rogue02_mutation01_002_png															
1001192	思维译码·荣耀*50	Icon/RogueProps/Frames/gui_rouge05_icon003_07_png.gui_rouge05_icon003_07_png															
1001193	思维译码·荣耀*130	Icon/RogueProps/Frames/gui_rouge05_icon002_07_png.gui_rouge05_icon002_07_png															
1001194	思维译码·荣耀*200	Icon/RogueProps/Frames/gui_rouge05_icon001_07_png.gui_rouge05_icon001_07_png															
1001195	思维译码·温柔*50	Icon/RogueProps/Frames/gui_rouge05_icon003_01_png.gui_rouge05_icon003_01_png															
1001196	思维译码·温柔*130	Icon/RogueProps/Frames/gui_rouge05_icon002_01_png.gui_rouge05_icon002_01_png															
1001197	思维译码·温柔*200	Icon/RogueProps/Frames/gui_rouge05_icon001_01_png.gui_rouge05_icon001_01_png															
1001198	思维译码·正义*50	Icon/RogueProps/Frames/gui_rouge05_icon003_05_png.gui_rouge05_icon003_05_png															
1001199	思维译码·正义*130	Icon/RogueProps/Frames/gui_rouge05_icon002_05_png.gui_rouge05_icon002_05_png															
1001200	思维译码·正义*200	Icon/RogueProps/Frames/gui_rouge05_icon001_05_png.gui_rouge05_icon001_05_png															
1001201	思维译码·纯净*50	Icon/RogueProps/Frames/gui_rouge05_icon003_06_png.gui_rouge05_icon003_06_png															
1001202	思维译码·纯净*130	Icon/RogueProps/Frames/gui_rouge05_icon002_06_png.gui_rouge05_icon002_06_png															
1001203	思维译码·纯净*200	Icon/RogueProps/Frames/gui_rouge05_icon001_06_png.gui_rouge05_icon001_06_png															
1001204	思维译码·无畏*50	Icon/RogueProps/Frames/gui_rouge05_icon003_04_png.gui_rouge05_icon003_04_png															
1001205	思维译码·无畏*130	Icon/RogueProps/Frames/gui_rouge05_icon002_04_png.gui_rouge05_icon002_04_png															
1001206	思维译码·无畏*200	Icon/RogueProps/Frames/gui_rouge05_icon001_04_png.gui_rouge05_icon001_04_png															
1001207	思维译码·智慧*50	Icon/RogueProps/Frames/gui_rouge05_icon003_02_png.gui_rouge05_icon003_02_png															
1001208	思维译码·智慧*130	Icon/RogueProps/Frames/gui_rouge05_icon002_02_png.gui_rouge05_icon002_02_png															
1001209	思维译码·智慧*200	Icon/RogueProps/Frames/gui_rouge05_icon001_02_png.gui_rouge05_icon001_02_png															
1001210	思维译码·勇气*50	Icon/RogueProps/Frames/gui_rouge05_icon003_03_png.gui_rouge05_icon003_03_png															
1001211	思维译码·勇气*130	Icon/RogueProps/Frames/gui_rouge05_icon002_03_png.gui_rouge05_icon002_03_png															
1001212	思维译码·勇气*200	Icon/RogueProps/Frames/gui_rouge05_icon001_03_png.gui_rouge05_icon001_03_png															
1001213	藏宝图A1*130	Icon/RogueProps/Frames/icon_rogue02_item02_001_130_png.icon_rogue02_item02_001_130_png															
1001214	藏宝图A1*200	Icon/RogueProps/Frames/icon_rogue02_item02_001_200_png.icon_rogue02_item02_001_200_png															
1001215	藏宝图A2*130	Icon/RogueProps/Frames/icon_rogue02_item02_002_130_png.icon_rogue02_item02_002_130_png															
1001216	藏宝图A2*200	Icon/RogueProps/Frames/icon_rogue02_item02_002_200_png.icon_rogue02_item02_002_200_png															
1001217	藏宝图A3*130	Icon/RogueProps/Frames/icon_rogue02_item02_003_130_png.icon_rogue02_item02_003_130_png															
1001218	藏宝图A3*200	Icon/RogueProps/Frames/icon_rogue02_item02_003_200_png.icon_rogue02_item02_003_200_png															
1001219	藏宝图B1*130	Icon/RogueProps/Frames/icon_rogue02_item02_004_130_png.icon_rogue02_item02_004_130_png															
1001220	藏宝图B1*200	Icon/RogueProps/Frames/icon_rogue02_item02_004_200_png.icon_rogue02_item02_004_200_png															
1001221	藏宝图B2*130	Icon/RogueProps/Frames/icon_rogue02_item02_005_130_png.icon_rogue02_item02_005_130_png															
1001222	藏宝图B2*200	Icon/RogueProps/Frames/icon_rogue02_item02_005_200_png.icon_rogue02_item02_005_200_png															
1001223	藏宝图B3*130	Icon/RogueProps/Frames/icon_rogue02_item02_006_130_png.icon_rogue02_item02_006_130_png															
1001224	藏宝图B3*200	Icon/RogueProps/Frames/icon_rogue02_item02_006_200_png.icon_rogue02_item02_006_200_png															
1001225	特殊钥匙1-坐标定位器*130	Icon/RogueProps/Frames/icon_rogue02_item02_007_130_png.icon_rogue02_item02_007_130_png															
1001226	特殊钥匙1-坐标定位器*200	Icon/RogueProps/Frames/icon_rogue02_item02_007_200_png.icon_rogue02_item02_007_200_png															
1001227	特殊钥匙2-急救箱*130	Icon/RogueProps/Frames/icon_rogue02_item02_008_130_png.icon_rogue02_item02_008_130_png															
1001228	特殊钥匙2-急救箱*200	Icon/RogueProps/Frames/icon_rogue02_item02_008_200_png.icon_rogue02_item02_008_200_png															
1001229	特殊钥匙3-通讯装置*130	Icon/RogueProps/Frames/icon_rogue02_item02_009_130_png.icon_rogue02_item02_009_130_png															
1001230	特殊钥匙3-通讯装置*200	Icon/RogueProps/Frames/icon_rogue02_item02_009_200_png.icon_rogue02_item02_009_200_png															
1001231	肉鸽路点商店图标	UI/Rogue/Frames/gui_rouge03_other001_24_png.gui_rouge03_other001_24_png															
1001232	肉鸽个人单体头像	UI/RogueFight/Frames/gui_rouge02_other002_01_png.gui_rouge02_other002_01_png															
