ID（1R 2SR 3SSR+XXXX：编号+1立绘1 2卡牌1  3头像1  4裁剪卡牌1 5立绘2 6卡牌2 7头像2 8裁剪卡牌2）	备注	资源ID	SpineID	偏移{x,y}	缩放
1201151	“炉子”卡牌a	1201151			
1201152	“炉子”头像a	1201152			
1201151	“炉子”剪裁卡牌a	1201151			
1201153	“炉子”立绘b	1201153		{0,0}	1
1201154	“炉子”卡牌b	1201154			
1201155	“炉子”头像b	1201155			
1201154	“炉子”剪裁卡牌b	1201154			
1201138	菲林斯立绘a	1201138		{0,0}	1
1201139	菲林斯卡牌a	1201139			
1201140	菲林斯头像a	1201140			
1201139	菲林斯剪裁卡牌a	1201139			
1201141	菲林斯立绘b	1201141		{0,0}	1
1201142	菲林斯卡牌b	1201142			
1201143	菲林斯头像b	1201143			
1201142	菲林斯剪裁卡牌b	1201142			
1201144	“不死”伊万立绘a	1201144		{0,0}	1
1201145	“不死”伊万卡牌a	1201145			
1201146	“不死”伊万头像a	1201146			
1201145	“不死”伊万剪裁卡牌a	1201145			
1201147	“不死”伊万立绘b	1201147		{0,0}	1
1201148	“不死”伊万卡牌b	1201148			
1201149	“不死”伊万头像b	1201149			
1201148	“不死”伊万剪裁卡牌b	1201148			
1201198	奥伊辛立绘a	1201198		{0,0}	1
1201199	奥伊辛卡牌a	1201199			
1201200	奥伊辛头像a	1201200			
1201199	奥伊辛剪裁卡牌a	1201199			
1201201	奥伊辛立绘b	1201201		{0,0}	1
1201202	奥伊辛卡牌b	1201202			
1201203	奥伊辛头像b	1201203			
1201202	奥伊辛剪裁卡牌b	1201202			
1201204	卡尔特立绘a	1201204		{0,0}	1
1201205	卡尔特卡牌a	1201205			
1201206	卡尔特头像a	1201206			
1201205	卡尔特剪裁卡牌a	1201205			
1201207	卡尔特立绘b	1201207		{0,0}	1
1201208	卡尔特卡牌b	1201208			
1201209	卡尔特头像b	1201209			
1201208	卡尔特剪裁卡牌b	1201208			
1201210	科洛立绘a	1201210		{0,0}	1
1201211	科洛卡牌a	1201211			
1201212	科洛头像a	1201212			
1201211	科洛剪裁卡牌a	1201211			
1201213	科洛立绘b	1201213		{0,0}	1
1201214	科洛卡牌b	1201214			
1201215	科洛头像b	1201215			
1201214	科洛剪裁卡牌b	1201214			
1201192	科尔努诺斯立绘a	1201192		{0,0}	1
1201193	科尔努诺斯卡牌a	1201193			
1201194	科尔努诺斯头像a	1201194			
1201193	科尔努诺斯剪裁卡牌a	1201193			
1201195	科尔努诺斯立绘b	1201195		{0,0}	1
1201196	科尔努诺斯卡牌b	1201196			
1201197	科尔努诺斯头像b	1201197			
1201196	科尔努诺斯剪裁卡牌b	1201196			
1201180	马特瑞斯立绘a	1201180		{0,0}	1
1201181	马特瑞斯卡牌a	1201181			
1201182	马特瑞斯头像a	1201182			
1201181	马特瑞斯剪裁卡牌a	1201181			
1201183	马特瑞斯立绘b	1201183		{0,0}	1
1201184	马特瑞斯卡牌b	1201184			
1201185	马特瑞斯头像b	1201185			
1201184	马特瑞斯剪裁卡牌b	1201184			
1201186	苏克鲁斯立绘a	1201186		{0,0}	1
1201187	苏克鲁斯卡牌a	1201187			
1201188	苏克鲁斯头像a	1201188			
1201187	苏克鲁斯剪裁卡牌a	1201187			
1201189	苏克鲁斯立绘b	1201189		{0,0}	1
1201190	苏克鲁斯卡牌b	1201190			
1201191	苏克鲁斯头像b	1201191			
1201190	苏克鲁斯剪裁卡牌b	1201190			
1201168	凯赫特立绘a	1201168		{0,0}	1
1201169	凯赫特卡牌a	1201169			
1201170	凯赫特头像a	1201170			
1201169	凯赫特剪裁卡牌a	1201169			
1201171	凯赫特立绘b	1201171		{0,0}	1
1201172	凯赫特卡牌b	1201172			
1201173	凯赫特头像b	1201173			
1201172	凯赫特剪裁卡牌b	1201172			
1201234	瓦莱莉立绘a	1201234		{0,0}	1
1201235	瓦莱莉卡牌a	1201235			
1201236	瓦莱莉头像a	1201236			
1201235	瓦莱莉剪裁卡牌a	1201235			
1201237	瓦莱莉立绘b	1201237		{0,0}	1
1201238	瓦莱莉卡牌b	1201238			
1201239	瓦莱莉头像b	1201239			
1201238	瓦莱莉剪裁卡牌b	1201238			
1201240	邦妮立绘a	1201240		{0,0}	1
1201241	邦妮卡牌a	1201241			
1201242	邦妮头像a	1201242			
1201241	邦妮剪裁卡牌a	1201241			
1201243	邦妮立绘b	1201243		{0,0}	1
1201244	邦妮卡牌b	1201244			
1201245	邦妮头像b	1201245			
1201244	邦妮剪裁卡牌b	1201244			
1201054	穆林立绘a	1201054		{0,0}	1
1201055	穆林卡牌a	1201055			
1201056	穆林头像a	1201056			
1201055	穆林剪裁卡牌a	1201055			
1201057	穆林立绘b	1201057		{0,0}	1
1201058	穆林卡牌b	1201058			
1201059	穆林头像b	1201059			
1201058	穆林剪裁卡牌b	1201058			
1201060	海基立绘a	1201060		{0,0}	1
1201061	海基卡牌a	1201061			
1201062	海基头像a	1201062			
1201061	海基剪裁卡牌a	1201061			
1201063	海基立绘b	1201063		{0,0}	1
1201064	海基卡牌b	1201064			
1201065	海基头像b	1201065			
1201064	海基剪裁卡牌b	1201064			
1201066	安立绘a	1201066		{0,0}	1
1201067	安卡牌a	1201067			
1201068	安头像a	1201068			
1201067	安剪裁卡牌a	1201067			
1201069	安立绘b	1201069		{0,0}	1
1201070	安卡牌b	1201070			
1201071	安头像b	1201071			
1201070	安剪裁卡牌b	1201070			
1201072	菲儿立绘a	1201072		{0,0}	1
1201073	菲儿卡牌a	1201073			
1201074	菲儿头像a	1201074			
1201073	菲儿剪裁卡牌a	1201073			
1201075	菲儿立绘b	1201075		{0,0}	1
1201076	菲儿卡牌b	1201076			
1201077	菲儿头像b	1201077			
1201076	菲儿剪裁卡牌b	1201076			
1201078	金吉拉立绘a	1201078		{0,0}	1
1201079	金吉拉卡牌a	1201079			
1201080	金吉拉头像a	1201080			
1201079	金吉拉剪裁卡牌a	1201079			
1201081	金吉拉立绘b	1201081		{0,0}	1
1201082	金吉拉卡牌b	1201082			
1201083	金吉拉头像b	1201083			
1201082	金吉拉剪裁卡牌b	1201082			
1201090	露莎卡立绘a	1201090		{0,0}	1
1201091	露莎卡卡牌a	1201091			
1201092	露莎卡头像a	1201092			
1201091	露莎卡剪裁卡牌a	1201091			
1201093	露莎卡立绘b	1201093		{0,0}	1
1201094	露莎卡卡牌b	1201094			
1201095	露莎卡头像b	1201095			
1201094	露莎卡剪裁卡牌b	1201094			
1201096	巴斯特立绘a	1201096		{0,0}	1
1201097	巴斯特卡牌a	1201097			
1201098	巴斯特头像a	1201098			
1201097	巴斯特剪裁卡牌a	1201097			
1201099	巴斯特立绘b	1201099		{0,0}	1
1201100	巴斯特卡牌b	1201100			
1201101	巴斯特头像b	1201101			
1201100	巴斯特剪裁卡牌b	1201100			
1201102	努阿达立绘a	1201102		{0,0}	1
1201103	努阿达卡牌a	1201103			
1201104	努阿达头像a	1201104			
1201103	努阿达剪裁卡牌a	1201103			
1201105	努阿达立绘b	1201105		{0,0}	1
1201106	努阿达卡牌b	1201106			
1201107	努阿达头像b	1201107			
1201106	努阿达剪裁卡牌b	1201106			
1201108	伊甸立绘a	1201108		{0,0}	1
1201109	伊甸卡牌a	1201109			
1201110	伊甸头像a	1201110			
1201109	伊甸剪裁卡牌a	1201109			
1201111	伊甸立绘b	1201111		{0,0}	1
1201112	伊甸卡牌b	1201112			
1201113	伊甸头像b	1201113			
1201112	伊甸剪裁卡牌b	1201112			
1201156	斯涅妮卡立绘a	1201156		{0,0}	1
1201157	斯涅妮卡卡牌a	1201157			
1201158	斯涅妮卡头像a	1201158			
1201157	斯涅妮卡剪裁卡牌a	1201157			
1201159	斯涅妮卡立绘b	1201159		{0,0}	1
1201160	斯涅妮卡卡牌b	1201160			
1201161	斯涅妮卡头像b	1201161			
1201160	斯涅妮卡剪裁卡牌b	1201160			
1201162	班西立绘a	1201162		{0,0}	1
1201163	班西卡牌a	1201163			
1201164	班西头像a	1201164			
1201163	班西剪裁卡牌a	1201163			
1201165	班西立绘b	1201165		{0,0}	1
1201166	班西卡牌b	1201166			
1201167	班西头像b	1201167			
1201166	班西剪裁卡牌b	1201166			
					
					
					
					
					
					
1201354	红线立绘a	1201354		{0,0}	1
1201355	红线卡牌a	1201355			
1201356	红线头像a	1201356			
1201355	红线剪裁卡牌a	1201355			
1201357	红线立绘b	1201357		{0,0}	1
1201358	红线卡牌b	1201358			
1201359	红线头像b	1201359			
1201358	红线剪裁卡牌b	1201358			
1201360	佐香立绘a	1201360		{0,0}	1
1201361	佐香卡牌a	1201361			
1201362	佐香头像a	1201362			
1201361	佐香剪裁卡牌a	1201361			
1201363	佐香立绘b	1201363		{0,0}	1
1201364	佐香卡牌b	1201364			
1201365	佐香头像b	1201365			
1201364	佐香剪裁卡牌b	1201364			
1201366	浮木立绘a	1201366		{0,0}	1
1201367	浮木卡牌a	1201367			
1201368	浮木头像a	1201368			
1201367	浮木剪裁卡牌a	1201367			
1201369	浮木立绘b	1201369		{0,0}	1
1201370	浮木卡牌b	1201370			
1201371	浮木头像b	1201371			
1201370	浮木剪裁卡牌b	1201370			
1201264	曜影立绘a	1201264		{0,0}	1
1201265	曜影卡牌a	1201265			
1201266	曜影头像a	1201266			
1201265	曜影剪裁卡牌a	1201265			
1201267	曜影立绘b	1201267		{0,0}	1
1201268	曜影卡牌b	1201268			
1201269	曜影头像b	1201269			
1201268	曜影剪裁卡牌b	1201268			
1201270	孔苏立绘a	1201270		{0,0}	1
1201271	孔苏卡牌a	1201271			
1201272	孔苏头像a	1201272			
1201271	孔苏剪裁卡牌a	1201271			
1201273	孔苏立绘b	1201273		{0,0}	1
1201274	孔苏卡牌b	1201274			
1201275	孔苏头像b	1201275			
1201274	孔苏剪裁卡牌b	1201274			
1201276	穆特立绘a	1201276		{0,0}	1
1201277	穆特卡牌a	1201277			
1201278	穆特头像a	1201278			
1201277	穆特剪裁卡牌a	1201277			
1201279	穆特立绘b	1201279		{0,0}	1
1201280	穆特卡牌b	1201280			
1201281	穆特头像b	1201281			
1201280	穆特剪裁卡牌b	1201280			
1201306	菲欧娜立绘a	1201306		{0,0}	1
1201307	菲欧娜卡牌a	1201307			
1201308	菲欧娜头像a	1201308			
1201307	菲欧娜剪裁卡牌a	1201307			
1201309	菲欧娜立绘b	1201309		{0,0}	1
1201310	菲欧娜卡牌b	1201310			
1201311	菲欧娜头像b	1201311			
1201310	菲欧娜剪裁卡牌b	1201310			
1201300	格兰特立绘a	1201300		{0,0}	1
1201301	格兰特卡牌a	1201301			
1201302	格兰特头像a	1201302			
1201301	格兰特剪裁卡牌a	1201301			
1201303	格兰特立绘b	1201303		{0,0}	1
1201304	格兰特卡牌b	1201304			
1201305	格兰特头像b	1201305			
1201304	格兰特剪裁卡牌b	1201304			
1201312	辉钻立绘a	1201312		{0,0}	1
1201313	辉钻卡牌a	1201313			
1201314	辉钻头像a	1201314			
1201313	辉钻剪裁卡牌a	1201313			
1201315	辉钻立绘b	1201315		{0,0}	1
1201316	辉钻卡牌b	1201316			
1201317	辉钻头像b	1201317			
1201316	辉钻剪裁卡牌b	1201316			
1201282	拉克西丝立绘a	1201282		{0,0}	1
1201283	拉克西丝卡牌a	1201283			
1201284	拉克西丝头像a	1201284			
1201283	拉克西丝剪裁卡牌a	1201283			
1201285	拉克西丝立绘b	1201285		{0,0}	1
1201286	拉克西丝卡牌b	1201286			
1201287	拉克西丝头像b	1201287			
1201286	拉克西丝剪裁卡牌b	1201286			
1201288	贝拉立绘a	1201288		{0,0}	1
1201289	贝拉卡牌a	1201289			
1201290	贝拉头像a	1201290			
1201289	贝拉剪裁卡牌a	1201289			
1201291	贝拉立绘b	1201291		{0,0}	1
1201292	贝拉卡牌b	1201292			
1201293	贝拉头像b	1201293			
1201292	贝拉剪裁卡牌b	1201292			
1201294	克萝伊立绘a	1201294		{0,0}	1
1201295	克萝伊卡牌a	1201295			
1201296	克萝伊头像a	1201296			
1201295	克萝伊剪裁卡牌a	1201295			
1201297	克萝伊立绘b	1201297		{0,0}	1
1201298	克萝伊卡牌b	1201298			
1201299	克萝伊头像b	1201299			
1201298	克萝伊剪裁卡牌b	1201298			
1201324	瓦卡斯帕·安吉拉斯立绘a	1201324		{0,0}	1
1201325	瓦卡斯帕·安吉拉斯卡牌a	1201325			
1201326	瓦卡斯帕·安吉拉斯头像a	1201326			
1201325	瓦卡斯帕·安吉拉斯剪裁卡牌a	1201325			
1201327	瓦卡斯帕·安吉拉斯立绘b	1201327		{0,0}	1
1201328	瓦卡斯帕·安吉拉斯卡牌b	1201328			
1201329	瓦卡斯帕·安吉拉斯头像b	1201329			
1201328	瓦卡斯帕·安吉拉斯剪裁卡牌b	1201328			
1201330	苏卡拉·布里格立绘a	1201330		{0,0}	1
1201331	苏卡拉·布里格卡牌a	1201331			
1201332	苏卡拉·布里格头像a	1201332			
1201331	苏卡拉·布里格剪裁卡牌a	1201331			
1201333	苏卡拉·布里格立绘b	1201333		{0,0}	1
1201334	苏卡拉·布里格卡牌b	1201334			
1201335	苏卡拉·布里格头像b	1201335			
1201334	苏卡拉·布里格剪裁卡牌b	1201334			
1201318	摩萨·阿特里亚立绘a	1201318		{0,0}	1
1201319	摩萨·阿特里亚卡牌a	1201319			
1201320	摩萨·阿特里亚头像a	1201320			
1201319	摩萨·阿特里亚剪裁卡牌a	1201319			
1201321	摩萨·阿特里亚立绘b	1201321		{0,0}	1
1201322	摩萨·阿特里亚卡牌b	1201322			
1201323	摩萨·阿特里亚头像b	1201323			
1201322	摩萨·阿特里亚剪裁卡牌b	1201322			
1201246	斯卡德肯立绘a	1201246		{0,0}	1
1201247	斯卡德肯卡牌a	1201247			
1201248	斯卡德肯头像a	1201248			
1201247	斯卡德肯剪裁卡牌a	1201247			
1201249	斯卡德肯立绘b	1201249		{0,0}	1
1201250	斯卡德肯卡牌b	1201250			
1201251	斯卡德肯头像b	1201251			
1201250	斯卡德肯剪裁卡牌b	1201250			
1201252	雅尔哈康立绘a	1201252		{0,0}	1
1201253	雅尔哈康卡牌a	1201253			
1201254	雅尔哈康头像a	1201254			
1201253	雅尔哈康剪裁卡牌a	1201253			
1201255	雅尔哈康立绘b	1201255		{0,0}	1
1201256	雅尔哈康卡牌b	1201256			
1201257	雅尔哈康头像b	1201257			
1201256	雅尔哈康剪裁卡牌b	1201256			
1201258	哈尔芙立绘a	1201258		{0,0}	1
1201259	哈尔芙卡牌a	1201259			
1201260	哈尔芙头像a	1201260			
1201259	哈尔芙剪裁卡牌a	1201259			
1201261	哈尔芙立绘b	1201261		{0,0}	1
1201262	哈尔芙卡牌b	1201262			
1201263	哈尔芙头像b	1201263			
1201262	哈尔芙剪裁卡牌b	1201262			
1201336	季特立绘a	1201336		{0,0}	1
1201337	季特卡牌a	1201337			
1201338	季特头像a	1201338			
1201337	季特剪裁卡牌a	1201337			
1201339	季特立绘b	1201339			
1201340	季特卡牌b	1201340			
1201341	季特头像b	1201341			
1201340	季特剪裁卡牌b	1201340			
1201342	雅里洛立绘a	1201342		{0,0}	1
1201343	雅里洛卡牌a	1201343			
1201344	雅里洛头像a	1201344			
1201343	雅里洛剪裁卡牌a	1201343			
1201345	雅里洛立绘b	1201345		{0,0}	1
1201346	雅里洛卡牌b	1201346			
1201347	雅里洛头像b	1201347			
1201346	雅里洛剪裁卡牌b	1201346			
1201348	玛拉立绘a	1201348		{0,0}	1
1201349	玛拉卡牌a	1201349			
1201350	玛拉头像a	1201350			
1201349	玛拉剪裁卡牌a	1201349			
1201351	玛拉立绘b	1201351		{0,0}	1
1201352	玛拉卡牌b	1201352			
1201353	玛拉头像b	1201353			
1201352	玛拉剪裁卡牌b	1201352			
					
					
					
					
					
					
					
1301000	奈乐立绘	1301000			
1301001	奈乐方头像	1301001			
1301002	奈乐圆头像	1301002			
1301003	奈乐大头像	1301003			
1301003		1301003			
1301004	奈乐logo	1301004			
1302000	星期三立绘	1302000			
1302001	星期三方头像	1302001			
1302002	星期三圆头像	1302002			
1302003	星期三大头像	1302003			
1302003		1302003			
1302004	星期三logo	1302004			
1303000	丽达立绘	1303000			
1303001	丽达方头像	1303001			
1303002	丽达圆头像	1303002			
1303003	丽达大头像	1303003			
1303003		1303003			
1303004	丽达logo	1303004			
1304000	普罗米立绘	1304000			
1304001	普罗米方头像	1304001			
1304002	普罗米圆头像	1304002			
1304003	普罗米大头像	1304003			
1304003		1304003			
1304004	普罗米logo	1304004			
1305000	茉莉安立绘	1305000			
1305001	茉莉安方头像	1305001			
1305002	茉莉安圆头像	1305002			
1305003	茉莉安大头像	1305003			
1305003		1305003			
1305004	茉莉安logo（假）	1305004			
1306000	雨燕立绘	1306000			
1306001	雨燕方头像	1306001			
1306002	雨燕圆头像	1306002			
1306003	雨燕大头像	1306003			
1306003	雨燕立绘裁剪	1306003			
1306004	雨燕logo（假）	1306004			
1307000	提尔立绘	1307000			
1307001	提尔方头像	1307001			
1307002	提尔圆头像	1307002			
1307003	提尔大头像	1307003			
1307003		1307003			
1307004	提尔logo（假）	1307004			
1308000	琴诺立绘	1308000			
1308001	琴诺方头像	1308001			
1308002	琴诺圆头像	1308002			
1308003	琴诺大头像	1308003			
1308003		1308003			
1308004	琴诺logo（假）	1308004			
1309000	芬妮立绘	1309000			
1309001	芬妮方头像	1309001			
1309002	芬妮圆头像	1309002			
1309003	芬妮大头像	1309003			
1309003		1309003			
1309004	芬妮logo（假）	1309004			
1310000	罗夏立绘	1310000			
1310001	罗夏方头像	1310001			
1310002	罗夏圆头像	1310002			
1310003	罗夏大头像	1310003			
1310003		1310003			
1310004	罗夏logo（假）	1310004			
1311000	狂猎立绘	1311000			
1311001	狂猎方头像	1311001			
1311002	狂猎圆头像	1311002			
1311003	狂猎大头像	1311003			
1311003		1311003			
1311004	狂猎logo（假）	1311004			
1314000	肴立绘	1314000			
1314001	肴方头像	1314001			
1314002	肴圆头像	1314002			
1314003	肴大头像	1314003			
1314003		1314003			
1314004	肴logo（假）	1314004			
1313000	恩雅立绘	1313000			
1313001	恩雅方头像	1313001			
1313002	恩雅圆头像	1313002			
1313003	恩雅大头像	1313003			
1313003		1313003			
1313004	恩雅logo（假）	1313004			
1312000	缄默立绘	1312000			
1312001	缄默方头像	1312001			
1312002	缄默圆头像	1312002			
1312003	缄默大头像	1312003			
1312003		1312003			
1312004	缄默logo（假）	1312004			
					
					
					
					
					
					
1401000	无声雷电	1401000			
1401001		1401001			
1401022	铸铁卫士	1401022			
1401023		1401023			
1401024	世界大战	1401024			
1401025		1401025			
1401028	黑旗鱼	1401028			
1401029		1401029			
1401008	偏头痛	1401008			
1401009		1401009			
1401016	黑衣拿破仑	1401016			
1401017		1401017			
1401010	北极狐	1401010			
1401011		1401011			
1401014	百战老兵 	1401014			
1401015		1401015			
1401018	次氯酸	1401018			
1401019		1401019			
1401020	天鹅座之心	1401020			
1401021		1401021			
1401026	归来	1401026			
1401027		1401027			
1401021	wp01d_001b	1401021			
1401026	wp01d_001b	1401026			
1401027	wp01d_001b2	1401027			
1401021	wp01d_001b2	1401021			
1401026	wp01d_001c	1401026			
1401027	wp01d_001c	1401027			
1401021	wp01a_001a	1401021			
1401026	wp01a_001a	1401026			
1401002	电离水母	1401002			
1401003		1401003			
1401004	正在施工	1401004			
1401005		1401005			
1401006	星尘回忆	1401006			
1401007		1401007			
1401006	wp01b_001a	1401006			
1401007	wp01b_001a	1401007			
1401006	wp01b_001b	1401006			
1401007	wp01b_001b	1401007			
1401012	军舰鸟	1401012			
1401013		1401013			
1401012	wp01b_001c	1401012			
1401013	wp01b_001c	1401013			
1401012	wp01d_001a	1401012			
1401013	wp01d_001a	1401013			
					
					
					
1402016	简易扳手	1402016			
1402017		1402017			
1402024	冬青木	1402024			
1402025		1402025			
1402026	深海呼唤	1402026			
1402027		1402027			
1402028	奥林匹斯	1402028			
1402029		1402029			
1402018	喧哗现场	1402018			
1402019		1402019			
1402020	黄蜂	1402020			
1402021		1402021			
1402022	虎鲸号角 	1402022			
1402023		1402023			
1402030	湖中女神	1402030			
1402031		1402031			
1402000	甜甜灵魂	1402000			
1402001		1402001			
1402002	现代文明	1402002			
1402003		1402003			
1402004	夹心巧克力	1402004			
1402005		1402005			
1402007	wp02a_003a	1402007			
1402008	wp02a_003a	1402008			
1402006	wp02a_003b	1402006			
1402007	wp02a_003b	1402007			
1402008	wp02a_003b2	1402008			
1402006	wp02a_003b2	1402006			
1402007	wp02a_003c	1402007			
