剧情ID	顺序索引,相同的索引就是选择项	发言人，‘nita’就是妮塔，‘player’就是分析员	语句,正式的得填多语言key	表情	备注	奖励	结局节点的结束语，一样要填多语言key
4	6	nita	nitamonopoly.NitaMonopoly_story_68		唔，我得把早上晒的东西收起来。分析员先休息吧，你也忙了一天了。（伸手去抓被单）哎呀！被单飞起来！		
4	7	player	nitamonopoly.NitaMonopoly_story_69		没事，我来。嗯？（被单落下，罩住了草地上的两人）		
4	8	nita	nitamonopoly.NitaMonopoly_story_70		分析员，这算不算我们新的秘密基地呀？总觉得，这样的小帐篷里，适合干点什么呢。		
4	9	player	nitamonopoly.NitaMonopoly_story_71		你的点子总这么出其不意。		
4	10	nita	nitamonopoly.NitaMonopoly_story_72		嘿嘿，平时光享受了被单上的幸福，今天也体验体验被单下的浪漫嘛。	500	nitamonopoly.NitaMonopoly_story_135
5	1	nita	nitamonopoly.NitaMonopoly_story_73		分析员，藤树上的花越开越盛了，好漂亮啊。这花能用来做点什么吗？	500	
5	2	nita		1543010			
5	3	player	nitamonopoly.NitaMonopoly_story_74		用来编织花环		
5	4	player	nitamonopoly.NitaMonopoly_story_75		来，先挑挑你喜欢的花藤条。		
5	5	nita	nitamonopoly.NitaMonopoly_story_76		嗯……那这根……和这根，这两根一个叶子多一个花多！		
5	6	player	nitamonopoly.NitaMonopoly_story_77		嗯，那你拿着这根叶子多的，固定好喔。然后……从这里，开始绕……绕……绕……		
5	7	nita	nitamonopoly.NitaMonopoly_story_78		哇！我看出来了！花环！好好看！		
5	8	player	nitamonopoly.NitaMonopoly_story_79		嗯哼，看看这个大小，还合适吗？会不会松了点？		
5	9	nita	nitamonopoly.NitaMonopoly_story_80		不松的。哇，好漂亮啊！嘿嘿，分析员快看！我带着它，像不像花之精灵呢？		
5	10	nita		1543004		500	nitamonopoly.NitaMonopoly_story_136
5	3	player	nitamonopoly.NitaMonopoly_story_81		用来制作染料		
5	4	player	nitamonopoly.NitaMonopoly_story_82		这个颜色很温柔，做成染料会很不错。		
5	5	player	nitamonopoly.NitaMonopoly_story_83		（一番忙碌之后）		
5	6	nita		1543002			
5	7	nita	nitamonopoly.NitaMonopoly_story_84		这花真好看啊，染出来的颜色一定很温柔。你说，会不会像晚霞一样？		
5	8	player	nitamonopoly.NitaMonopoly_story_85		嗯，应该会更偏紫一些。小心点，别弄脏手。		
5	9	nita	nitamonopoly.NitaMonopoly_story_86		唔，确实不小心沾上了，我去洗洗。（突然低头）哎呀，指甲好像染上颜色了，有点难洗。		
5	10	player	nitamonopoly.NitaMonopoly_story_87		是染上了，一时半会估计去不掉了。不过……挺好看的。像是藤树的印记。		
5	11	nita	nitamonopoly.NitaMonopoly_story_88		那……分析员要不要也留个“印记”？		
5	12	player	nitamonopoly.NitaMonopoly_story_89		自然是，要的。	500	nitamonopoly.NitaMonopoly_story_137
6	1	nita	nitamonopoly.NitaMonopoly_story_90		我们的秋千——大功告成！分析员，快一起试试！	500	
6	2	nita		1543008			
6	3	player	nitamonopoly.NitaMonopoly_story_91		推秋千		
6	4	player	nitamonopoly.NitaMonopoly_story_92		不了，我给你推吧，你玩吧。		
6	5	player		1543013			
6	6	nita	nitamonopoly.NitaMonopoly_story_93		那推高些！低了不好玩！		
6	7	player	nitamonopoly.NitaMonopoly_story_94		太高了会危险，你抓紧些。		
6	8	player	nitamonopoly.NitaMonopoly_story_95		诶？不是让你抓紧我手，是抓紧秋千扶手喔。		
6	9	nita	nitamonopoly.NitaMonopoly_story_96		我知道，但是，果然比起一个人荡啊荡，还是想跟分析员一起。		
6	10	player	nitamonopoly.NitaMonopoly_story_97		一起的话，可就没人推，荡不了很高了喔。		
6	11	nita	nitamonopoly.NitaMonopoly_story_98		那也要一起。只要是一起，其他的都不重要了。	500	nitamonopoly.NitaMonopoly_story_138
6	3	player	nitamonopoly.NitaMonopoly_story_99		冲洗秋千		
6	4	player	nitamonopoly.NitaMonopoly_story_100		上面还有不少木屑，先冲洗了再玩吧。你站远些，别被水溅到了。		
6	5	nita	nitamonopoly.NitaMonopoly_story_101		哎呀，分析员都忙了一上午了，先一起玩玩，放松放松嘛。清理的事，待会交给我就好啦。		
6	6	player	nitamonopoly.NitaMonopoly_story_102		好喔，这可是你说的。那玩秋千之前，先玩玩水吧——		
6	7	nita	nitamonopoly.NitaMonopoly_story_103		唔啊，全湿了啊……分析员太狡猾了，竟然突袭。		
6	8	player	nitamonopoly.NitaMonopoly_story_104		哈哈哈，躲得挺快嘛。不出来反击一下吗？		
6	9	nita	nitamonopoly.NitaMonopoly_story_105		分析员太狡猾啦，反击也赢不了。		
6	10	player	nitamonopoly.NitaMonopoly_story_106		那我让着你些。别绕着树躲了，水管都要缠断了。	500	nitamonopoly.NitaMonopoly_story_139
7	1	nita	nitamonopoly.NitaMonopoly_story_108		分析员，我们貌似没准备枕头诶。	500	
7	2	player	nitamonopoly.NitaMonopoly_story_109		不睡枕头		
7	3	player	nitamonopoly.NitaMonopoly_story_110		给。胳膊借你。		
7	4	nita	nitamonopoly.NitaMonopoly_story_111		嘿嘿，这样躺着，离分析员好近。不过……枕久了，分析员手会酸吧。		
7	5	nita		1543004			
7	6	player	nitamonopoly.NitaMonopoly_story_112		不会。		
7	7	player		1543013			
7	8	nita	nitamonopoly.NitaMonopoly_story_113		没事，酸了……就、抽走，已经，很幸福了……（声音越来越弱）		
7	9	player	nitamonopoly.NitaMonopoly_story_114		累坏了吧？安心睡吧，晚安。		
7	10	nita	nitamonopoly.NitaMonopoly_story_115		分析员……真好……晚……安……呼……（逐渐传来平稳的呼吸声）	500	nitamonopoly.NitaMonopoly_story_142
7	2	player	nitamonopoly.NitaMonopoly_story_116		做个枕头		
7	3	player	nitamonopoly.NitaMonopoly_story_117		等我一下。		
7	4	nita	nitamonopoly.NitaMonopoly_story_118		诶？分析员去干嘛？怎么突然拿外套？这么晚是出门夜猎吗！		
7	5	player	nitamonopoly.NitaMonopoly_story_119		不出去，给你做个枕头。		
7	6	nita	nitamonopoly.NitaMonopoly_story_120		用外套吗？那你怎么办？没外套了不冷吗？		
7	7	player	nitamonopoly.NitaMonopoly_story_121		我不冷，不用担心。		
7	8	player	nitamonopoly.NitaMonopoly_story_122		（片刻后）		
7	9	player	nitamonopoly.NitaMonopoly_story_123		好了，做好了。试试呢？		
7	10	nita	nitamonopoly.NitaMonopoly_story_124		嘿嘿，分析员也试试，我们一人一半。		
7	11	nita		1543004			
7	12	player	nitamonopoly.NitaMonopoly_story_125		好，这样会不会挤到你？		
7	13	nita	nitamonopoly.NitaMonopoly_story_126		不挤不挤，嘿嘿，还能再挨紧些。	500	nitamonopoly.NitaMonopoly_story_143
