ID	注释	稀有度	名字的多语言Key	描述的多语言Key	备注	描述的格式化参数，如{"abc",128,3.14}	标签，正式配置要填多语言key	标签图标	图标	奇物价格	随机的权重（最小为1，0或不填则没有概率获得）	初始奇物的权重（最小为1，0或不填则没有概率获得）	奇物效果，格式为{{效果1,效果1的参数…},{效果2,效果2的参数…}}，各效果对应的编号参见设计案	可用次数，为0或不填则可以使用无限次	解锁所需的树屋经验,不填默认为0（即直接解锁）	是否为初始奇物
14	小金栗转盘	5	nitamonopoly.NitaMonopoly_magic_14	nitamonopoly.NitaMonopoly_magic_34	小金栗格有概率触发幸运翻倍		nitamonopoly.NitaMonopoly_ui_11	1700209	4801015	500	30	10	{{3,2}}		100000	
15	游戏房模型	4	nitamonopoly.NitaMonopoly_magic_15	nitamonopoly.NitaMonopoly_magic_35	下次四叶梦境中的所有事件格变为游戏格		nitamonopoly.NitaMonopoly_ui_11	1700209	4801016	500	30	10	{{7,100}}	1	0	
16	飞鞋	4	nitamonopoly.NitaMonopoly_magic_16	nitamonopoly.NitaMonopoly_magic_36	每前进一格获得小金栗增加{1}	{20}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801017	300	20	20	{{8,0.2}}		0	
17	聚宝盆	4	nitamonopoly.NitaMonopoly_magic_17	nitamonopoly.NitaMonopoly_magic_37	小金栗格获得的总收益增加{1}	{20}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801018	300	20	20	{{9,2,100,0.2}}		0	
18	金手指	4	nitamonopoly.NitaMonopoly_magic_18	nitamonopoly.NitaMonopoly_magic_38	游戏格获得的总收益增加{1}	{20}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801019	300	20	20	{{9,8,100,0.2}}		0	
19	贵重礼物	4	nitamonopoly.NitaMonopoly_magic_19	nitamonopoly.NitaMonopoly_magic_39	礼物格获得的总收益增加{1}	{20}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801020	300	20	20	{{9,4,100,0.2}}		0	
20	二重礼物	4	nitamonopoly.NitaMonopoly_magic_20	nitamonopoly.NitaMonopoly_magic_40	下次礼物格获得双倍收益		nitamonopoly.NitaMonopoly_ui_11	1700209	4801021	500	30	30	{{9,4,100,2},{10,100,1}}	1	0	
21	小年轮切片	1	nitamonopoly.NitaMonopoly_magic_41	nitamonopoly.NitaMonopoly_magic_44	下次抵达随机格，必定触发小金栗格		nitamonopoly.NitaMonopoly_ui_11	1700209	4801003	400	60		{{2,2}}	1	0	
22	小水壶	3	nitamonopoly.NitaMonopoly_magic_42	nitamonopoly.NitaMonopoly_magic_45	下次抵达随机格，必定触发游戏格		nitamonopoly.NitaMonopoly_ui_11	1700209	4801004	400	60		{{2,8}}	1	0	
23	小花瓶	2	nitamonopoly.NitaMonopoly_magic_43	nitamonopoly.NitaMonopoly_magic_46	下次抵达随机格，必定触发礼物格		nitamonopoly.NitaMonopoly_ui_11	1700209	4801005	400	60		{{2,4}}	1	0	
24	肥料	4	nitamonopoly.NitaMonopoly_magic_7	nitamonopoly.NitaMonopoly_magic_27	产出小金栗量提升{1}%	{15}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801008	600	30	5	{{9,2,100,0.15},{9,8,100,0.15},{9,4,100,0.15},{8,0.15}}		70000	
25	肥料	3	nitamonopoly.NitaMonopoly_magic_7	nitamonopoly.NitaMonopoly_magic_27	产出小金栗量提升{1}%	{10}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801008	500	30	10	{{9,2,100,0.1},{9,8,100,0.1},{9,4,100,0.1},{8,0.1}}		0	
26	肥料	2	nitamonopoly.NitaMonopoly_magic_7	nitamonopoly.NitaMonopoly_magic_27	产出小金栗量提升{1}%	{5}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801008	400	60	20	{{9,2,100,0.05},{9,8,100,0.05},{9,4,100,0.05},{8,0.05}}		0	
27	惊吓盒	3	nitamonopoly.NitaMonopoly_magic_13	nitamonopoly.NitaMonopoly_magic_33	获得后消耗全部的刷新次数根据消耗的刷新次数，获得随机奇物	{1,1,1}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801014	500	30		{{6,1}}	1	0	
28	飞鞋	3	nitamonopoly.NitaMonopoly_magic_16	nitamonopoly.NitaMonopoly_magic_36	每前进一格获得小金栗增加{1}	{10}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801017	300	40	40	{{8,0.1}}		0	
29	聚宝盆	3	nitamonopoly.NitaMonopoly_magic_17	nitamonopoly.NitaMonopoly_magic_37	小金栗格获得的总收益增加{1}	{10}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801018	300	40	40	{{9,2,100,0.1}}		0	
30	金手指	3	nitamonopoly.NitaMonopoly_magic_18	nitamonopoly.NitaMonopoly_magic_38	游戏格获得的总收益增加{1}	{10}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801019	300	40	40	{{9,8,100,0.1}}		0	
31	贵重礼物	3	nitamonopoly.NitaMonopoly_magic_19	nitamonopoly.NitaMonopoly_magic_39	礼物格获得的总收益增加{1}	{10}	nitamonopoly.NitaMonopoly_ui_11	1700209	4801020	300	40	40	{{9,4,100,0.1}}		0	
