大类（1-战斗 2-画面 3-声音3 4-其他）	条目类型（1类当前用至58	细分小标题(1-基础设置内枪械设置 2-PC端游戏性设置【*】  3-操作设置内常规操作设定  4-操作设置内特殊操作设定  5-全局灵敏度  6-转向模式  7-镜头灵敏度 8-开火灵敏度 9-陀螺仪灵敏度 10-陀螺仪开火灵敏度  11-PC鼠标设置 12pc灵敏度设置  13-移动端基础设置【*】  20-画面设置   ）	双端显示：不填-双端都有 1-仅PC 2-仅移动端	备注	标题文本（对应language/setting中的字段）	选项key	选项key的PC差异化	默认选项（默认为PC，如果双端显示仅移动端时，此时才会是移动端默认值）	手机端默认值。不填与PC同步（仅双端同时存在时，做出PC与移动端差异使用）	组件类型(0toggle  1下拉框  2进度条 3 按钮 4 异形屏特殊控件)	组件类型的PC差异化(0toggle  1下拉框  2进度条)	最小值(默认0)	最大值(默认值100)	是否可以复选	可见（填1不可见）	继承关联（选项|关联项），配置后，选择当前选项时，会屏蔽关联项	禁用时提示	参照项	预设标准	跳转url	海外url	外部跳转	仅海外可见	自定义回调	不填是通用1表示pc端,2表示移动端	详细说明	海外详细说明	DLC3.2新用户默认配置
4	13	52		苹果账号	Account3	relevancy,1003047,appleid				5													1					
4	15	52		谷歌账号	Account5	relevancy,1003049,google				5													1					
4	18	52		Steam账号	Account6	relevancy,1003059,steam				5													1					
4	24	52		DMM账号	Account7	relevancy,1003060,dmm				5													1					
4	16	50		返回登录	back_to_login_title	back_to_login_btn				3																		
4	25	50		预下载	download.title	download.lock				7																		
4	19	51		自助修改绑定手机	modify_bound_phone	protocolGoto				3										https://security.xoyo.com/phone-setting		1						
4	20	51		人工修改绑定手机	modify_bound_phone_other	protocolGoto				3										https://support.seasungames.cn/account/reset-mobile?product_key=cbjq		1				detail.20		
4	21	51		自助修改绑定邮箱	modify_bound_email	protocolGoto				3										https://security.xoyo.com/email-setting		1						
4	10	51		注销	protocolBtn8	protocolGoto				6										https://support.seasungames.cn/account/logoff		1				detail.10		
4	22	50		重置玩家	resetplayer	reset				3																		
4	23	50		重置怪物	reset_monster	reset				3																		
4	26	50	1	游戏暂停	gamestop			1									setting.gamestoptips											
4	27	50	1	后台静音	gamemute			1									setting.gamemutetips											
																												
																												
																												
																												
6	1	70		体力推送	energy_full			1																				
																												
2	1			画面等级				4																				
2	8	20	1	帧率上限（pc端）	fps	fps3,fps4,fps5,custom		0		1						0|15,1|15,2|15		1	0,0,0,1,1						1			
2	8	20	2	帧率上限（移动端）	fps	fps1,fps2,fps3,fps4,fps5		0		1						0|15,1|15,2|15		1	0,0,1,1,1						2			
2	15	20	1	最大帧率	fpsMax			60		2		30	300					1	60,60,60,90,90									
2	16	20	1	垂直同步	vertical			1										1	0,0,1,1,1									
2	11	20	1	渲染精度（pc端）	rendering			100		2		50	200					1	100,115,130,145,145						1			
2	7	20	2	渲染精度（移动端）	rendering	low,middle,high,extra_high		0		1								1	1,2,2,2,3						2			
2	5	20	1	阴影质量（pc端）	shadow	close,low,middle,high		0		1								1	0,1,2,3,3						1			
2	5	20	2	阴影质量（移动端）	shadow	close,low,middle,high		0		1								1	0,1,2,3,3						2			
2	10	20	1	后期效果（pc端）	post	low,middle,high,extra_high		0		1								1	0,1,2,3,3						1			
2	10	20	2	后期效果（移动端）	post	low,middle,high,extra_high		0		1								1	0,0,1,2,3						2			
2	12	20	1	特效质量（pc端）	effects	low,middle,high,extra_high		0		1								1	0,1,2,3,3						1			
2	12	20	2	特效质量（移动端）	effects	low,middle,high,extra_high		0		1								1	0,0,1,2,3						2			
2	17	20	1	场景细节（pc端）	scene	low,middle,high,extra_high,ultra		0		1								1	0,1,2,3,4						1			
2	17	20	2	场景细节（移动端）	scene	low,middle,high,extra_high		0		1								1	0,0,1,2,3						2			
2	19	20	1	贴图精度（pc端）	texture	low,middle,high,extra_high		0		1								1	0,1,2,3,3						1			
2	19	20	2	贴图精度（移动端）	texture	low,middle,high,extra_high		0		1								1	0,0,1,2,3						2			
2	4	20	1	视觉效果（pc端）	effect	low,middle,high,extra_high		0		1								1	0,1,2,3,3						1			
2	4	20	2	视觉效果（移动端）	effect	low,middle,high,extra_high		0		1								1	0,0,1,2,3						2			
2	9	20	1	实时反射（pc端）	mirror	close,open,plus		0		1								1	0,0,1,2,2						1			
2	9	20	2	实时反射（移动端）	mirror	close,open,plus		0		1								1	0,0,0,1,1						2			
2	6	20	1	抗锯齿（pc端）	jag	close,FXTAA,TAA		0		1	1							1	1,1,2,2,2						1			
2	6	20	2	抗锯齿（移动端）	jag	close,FXTAA,TAA		0		1	1							1	1,1,1,2,2						2			
2	14	20		动态模糊（双端关闭）	blur			0							1			1	0,1,1,1									
2	13	20	1	体积雾（pc端）	frog			0										1	0,0,0,1,1						1			
2	13	20	2	体积雾（移动端）	frog			0										1	0,0,0,0,0						2			
2	18	20	1	虚化开关（pc端）	vacuumization			0										1	0,0,1,1,1						1			
2	18	20	2	虚化开关（移动端）	vacuumization			0										1	0,0,1,1,1						2			
																												
7	1	1		游戏语言	game_language	zh_CN,ja_JP,en_US,zh_TW,ko_KR		0		1																		
7	2	1		游戏语音	game_voice	1003050,1003039,1003038,1003040		0		1																		
7	3	1		字幕显示方式	subSetting_title	subSetting_option1,subSetting_option2,subSetting_option3,subSetting_option4		1		1							setting.subSetting_tips											
7	4	1	2	语音包下载	TxtSetupVoiceDownloadTitle1	go_set				3																		
																												
																												
																												
																												
																												
																												
8	1	1		按键设置	handle_keyboard	go_set				3																		
8	27	1		辅助瞄准	handle_autoaim			1																				
8	2	1	1	手柄震动	handle_shake			1																				
8	3	2		高级视角控制	senior_angle_view											0|4,1|5,1|6,1|34,1|7,1|8												
8	4	2		详细设置	detail_setting	go_set				3																		
8	5	2		转向灵敏度	steering_sensitivity	low,middle,high		1		1																		
8	6	2		瞄准灵敏度	aiming_sensitivity	low,middle,high		1		1																		
8	34	2		狙击枪瞄准灵敏度	sniperaiming_sensitivity	low,middle,high		1		1																		
8	7	2		转向响应曲线	steering_curve	low,middle,high		1		1																		
8	8	2		转向摇杆死角	steering_corner	low,middle,high		1		1																		
8	9	2		转向摇杆反向	sterring_inverse					0																		
8	10	3		移动摇杆死角	move_corner	low,middle,high		1		1																		
8	26	3		移动摇杆死角的值	move_corner_value					2		0	50		1			10	0,25,50									
																												
8	11	4		死角	corner			20		2		0	50					8	0,20,40									
8	12	4		外部阈值	external_threshold			5		2		0	30															
8	13	4		响应曲线	response_curve			10		2		0	30					7	0,15,30									
8	14	5		摇杆的左右速度	handle_lr_speed			32		2								5	20,40,80									
8	15	5		摇杆的上下速度	handle_ud_speed			24		2								5	15,26,50									
8	16	5		额外摇杆左右速度	extra_lr_speed			80		2								5	40,80,100									
8	17	5		额外摇杆上下速度	extra_ud_speed			0		2								5	0,0,0									
8	19	5		额外转向启动时间	extra_start_steering_delay			40		2								5	20,40,80									
8	18	5		额外转向启动延迟	extra_start_steering_time			0		2								5	80,40,20									
8	20	6		瞄准时摇杆的左右速度	aimed_handle_lr_speed			20		2								6	10,20,40									
8	21	6		瞄准时摇杆的上下速度	aimed_handle_ud_speed			15		2								6	10,15,40									
8	22	6		瞄准时额外摇杆左右速度	aimed_extra_lr_speed			15		2								6	20,40,80									
8	23	6		瞄准时额外摇杆上下速度	aimed_extra_ud_speed			12		2								6	0,0,0									
8	25	6		瞄准时额外转向启动时间	aimed_extra_start_steering_delay			50		2								6	20,40,80									
8	24	6		瞄准时额外转向启动延迟	aimed_extra_start_steering_time			25		2								6	80,40,20									
8	28	7		狙击枪瞄准时摇杆的左右速度	sniper_aimed_handle_lr_speed			5		2								34	5,10,20									
8	29	7		狙击枪瞄准时摇杆的上下速度	sniper_aimed_handle_ud_speed			3		2								34	5,8,18									
8	30	7		狙击枪瞄准时额外摇杆左右速度	sniper_aimed_extra_lr_speed			5		2								34	10,20,40									
8	31	7		狙击枪瞄准时额外摇杆上下速度	sniper_aimed_extra_ud_speed			0		2								34	0,0,0									
8	32	7		狙击枪瞄准时额外转向启动时间	sniper_aimed_extra_start_steering_delay			50		2								34	10,20,40									
8	33	7		狙击枪瞄准时额外转向启动延迟	sniper_aimed_extra_start_steering_time			25		2								34	40,20,10									
																												
9	1	2,13		自动射击模式	girl_settingdes03	girl_settingdes04,girl_settingdes05		0																				
																												
9	2	14		准心灵敏度-不开镜	girl_settingdes06			50		2		1	120					39	30,50,80									
																												
10	1	1		基础设置（自动/手动射击）	ARGameset02	ARGameset04,ARGameset05		0																				
10	2	2	1	灵敏度	ARGameset06	ARGameset07		50		2		10	100															
