UMG名字	场景名	场景描述	boss名	boss描述	图标Id
umg_chapterDLC32_ep01_a	levelanim.leveldlc20ep01_scence_name	levelanim.leveldlc20ep01_scence_desc	levelanim.leveldlc20ep01_boss_name	levelanim.leveldlc20ep01_boss_desc	1805007
umg_chapterDLC33_ep02	levelanim.leveldlc21ep01_scence_name	levelanim.leveldlc21ep01_scence_desc	levelanim.leveldlc21ep01_boss_name	levelanim.leveldlc21ep01_boss_desc	1805007
umg_chapterDLC33_ep02_a	levelanim.leveldlc21ep01_scence_name	levelanim.leveldlc21ep01_scence_desc	levelanim.leveldlc21ep01_boss_name	levelanim.leveldlc21ep01_boss_desc	1805007
umg_chapterDLC33_ep03	levelanim.leveldlc21ep02_scence_name	levelanim.leveldlc21ep02_scence_desc	levelanim.leveldlc21ep02_boss_name	levelanim.leveldlc21ep02_boss_desc	1805007
umg_chapterDLC33_ep03_a	levelanim.leveldlc21ep02_scence_name	levelanim.leveldlc21ep02_scence_desc	levelanim.leveldlc21ep02_boss_name	levelanim.leveldlc21ep02_boss_desc	1805007
umg_chapterDLC34_ep01	levelanim.leveldlc22ep01_scence_name	levelanim.leveldlc22ep01_scence_desc	levelanim.leveldlc22ep01_boss_name	levelanim.leveldlc22ep01_boss_desc	1805007
umg_chapterDLC34_ep01_a	levelanim.leveldlc22ep01_scence_name	levelanim.leveldlc22ep01_scence_desc	levelanim.leveldlc22ep01_boss_name	levelanim.leveldlc22ep01_boss_desc	1805007
umg_chapterDLC35_ep02	levelanim.leveldlc23ep01_scence_name	levelanim.leveldlc23ep01_scence_desc	levelanim.leveldlc23ep01_boss_name	levelanim.leveldlc23ep01_boss_desc	1805007
umg_chapterDLC35_ep02_a	levelanim.leveldlc23ep01_scence_name	levelanim.leveldlc23ep01_scence_desc	levelanim.leveldlc23ep01_boss_name	levelanim.leveldlc23ep01_boss_desc	1805007
umg_chapterDLC35_ep03	levelanim.leveldlc23ep01_scence_name	levelanim.leveldlc23ep01_scence_desc	levelanim.leveldlc23ep01_boss_name	levelanim.leveldlc23ep01_boss_desc	1805007
umg_chapterDLC35_ep03_a	levelanim.leveldlc23ep01_scence_name	levelanim.leveldlc23ep01_scence_desc	levelanim.leveldlc23ep01_boss_name	levelanim.leveldlc23ep01_boss_desc	1805007
umg_chapterDLC36_ep01	levelanim.leveldlc24ep01_scence_name	levelanim.leveldlc24ep01_scence_desc	levelanim.leveldlc24ep01_boss_name	levelanim.leveldlc24ep01_boss_desc	1805007
umg_chapterDLC36_ep01_a	levelanim.leveldlc24ep01_scence_name	levelanim.leveldlc24ep01_scence_desc	levelanim.leveldlc24ep01_boss_name	levelanim.leveldlc24ep01_boss_desc	1805007
umg_chapterDLC37_ep02	levelanim.leveldlc25ep01_scence_name	levelanim.leveldlc25ep01_scence_desc	levelanim.leveldlc25ep01_boss_name	levelanim.leveldlc25ep01_boss_desc	1805007
umg_chapterDLC37_ep02_a	levelanim.leveldlc25ep01_scence_name	levelanim.leveldlc25ep01_scence_desc	levelanim.leveldlc25ep01_boss_name	levelanim.leveldlc25ep01_boss_desc	1805007
