技能Id	说明	名字多语言	描述	图标	卡牌类型(1-进攻;2-防御;3-放水)	充能要求	触发概率[0-100]	能否被防御	效果类型	效果参数1	价格	解锁条件（1 账号等级 2 前置关卡）
301	随机一个敌方建筑停电，扣除当前建筑的建设积分，直到有人停留在该地块解除（若无则换一张卡）	rmol.RandCardSkillName01	rmol.RandCardSkillDesc01	4864007	2				card_random_poweroff_until_arrive			
302	随机一个敌方建筑免除过路费，直到有人停留在该地块解除（若无则换一张卡）	rmol.RandCardSkillName02	rmol.RandCardSkillDesc02	4864011	2				card_random_free_toll_until_arrive			
303	随机一个我方建筑过路费提升2倍，直到敌人停留在该地块解除（若无则换一张卡）	rmol.RandCardSkillName03	rmol.RandCardSkillDesc03	4864008	2				card_random_toll_multi_until_arrive	100		
304	随机摧毁一个敌方建筑变为空地，只会随机敌方非地标建筑（若无则换一张卡）	rmol.RandCardSkillName04	rmol.RandCardSkillDesc04	4864001	2				card_random_destroy_house			
305	立即瞬移至起点	rmol.RandCardSkillName05	rmol.RandCardSkillDesc05	4864002	1				card_moveto_start			
306	立即瞬移至商店地区	rmol.RandCardSkillName06	rmol.RandCardSkillDesc06	4864003	1				card_moveto_shop			
307	立即瞬移至全球旅行地区	rmol.RandCardSkillName07	rmol.RandCardSkillDesc07	4864004	1				card_moveto_realway			
308	立即瞬移至无人岛	rmol.RandCardSkillName08	rmol.RandCardSkillDesc08	4864005	3				card_moveto_island			
309	获得2点主动技能充能点数	rmol.RandCardSkillName09	rmol.RandCardSkillDesc09	4864006	2				card_add_charge	2		
310	自己的下一次过路费免费	rmol.RandCardSkillName10	rmol.RandCardSkillDesc10	4864011	2				card_next_toll_zero			
311	随机一个空地，获取花费资金进行建设的机会（若无则换一张卡）	rmol.RandCardSkillName11	rmol.RandCardSkillDesc11	4864009	1				card_random_empty_ground_buy			
												
												
												
	// 以下是商店卡牌技能											
401	选择1个对方地块停电，扣除当前建筑的建设积分，直到有人停留在该地块解除	rmol.StoreCardSkillName01	rmol.StoreCardSkillDesc01	4864007	2				shop_poweroff_until_arrive		0.05	
402	选择1个我方建筑过路费提升2倍，直到有人停留在该地块解除	rmol.StoreCardSkillName02	rmol.StoreCardSkillDesc02	4864008	2				shop_toll_add_until_arrive	100	0.04	
403	选择1个空地进行购买	rmol.StoreCardSkillName03	rmol.StoreCardSkillDesc03	4864009	1				shop_free_buy_house		0.06	
404	选择1个我方建筑，免费升级为地标	rmol.StoreCardSkillName04	rmol.StoreCardSkillDesc04	4864010	1				shop_free_to_landmark		0.12	
405	自己的下一次过路费免费	rmol.StoreCardSkillName05	rmol.StoreCardSkillDesc05	4864011	2				shop_next_toll_zero		0.05	
