字符串索引	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
repression_levelname_5333	速攻战线-紧急突破III		
repression_levelname_5328	闪击战线-存亡时机I		
repression_levelname_5331	闪击战线-存亡时机II		
repression_levelname_5334	闪击战线-存亡时机III		
repression_levelname_5329	强袭战线-摧坚折锐I		
repression_levelname_5332	强袭战线-摧坚折锐II		
repression_levelname_5335	强袭战线-摧坚折锐III		
			
			
repression_levelname_5300	【危险评级I】临时阵地1-1		
repression_levelname_5301	【危险评级I】临时阵地1-2		
repression_levelname_5302	【危险评级I】临时阵地2-1		
repression_levelname_5303	【危险评级I】临时阵地2-2		
repression_levelname_5304	【危险评级I】临时阵地3-1		
repression_levelname_5305	【危险评级I】临时阵地3-2		
repression_levelname_5306	【危险评级II】临时阵地1-1		
repression_levelname_5307	【危险评级II】临时阵地1-2		
repression_levelname_5308	【危险评级II】临时阵地1-3		
repression_levelname_5309	【危险评级II】临时阵地2-1		
repression_levelname_5310	【危险评级II】临时阵地2-2		
repression_levelname_5311	【危险评级II】临时阵地2-3		
repression_levelname_5312	【危险评级II】临时阵地3-1		
repression_levelname_5313	【危险评级II】临时阵地3-2		
repression_levelname_5314	【危险评级II】临时阵地3-3		
repression_levelname_5315	【危险评级III】临时阵地1-1		
repression_levelname_5316	【危险评级III】临时阵地1-2		
repression_levelname_5317	【危险评级III】临时阵地1-3		
repression_levelname_5318	【危险评级III】临时阵地1-4		
repression_levelname_5319	【危险评级III】临时阵地2-1		
repression_levelname_5320	【危险评级III】临时阵地2-2		
repression_levelname_5321	【危险评级III】临时阵地2-3		
repression_levelname_5322	【危险评级III】临时阵地2-4		
repression_levelname_5323	【危险评级III】临时阵地3-1		
repression_levelname_5324	【危险评级III】临时阵地3-2		
repression_levelname_5325	【危险评级III】临时阵地3-3		
repression_levelname_5326	【危险评级III】临时阵地3-4		
			
			
repression_levelname_5637	闪击战线-存亡时机I		
repression_levelname_5640	闪击战线-存亡时机II		
repression_levelname_5643	闪击战线-存亡时机III		
repression_levelname_5638	驻防战线-坚守阵地I		
repression_levelname_5641	驻防战线-坚守阵地II		
repression_levelname_5644	驻防战线-坚守阵地III		
repression_levelname_5639	重装战线-雷霆战意I		
repression_levelname_5642	重装战线-雷霆战意II		
repression_levelname_5645	重装战线-雷霆战意III		
			
			
repression_levelname_5610	【危险评级I】临时阵地1-1		
repression_levelname_5611	【危险评级I】临时阵地1-2		
repression_levelname_5612	【危险评级I】临时阵地2-1		
repression_levelname_5613	【危险评级I】临时阵地2-2		
repression_levelname_5614	【危险评级I】临时阵地3-1		
repression_levelname_5615	【危险评级I】临时阵地3-2		
repression_levelname_5616	【危险评级II】临时阵地1-1		
repression_levelname_5617	【危险评级II】临时阵地1-2		
repression_levelname_5618	【危险评级II】临时阵地1-3		
repression_levelname_5619	【危险评级II】临时阵地2-1		
repression_levelname_5620	【危险评级II】临时阵地2-2		
repression_levelname_5621	【危险评级II】临时阵地2-3		
repression_levelname_5622	【危险评级II】临时阵地3-1		
repression_levelname_5623	【危险评级II】临时阵地3-2		
repression_levelname_5624	【危险评级II】临时阵地3-3		
repression_levelname_5625	【危险评级III】临时阵地1-1		
repression_levelname_5626	【危险评级III】临时阵地1-2		
repression_levelname_5627	【危险评级III】临时阵地1-3		
repression_levelname_5628	【危险评级III】临时阵地1-4		
repression_levelname_5629	【危险评级III】临时阵地2-1		
repression_levelname_5630	【危险评级III】临时阵地2-2		
repression_levelname_5631	【危险评级III】临时阵地2-3		
repression_levelname_5632	【危险评级III】临时阵地2-4		
repression_levelname_5633	【危险评级III】临时阵地3-1		
repression_levelname_5634	【危险评级III】临时阵地3-2		
repression_levelname_5635	【危险评级III】临时阵地3-3		
repression_levelname_5636	【危险评级III】临时阵地3-4		
