UI名称	注释	资源路径	层级	显示优先级	类型(0、Stack 1、Child 2、Top)	界面背景音乐	Child类型打开其他Child时是否隐藏(默认1)	界面打开音效【主界面格式为 （首次音效ID|重复进入音效ID），只有一个音效默认只配一个ID】
MowFunction	异星守护养成	/Game/UI/UMG/Mow/umg_mow_function.umg_mow_function_C	0	-1	0		1	
MowGirlUnlock	异星守护妹子解锁	/Game/UI/UMG/Mow/umg_mow_girl_unlock.umg_mow_girl_unlock_C	0	-1	1		1	
MowGirlLevelup	异星守护妹子升级	/Game/UI/UMG/Mow/umg_mow_girl_levelup.umg_mow_girl_levelup_C	0	-1	1		1	
MowHardUnlock	异星守护炼狱解锁	/Game/UI/UMG/Mow/umg_mow_hard_unlock.umg_mow_hard_unlock_C	0	-1	1		1	
Invited	特别邀请打脸	/Game/UI/UMG/ActivityInvited/umg_Invited01.umg_Invited01_C	10	-1	1		1	
VoiceDownload	语音包下载界面	/Game/UI/UMG/SetUp/Widgets/uw_setup_voicedownload_pop.uw_setup_voicedownload_pop_C	0	-1	1		1	
VoiceDownloadTip	语音包下载进度界面	/Game/UI/UMG/SetUp/Widgets/uw_setup_voicedownload_back.uw_setup_voicedownload_back_C	0	-1	1		1	
WeekSign6	新七日签到	/Game/UI/UMG/Activitysign14/umg_weeksign6.umg_weeksign6_C	10	-1	1		1	
GirlRoomPhotoBox	互动相册	/Game/UI/UMG/GirlRoom/Widgets/uw_girlroom_RPSpicture_imagebox.uw_girlroom_RPSpicture_imagebox_C	10	-1	1		1	
Dlc33Main	DLC33主界面	/Game/UI/UMG/DLC33/umg_dlc33_main.umg_dlc33_main_C	0	-1	0	BGM|UI|DLC33_Theme	1	
Dlc33Mission	DLC33任务	/Game/UI/UMG/DLC33/umg_dlc33_mission.umg_dlc33_mission_C	0	-1	0		1	
Dlc33Refresh	DLC33复刷	/Game/UI/UMG/DLC33/umg_dlc33_refresh.umg_dlc33_refresh_C	0	-1	0		1	
Dlc33Shop	DLC33商店	/Game/UI/UMG/DLC33/umg_dlc33_shop.umg_dlc33_shop_C	0	-1	0		1	
Dlc33Story	DLC33主线	/Game/UI/UMG/DLC33/umg_dlc33_story.umg_dlc33_story_C	0	-1	0	BGM|UI|DLC33_Theme	1	
Dlc33StoryAward	DLC33主线奖励	/Game/UI/UMG/DLC33/umg_dlc33_award.umg_dlc33_award_C	0	-1	1		1	
OnlinePurgeMain	联合清剿主界面	/Game/UI/UMG/OnlinePurge/umg_onlinepurge_main.umg_onlinepurge_main_C	0	-1	0		1	
OnlinePurgeBuffFormation	联合清剿Buff编队界面	/Game/UI/UMG/OnlinePurge/umg_onlinepurge_buffformation.umg_onlinepurge_buffformation_C	0	-1	0		1	
OnlinePurgeShop	联合清剿商店界面	/Game/UI/UMG/OnlinePurge/umg_onlinepurge_shop.umg_onlinepurge_shop_C	0	-1	0		1	
OnlinePurgeRiki	联合清剿收藏界面	/Game/UI/UMG/OnlinePurge/umg_onlinepurge_riki.umg_onlinepurge_riki_C	0	-1	0		1	
OnlinePurgePrepare	联合清剿配备界面	/Game/UI/UMG/OnlinePurge/umg_onlinepurge_prepare.umg_onlinepurge_prepare_C	0	-1	0		1	
OnlinePurgeGainTips	联合清剿获得buffTip界面	/Game/UI/UMG/OnlinePurge/umg_onlinepurge_gain_tips.umg_onlinepurge_gain_tips_C	31	-1	1		1	
OnlinePurgeRecord	联合清剿配备界面	/Game/UI/UMG/OnlinePurge/umg_onlinepurge_record.umg_onlinepurge_record_C	0	-1	0		1	
Dlc34Main	DLC34主界面	/Game/UI/UMG/DLC34/umg_dlc34_main.umg_dlc34_main_C	0	-1	0	BGM|UI|DLC34_Theme	1	3196|3197
Dlc34Mission	DLC34任务	/Game/UI/UMG/DLC34/umg_dlc34_mission.umg_dlc34_mission_C	0	-1	0		1	
Dlc34Refresh	DLC34复刷	/Game/UI/UMG/DLC34/umg_dlc34_refresh.umg_dlc34_refresh_C	0	-1	0		1	3198
Dlc34Shop	DLC34商店	/Game/UI/UMG/DLC34/umg_dlc34_shop.umg_dlc34_shop_C	0	-1	0		1	
Dlc34Story	DLC34主线	/Game/UI/UMG/DLC34/umg_dlc34_story.umg_dlc34_story_C	0	-1	0	BGM|UI|DLC34_Theme	1	
Dlc34StoryAward	DLC34主线奖励	/Game/UI/UMG/DLC34/umg_dlc34_award.umg_dlc34_award_C	0	-1	1		1	
Dlc34LevelInfo	DLC34关卡信息	/Game/UI/UMG/Dlc34/Widgets/uw_dlc34_levelinfo.uw_dlc34_levelinfo_C	0	-1	1		0	
JigsawPuzzleTimeMission	少女入队拼图限时任务	/Game/UI/UMG/Puzzle/umg_puzzle_mission1.umg_puzzle_mission1_C	0	-1	0		1	
JigsawPuzzleFixedMission	少女入队拼图常驻任务	/Game/UI/UMG/Puzzle/umg_puzzle_mission2.umg_puzzle_mission2_C	0	-1	0		1	
JigsawPuzzlePlay	少女入队拼图	/Game/UI/UMG/Puzzle/umg_puzzle_play.umg_puzzle_play_C	0	-1	0	BGM|UI|DLC33_UI	1	
JigsawPuzzleGacha	少女入队拼图抽奖	/Game/UI/UMG/Puzzle/umg_puzzle_gacha.umg_puzzle_gacha_C	0	-1	0		1	
JigsawPuzzleChoose	少女入队拼图选择	/Game/UI/UMG/Puzzle/umg_puzzle_choose.umg_puzzle_choose_C	0	-1	0		1	
OnlineTDDutySelectFormation	绝地防线编队界面职业预选	/Game/UI/UMG/FightOnline/umg_fightonline_job_formation.umg_fightonline_job_formation_C	2	-1	1		1	
HouseArcadeMain	推币游戏主界面	/Game/UI/UMG/ArcadeGame/umg_arcade_main.umg_arcade_main_C	0	-1	0		1	
HouseArcadeTransition	推币游戏进入主界面前动画	/Game/UI/UMG/ArcadeGame/umg_arcade_Transition.umg_arcade_Transition_C	0	-1	1		0	
HouseArcadeSelected	推币游戏选择界面	/Game/UI/UMG/ArcadeGame/umg_arcade_selected.umg_arcade_selected_C	0	-1	0		1	
HouseArcadeFight	推币游戏游玩界面	/Game/UI/UMG/ArcadeGame/umg_arcade_fight.umg_arcade_fight_C	0	-1	0		1	
HouseArcadeBook	推币游戏图鉴界面	/Game/UI/UMG/ArcadeGame/umg_arcade_book.umg_arcade_book_C	0	-1	0		1	
HouseArcadeChoose	推币游戏神奇奖励界面	/Game/UI/UMG/ArcadeGame/umg_arcade_choose.umg_arcade_choose_C	0	-1	0		1	
HouseArcadeFightShop	推币游戏商店界面	/Game/UI/UMG/ArcadeGame/umg_arcade_fight_shop.umg_arcade_fight_shop_C	0	-1	0		1	
HouseArcadeShopBuy	推币游戏商店镀层确认界面	/Game/UI/UMG/ArcadeGame/umg_arcade_shopbuy.umg_arcade_shopbuy_C	2	-1	1		1	
HouseArcadeReward	推币游戏奖励界面	/Game/UI/UMG/ArcadeGame/umg_arcade_reward.umg_arcade_reward_C	0	-1	0		1	
HouseArcadeItem	推币游戏道具展示界面	/Game/UI/UMG/ArcadeGame/umg_arcade_iteminfo.umg_arcade_iteminfo_C	2	-1	1		1	
HouseArcadeData	推币游戏局内信息展示界面	/Game/UI/UMG/ArcadeGame/umg_arcade_data.umg_arcade_data_C	2	-1	1		0	
HouseArcadeFightTip	推币游戏金币侧边提示条界面	/Game/UI/UMG/ArcadeGame/Widget/uw_arcade_fighttip.uw_arcade_fighttip_C	1	-1	1		0	
HouseArcadePropTip	推币游戏金币素橙条界面	/Game/UI/UMG/ArcadeGame/Widget/uw_arcade_proptip.uw_arcade_proptip_C	30	-1	1		0	
FarmwarFormation	植物编队	/Game/UI/UMG/FarmWar/umg_farmwar_formation.umg_farmwar_formation_C	0	-1	0		1	
HouseArcadeSettlement	推币游戏奖励界面	/Game/UI/UMG/ArcadeGame/umg_arcade_settlement.umg_arcade_settlement_C	0	-1	0		1	
HouseCustomWall	宿舍自定义墙面	/Game/UI/UMG/Dorm/Widgets/CustomWall/umg_dorm_customwall.umg_dorm_customwall_C	0	-1	0		1	
Dlc35Main	DLC35主界面	/Game/UI/UMG/DLC35/umg_dlc35_main.umg_dlc35_main_C	0	-1	0	BGM|UI|DLC35_Theme	1	3201|3202
Dlc35Mission	DLC35任务	/Game/UI/UMG/DLC35/umg_dlc35_mission.umg_dlc35_mission_C	0	-1	0		1	
Dlc35Refresh	DLC35复刷	/Game/UI/UMG/DLC35/umg_dlc35_refresh.umg_dlc35_refresh_C	0	-1	0		1	3203
Dlc35Shop	DLC35商店	/Game/UI/UMG/DLC35/umg_dlc35_shop.umg_dlc35_shop_C	0	-1	0		1	
Dlc35Story	DLC35主线	/Game/UI/UMG/DLC35/umg_dlc35_story.umg_dlc35_story_C	0	-1	0	BGM|UI|DLC35_Theme	1	
Dlc35StoryAward	DLC35主线奖励	/Game/UI/UMG/DLC35/umg_dlc35_award.umg_dlc35_award_C	0	-1	1		1	
Dlc35LevelInfo	DLC35关卡信息	/Game/UI/UMG/Dlc35/Widgets/uw_dlc35_levelinfo.uw_dlc35_levelinfo_C	0	-1	1		0	
ActivityShopBuy	礼包直购推荐	/Game/UI/UMG/ActivityShopBuy/umg_activityshopbuy.umg_activityshopbuy_C	0	-1	1		1	
LimitedResBack	获得道具(带标题和正文)	/Game/UI/UMG/Common/umg_common_limitlist.umg_common_limitlist_C	31	-1	1		1	
OnlineAssaultOpsMain	进击行动主界面	/Game/UI/UMG/Assaultops/umg_assaultops.umg_assaultops_C	0	-1	0	BGM|UI|DLC35_UI02	1	
OnlineAssaultOpsShop	进击行动商店界面	/Game/UI/UMG/Assaultops/umg_assaultops_shop.umg_assaultops_shop_C	0	-1	0		1	
OnlineAssaultOpsBP	进击行动BP界面	/Game/UI/UMG/Assaultops/umg_assaultops_bp.umg_assaultops_bp_C	0	-1	0		1	
OnlineAssaultOpsGainTips	进击行动buffTip界面	/Game/UI/UMG/Assaultops/umg_assaultops_gain_tips.umg_assaultops_gain_tips_C	31	-1	1		1	
OnlineAssaultOpsSettlement	进击行动结算界面	/Game/UI/UMG/Assaultops/umg_assaultops_settlement.umg_assaultops_settlement_C	0	-1	0		1	
OnlineAssaultOpsBuff	进击行动buff界面	/Game/UI/UMG/Assaultops/umg_assaultops_buff.umg_assaultops_buff_C	0	-1	0		1	
OnlineAssaultOpsBPPop	进击行动bpPop界面	/Game/UI/UMG/Assaultops/Widgets/uw_assaultops_bp_popup.uw_assaultops_bp_popup_C	31	-1	1		1	
OnlineAssaultOpsSchemepop	进击行动推荐Pop界面	/Game/UI/UMG/Assaultops/Widgets/uw_assaultops_schemepop.uw_assaultops_schemepop_C	31	-1	1		1	
DonoDuelMap	多诺Map界面	/Game/UI/UMG/DonoDuel/Widgets/uw_donoduel_map.uw_donoduel_map_C	0	-1	0		1	
DonoDuelArenaLevel	多诺擂台界面	/Game/UI/UMG/DonoDuel/umg_donoduel_arena_level.umg_donoduel_arena_level_C	0	-1	0		1	
DonoDuelCulture	多诺养成界面	/Game/UI/UMG/DonoDuel/umg_donoduel_culture.umg_donoduel_culture_C	0	-1	0		1	
DonoDuelCultureUpdate	多诺养成提示界面	/Game/UI/UMG/DonoDuel/umg_donoduel_culture_update.umg_donoduel_culture_update_C	31	-1	1		1	
DonoDuelFormation	多诺编队配置界面	/Game/UI/UMG/DonoDuel/umg_donoduel_formation.umg_donoduel_formation_C	0	-1	0		1	
DonoDuelRiki	多诺收藏界面	/Game/UI/UMG/DonoDuel/umg_donoduel_riki.umg_donoduel_riki_C	0	-1	0		1	
DonoDuelRikiMission	多诺收藏任务界面	/Game/UI/UMG/DonoDuel/umg_donoduel_riki_mission.umg_donoduel_riki_mission_C	0	-1	0		1	
DonoDuelMainRoom	多诺主基地界面	/Game/UI/UMG/DonoDuel/umg_donoduel_room.umg_donoduel_room_C	0	-1	0	BGM|UI|DLC35_UI01	1	
DonoDuelSkillTree	多诺技能树界面	/Game/UI/UMG/DonoDuel/umg_donoduel_skilltree.umg_donoduel_skilltree_C	0	-1	0		1	
DonoDuelTask	多诺局内任务界面	/Game/UI/UMG/DonoDuel/umg_donoduel_task.umg_donoduel_task_C	0	-1	0		1	
DonoDuelCaptainSkill	多诺队长技能界面	/Game/UI/UMG/DonoDuel/Widgets/uw_donoduel_arena_main_skill.uw_donoduel_arena_main_skill_C	0	-1	0		1	
DonoDuelBag	多诺背包界面	/Game/UI/UMG/DonoDuel/umg_donoduel_bag.umg_donoduel_bag_C	0	-1	0		1	
DonoDuelSkillStudy	多诺背包技能学习界面	/Game/UI/UMG/DonoDuel/umg_donoduel_study.umg_donoduel_study_C	31	-1	1		1	
DonoDuelCollect	多诺卡牌解锁提示框	/Game/UI/UMG/DonoDuel/Widgets/uw_donoduel_arena_fight_collect.uw_donoduel_arena_fight_collect_C	31	-1	1		1	
DonoDuelUnlockTips	多诺解锁文本提示框	/Game/UI/UMG/DonoDuel/Widgets/uw_donoduel_unlock_skill_tips.uw_donoduel_unlock_skill_tips_C	31	-1	1		1	
DonoDuelMonsterPop	多诺怪物弹窗	/Game/UI/UMG/DonoDuel/Widgets/uw_donoduel_arena_fight_count.uw_donoduel_arena_fight_count_C	31	-1	1		1	
DonoDuelCardTip	多诺卡详情	/Game/UI/UMG/DonoDuel/Widgets/uw_donoduel_fight_monster_tip.uw_donoduel_fight_monster_tip_C	31	-1	1		1	
Dlc36Main	DLC36主界面	/Game/UI/UMG/DLC36/umg_dlc36_main.umg_dlc36_main_C	0	-1	0	BGM|Story|DLC36_Theme	1	3209|3210
Dlc36Mission	DLC36任务	/Game/UI/UMG/DLC36/umg_dlc36_mission.umg_dlc36_mission_C	0	-1	0	BGM|Story|DLC36_Theme	1	
Dlc36Refresh	DLC36复刷	/Game/UI/UMG/DLC36/umg_dlc36_refresh.umg_dlc36_refresh_C	0	-1	0	BGM|Story|DLC36_Theme	1	3211
Dlc36Shop	DLC36商店	/Game/UI/UMG/DLC36/umg_dlc36_shop.umg_dlc36_shop_C	0	-1	0	BGM|Story|DLC36_Theme	1	
Dlc36Story	DLC36主线	/Game/UI/UMG/DLC36/umg_dlc36_story.umg_dlc36_story_C	0	-1	0	BGM|Story|DLC36_Theme	1	
Dlc36StoryAward	DLC36主线奖励	/Game/UI/UMG/DLC36/umg_dlc36_award.umg_dlc36_award_C	0	-1	1		1	
Dlc36LevelInfo	DLC36关卡信息	/Game/UI/UMG/Dlc36/Widgets/uw_dlc36_levelinfo.uw_dlc36_levelinfo_C	0	-1	1		0	
OnlineSeaSettlement	激浪联航结算界面	/Game/UI/UMG/OnlineSea/umg_onlinesea_settlement.umg_onlinesea_settlement_C	0	-1	0		1	
OnlineSeaRecord	激浪联航战斗记录	/Game/UI/UMG/OnlineSea/umg_onlinesea_record.umg_onlinesea_record_C	0	-1	0		1	
Invited2	少女入队拼图打脸	/Game/UI/UMG/ActivityInvited/umg_Invited02.umg_Invited02_C	10	-1	1		1	
Dlc37Main	DLC37主界面	/Game/UI/UMG/DLC37/umg_dlc37_main.umg_dlc37_main_C	0	-1	0	BGM|UI|DLC37_Theme	1	3214|3215
Dlc37Mission	DLC37任务	/Game/UI/UMG/DLC37/umg_dlc37_mission.umg_dlc37_mission_C	0	-1	0	BGM|UI|DLC37_Theme	1	
Dlc37Refresh	DLC37复刷	/Game/UI/UMG/DLC37/umg_dlc37_refresh.umg_dlc37_refresh_C	0	-1	0	BGM|UI|DLC37_Theme	1	3216
Dlc37Shop	DLC37商店	/Game/UI/UMG/DLC37/umg_dlc37_shop.umg_dlc37_shop_C	0	-1	0	BGM|UI|DLC37_Theme	1	
Dlc37Story	DLC37主线	/Game/UI/UMG/DLC37/umg_dlc37_story.umg_dlc37_story_C	0	-1	0	BGM|UI|DLC37_Theme	1	
Dlc37StoryAward	DLC37主线奖励	/Game/UI/UMG/DLC37/umg_dlc37_award.umg_dlc37_award_C	0	-1	1		1	
Dlc37LevelInfo	DLC37关卡信息	/Game/UI/UMG/Dlc37/Widgets/uw_dlc37_levelinfo.uw_dlc37_levelinfo_C	0	-1	1		0	
Main2Sub	DLC37关卡信息	/Game/UI/UMG/Main/Widgets/uw_main_sub2.uw_main_sub2_C	0	-1	1		0	
ChooseScene	DLC37换肤界面	/Game/UI/UMG/Dorm/Widgets/umg_dorm_choosescene.umg_dorm_choosescene_C	0	-1	0		1	
