字符串索引	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
chessbattle1.13	面对未知真实身份的敌人，海姆达尔的队员们已经准备好战斗了。	0	A6·图2
chessbattle1.14	突然出现的泰坦给活动会场带来巨大的危机，请迅速将其驱逐，保护零区居民。	0	B4·图3
chessbattle1.15	突然出现的泰坦给活动会场带来巨大的危机，请迅速将其驱逐，保护零区居民。	0	A13·图5
chessbattle1.16	降临团成员引发的骚乱亟待解决。	0	B5·图4
chessbattle1.17	一批眼熟的无人机出现在会场上空，该开始执行安保工作了。	0	B2·图1
chessbattle1.18	面对失控的安保机器人，到了分析员出场的时刻了。	0	B1·图2
chessbattle1.19	突然出现的泰坦给活动会场带来巨大的危机，请迅速将其驱逐，保护零区居民。	0	A12·图5
chessbattle1.20	突然出现的泰坦给活动会场带来巨大的危机，请迅速将其驱逐，保护零区居民。	0	C1·图4
chessbattle1.21	突然出现的泰坦给活动会场带来巨大的危机，请迅速将其驱逐，保护零区居民。	0	C2·图5
chessbattle1.22	降临团成员引发的骚乱亟待解决。	0	B3·图3
chessbattle1.23	灯靶猎戏，以灯笼为靶，击中以燃起希望。\n是明灯新仪结束后，零区人们喜爱的小游戏。	0	D1·图6
chessbattle1.24	灯靶猎戏，以灯笼为靶，击中以燃起希望。\n是明灯新仪结束后，零区人们喜爱的小游戏。	0	D2·图6
chessbattle1.25	限定时间内击碎所有瓶子，赢取奖励。\n在零区玩游戏，需要掌握一些特殊的小技巧。	0	D3·图6
chessbattle1.26	限定时间内击碎所有瓶子，赢取奖励。\n在零区玩游戏，需要掌握一些特殊的小技巧。	0	D4·图6
chessbattle1.27	突然出现的泰坦给活动会场带来巨大的危机，请迅速将其驱逐，保护零区居民。	0	A13·图5复用
chessbattle1.28	突然出现的泰坦给活动会场带来巨大的危机，请迅速将其驱逐，保护零区居民。	0	A13·图5复用
chessbattle1.29	远处的摊贩谄媚地向你摇着手，示意你试试零区内独特的定点射击挑战。	0	D3·图2复用
chessbattle1.30	明灯新仪顺利结束，但会场内可能依旧隐藏着危机，需要分析员一一排除。	0	A10·图6复用1
chessbattle1.31	明灯新仪顺利结束，但会场内可能依旧隐藏着危机，需要分析员一一排除。	0	A10·图6复用2
chessbattle1.32	突然出现的泰坦给活动会场带来巨大的危机，请迅速将其驱逐，保护零区居民。	0	A8·图3复用
chessbattle1.33	面对未知真实身份的敌人，海姆达尔的队员们已经准备好战斗了。	0	A7·图3复用
			
richmantask1	逐浪赢家		
richmantask1.desc	累计获得派对金币10000枚		
richmantask2	密林赢家		
richmantask2.desc	累计获得派对金币10000枚		
richmantask3	溯影赢家		
richmantask3.desc	累计获得派对金币5000枚		
richmantask4	共斗领袖		
richmantask4.desc	累计获得派对金币20000枚		
richmantask5	星光闪闪		
richmantask5.desc			
richmantask6	星力满满		
richmantask6.desc			
			
richmantaskinfo1	所在队伍获得金币10000		
richmantaskinfo2	所有敌对队伍破产		
richmantaskinfo3	击败透墨索斯		
