ID	//备注	多诺卡初始名称	解锁条件（填写condition表ID）	最大星级	攻击属性初始下限	攻击属性{{品质，最大值(含)},{品质，最大值(含)},......}	防御属性初始下限	防御属性	生命属性初始下限	生命属性	5星获得buff	羁绊标签（显示用填写donoduel_herocard_bondbonus表ID）{主羁绊ID,次羁绊ID}	BuffTag标签（战斗目标选择用donoduel_buff_tag表ID）	技能栏解锁星级{栏1解锁星级,栏2解锁星级,栏3解锁星级}	初始模型	5星模型	初始头像	5星头像	文案简介	多诺卡回收标记(被标记的卡牌，无法进行回收)	限定多诺卡(被标记的多诺卡不会参与掉落，从掉落池中剔除)
10	光线融合怪_射手102	donoduel.herocard_name10		5	7800	{{1,9750},{2,14625},{3,19500},{4,24375},{5,29250},{6,39000}}	320	{{1,400},{2,500},{3,600},{4,700},{5,800},{6,1000}}	320000	{{1,400000},{2,500000},{3,600000},{4,700000},{5,800000},{6,1000000}}	1001	{3,9}	{103,109}	{2,3,4}	{504501102}	{504502102}	1804015	1804247	donoduel.herocard_name10_des		
11	螃蟹弹弓_射手301	donoduel.herocard_name11		5	7800	{{1,9750},{2,14625},{3,19500},{4,24375},{5,29250},{6,39000}}	320	{{1,400},{2,500},{3,600},{4,700},{5,800},{6,1000}}	320000	{{1,400000},{2,500000},{3,600000},{4,700000},{5,800000},{6,1000000}}	1001	{3,8}	{103,108}	{2,3,4}	{504001301}	{504002301}	1804061	1804256	donoduel.herocard_name11_des		
12	突刺终结者_射手105	donoduel.herocard_name12		5	7800	{{1,9750},{2,14625},{3,19500},{4,24375},{5,29250},{6,39000}}	320	{{1,400},{2,500},{3,600},{4,700},{5,800},{6,1000}}	320000	{{1,400000},{2,500000},{3,600000},{4,700000},{5,800000},{6,1000000}}	1001	{3,9}	{103,109}	{2,3,4}	{504001105}	{504002105}	1804018	1804249	donoduel.herocard_name12_des		
13	听不见魔导_法师212	donoduel.herocard_name13		5	6600	{{1,8250},{2,12375},{3,16500},{4,20625},{5,24750},{6,33000}}	360	{{1,450},{2,563},{3,675},{4,788},{5,900},{6,1125}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{4,7}	{104,107}	{2,3,4}	{504001212}	{504002212}	1804029	1804240	donoduel.herocard_name13_des		
14	魔术台_法师606	donoduel.herocard_name14		5	6000	{{1,7500},{2,11250},{3,15000},{4,18750},{5,22500},{6,30000}}	320	{{1,400},{2,500},{3,600},{4,700},{5,800},{6,1000}}	360000	{{1,450000},{2,562500},{3,675000},{4,787500},{5,900000},{6,1125000}}	1001	{4,6}	{104,106}	{2,3,4}	{504001606}	{504002606}	1804098	1804065	donoduel.herocard_name14_des		
15	天雷马_法师305	donoduel.herocard_name15		5	6600	{{1,8250},{2,12375},{3,16500},{4,20625},{5,24750},{6,33000}}	360	{{1,450},{2,563},{3,675},{4,788},{5,900},{6,1125}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{4,6}	{104,106}	{2,3,4}	{505001305}	{505002305}	1804090	1804258	donoduel.herocard_name15_des		
16	披风游侠_法师106	donoduel.herocard_name16		5	6600	{{1,8250},{2,12375},{3,16500},{4,20625},{5,24750},{6,33000}}	360	{{1,450},{2,563},{3,675},{4,788},{5,900},{6,1125}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{4,9}	{104,109}	{2,3,4}	{504001106}	{504002106}	1804019	1804250	donoduel.herocard_name16_des		
17	兽角融合怪_游侠214	donoduel.herocard_name17		5	6600	{{1,8250},{2,12375},{3,16500},{4,20625},{5,24750},{6,33000}}	360	{{1,450},{2,563},{3,675},{4,788},{5,900},{6,1125}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{5,7}	{105,107}	{2,3,4}	{505001214}	{505002214}	1804064	1804239	donoduel.herocard_name17_des		
18	断罪奇兵_游侠501	donoduel.herocard_name18		5	6600	{{1,8250},{2,12375},{3,16500},{4,20625},{5,24750},{6,33000}}	360	{{1,450},{2,563},{3,675},{4,788},{5,900},{6,1125}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{5,10}	{105,110}	{2,3,4}	{505001501}	{505002501}	1804081	1804263	donoduel.herocard_name18_des		
19	无懈突击兵_游侠017	donoduel.herocard_name19		5	6600	{{1,8250},{2,12375},{3,16500},{4,20625},{5,24750},{6,33000}}	360	{{1,450},{2,563},{3,675},{4,788},{5,900},{6,1125}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{5,10}	{105,110}	{2,3,4}	{504001017}	{504002017}	1804040	1804246	donoduel.herocard_name19_des		
20	夏克威弗_游侠215	donoduel.herocard_name20		5	6600	{{1,8250},{2,12375},{3,16500},{4,20625},{5,24750},{6,33000}}	360	{{1,450},{2,563},{3,675},{4,788},{5,900},{6,1125}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{5,8}	{105,108}	{2,3,4}	{504501215}	{504502215}	1804074	1804223	donoduel.herocard_name20_des		
