ID	前置CD（秒）	//备注	//备注	技能名称	技能图标	技能标签（填写donoduel_herocard_skilltag表ID）	SkillInfoId	效果描述
151	3	定向打击	对距离自身一定范围的任意1个敌方目标造成攻击力220%的高热类型伤害，目标受治疗效果降低20%，持续5秒，触发间隔5秒	donoduel.herocard_skill_151	5201003	{3,15}	3832016	donoduel.herocard_skill_151_des
152	0	重锤裂解	对敌方造成伤害时，为其施加【裂纹】效果，持续3秒。当【裂纹】叠加至4层时，对目标造成1次其生命值10%的伤害，并清空【裂纹】效果。清空后，该敌方10秒内不可被再次施加【裂纹】效果	donoduel.herocard_skill_152	5201004	{3,15}	3832017	donoduel.herocard_skill_152_des
153	0	融蚀侵袭	对敌方造成伤害时，为其施加【熔蚀】效果，当其再次受到伤害时，受到伤害提升15%，随后清空【熔蚀】效果。清空后，该敌方10秒内不可被再次施加【熔蚀】效果	donoduel.herocard_skill_153	5201005	{3,15}	3832018	donoduel.herocard_skill_153_des
161	4	广泛疗域	对自身2.5米范围内，包含自身在内至多3个我方卡牌施加【治愈】效果，回复自身攻击力100%的生命，触发间隔5秒	donoduel.herocard_skill_161	5201006	{4,16}	3832020	donoduel.herocard_skill_161_des
162	0	激昂领域	自身5米范围内的全部友方攻击力提升17.5%	donoduel.herocard_skill_162	5201020	{4,16}	3832019	donoduel.herocard_skill_162_des
163	0	锈蚀防护	对敌方造成伤害时，使目标防御力降低24%，效果持续3秒	donoduel.herocard_skill_163	5201021	{4,16}	3832021	donoduel.herocard_skill_163_des
171	3	即刻爆破	对敌方放出1个【碰碰弹】，接触敌方后引爆，对2.5米范围内的全部敌方造成自身攻击力350%的高热类型伤害，触发间隔5秒	donoduel.herocard_skill_171	5201022	{4,17}	3832022	donoduel.herocard_skill_171_des
172	0	中心强化	自身2.5米范围内每存在1个友方单位，自身伤害提升9%，伤害最多提升36%	donoduel.herocard_skill_172	5201023	{4,17}	3832023	donoduel.herocard_skill_172_des
173	0	创伤印记	对敌方造成伤害时，目标受治疗效果降低30%，效果持续3秒	donoduel.herocard_skill_173	5201024	{4,17}	3832024	donoduel.herocard_skill_173_des
181	0	间歇强击	对敌方造成1次攻击力200%的伤害，触发间隔6秒	donoduel.herocard_skill_181	5201025	{5,18}	3832027	donoduel.herocard_skill_181_des
182	0	死线宣告	当敌方生命低于10%时，对其造成伤害可将其直接击倒，触发间隔15秒	donoduel.herocard_skill_182	5201026	{5,18}	3832025	donoduel.herocard_skill_182_des
183	0	玻璃弹珠	攻击力提升60%，防御力降低24%	donoduel.herocard_skill_183	5201027	{5,18}	3832026	donoduel.herocard_skill_183_des
191	0	匿行猎杀	【战术家】类连携卡牌击倒敌方目标后，进入隐身状态，效果持续10秒，其他卡牌持续时间减半，该效果触发间隔10秒。当卡牌受到伤害或对敌方进行攻击，都会退出隐身状态	donoduel.herocard_skill_191	5201028	{5,19}	3832028	donoduel.herocard_skill_191_des
192	0	卷土重来	退出隐身状态后，首次使用技能命中敌方时，额外对其造成自身攻击力950%的伤害	donoduel.herocard_skill_192	5201029	{5,19}	3832029	donoduel.herocard_skill_192_des
193	0	跟踪追击	对生命低于50%的敌方造成的伤害提升40%	donoduel.herocard_skill_193	5201030	{5,19}	3832030	donoduel.herocard_skill_193_des
