ID	//备注	BUFF类型（1=mod、2=skill、3=非战斗）	ModifierId	SkillInfoId	非战斗buff效果	非战斗buff效果数值类型	战斗类生效目标判定（1=少女，不填=多诺卡）	效果描述
3008	解锁XX羁绊概率提升选项	3			3	{7}		donoduel.buff_skill_tree08
3009	（玩家出战的前场少女）在局内的移动速度提升[XX]%	2		3830036			1	donoduel.buff_skill_tree09
3010	（玩家出战的前场少女）造成的射击伤害提升[XX]%	2		3830039			1	donoduel.buff_skill_tree10
3011	（玩家出战的前场少女）造成的技能伤害提升[XX]%	2		3830042			1	donoduel.buff_skill_tree11
3012	解锁XX羁绊概率提升选项	3			3	{8}		donoduel.buff_skill_tree12
3013	玩家获得的代币数量提高[XX]%	3			1	{1000}		donoduel.buff_skill_tree13
3014	局内多诺卡探索出战栏+1的背包上限增加XX个	3			2	{15}		donoduel.buff_skill_tree14
3015	解锁XX羁绊概率提升选项	3			3	{9}		donoduel.buff_skill_tree15
3016	（玩家出战的前场少女）在局内的移动速度提升[XX]%	2		3830037			1	donoduel.buff_skill_tree16
3017	（玩家出战的前场少女）造成的射击伤害提升[XX]%	2		3830040			1	donoduel.buff_skill_tree17
3018	（玩家出战的前场少女）造成的技能伤害提升[XX]%	2		3830043			1	donoduel.buff_skill_tree18
3019	解锁XX羁绊概率提升选项	3			3	{10}		donoduel.buff_skill_tree19
3020	多诺卡探索出战栏+1	3			4	{1}		donoduel.buff_skill_tree20
3021	玩家获得的代币数量提高[XX]%	3			1	{1000}		donoduel.buff_skill_tree21
3022	局内多诺卡探索出战栏+1的背包上限增加XX个	3			2	{15}		donoduel.buff_skill_tree22
3023	解锁XX羁绊概率提升选项	3			3	{11}		donoduel.buff_skill_tree23
3024	（玩家出战的前场少女）在局内的移动速度提升[XX]%	2		3830038			1	donoduel.buff_skill_tree24
3025	（玩家出战的前场少女）造成的射击伤害提升[XX]%	2		3830041			1	donoduel.buff_skill_tree25
3026	（玩家出战的前场少女）造成的技能伤害提升[XX]%	2		3830044			1	donoduel.buff_skill_tree26
4001	为所有出战多诺卡探索出战栏+1恢复自身生命上限的[XX]%血量	3			5	{2000}		donoduel.buff_room_convalesce01
4002	立刻结束多诺卡探索出战栏+1的修养状态	3			6	{1}		donoduel.buff_room_convalesce02
4003	为所有少女角色恢复自身生命上限的[XX]%血量	3			7	{2000}	1	donoduel.buff_room_convalesce03
4004	随机复活XX名处于死亡状态的少女	3			8	{1}	1	donoduel.buff_room_convalesce04
4101	本局内（上阵的我方多诺卡探索出战栏+1）攻击属性提高[20]%	2		3830001				donoduel.buff_room_adventure01
4102	本局内（上阵的我方多诺卡探索出战栏+1）血量属性提高[20]%	2		3830002				donoduel.buff_room_adventure02
4103	本局内（上阵的我方多诺卡探索出战栏+1）防御属性提高[20]%	2		3830003				donoduel.buff_room_adventure03
4104	本局内（玩家出战的前场少女）攻击提升[20]%	2		3830004			1	donoduel.buff_room_adventure04
4105	本局内（玩家出战的前场少女）血量提升[20]%	2		3830005			1	donoduel.buff_room_adventure05
4106	本局内（玩家出战的前场少女）防御提升[20]%	2		3830006			1	donoduel.buff_room_adventure06
5001	局外选择，提高坦克羁绊多诺卡探索出战栏+1的能力	2		3830045				donoduel.buff_arena_level01
5002	局外选择，提高战士羁绊多诺卡探索出战栏+1的能力	2		3830046				donoduel.buff_arena_level02
5003	局外选择，提高射手羁绊多诺卡探索出战栏+1的能力	2		3830047				donoduel.buff_arena_level03
5004	局外选择，提高法师羁绊多诺卡探索出战栏+1的能力	2		3830048				donoduel.buff_arena_level04
5005	局外选择，提高游侠羁绊多诺卡探索出战栏+1的能力	2		3830049				donoduel.buff_arena_level05
5006	局外选择，抬 路线1 的技能UP	2		3830050				donoduel.buff_arena_level06
5007	局外选择，抬 路线2 的技能UP	2		3830051				donoduel.buff_arena_level07
5008	局外选择，抬 路线3 的技能UP	2		3830052				donoduel.buff_arena_level08
5009	局外选择，抬 路线4 的技能UP	2		3830053				donoduel.buff_arena_level09
5010	局外选择，抬 路线5 的技能UP	2		3830054				donoduel.buff_arena_level10
5011	局外选择，抬 路线6 的技能UP	2		3830055				donoduel.buff_arena_level11
5012	局外选择，抬 路线7 的技能UP	2		3830056				donoduel.buff_arena_level12
5013	局外选择，抬 路线8 的技能UP	2		3830057				donoduel.buff_arena_level13
5014	局外选择，抬 路线9 的技能UP	2		3830058				donoduel.buff_arena_level14
5015	局外选择，抬 路线10 的技能UP	2		3830059				donoduel.buff_arena_level15
