ID	//备注	//备注	基础形象ID（填写donoduel_herocard表ID）	外显星级	外显品质	攻击属性数值	防御属性数值	生命属性数值	技能栏1（填写donoduel_herocard_skill表ID）	技能栏2（填写donoduel_herocard_skill表ID）	技能栏3（填写donoduel_herocard_skill表ID）
12304	阶段1精英强度	射手105	12	1	2	1950	400	120000			
12401	阶段1精英强度	法师212	13	1	2	1650	450	150000			
12402	阶段1精英强度	法师606	14	1	2	1500	400	135000			
12403	阶段1精英强度	法师305	15	1	2	1650	450	150000			
12404	阶段1精英强度	法师106	16	1	2	1650	450	150000			
12501	阶段1精英强度	游侠214 改 战士103	8	1	2	1500	500	150000			
12502	阶段1精英强度	游侠501	18	1	2	1650	450	150000			
12503	阶段1精英强度	游侠017	19	1	2	1650	450	150000			
12504	阶段1精英强度	游侠215	20	1	2	1650	450	150000			
											
13101	阶段1boss强度	坦克213	1	1	3	1687	750	225000			
13102	阶段1boss强度	坦克309	2	1	3	1687	750	225000			
13103	阶段1boss强度	坦克010	3	1	3	1687	750	225000			
13104	阶段1boss强度	坦克302	4	1	3	1687	750	225000			
13201	阶段1boss强度	战士211	5	1	3	2250	625	187500			
13202	阶段1boss强度	战士310	6	1	3	2250	625	187500			
13203	阶段1boss强度	战士108	7	1	3	2250	625	187500			
13204	阶段1boss强度	战士103	8	1	3	2250	625	187500			
13301	阶段1boss强度	射手013	9	1	3	2925	500	150000			
13302	阶段1boss强度	射手102	10	1	3	2925	500	150000			
13303	阶段1boss强度	射手301	11	1	3	2925	500	150000			
13304	阶段1boss强度	射手105	12	1	3	2925	500	150000			
13401	阶段1boss强度	法师212	13	1	3	2475	563	187500			
13402	阶段1boss强度	法师606	14	1	3	2250	500	168750			
13403	阶段1boss强度	法师305	15	1	3	2475	563	187500			
13404	阶段1boss强度	法师106	16	1	3	2475	563	187500			
13501	阶段1boss强度	游侠214 改 战士103	8	1	3	2250	625	187500			
13502	阶段1boss强度	游侠501	18	1	3	2475	563	187500			
13503	阶段1boss强度	游侠017	19	1	3	2475	563	187500			
13504	阶段1boss强度	游侠215	20	1	3	2475	563	187500			
											
21101	阶段2普通强度	坦克213	1	1	2	1687	600	240000			
21102	阶段2普通强度	坦克309	2	1	2	1687	600	240000			
21103	阶段2普通强度	坦克010	3	1	2	1687	600	240000			
21104	阶段2普通强度	坦克302	4	1	2	1687	600	240000			
21201	阶段2普通强度	战士211	5	1	2	2250	500	200000			
21202	阶段2普通强度	战士310	6	1	2	2250	500	200000			
21203	阶段2普通强度	战士108	7	1	2	2250	500	200000			
21204	阶段2普通强度	战士103	8	1	2	2250	500	200000			
21301	阶段2普通强度	射手013	9	1	2	2925	400	160000			
21302	阶段2普通强度	射手102	10	1	2	2925	400	160000			
21303	阶段2普通强度	射手301	11	1	2	2925	400	160000			
21304	阶段2普通强度	射手105	12	1	2	2925	400	160000			
21401	阶段2普通强度	法师212	13	1	2	2475	450	200000			
21402	阶段2普通强度	法师606	14	1	2	2250	400	180000			
21403	阶段2普通强度	法师305	15	1	2	2475	450	200000			
21404	阶段2普通强度	法师106	16	1	2	2475	450	200000			
21501	阶段2普通强度	游侠214 改 战士103	8	1	2	2250	500	200000			
21502	阶段2普通强度	游侠501	18	1	2	2475	450	200000			
21503	阶段2普通强度	游侠017	19	1	2	2475	450	200000			
21504	阶段2普通强度	游侠215	20	1	2	2475	450	200000			
											
22101	阶段2精英强度	坦克213	1	1	3	2530	750	300000			
22102	阶段2精英强度	坦克309	2	1	3	2530	750	300000			
22103	阶段2精英强度	坦克010	3	1	3	2530	750	300000			
22104	阶段2精英强度	坦克302	4	1	3	2530	750	300000			
22201	阶段2精英强度	战士211	5	1	3	3375	625	250000			
22202	阶段2精英强度	战士310	6	1	3	3375	625	250000			
22203	阶段2精英强度	战士108	7	1	3	3375	625	250000			
22204	阶段2精英强度	战士103	8	1	3	3375	625	250000			
22301	阶段2精英强度	射手013	9	1	3	4387	500	200000			
22302	阶段2精英强度	射手102	10	1	3	4387	500	200000			
22303	阶段2精英强度	射手301	11	1	3	4387	500	200000			
22304	阶段2精英强度	射手105	12	1	3	4387	500	200000			
22401	阶段2精英强度	法师212	13	1	3	3712	563	250000			
22402	阶段2精英强度	法师606	14	1	3	3375	500	225000			
22403	阶段2精英强度	法师305	15	1	3	3712	563	250000			
22404	阶段2精英强度	法师106	16	1	3	3712	563	250000			
22501	阶段2精英强度	游侠214 改 战士103	8	1	3	3375	625	250000			
22502	阶段2精英强度	游侠501	18	1	3	3712	563	250000			
22503	阶段2精英强度	游侠017	19	1	3	3712	563	250000			
22504	阶段2精英强度	游侠215	20	1	3	3712	563	250000			
											
22601	阶段2精英强度（击杀头目-脆血版）	射手013	9	1	3	2925	500	100000			
22602	阶段2精英强度（击杀头目-脆血版）	射手301	11	1	3	2925	500	100000			
22603	阶段2精英强度（击杀头目-脆血版）	法师212	13	1	3	2475	563	125000			
22604	阶段2精英强度（击杀头目-脆血版）	法师106	16	1	3	2475	563	125000			
22605	阶段2精英强度（非头目-脆血版）	坦克010	3	1	3	1687	750	300000			
22606	阶段2精英强度（非头目-脆血版）	射手301	11	1	3	2925	500	200000			
											
23101	阶段2boss强度	坦克213	1	1	4	3375	900	360000			
23102	阶段2boss强度	坦克309	2	1	4	3375	900	360000			
23103	阶段2boss强度	坦克010	3	1	4	3375	900	360000			
23104	阶段2boss强度	坦克302	4	1	4	3375	900	360000			
23201	阶段2boss强度	战士211	5	1	4	4500	750	300000			
23202	阶段2boss强度	战士310	6	1	4	4500	750	300000			
23203	阶段2boss强度	战士108	7	1	4	4500	750	300000			
23204	阶段2boss强度	战士103	8	1	4	4500	750	300000			
23301	阶段2boss强度	射手013	9	1	4	5850	600	240000			
23302	阶段2boss强度	射手102	10	1	4	5850	600	240000			
23303	阶段2boss强度	射手301	11	1	4	5850	600	240000			
23304	阶段2boss强度	射手105	12	1	4	5850	600	240000			
23401	阶段2boss强度	法师212	13	1	4	4950	675	300000			
23402	阶段2boss强度	法师606	14	1	4	4500	600	270000			
23403	阶段2boss强度	法师305	15	1	4	4950	675	300000			
23404	阶段2boss强度	法师106	16	1	4	4950	675	300000			
23501	阶段2boss强度	游侠214 改 战士103	8	1	4	4500	750	300000			
23502	阶段2boss强度	游侠501	18	1	4	4950	675	300000			
23503	阶段2boss强度	游侠017	19	1	4	4950	675	300000			
23504	阶段2boss强度	游侠215	20	1	4	4950	675	300000			
											
31101	阶段3普通强度	坦克213	1	1	3	2530	750	300000			
31102	阶段3普通强度	坦克309	2	1	3	2530	750	300000			
31103	阶段3普通强度	坦克010	3	1	3	2530	750	300000			
31104	阶段3普通强度	坦克302	4	1	3	2530	750	300000			
31201	阶段3普通强度	战士211	5	1	3	3375	625	250000			
31202	阶段3普通强度	战士310	6	1	3	3375	625	250000			
31203	阶段3普通强度	战士108	7	1	3	3375	625	250000			
31204	阶段3普通强度	战士103	8	1	3	3375	625	250000			
31301	阶段3普通强度	射手013	9	1	3	4387	500	200000			
31302	阶段3普通强度	射手102	10	1	3	4387	500	200000			
31303	阶段3普通强度	射手301	11	1	3	4387	500	200000			
31304	阶段3普通强度	射手105	12	1	3	4387	500	200000			
31401	阶段3普通强度	法师212	13	1	3	3712	563	250000			
31402	阶段3普通强度	法师606	14	1	3	3375	500	225000			
31403	阶段3普通强度	法师305	15	1	3	3712	563	250000			
31404	阶段3普通强度	法师106	16	1	3	3712	563	250000			
31501	阶段3普通强度	游侠214 改 战士103	8	1	3	3375	625	250000			
31502	阶段3普通强度	游侠501	18	1	3	3712	563	250000			
31503	阶段3普通强度	游侠017	19	1	3	3712	563	250000			
31504	阶段3普通强度	游侠215	20	1	3	3712	563	250000			
											
32101	阶段3精英强度	坦克213	1	1	4	3375	900	360000			
32102	阶段3精英强度	坦克309	2	1	4	3375	900	360000			
32103	阶段3精英强度	坦克010	3	1	4	3375	900	360000			
32104	阶段3精英强度	坦克302	4	1	4	3375	900	360000			
32201	阶段3精英强度	战士211	5	1	4	4500	750	300000			
32202	阶段3精英强度	战士310	6	1	4	4500	750	300000			
32203	阶段3精英强度	战士108	7	1	4	4500	750	300000			
32204	阶段3精英强度	战士103	8	1	4	4500	750	300000			
32301	阶段3精英强度	射手013	9	1	4	5850	600	240000			
32302	阶段3精英强度	射手102	10	1	4	5850	600	240000			
32303	阶段3精英强度	射手301	11	1	4	5850	600	240000			
32304	阶段3精英强度	射手105	12	1	4	5850	600	240000			
32401	阶段3精英强度	法师212	13	1	4	4950	675	300000			
32402	阶段3精英强度	法师606	14	1	4	4500	600	270000			
32403	阶段3精英强度	法师305	15	1	4	4950	675	300000			
32404	阶段3精英强度	法师106	16	1	4	4950	675	300000			
32501	阶段3精英强度	游侠214 改 战士103	8	1	4	4500	750	300000			
32502	阶段3精英强度	游侠501	18	1	4	4950	675	300000			
32503	阶段3精英强度	游侠017	19	1	4	4950	675	300000			
32504	阶段3精英强度	游侠215	20	1	4	4950	675	300000			
											
32601	阶段3精英强度（击杀头目-脆血版）	射手013	9	1	4	3900	600	60000			
32602	阶段3精英强度（击杀头目-脆血版）	射手301	11	1	4	3900	600	60000			
32603	阶段3精英强度（击杀头目-脆血版）	法师212	13	1	4	3300	675	75000			
32604	阶段3精英强度（击杀头目-脆血版）	法师106	16	1	4	3300	675	75000			
32605	阶段3精英强度（非头目-脆血版）	坦克010	3	1	4	2250	900	360000			
32606	阶段3精英强度（非头目-脆血版）	射手301	11	1	4	3900	600	240000			
											
33101	阶段3boss强度	坦克213	1	1	5	4218	1050	420000			
33102	阶段3boss强度	坦克309	2	1	5	4218	1050	420000			
33103	阶段3boss强度	坦克010	3	1	5	4218	1050	420000			
33104	阶段3boss强度	坦克302	4	1	5	4218	1050	420000			
33201	阶段3boss强度	战士211	5	1	5	5625	875	350000			
33202	阶段3boss强度	战士310	6	1	5	5625	875	350000			
33203	阶段3boss强度	战士108	7	1	5	5625	875	350000			
33204	阶段3boss强度	战士103	8	1	5	5625	875	350000			
33301	阶段3boss强度	射手013	9	1	5	7312	700	280000			
33302	阶段3boss强度	射手102	10	1	5	7312	700	280000			
33303	阶段3boss强度	射手301	11	1	5	7312	700	280000			
33304	阶段3boss强度	射手105	12	1	5	7312	700	280000			
33401	阶段3boss强度	法师212	13	1	5	6187	788	350000			
33402	阶段3boss强度	法师606	14	1	5	5625	700	315000			
33403	阶段3boss强度	法师305	15	1	5	6187	788	350000			
33404	阶段3boss强度	法师106	16	1	5	6187	788	350000			
33501	阶段3boss强度	游侠214 改 战士103	8	1	5	5625	875	350000			
33502	阶段3boss强度	游侠501	18	1	5	6187	788	350000			
33503	阶段3boss强度	游侠017	19	1	5	6187	788	350000			
33504	阶段3boss强度	游侠215	20	1	5	6187	788	350000			
											
33601	阶段3boss强度（击杀头目-厚血版）	坦克213	1	1	5	4218	1050	630000			
33602	阶段3boss强度（击杀头目-厚血版）	坦克302	4	1	5	4218	1050	630000			
											
41101	阶段4普通强度	坦克213	1	1	4	3375	900	360000			
41102	阶段4普通强度	坦克309	2	1	4	3375	900	360000			
41103	阶段4普通强度	坦克010	3	1	4	3375	900	360000			
41104	阶段4普通强度	坦克302	4	1	4	3375	900	360000			
41201	阶段4普通强度	战士211	5	1	4	4500	750	300000			
41202	阶段4普通强度	战士310	6	1	4	4500	750	300000			
41203	阶段4普通强度	战士108	7	1	4	4500	750	300000			
41204	阶段4普通强度	战士103	8	1	4	4500	750	300000			
41301	阶段4普通强度	射手013	9	1	4	5850	600	240000			
41302	阶段4普通强度	射手102	10	1	4	5850	600	240000			
41303	阶段4普通强度	射手301	11	1	4	5850	600	240000			
41304	阶段4普通强度	射手105	12	1	4	5850	600	240000			
41401	阶段4普通强度	法师212	13	1	4	4950	675	300000			
41402	阶段4普通强度	法师606	14	1	4	4500	600	270000			
41403	阶段4普通强度	法师305	15	1	4	4950	675	300000			
41404	阶段4普通强度	法师106	16	1	4	4950	675	300000			
41501	阶段4普通强度	游侠214 改 战士103	8	1	4	4500	750	300000			
41502	阶段4普通强度	游侠501	18	1	4	4950	675	300000			
41503	阶段4普通强度	游侠017	19	1	4	4950	675	300000			
41504	阶段4普通强度	游侠215	20	1	4	4950	675	300000			
											
42101	阶段4精英强度	坦克213	1	1	5	4218	1050	420000			
42102	阶段4精英强度	坦克309	2	1	5	4218	1050	420000			
42103	阶段4精英强度	坦克010	3	1	5	4218	1050	420000			
42104	阶段4精英强度	坦克302	4	1	5	4218	1050	420000			
42201	阶段4精英强度	战士211	5	1	5	5625	875	350000			
42202	阶段4精英强度	战士310	6	1	5	5625	875	350000			
42203	阶段4精英强度	战士108	7	1	5	5625	875	350000			
42204	阶段4精英强度	战士103	8	1	5	5625	875	350000			
42301	阶段4精英强度	射手013	9	1	5	7312	700	280000			
42302	阶段4精英强度	射手102	10	1	5	7312	700	280000			
42303	阶段4精英强度	射手301	11	1	5	7312	700	280000			
42304	阶段4精英强度	射手105	12	1	5	7312	700	280000			
42401	阶段4精英强度	法师212	13	1	5	6187	788	350000			
42402	阶段4精英强度	法师606	14	1	5	5625	700	315000			
42403	阶段4精英强度	法师305	15	1	5	6187	788	350000			
42404	阶段4精英强度	法师106	16	1	5	6187	788	350000			
42501	阶段4精英强度	游侠214 改 战士103	8	1	5	5625	875	350000			
42502	阶段4精英强度	游侠501	18	1	5	6187	788	350000			
42503	阶段4精英强度	游侠017	19	1	5	6187	788	350000			
42504	阶段4精英强度	游侠215	20	1	5	6187	788	350000			
											
42601	阶段4精英强度（击杀头目-脆血版）	射手013	9	1	5	4875	700	56000			
42602	阶段4精英强度（击杀头目-脆血版）	射手301	11	1	5	4875	700	56000			
42603	阶段4精英强度（击杀头目-脆血版）	法师212	13	1	5	4125	788	70000			
42604	阶段4精英强度（击杀头目-脆血版）	法师106	16	1	5	4125	788	70000			
42605	阶段4普通强度（非头目-脆血版）	坦克010	3	1	4	2812	1050	420000			
42606	阶段4普通强度（非头目-脆血版）	射手301	11	1	4	4875	700	280000			
											
43101	阶段4boss强度	坦克213	1	1	6	4218	1200	480000			
43102	阶段4boss强度	坦克309	2	1	6	4218	1200	480000			
43103	阶段4boss强度	坦克010	3	1	6	4218	1200	480000			
43104	阶段4boss强度	坦克302	4	1	6	4218	1200	480000			
43201	阶段4boss强度	战士211	5	1	6	5625	1000	400000			
43202	阶段4boss强度	战士310	6	1	6	5625	1000	400000			
43203	阶段4boss强度	战士108	7	1	6	5625	1000	400000			
43204	阶段4boss强度	战士103	8	1	6	5625	1000	400000			
43301	阶段4boss强度	射手013	9	1	6	7312	800	320000			
43302	阶段4boss强度	射手102	10	1	6	7312	800	320000			
43303	阶段4boss强度	射手301	11	1	6	7312	800	320000			
43304	阶段4boss强度	射手105	12	1	6	7312	800	320000			
43401	阶段4boss强度	法师212	13	1	6	6187	900	400000			
43402	阶段4boss强度	法师606	14	1	6	5625	800	360000			
43403	阶段4boss强度	法师305	15	1	6	6187	900	400000			
43404	阶段4boss强度	法师106	16	1	6	6187	900	400000			
43501	阶段4boss强度	游侠214 改 战士103	8	1	6	5625	1000	400000			
43502	阶段4boss强度	游侠501	18	1	6	6187	900	400000			
43503	阶段4boss强度	游侠017	19	1	6	6187	900	400000			
43504	阶段4boss强度	游侠215	20	1	6	6187	900	400000			
											
43601	阶段4boss强度（击杀头目-厚血版）	坦克213	1	1	6	5062	1200	720000			
43602	阶段4boss强度（击杀头目-厚血版）	坦克302	4	1	6	5062	1200	720000			
											
											
51101	擂台-剧情-正式关1	射手013	9	1	1	1560	320	128000			
51102	擂台-剧情-正式关1	射手013	9	1	1	1560	320	128000			
51103	擂台-剧情-正式关1	射手013	9	1	1	1560	320	128000			
51104	擂台-剧情-正式关1	战士211	5	1	1	1200	400	160000			
51105	擂台-剧情-正式关1	战士211	5	1	1	1200	400	160000			
											
51201	擂台-剧情-正式关2	法师212	13	1	1	4125	450	300000			
51202	擂台-剧情-正式关2	法师212	13	2	1	6187	563	375000	162		
51203	擂台-剧情-正式关2	法师606	14	2	1	5625	500	337500	162		
51204	擂台-剧情-正式关2	法师606	14	1	1	3750	400	270000			
51205	擂台-剧情-正式关2	坦克213	1	1	1	2812	600	360000			
											
51301	擂台-剧情-正式关3	射手013	9	2	2	7312	500	300000	141		
51302	擂台-剧情-正式关3	射手301	11	2	1	7312	500	300000	141		
51303	擂台-剧情-正式关3	法师212	13	2	2	6187	563	375000	162		
51304	擂台-剧情-正式关3	法师305	15	2	1	6187	563	375000	162		
51305	擂台-剧情-正式关3	法师106	16	2	2	6187	563	375000	162		
											
51401	擂台-剧情-正式关4	坦克010	3	2	2	5484	750	525000	102		
51402	擂台-剧情-正式关4	射手105	12	2	2	9750	600	360000	141		
51403	擂台-剧情-正式关4	战士108	7	2	2	7312	625	437500	132		
51404	擂台-剧情-正式关4	战士108	7	2	2	7500	750	450000	132		
51405	擂台-剧情-正式关4	战士103	8	2	2	7312	625	437500	132		
											
51501	擂台-剧情-正式关5	坦克302	4	2	2	6750	900	630000	102		
51502	擂台-剧情-正式关5	游侠214	17	2	3	9900	675	525000	183		
51503	擂台-剧情-正式关5	游侠214	17	2	2	9900	675	525000	183		
51504	擂台-剧情-正式关5	法师305	15	2	3	9900	675	525000	162		
51505	擂台-剧情-正式关5	坦克302	4	2	2	6750	900	630000	102		
											
51601	擂台-剧情-正式关6	坦克213	1	2	3	7312	900	720000	102		
51602	擂台-剧情-正式关6	游侠501	18	3	3	12375	788	612500	183	193	
51603	擂台-剧情-正式关6	战士103	8	2	3	9750	750	600000	132		
51604	擂台-剧情-正式关6	法师106	16	3	3	12375	788	612500	162	193	
51605	擂台-剧情-正式关6	射手013	9	2	3	12675	600	480000	141		
											
51701	擂台-剧情-正式关7	游侠017	19	3	3	14437	788	700000	183	193	
51702	擂台-剧情-正式关7	游侠215	20	3	4	14437	788	700000	183	193	
51703	擂台-剧情-正式关7	战士310	6	3	3	13125	875	700000	132	121	
51704	擂台-剧情-正式关7	坦克309	2	3	4	9844	1050	840000	102	101	
51705	擂台-剧情-正式关7	射手105	12	3	3	17062	700	560000	141	142	
											
51801	擂台-剧情-正式关8	射手102	10	4	4	20475	800	880000	183	193	151
51802	擂台-剧情-正式关8	射手301	11	3	4	19500	700	770000	183	193	
51803	擂台-剧情-正式关8	游侠017	19	3	4	16500	788	962500	183	193	
51804	擂台-剧情-正式关8	战士310	6	4	4	15750	1000	1100000	132	121	122
51805	擂台-剧情-正式关8	坦克010	3	4	4	11812	1200	1320000	102	101	103
											
52101	擂台-挑战-挑战关1	游侠501	18	3	5	28875	788	1312500	181	182	
52102	擂台-挑战-挑战关1	射手301	11	3	5	34125	700	1050000	141	151	
52103	擂台-挑战-挑战关1	坦克010	3	3	5	19688	1050	1575000	111	112	
52104	擂台-挑战-挑战关1	坦克309	2	4	5	23625	1200	1800000	101	102	103
52105	擂台-挑战-挑战关1	射手102	10	4	5	40950	800	1200000	141	151	143
											
52201	擂台-挑战-挑战关2	游侠215	20	3	5	33000	788	1312500	181	182	
52202	擂台-挑战-挑战关2	射手105	12	4	6	40950	800	1200000	141	151	143
52203	擂台-挑战-挑战关2	法师305	15	3	5	33000	788	1312500	161	162	
52204	擂台-挑战-挑战关2	法师106	16	4	6	34650	900	1500000	161	162	163
52205	擂台-挑战-挑战关2	游侠215	20	4	6	34650	900	1500000	191	192	123
											
52301	擂台-挑战-挑战关3	游侠501	18	3	5	37125	788	1575000	183	193	
52302	擂台-挑战-挑战关3	坦克309	2	4	6	27000	1200	2160000	111	112	113
52303	擂台-挑战-挑战关3	坦克302	4	5	6	27000	1200	2160000	101	102	103
52304	擂台-挑战-挑战关3	法师305	15	5	6	39600	900	1800000	163	171	173
52305	擂台-挑战-挑战关3	法师606	14	5	6	36000	800	1620000	163	171	162
											
52401	擂台-挑战-挑战关4	游侠017	19	4	6	54450	900	3000000	191	192	113
52402	擂台-挑战-挑战关4	战士211	5	4	6	49500	1000	3000000	181	132	122
52403	擂台-挑战-挑战关4	战士310	6	5	6	49500	1000	3000000	181	132	122
52404	擂台-挑战-挑战关4	战士103	8	5	6	49500	1000	3000000	181	132	122
52405	擂台-挑战-挑战关4	法师606	14	5	6	49500	800	2700000	163	171	162
											
52501	擂台-挑战-挑战关5	射手013	9	5	6	58500	800	1600000	163	141	151
52502	擂台-挑战-挑战关5	游侠214	17	5	6	49500	900	2000000	191	192	113
52503	擂台-挑战-挑战关5	法师212	13	5	6	49500	900	2000000	163	171	162
52504	擂台-挑战-挑战关5	战士108	7	5	6	45000	1000	2000000	181	132	122
52505	擂台-挑战-挑战关5	坦克302	4	5	6	33750	1200	2400000	101	102	103
											
530101	擂台-无尽-第1波	战士211	5	3	3	18750	875	962500	121	133	
530102	擂台-无尽-第1波	战士310	6	3	3	18750	875	962500	122	133	
530103	擂台-无尽-第1波	战士108	7	3	3	18750	875	962500	123	133	
530104	擂台-无尽-第1波	战士103	8	3	3	18750	875	962500	131	133	
530105	擂台-无尽-第1波	战士211	5	3	3	18750	875	962500	132	133	
											
530201	擂台-无尽-第2波	坦克213	1	3	3	14063	1050	1260000	101	113	
530202	擂台-无尽-第2波	坦克309	2	3	3	14063	1050	1260000	102	113	
530203	擂台-无尽-第2波	坦克010	3	3	3	14063	1050	1260000	103	113	
530204	擂台-无尽-第2波	坦克302	4	3	3	14063	1050	1260000	111	113	
530205	擂台-无尽-第2波	坦克309	2	3	3	14063	1050	1260000	112	113	
											
530301	擂台-无尽-第3波	射手013	9	3	4	24375	700	910000	141	153	
530302	擂台-无尽-第3波	射手102	10	3	4	24375	700	910000	142	153	
530303	擂台-无尽-第3波	射手301	11	3	4	24375	700	910000	143	153	
530304	擂台-无尽-第3波	射手105	12	3	4	24375	700	910000	151	153	
530305	擂台-无尽-第3波	射手301	11	3	4	24375	700	910000	152	153	
											
530401	擂台-无尽-第4波	法师212	13	3	4	24750	788	1312500	161	173	
530402	擂台-无尽-第4波	法师606	14	3	4	22500	700	1181250	162	173	
530403	擂台-无尽-第4波	法师305	15	3	4	24750	788	1312500	163	173	
530404	擂台-无尽-第4波	法师106	16	3	4	24750	788	1312500	172	173	
530405	擂台-无尽-第4波	法师212	13	3	4	24750	788	1312500	173	173	
											
530501	擂台-无尽-第5波	游侠214	17	3	5	28875	788	1487500	183	182	
530502	擂台-无尽-第5波	游侠501	18	3	5	22687	788	1487500	183	181	
530503	擂台-无尽-第5波	游侠017	19	3	5	22687	788	1487500	183	191	
530504	擂台-无尽-第5波	游侠215	20	3	5	22687	788	1487500	183	193	
530505	擂台-无尽-第5波	游侠214	17	3	5	22687	788	1487500	183	191	
											
530601	擂台-无尽-第6波	战士211	5	4	5	24750	1000	1900000	132	122	121
530602	擂台-无尽-第6波	战士310	6	4	5	24750	1000	1900000	132	123	121
530603	擂台-无尽-第6波	战士108	7	4	5	24750	1000	1900000	122	123	121
530604	擂台-无尽-第6波	游侠017	19	4	5	27225	900	1900000	191	192	193
530605	擂台-无尽-第6波	游侠215	20	4	5	34650	900	1900000	191	192	193
											
530701	擂台-无尽-第7波	坦克302	4	4	6	20250	1200	2520000	101	102	112
530702	擂台-无尽-第7波	坦克010	3	4	6	20250	1200	2520000	111	112	133
530703	擂台-无尽-第7波	游侠017	19	4	6	29700	900	2100000	181	182	113
530704	擂台-无尽-第7波	游侠215	20	4	6	32175	900	2100000	191	192	113
530705	擂台-无尽-第7波	游侠501	18	4	6	29700	900	2100000	191	182	113
											
530801	擂台-无尽-第8波	坦克010	3	4	6	20250	1200	2640000	101	111	112
530802	擂台-无尽-第8波	法师606	14	4	6	27000	800	1980000	163	171	162
530803	擂台-无尽-第8波	法师305	15	4	6	29700	900	2200000	163	171	121
530804	擂台-无尽-第8波	法师106	16	5	6	32175	900	2200000	163	171	133
530805	擂台-无尽-第8波	游侠501	18	5	6	29700	900	2200000	191	182	113
											
530901	擂台-无尽-第9波	坦克309	2	5	6	20250	1200	2760000	101	102	103
530902	擂台-无尽-第9波	坦克309	2	5	6	20250	1200	2760000	101	102	103
530903	擂台-无尽-第9波	游侠214	17	5	6	37125	900	2300000	191	192	113
530904	擂台-无尽-第9波	战士103	8	5	6	27000	1000	2300000	181	132	122
530905	擂台-无尽-第9波	战士103	8	5	6	27000	1000	2300000	181	132	122
											
531001	擂台-无尽-第10波	坦克309	2	5	6	20250	1200	2880000	101	102	103
531002	擂台-无尽-第10波	坦克309	2	5	6	20250	1200	2880000	101	111	112
531003	擂台-无尽-第10波	战士103	8	5	6	27000	1000	2400000	133	122	121
531004	擂台-无尽-第10波	射手105	12	5	6	43875	800	1920000	163	141	151
531005	擂台-无尽-第10波	法师106	16	5	6	29700	900	2400000	163	171	162
