BufferID	描述备注	类型备注	强度备注	价格	第1波概率	第2波概率	第3波概率	第4波概率	第5波概率	第6波概率	第7波概率	第8波概率	第9波概率	第10波概率	第11波概率	第12波概率
4054	特殊加分1	特殊祖玛积分加成100	2	0	100	100	100	0	0	0	0	0	0	0	0	0
4055	特殊加分2	特殊祖玛积分加成200	3	0	0	50	50	0	100	50	0	0	0	0	0	0
4056	特殊加分3	特殊祖玛积分加成400	4	0	0	0	0	0	100	100	0	0	0	0	0	0
4057	简单消除	消除时同色祖玛需要数量-1	4	0	0	0	0	100	0	0	0	0	0	0	0	0
4058	复杂消除	消除时同色祖玛需要数量+1，积分*2	4	0	0	0	0	100	0	0	0	0	0	0	0	0
4059	意外奖励	完成连续消除时，会生成一个特殊祖玛，并且特殊祖玛的分数+100	4	0	0	0	0	100	0	0	0	0	0	0	0	0
4060	红色万能	使红色祖玛视为其他所有颜色	4	0	0	0	0	100	0	0	0	0	0	0	0	0
4061	蓝色万能	使蓝色祖玛视为其他所有颜色	4	0	0	0	0	100	0	0	0	0	0	0	0	0
4062	绿色万能	使绿色祖玛视为其他所有颜色	4	0	0	0	0	100	0	0	0	0	0	0	0	0
4063	黄色万能	使黄色祖玛视为其他所有颜色	4	0	0	0	0	100	0	0	0	0	0	0	0	0
4064	红黄	黄色祖玛与黄色祖玛视为同一种颜色	4	0	0	0	0	100	0	0	0	0	0	0	10	0
4065	蓝绿	蓝色祖玛与绿色祖玛视为同一种颜色	4	0	0	0	0	100	0	0	0	0	0	0	10	0
																
4110	特殊加分1	特殊祖玛积分得分+100	3	0	0	0	0	0	0	0	0	100	0	0	0	0
4101	爆炸祖玛消除数量+1		3	0	0	0	0	0	0	0	0	100	0	0	0	0
4102	双倍祖玛持续时间+2		3	0	0	0	0	0	0	0	0	100	0	0	0	0
4103	连击补充子弹		3	0	0	0	0	0	0	0	100	0	0	0	0	0
4104	连击提高射速		3	0	0	0	0	0	0	0	100	0	0	0	0	0
4105	连击提高下一发子弹伤害		3	0	0	0	0	0	0	0	100	0	0	0	0	0
4106	连击后根据消除数量补充子弹		3	0	0	0	0	0	0	0	0	0	100	0	0	0
4107	连击后根据消除数量提高射速		3	0	0	0	0	0	0	0	0	0	100	0	0	0
4108	连击后根据消除数量提高一段时间攻击力		3	0	0	0	0	0	0	0	0	0	100	0	0	0
4109	三消加分1	完成连续三消时，积分增加300	3	0	0	0	0	0	0	0	0	0	0	100	0	0
4111	简单消除	消除时同色祖玛需要数量-1	3	0	0	0	0	0	0	0	0	0	0	100	0	0
4112	复杂消除	消除时同色祖玛需要数量+1，积分*2	3	0	0	0	0	0	0	0	0	0	0	100	0	0
4100	意外奖励	完成连续消除时，会生成一个特殊祖玛，并且特殊祖玛的分数+100	4	0	0	0	0	0	0	0	0	0	0	0	999	0
																
5000	所有祖玛基础分+20	所有祖玛的基础得分+10	3	0	0	0	0	0	0	0	0	100	0	0	0	0
5001	意外奖励	完成连续消除时，会生成一个特殊祖玛	3	0	0	0	0	0	0	0	0	100	0	0	0	0
5002	所有祖玛基础分+20	所有祖玛的基础得分+10	3	0	0	0	0	0	0	0	0	100	0	0	0	0
5003	红黄	黄色祖玛与黄色祖玛视为同一种颜色	3	0	0	0	0	0	0	0	100	0	0	0	0	0
5004	红色万能	使红色祖玛视为其他所有颜色	3	0	0	0	0	0	0	0	100	0	0	0	0	0
5005	三消加分1	完成连续三消时，积分增加100	3	0	0	0	0	0	0	0	100	0	0	0	0	0
5006	爆炸祖玛消除数量+1	爆炸祖玛消除数量+1	3	0	0	0	0	0	0	0	0	0	100	0	0	0
5007	三消加分1	完成连续三消时，积分增加100	3	0	0	0	0	0	0	0	0	0	100	0	0	0
5008	复杂消除	消除时同色祖玛需要数量+1，积分*2	3	0	0	0	0	0	0	0	0	0	100	0	0	0
5009	简单消除	消除时同色祖玛需要数量-1	3	0	0	0	0	0	0	0	0	0	0	100	0	0
5010	特殊加分1	特殊祖玛积分得分+100	3	0	0	0	0	0	0	0	0	0	0	100	0	0
5011	双倍祖玛持续时间+2	双倍祖玛持续时间+2	3	0	0	0	0	0	0	0	0	0	0	100	0	0
5012	特殊加分1	特殊祖玛积分得分+100	4	0	0	0	0	0	0	0	0	0	0	0	999	0
5013	蓝绿	蓝色祖玛与绿色祖玛视为同一种颜色	3	0	0	0	0	0	0	0	0	100	0	0	0	0
5014	蓝色万能	使蓝色祖玛视为其他所有颜色	3	0	0	0	0	0	0	0	0	100	0	0	0	0
5030		每次获得的机枪子弹增加10%	3	0	0	0	0	0	0	0	100	0	0	0	0	0
5031		祖玛连击时，有10%概率补充10颗子弹（可受到BUFF加成）	3	0	0	0	0	0	0	0	100	0	0	0	0	0
5032		每次获得的机枪子弹增加15%	3	0	0	0	0	0	0	0	100	0	0	0	0	0
5034		机枪杀死祖玛时有15%概率生成特殊祖玛	3	0	0	0	0	0	0	0	0	0	100	0	0	0
5036		为场景中添加电网，经过的祖玛每秒造成X%伤害	3	0	0	0	0	0	0	0	0	0	100	0	0	0
5039		机枪杀死祖玛时有15%概率触发爆炸，对左右1个祖玛造成类爆炸祖玛的作用	3	0	0	0	0	0	0	0	0	0	100	0	0	0
5044		机枪杀死祖玛时有20%概率补充10颗子弹（可受到BUFF加成）	3	0	0	0	0	0	0	0	0	0	0	100	0	0
5016		连击后根据消除数量补充子弹（复用）	4	0	0	0	0	0	0	0	0	0	0	0	999	0
5021		连击后根据消除数量提高一段时间攻击力（复用）	3	0	0	0	0	0	0	0	0	0	100	0	0	0
5026		连击后根据消除数量提高射速（复用）	4	0	0	0	0	0	0	0	0	0	100	0	0	0
