BufferID	描述备注	类型备注	强度备注	价格	第1波概率	第2波概率	第3波概率	第4波概率	第5波概率	第6波概率	第7波概率	第8波概率	第9波概率	第10波概率	第11波概率	第12波概率
4566	伤害·追击	常规技的技能急速增加{1}，队员使用常规技后{2}秒内通过射击命中目标，则自身获得1层持续{3}秒【评优】效果：自身所有伤害提升{4}%，最多叠加至{5}层	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4567	援助·追袭	队员获得芙提雅科技支援，射击命中时有{1}%概率激活【余怒流火】，对目标周围至多{2}个目标造成队员攻击力{3}%的高热类型伤害	1	0	0	0	0	0	0	0	0	0	0	0	0	0
																
5015	RandomBuff_5015		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5017	RandomBuff_5017		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5018	RandomBuff_5018		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5019	RandomBuff_5019		1	0	100	100	100	100	100	100	100	100	100	100	100	100
5020	RandomBuff_5020		1	0	100	100	100	100	100	100	100	100	100	100	100	100
5022	RandomBuff_5022		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5023	RandomBuff_5023		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5024	RandomBuff_5024		1	0	100	100	100	100	100	100	100	100	100	100	100	100
5025	RandomBuff_5025		1	0	100	100	100	100	100	100	100	100	100	100	100	100
5027	RandomBuff_5027		1	0	100	100	100	100	100	100	100	100	100	100	100	100
5028	RandomBuff_5028		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5029	RandomBuff_5029		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5033	RandomBuff_5033		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5035	RandomBuff_5035		1	0	100	100	100	100	100	100	100	100	100	100	100	100
5037	RandomBuff_5037		1	0	100	100	100	100	100	100	100	100	100	100	100	100
5038	RandomBuff_5038		1	0	100	100	100	100	100	100	100	100	100	100	100	100
5040	RandomBuff_5040		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5041	RandomBuff_5041		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5042	RandomBuff_5042		1	0	0	0	0	0	0	0	0	0	0	0	0	0
5043	RandomBuff_5043		1	0	100	100	100	100	100	100	100	100	100	100	100	100
