所属区域	Id(程序自动生成)	点名	位置	旋转	类型	对应的配置Id	自定义参数	所属设计区域
	5	int02_301_5	{30284.03,-19757.97,-19.62}	{0.0,0.0,50.0}	1	301		2
	4	int02_302_1	{20995.81,819.64,295.44}	{0.0,0.0,45.0}	1	302		2
	91	int02_302_2	{8474.71,-9040.59,2571.35}	{0.0,0.0,0.0}	1	302		2
	92	int02_302_3	{25324.34,-19589.52,1118.35}	{0.0,0.0,0.0}	1	302		2
	93	int02_305_1	{27025.54,-10770.88,-62.72}	{0.0,0.0,0.0}	1	305	{-691,0,6,8}	2
	53	int02_306_1	{20102.92,-421.55,135.73}	{0.0,0.0,0.0}	1	306		2
	195	int02_308_1	{24123.03,-11275.58,50.0}	{0.0,0.0,-65.0}	1	308		2
	94	int02_310_1	{6245.02,-8343.59,1092.53}	{3.61,19.68,-79.37}	1	310		2
	8	int02_312_1	{10461.16,-6519.98,1061.76}	{0.0,0.0,-90.0}	1	312		2
	11	int02_312_2	{21157.1,-12070.54,207.54}	{0.0,0.0,-65.0}	1	312		2
	14	int02_316_1	{21199.27,586.52,2884.84}	{0.0,0.0,10.0}	1	316		2
	62	int02_316_2	{22809.43,-698.32,556.7}	{0.0,0.0,10.0}	1	316		2
	364	int02_316_3	{21683.63,-3961.92,664.75}	{0.0,0.0,10.0}	1	316		2
	365	int02_316_4	{17102.99,-2164.24,1232.07}	{0.0,0.0,10.0}	1	316		2
	366	int02_316_5	{6905.55,-6296.64,1780.85}	{0.0,0.0,10.0}	1	316		2
	367	int02_316_6	{24105.34,-18280.12,678.21}	{0.0,0.0,10.0}	1	316		2
	368	int02_316_7	{24551.78,-16043.02,503.7}	{0.0,0.0,10.0}	1	316		2
	369	int02_316_8	{28056.31,-18497.39,544.11}	{0.0,0.0,10.0}	1	316		2
	370	int02_316_9	{27412.02,-21588.44,856.82}	{0.0,0.0,10.0}	1	316		2
	44	int02_320_1	{22225.26,1209.16,2334.37}	{0.0,0.0,-10.0}	1	320	{21}	2
	269	int02_320_2	{27265.36,-23730.12,135.73}	{0.0,0.0,70.0}	1	320	{22}	2



Int03	6	int03_301_1	{49674.34,-23567.09,154.37}	{0.0,0.0,69.99}	1	301		3
	54	int03_301_2	{46764.85,-14197.54,156.3}	{0.0,0.0,140.0}	1	301		3
	55	int03_301_3	{46558.63,-27042.91,154.77}	{0.0,0.0,30.0}	1	301		3
	56	int03_301_4	{44537.25,-20413.92,374.15}	{0.0,0.0,-90.0}	1	301		3
	371	int03_301_5	{52181.74,-23312.37,149.1}	{0.0,0.0,164.99}	1	301		3
	7	int03_302_1	{40784.0,-20456.38,1560.88}	{0.0,0.0,0.0}	1	302		3
	95	int03_302_2	{45468.67,-12800.54,718.27}	{0.0,0.0,0.0}	1	302		3
	96	int03_302_3	{46963.85,-30066.99,1902.38}	{0.0,0.0,0.0}	1	302		3
	97	int03_305_1	{43618.86,-10470.4,-9.45}	{0.0,0.0,0.0}	1	305	{964,-157,160,9}	3
	58	int03_306_1	{34853.73,-20440.22,139.0}	{0.0,0.0,0.0}	1	306		3
	196	int03_308_1	{49749.38,-17633.74,137.11}	{0.0,0.0,110.0}	1	308		3
	59	int03_309_1	{58586.51,-20440.22,139.0}	{0.0,0.0,-95.0}	1	309		3
	98	int03_310_1	{52611.65,-17546.77,135.0}	{-24.14,7.77,123.54}	1	310		3
	99	int03_310_2	{45137.78,-27921.03,139.0}	{0.0,0.0,19.99}	1	310		3
	372	int03_312_1	{40481.36,-20458.92,358.3}	{0.0,0.0,89.99}	1	312		3
	373	int03_316_1	{35935.98,-20455.76,528.62}	{0.0,0.0,69.99}	1	316		3
	374	int03_316_2	{40145.85,-21808.15,813.98}	{0.0,0.0,69.99}	1	316		3
	375	int03_316_3	{39102.33,-16895.24,776.48}	{0.0,0.0,69.99}	1	316		3
	376	int03_316_4	{38385.72,-28385.46,175.03}	{0.0,0.0,69.99}	1	316		3
	377	int03_316_5	{41640.93,-24095.78,599.11}	{0.0,0.0,69.99}	1	316		3
	378	int03_316_6	{42536.0,-16528.07,727.09}	{0.0,0.0,69.99}	1	316		3
	248	int03_316_7	{44979.81,-19582.63,812.23}	{0.0,0.0,69.99}	1	316		3
	249	int03_316_8	{50650.92,-12727.07,331.78}	{0.0,0.0,69.99}	1	316		3
	250	int03_316_9	{49103.67,-20461.72,525.73}	{0.0,0.0,69.99}	1	316		3
	52	int03_320_1	{44623.19,-30481.83,132.44}	{0.0,0.0,-75.0}	1	320	{31}	3



Int04	9	int04_301_1	{35683.12,-32096.94,120.89}	{0.0,0.0,29.99}	1	301		4
	60	int04_301_2	{25828.83,-37673.66,83.33}	{0.0,0.0,90.0}	1	301		4
	61	int04_301_3	{17894.42,-30122.14,190.28}	{0.0,0.0,35.0}	1	301		4
	251	int04_301_4	{31775.13,-38841.26,144.16}	{0.0,0.0,35.0}	1	301		4
	252	int04_301_5	{14172.57,-32383.3,41.27}	{0.0,0.0,-100.0}	1	301		4
	81	int04_301_6	{28300.62,-28037.74,174.61}	{0.0,0.0,134.99}	1	301		4
	10	int04_302_1	{26510.72,-25593.99,1303.37}	{0.0,0.0,0.0}	1	302		4
	100	int04_302_2	{6660.1,-37339.36,188.33}	{0.0,0.0,0.0}	1	302		4
	101	int04_302_3	{10613.27,-24035.74,6985.74}	{0.0,0.0,0.0}	1	302		4
	102	int04_305_1	{13185.53,-37639.27,-44.97}	{0.0,0.0,0.0}	1	305	{854,-60,114,10}	4
	65	int04_306_1	{24994.88,-26928.59,157.64}	{0.0,0.0,0.0}	1	306		4
	182	int04_308_1	{20283.91,-26394.29,156.44}	{0.0,0.0,-175.0}	1	308		4
	66	int04_309_1	{17362.76,-42678.04,167.36}	{0.0,0.0,85.0}	1	309		4
	103	int04_310_1	{22601.28,-42081.76,167.36}	{0.0,0.0,0.0}	1	310		4
	253	int04_312_1	{25065.5,-29271.47,49.65}	{0.0,0.0,-155.0}	1	312		4
	254	int04_312_2	{21375.33,-22294.09,2087.73}	{0.0,0.0,90.0}	1	312		4
	255	int04_316_1	{32650.91,-34974.66,520.09}	{0.0,0.0,29.99}	1	316		4
	256	int04_316_2	{27580.42,-35070.77,211.51}	{0.0,0.0,29.99}	1	316		4
	257	int04_316_3	{23687.64,-36264.88,164.55}	{0.0,0.0,29.99}	1	316		4
	258	int04_316_4	{21162.92,-40203.25,285.07}	{0.0,0.0,29.99}	1	316		4
	259	int04_316_5	{17849.42,-37890.01,624.18}	{0.0,0.0,29.99}	1	316		4
	260	int04_316_6	{20564.21,-32060.68,477.95}	{0.0,0.0,29.99}	1	316		4
	261	int04_316_7	{25100.05,-28058.41,507.02}	{0.0,0.0,29.99}	1	316		4
	262	int04_316_8	{18209.58,-26884.54,604.51}	{0.0,0.0,29.99}	1	316		4
	263	int04_316_9	{25709.02,-22958.84,3580.14}	{0.0,0.0,29.99}	1	316		4
	57	int04_320_1	{15644.33,-25198.48,770.45}	{0.0,0.0,-164.99}	1	320	{42}	4
	63	int04_320_2	{26936.49,-23333.57,3388.49}	{0.0,0.0,69.99}	1	320	{41}	4



Int05	12	int05_301_1	{2345.53,-23510.82,6017.35}	{0.0,0.0,-135.0}	1	301		5
	67	int05_301_2	{-912.17,-24514.72,6017.36}	{0.0,0.0,154.99}	1	301		5
	68	int05_301_3	{-3624.8,-22522.54,6047.16}	{0.0,0.0,130.0}	1	301		5
	264	int05_301_4	{-8956.12,-23925.8,4330.13}	{-25.2,0.0,179.99}	1	301		5
	13	int05_302_1	{-2502.21,-26897.18,6403.41}	{0.0,0.0,0.0}	1	302		5
	70	int05_306_1	{-496.14,-21641.79,6150.0}	{0.0,0.0,0.0}	1	306		5
	71	int05_309_1	{-8035.79,-30079.9,5977.81}	{0.0,0.0,10.0}	1	309		5
	104	int05_310_1	{422.32,-26891.82,6030.0}	{0.0,0.0,139.99}	1	310		5
	265	int05_312_1	{-3623.23,-29287.86,6000.0}	{0.0,0.0,-5.0}	1	312		5
	266	int05_316_1	{3999.42,-20181.1,6672.84}	{0.0,0.0,0.0}	1	316		5
	267	int05_316_2	{-359.03,-21571.22,7506.6}	{0.0,0.0,0.0}	1	316		5
	268	int05_316_3	{-9300.08,-29424.04,6287.67}	{0.0,0.0,0.0}	1	316		5
	64	int05_320_1	{2073.03,-17666.67,6000.0}	{0.0,0.0,135.0}	1	320	{51}	5



Int06	15	int06_301_1	{-19523.24,-37292.01,2.05}	{0.0,0.0,160.0}	1	301		6
	16	int06_301_2	{-15343.24,-19792.01,232.05}	{-0.99,1.91,140.07}	1	301		6
	21	int06_301_3	{-21413.24,-34562.01,662.05}	{0.0,0.0,95.0}	1	301		6
	108	int06_301_4	{-19723.24,-28402.01,-27.94}	{0.0,0.0,29.99}	1	301		6
	109	int06_301_5	{-23243.24,-26792.01,1052.05}	{0.0,0.0,29.99}	1	301		6
	110	int06_301_6	{-14793.24,-34122.01,192.05}	{0.0,0.0,29.99}	1	301		6
	34	int06_301_7	{-8213.24,-38312.01,172.05}	{0.0,0.0,29.99}	1	301		6
	45	int06_301_8	{-29193.24,-34032.01,842.05}	{0.0,0.0,29.99}	1	301		6
	111	int06_301_9	{-12843.24,-31492.01,252.05}	{-20.0,-14.99,0.0}	1	301		6
	17	int06_302_1	{-19083.24,-37472.01,42.05}	{-7.72,13.81,-11.59}	1	302		6
	112	int06_302_2	{-4503.24,-41052.01,662.05}	{4.92,0.86,-9.96}	1	302		6
	113	int06_302_3	{-26343.24,-20212.01,62.05}	{-14.78,-2.57,-9.66}	1	302		6
	114	int06_302_4	{-28903.24,-33812.01,582.05}	{0.0,0.0,-10.0}	1	302		6
	115	int06_302_5	{-19353.24,-26282.01,82.05}	{-14.78,-2.57,-99.66}	1	302		6
	107	int06_305_1	{-18738.24,-22492.01,-22.94}	{0.0,0.0,0.0}	1	305	{800,-650,-10,6}	6
	119	int06_305_2	{-14383.24,-42002.01,-22.94}	{0.0,0.0,0.0}	1	305	{0,900,-5,7}	6
	24	int06_306_1	{-12903.24,-27182.01,162.05}	{0.0,0.0,-10.0}	1	306		6
	183	int06_308_1	{-14351.96,-38920.22,188.19}	{0.0,0.0,179.99}	1	308		6
	184	int06_308_2	{-16361.96,-24040.22,218.19}	{0.0,0.0,179.99}	1	308		6
	69	int06_309_1	{-15313.24,-24602.01,292.05}	{14.78,2.57,0.33}	1	309		6
	25	int06_310_1	{-9201.96,-22290.22,368.19}	{-89.99,0.0,89.99}	1	310		6
	116	int06_310_2	{-23581.96,-34370.22,558.19}	{-19.99,0.0,-179.99}	1	310		6
	117	int06_310_3	{-17941.96,-29060.22,158.19}	{0.0,19.99,-179.99}	1	310		6
	19	int06_311_1	{-17073.24,-36702.01,352.05}	{0.0,0.0,95.0}	1	311		6
	22	int06_312_1	{-10003.84,-37686.99,557.71}	{0.0,0.0,134.99}	1	312		6
	172	int06_312_2	{-14753.85,-24456.99,557.71}	{0.0,0.0,-90.0}	1	312		6
	270	int06_316_1	{-10103.24,-25992.01,2592.05}	{0.0,0.0,-10.0}	1	316		6
	271	int06_316_10	{-4993.24,-41722.01,622.05}	{0.0,0.0,-130.0}	1	316		6
	272	int06_316_11	{-26873.24,-37222.01,1102.05}	{0.0,0.0,-130.0}	1	316		6
	273	int06_316_12	{-17883.24,-39152.01,482.05}	{0.0,0.0,-130.0}	1	316		6
	274	int06_316_13	{-10083.24,-29312.0,812.06}	{0.0,0.0,-130.0}	1	316		6
	275	int06_316_14	{-20414.59,-31601.72,1992.15}	{0.0,0.0,-130.0}	1	316		6
	276	int06_316_15	{-9374.59,-22511.72,2302.15}	{0.0,0.0,174.99}	1	316		6
	277	int06_316_2	{-14163.24,-20232.01,1102.05}	{0.0,0.0,-130.0}	1	316		6
	278	int06_316_3	{-16493.24,-22662.01,712.05}	{0.0,0.0,-130.0}	1	316		6
	279	int06_316_4	{-24123.24,-21042.01,722.05}	{0.0,0.0,-130.0}	1	316		6
	280	int06_316_5	{-24123.24,-26202.01,1972.05}	{0.0,0.0,-130.0}	1	316		6
	281	int06_316_6	{-17853.24,-24952.01,962.05}	{0.0,0.0,-130.0}	1	316		6
	282	int06_316_7	{-16073.24,-27932.01,962.05}	{0.0,0.0,-130.0}	1	316		6
	283	int06_316_8	{-10603.24,-33382.01,1102.05}	{0.0,0.0,-130.0}	1	316		6
	284	int06_316_9	{-9753.24,-38682.01,1842.05}	{0.0,0.0,-130.0}	1	316		6
	20	int06_320_1	{-12381.96,-32250.22,458.19}	{0.0,0.0,-90.0}	1	320	{61}	6
	23	int06_320_2	{-10183.84,-40166.99,147.71}	{0.0,0.0,5.0}	1	320	{62}	6
	118	int06_320_3	{-25393.85,-32116.99,567.71}	{0.0,0.0,-90.0}	1	320	{63}	6



Int07	26	int07_301_1	{-5455.61,745.6,759.81}	{0.0,0.0,-134.99}	1	301		7
	27	int07_301_2	{-11935.61,13352.1,167.79}	{0.0,0.0,20.0}	1	301		7
	28	int07_301_3	{-7995.61,-8777.89,1797.79}	{0.0,0.0,150.0}	1	301		7
	30	int07_301_4	{-11798.96,5474.8,1440.96}	{0.0,0.0,-164.99}	1	301		7
	33	int07_301_5	{-12468.96,-7615.19,1303.92}	{0.0,0.0,-54.99}	1	301		7
	285	int07_301_6	{-6128.96,-14595.19,1890.96}	{0.0,0.0,20.0}	1	301		7
	286	int07_301_7	{-12328.96,-4565.19,1960.96}	{0.0,0.0,-54.99}	1	301		7
	287	int07_301_8	{-3308.96,-13035.19,1720.96}	{-4.92,-0.86,80.03}	1	301		7
	31	int07_302_1	{-20728.96,9544.8,-59.03}	{-25.0,0.0,-89.99}	1	302		7
	32	int07_302_2	{-7257.62,-7278.53,203.0}	{0.0,0.0,40.0}	1	302		7
	202	int07_302_3	{-10467.62,3961.46,143.0}	{0.0,0.0,0.0}	1	302		7
	120	int07_305_1	{-21038.96,-4155.19,-44.03}	{0.0,0.0,0.0}	1	305	{1420,-10,0,5}	7
	37	int07_306_1	{-7405.61,13575.61,131.81}	{0.0,0.0,0.0}	1	306		7
	38	int07_306_2	{-10325.61,-5784.39,149.81}	{0.0,0.0,0.0}	1	306		7
	124	int07_308_1	{-17547.62,-4958.53,23.0}	{0.0,0.0,-75.0}	1	308		7
	39	int07_309_1	{-20078.96,7984.8,20.96}	{-95.0,0.0,169.99}	1	309		7
	40	int07_309_2	{-9998.96,-15345.19,2790.96}	{-90.0,0.0,0.0}	1	309		7
	41	int07_310_1	{-5065.61,-834.39,1179.81}	{12.09,-6.28,-85.67}	1	310		7
	42	int07_310_2	{-8718.96,-21235.2,2890.96}	{0.0,0.0,135.0}	1	310		7
	43	int07_310_3	{-6397.62,-7518.53,1203.0}	{0.0,0.0,30.0}	1	310		7
	289	int07_311_1	{-15608.96,-10885.19,0.96}	{0.0,0.0,80.0}	1	311		7
	121	int07_312_1	{-10175.61,7292.1,697.79}	{0.0,0.0,20.0}	1	312		7
	46	int07_312_2	{-20118.96,5874.8,0.96}	{0.0,0.0,0.0}	1	312		7
	402	int07_312_3	{-6818.96,-10345.19,2790.96}	{0.0,0.0,-89.99}	1	312		7
	48	int07_316_1	{-4958.96,6854.8,1890.96}	{0.0,0.0,10.0}	1	316		7
	290	int07_316_10	{-15428.96,-15365.19,1090.96}	{0.0,0.0,10.0}	1	316		7
	291	int07_316_11	{-8028.96,-16165.19,4360.96}	{0.0,0.0,10.0}	1	316		7
	292	int07_316_12	{-4318.96,-10935.19,2030.96}	{0.0,0.0,10.0}	1	316		7
	293	int07_316_13	{-7808.96,-7595.19,930.96}	{0.0,0.0,10.0}	1	316		7
	294	int07_316_14	{-19738.96,-4125.19,620.96}	{0.0,0.0,10.0}	1	316		7
	122	int07_316_2	{-6828.96,13084.8,830.96}	{0.0,0.0,10.0}	1	316		7
	295	int07_316_3	{-15518.96,12964.8,540.96}	{0.0,0.0,10.0}	1	316		7
	296	int07_316_4	{-13158.96,10404.8,430.96}	{0.0,0.0,10.0}	1	316		7
	297	int07_316_5	{-9428.96,2194.8,680.96}	{0.0,0.0,10.0}	1	316		7
	298	int07_316_6	{-9428.96,-1585.19,590.96}	{0.0,0.0,10.0}	1	316		7
	299	int07_316_7	{-5178.96,-2305.19,2550.96}	{0.0,0.0,10.0}	1	316		7
	300	int07_316_8	{-13898.96,-9205.19,1890.96}	{0.0,0.0,10.0}	1	316		7
	301	int07_316_9	{-22958.96,4994.8,290.96}	{0.0,0.0,10.0}	1	316		7
	35	int07_320_1	{-15998.96,-2685.19,120.96}	{0.0,0.0,-84.99}	1	320	{71}	7
	36	int07_320_2	{-16738.96,-15965.19,1840.96}	{0.0,0.0,-89.99}	1	320	{72}	7
	302	int07_320_3	{-10078.96,1554.8,160.96}	{0.0,0.0,10.0}	1	320	{81}	7



Int08	47	int08_302_1	{9947.05,7922.87,1802.0}	{0.0,0.0,-89.99}	1	302		8
	197	int08_302_2	{4157.05,4312.87,1342.0}	{0.0,0.0,175.0}	1	302		8
	123	int08_311_1	{9977.05,6282.87,1812.0}	{0.0,0.0,-159.99}	1	311		8
	303	int08_312_1	{-92.94,2252.87,152.0}	{0.0,0.0,-179.99}	1	312		8
	304	int08_316_1	{2557.05,5262.87,1562.0}	{0.0,0.0,175.0}	1	316		8



int09	125	int09_301_11	{3310.84,34493.2,322.27}	{0.0,0.0,-10.0}	1	301		9
	132	int09_301_13	{-615.87,25948.98,3263.94}	{0.0,0.0,60.0}	1	301		9
	413	int09_301_14	{-1432.3,33218.77,3041.35}	{0.0,0.0,154.99}	1	301	{92}	9
	74	int09_301_15	{-18024.33,37650.16,2477.5}	{5.0,0.0,135.0}	1	301		9
	135	int09_301_3	{-12314.68,35323.33,2399.82}	{0.0,0.0,135.0}	1	301		9
	136	int09_301_4	{-11639.4,25985.21,2871.53}	{0.0,0.0,-55.0}	1	301		9
	137	int09_301_5	{-11911.95,20341.75,2080.14}	{0.0,0.0,-85.0}	1	301		9
	138	int09_301_6	{-4932.73,20972.85,2202.13}	{0.0,0.0,52.47}	1	301		9
	140	int09_301_8	{2316.09,32572.22,1291.26}	{0.0,0.0,-5.0}	1	301		9
	141	int09_301_9	{1139.34,20351.66,644.8}	{0.0,0.0,-5.0}	1	301		9
	142	int09_302_1	{-15206.24,40787.32,1776.72}	{0.0,0.0,135.0}	1	302		9
	144	int09_302_3	{-10276.04,35175.82,2561.7}	{0.0,0.0,135.0}	1	302		9
	145	int09_302_4	{-13000.88,24389.29,3029.52}	{0.0,0.0,135.0}	1	302		9
	149	int09_302_7	{963.77,21380.72,2665.24}	{-7.1,7.05,134.56}	1	302		9
	150	int09_302_8	{-1193.61,19469.85,5478.77}	{0.0,0.0,135.0}	1	302		9
	414	int09_306_1	{-11069.87,36241.77,2080.72}	{0.0,0.0,-110.0}	1	306		9
	175	int09_309_1	{-2260.55,23448.2,4467.19}	{0.0,0.0,25.0}	1	309		9
	176	int09_309_2	{2405.93,43990.99,1679.02}	{0.0,0.0,0.0}	1	309		9
	177	int09_310_1	{-6069.04,23725.47,2210.21}	{60.0,0.0,20.0}	1	310		9
	178	int09_310_2	{10573.58,15073.42,2563.79}	{-85.0,0.0,0.0}	1	310		9
	129	int09_311_2	{-17463.91,32318.22,1327.15}	{0.0,0.0,135.0}	1	311		9
	210	int09_311_4	{-1670.3,40006.35,2099.2}	{0.0,0.0,135.0}	1	311		9
	72	int09_311_5	{-7412.7,38629.06,2108.86}	{0.0,0.0,135.0}	1	311		9
	130	int09_312_1	{-2170.86,20056.38,4458.35}	{0.0,0.0,60.0}	1	312		9
	152	int09_312_2	{-5253.4,28884.89,2218.0}	{0.0,0.0,0.0}	1	312		9
	205	int09_312_3	{-19909.82,20867.63,934.89}	{0.0,0.0,-35.0}	1	312		9
	380	int09_316_1	{-598.55,29618.97,3422.12}	{0.0,0.0,-110.0}	1	316		9
	382	int09_316_11	{-11416.18,34105.8,3748.4}	{0.0,0.0,-110.0}	1	316		9
	383	int09_316_12	{-12458.71,33836.1,3082.76}	{0.0,0.0,-110.0}	1	316		9
	312	int09_316_2	{-1283.08,25914.0,3097.62}	{0.0,0.0,-110.0}	1	316		9
	315	int09_316_22	{-14598.24,23191.72,1833.03}	{0.0,0.0,-110.0}	1	316		9
	320	int09_316_27	{-12554.14,24057.58,3501.86}	{0.0,0.0,-110.0}	1	316		9
	387	int09_316_32	{-6681.39,17028.71,2304.62}	{0.0,0.0,-110.0}	1	316		9
	388	int09_316_33	{-10215.32,17562.4,1634.63}	{0.0,0.0,-110.0}	1	316		9
	403	int09_316_40	{863.94,39147.06,1486.86}	{0.0,0.0,-110.0}	1	316		9
	395	int09_316_5	{-5233.08,39112.02,1901.52}	{0.0,0.0,-110.0}	1	316		9
	198	int09_320_1	{-16929.58,39225.57,2432.98}	{0.0,0.0,64.99}	1	320	{91}	9
	199	int09_320_2	{1604.14,31826.83,2087.57}	{0.0,0.0,64.99}	1	320	{92}	9



int13	154	int13_301_1	{9356.89,28429.0,3812.12}	{0.0,0.0,60.0}	1	301		13
	87	int13_301_10	{19770.77,31047.28,2424.92}	{0.0,0.0,60.0}	1	301		13
	155	int13_301_2	{6407.33,32519.11,1950.25}	{0.0,0.0,60.0}	1	301		13
	156	int13_301_3	{13030.73,30670.25,2294.14}	{0.0,0.0,60.0}	1	301		13
	157	int13_301_4	{13019.29,34518.09,2560.71}	{0.0,0.0,60.0}	1	301		13
	159	int13_301_6	{17840.24,27580.39,2470.22}	{0.0,0.0,60.0}	1	301		13
	151	int13_301_7	{5025.28,15997.34,3084.7}	{0.0,0.0,60.0}	1	301		13
	161	int13_301_9	{5699.11,25797.17,4379.2}	{0.0,0.0,60.0}	1	301		13
