Id	组Id	点名	位置	任务区域	怪物Id	所属设计区域	特殊奖励	任务ID(对应task开启时不刷）
38	205	mon02_5_2	{26770.1,-14551.5,81.6}	0	400100601	2	0	
39	205	mon02_5_3	{26447.5,-14832.1,81.6}	0	400100601	2	0	
40	206	mon02_6_1	{27502.8,-19507.2,217.3}	0	5001001	2	0	
41	206	mon02_6_2	{27465.4,-20151.7,217.3}	0	400100403	2	0	
42	206	mon02_6_3	{27710.2,-19238.0,217.3}	0	400100403	2	0	
43	206	mon02_6_4	{27041.7,-19270.1,217.3}	0	400100403	2	0	
44	301	mon03_1_1	{39793.8,-20459.7,438.3}	0	500130701	3	0	
45	301	mon03_1_2	{40084.6,-20957.6,438.3}	0	400130301	3	0	
46	301	mon03_1_3	{40058.2,-20078.9,438.3}	0	400130301	3	0	
47	302	mon03_2_1	{39575.4,-15179.0,220.0}	0	400130401	3	0	
48	302	mon03_2_2	{39944.6,-14976.0,220.0}	0	400130401	3	0	
49	303	mon03_3_1	{42941.4,-26368.9,220.0}	0	400130401	3	0	
50	303	mon03_3_2	{42576.2,-26404.0,342.8}	0	400130401	3	0	
51	304	mon03_4_1	{38870.1,-25312.2,342.7}	0	400130101	3	0	
52	304	mon03_4_2	{38797.3,-25129.2,220.0}	0	400130101	3	0	
53	304	mon03_4_3	{39259.1,-25451.8,220.0}	0	400130101	3	0	
54	305	mon03_5_1	{42071.2,-14440.6,220.0}	0	400130101	3	0	
55	305	mon03_5_2	{41862.9,-14485.8,220.0}	0	400130101	3	0	
56	305	mon03_5_3	{42364.3,-14433.8,220.0}	0	400130101	3	0	
57	306	mon03_6_1	{45132.9,-20164.7,438.3}	0	400130401	3	0	
58	306	mon03_6_2	{45132.9,-20634.0,438.3}	0	400130301	3	0	
59	307	mon03_7_1	{48850.8,-16209.8,217.5}	0	400130602	3	0	
60	307	mon03_7_2	{48627.1,-15969.9,217.5}	0	400130602	3	0	
61	308	mon03_8_1	{48607.7,-25099.7,217.5}	0	400130602	3	0	
62	308	mon03_8_2	{48958.5,-24809.2,217.5}	0	400130602	3	0	
63	309	mon03_9_1	{55125.4,-20451.1,219.4}	0	500130201	3	0	
64	309	mon03_9_2	{55360.7,-20679.6,219.4}	0	400130601	3	0	
65	309	mon03_9_3	{55360.7,-20202.3,219.4}	0	400130601	3	0	
66	401	mon04_1_1	{34875.5,-31862.5,184.2}	0	400130602	4	0	
67	401	mon04_1_2	{35436.3,-31079.7,184.2}	0	400130601	4	0	
68	401	mon04_1_3	{35810.5,-31546.7,184.2}	0	400130601	4	0	
69	402	mon04_2_1	{28731.4,-34354.8,285.8}	0	400130101	4	0	
70	402	mon04_2_2	{28403.4,-33944.8,262.6}	0	400130101	4	0	
71	403	mon04_3_1	{23631.4,-37707.6,147.2}	0	400100304	4	0	
72	403	mon04_3_2	{24433.6,-37707.6,147.2}	0	400100403	4	0	
73	404	mon04_4_1	{19359.6,-39186.5,247.2}	0	400100601	4	0	
74	404	mon04_4_2	{20392.4,-39186.5,247.2}	0	4003007	4	0	
75	405	mon04_5_1	{15374.1,-37707.6,147.2}	0	400100304	4	0	
76	405	mon04_5_2	{16176.3,-37707.6,147.2}	0	400100403	4	0	
77	406	mon04_6_1	{25270.1,-30422.7,114.8}	0	500130501	4	0	
78	406	mon04_6_2	{25270.1,-29849.9,114.8}	0	400130601	4	0	
79	406	mon04_6_3	{26021.5,-30338.2,114.8}	0	400130601	4	0	
80	406	mon04_6_4	{24655.2,-30338.2,114.8}	0	400130602	4	0	
81	407	mon04_7_1	{16995.1,-28387.0,236.8}	0	400130301	4	0	
82	407	mon04_7_2	{16857.4,-27611.5,236.8}	0	400130401	4	0	
83	407	mon04_7_3	{16648.3,-29157.9,236.8}	0	400130401	4	0	
84	408	mon04_8_1	{19726.0,-22247.9,2160.5}	0	500130801	4	0	
85	408	mon04_8_2	{19505.6,-23006.1,2160.5}	0	400130401	4	0	
86	408	mon04_8_3	{20507.7,-23035.1,2160.5}	0	400130301	4	0	
87	408	mon04_8_4	{20507.7,-21588.0,2160.5}	0	400130301	4	0	
88	408	mon04_8_5	{19637.4,-21529.1,2160.5}	0	400130401	4	0	
89	408	mon04_8_6	{18944.5,-22203.3,2160.5}	0	400130401	4	0	
90	408	mon04_8_7	{20167.3,-22734.8,2160.5}	0	400130401	4	0	
91	408	mon04_8_8	{20167.3,-21869.7,2160.5}	0	400130401	4	0	
92	409	mon04_9_1	{19825.6,-33042.8,94.6}	0	400130601	4	0	
93	409	mon04_9_2	{19506.3,-33589.8,73.1}	0	400130601	4	0	
94	409	mon04_9_3	{19208.1,-33164.1,107.6}	0	400130602	4	0	
95	501	mon05_1_1	{2905.9,-24029.2,6099.1}	0	5001001	5	0	
96	501	mon05_1_2	{2975.8,-23483.3,6080.4}	0	4003007	5	0	
97	501	mon05_1_3	{3441.1,-23829.3,6080.4}	0	4003007	5	0	
98	502	mon05_2_1	{-3954.4,-28651.1,6080.4}	0	500130501	5	0	
99	502	mon05_2_2	{-3423.3,-28662.1,6080.4}	0	500130901	5	0	
100	502	mon05_2_3	{-4248.2,-28281.0,6080.4}	0	400130401	5	0	
101	502	mon05_2_4	{-3917.0,-27855.7,6080.4}	0	400130401	5	0	
102	502	mon05_2_5	{-3491.3,-27855.7,6080.4}	0	400130401	5	0	
103	502	mon05_2_6	{-3169.3,-28296.0,6080.4}	0	400130401	5	0	
104	503	mon05_3_1	{-4133.0,-23330.1,6116.6}	0	400130401	5	0	
105	503	mon05_3_2	{-4539.2,-23181.9,6116.6}	0	400130301	5	0	
106	504	mon05_4_1	{-757.3,-24710.8,6084.6}	0	400130301	5	0	
107	504	mon05_4_2	{-1177.4,-24492.0,6084.6}	0	400130401	5	0	
108	505	mon05_5_1	{-9153.3,-27079.3,5444.9}	0	400130601	5	0	
109	505	mon05_5_2	{-9245.9,-27713.8,5656.0}	0	400130601	5	0	
110	601	mon06_1_1	{-11466.6,-37128.9,240.2}	0	500130901	6	0	
111	601	mon06_1_2	{-11756.6,-37558.9,620.2}	0	500130701	6	0	
112	601	mon06_1_3	{-11736.6,-37288.9,410.2}	0	400130601	6	0	
113	601	mon06_1_4	{-12206.6,-37558.9,330.2}	0	400130602	6	0	
114	601	mon06_1_5	{-10056.6,-36078.9,330.2}	0	400130401	6	0	
115	601	mon06_1_6	{-11126.6,-36378.9,400.2}	0	400130101	6	0	
116	601	mon06_1_7	{-12386.6,-37268.9,510.2}	0	400130101	6	0	
117	602	mon06_2_1	{-12510.0,-24400.0,260.0}	0	500130901	6	0	
118	602	mon06_2_2	{-14430.0,-24180.0,580.0}	0	500130701	6	0	
119	602	mon06_2_3	{-14230.0,-23370.0,490.0}	0	400130101	6	0	
120	602	mon06_2_4	{-13940.0,-22940.0,400.0}	0	400130101	6	0	
121	602	mon06_2_5	{-13290.0,-23390.0,250.0}	0	400130401	6	0	
122	602	mon06_2_6	{-13630.0,-22870.0,150.0}	0	400130601	6	0	
123	602	mon06_2_7	{-14300.0,-24660.0,660.0}	0	400130601	6	0	
124	602	mon06_2_8	{-14300.0,-22420.0,150.0}	0	400130601	6	0	
125	603	mon06_3_1	{-16003.9,-35339.9,173.6}	0	400130101	6	0	
126	603	mon06_3_2	{-16983.9,-35459.9,173.6}	0	400130101	6	0	
127	603	mon06_3_3	{-17073.9,-36269.9,613.6}	0	500130501	6	0	
128	603	mon06_3_4	{-17753.9,-35139.9,173.6}	0	400130101	6	0	
129	604	mon06_4_1	{-14563.9,-34069.9,173.6}	0	400130401	6	0	
130	606	mon06_6_1	{-17183.9,-28649.9,433.6}	0	500130801	6	0	
131	710	mon07_10_2	{-7050.0,-10990.0,2940.0}	0	400190802	7	0	
132	710	mon07_10_3	{-7120.0,-11520.0,2940.0}	0	4002003	7	0	
133	710	mon07_10_4	{-7040.0,-12810.0,2820.0}	0	4002002	7	0	
134	710	mon07_10_5	{-7170.0,-10330.0,2850.0}	0	4002002	7	0	
135	701	mon07_1_1	{-18930.0,8180.0,200.0}	0	400130101	7	0	
136	701	mon07_1_2	{-20020.0,6900.0,330.0}	0	500130201	7	0	
137	701	mon07_1_3	{-20500.0,4790.0,270.0}	0	400130101	7	0	
138	701	mon07_1_4	{-19260.0,6900.0,500.0}	0	400130101	7	0	
139	701	mon07_1_5	{-19210.0,6960.0,220.0}	0	400130101	7	0	
140	701	mon07_1_6	{-18470.0,6900.0,560.0}	0	400130101	7	0	
141	701	mon07_1_7	{-19570.0,7570.0,120.0}	0	500130501	7	0	
142	702	mon07_2_1	{-8385.6,7442.1,1247.8}	0	4002002	7	0	
143	702	mon07_2_2	{-8775.6,6772.1,727.8}	0	4002003	7	0	
144	702	mon07_2_3	{-9205.6,6952.1,727.8}	0	4002003	7	0	
145	702	mon07_2_4	{-9155.6,7592.1,727.8}	0	5002010	7	0	
146	702	mon07_2_5	{-9855.6,6922.1,727.8}	0	4002002	7	0	
147	702	mon07_2_6	{-8975.6,7322.1,797.8}	0	4002003	7	0	
148	702	mon07_2_7	{-10435.6,6942.1,1157.8}	0	4002002	7	0	
149	702	mon07_2_8	{-9465.6,7382.1,727.8}	0	4002003	7	0	
150	703	mon07_3_1	{-15542.0,-10446.0,60.0}	0	400130101	7	0	
151	703	mon07_3_2	{-16162.0,-10446.0,50.0}	0	400130101	7	0	
152	703	mon07_3_3	{-15542.0,-9926.0,60.0}	0	400130601	7	0	
153	703	mon07_3_4	{-15362.0,-11546.0,100.0}	0	400130601	7	0	
154	703	mon07_3_5	{-15732.0,-9486.0,60.0}	0	500130501	7	0	
155	704	mon07_4_1	{-12020.0,13380.0,150.0}	0	4002004	7	0	
156	704	mon07_4_2	{-11630.0,14010.0,200.0}	0	4002004	7	0	
157	705	mon07_5_1	{-13780.0,4870.0,160.0}	0	400130401	7	0	
158	705	mon07_5_2	{-14090.0,4080.0,150.0}	0	400130301	7	0	
159	706	mon07_6_1	{-7150.0,-5990.0,210.0}	0	5002010	7	0	
160	707	mon07_7_1	{-4510.0,-15190.0,1250.0}	0	4002004	7	0	
161	707	mon07_7_2	{-3800.0,-15190.0,1250.0}	0	4002004	7	0	
162	708	mon07_8_1	{-11480.0,-14250.0,1890.0}	0	4002003	7	0	
163	708	mon07_8_2	{-11220.0,-13800.0,1870.0}	0	4002003	7	0	
164	708	mon07_8_3	{-11540.0,-13500.0,2160.0}	0	4002004	7	0	
165	708	mon07_8_4	{-11220.0,-14060.0,1870.0}	0	4002004	7	0	
166	708	mon07_8_5	{-11760.0,-12620.0,1970.0}	0	4002004	7	0	
167	709	mon07_9_1	{-10750.0,-19700.0,980.0}	0	4002002	7	0	
168	709	mon07_9_2	{-11970.0,-19050.0,230.0}	0	4002003	7	0	
169	801	mon08_1_1	{-503.2,3170.4,208.7}	0	500130201	8	0	
170	801	mon08_1_2	{-693.2,2330.4,208.7}	0	500130201	8	0	
171	801	mon08_1_3	{-1563.2,3590.4,208.7}	0	400130101	8	0	
172	801	mon08_1_4	{-1683.2,3170.4,208.7}	0	400130101	8	0	
173	801	mon08_1_5	{-1013.2,3350.4,208.7}	0	400130101	8	0	
174	801	mon08_1_6	{-1013.2,3640.4,208.7}	0	400130101	8	0	
175	802	mon08_2_1	{10027.1,6932.9,1852.0}	0	4002003	8	0	
176	802	mon08_2_2	{9507.1,6442.9,1852.0}	0	4002003	8	0	
177	802	mon08_2_3	{9767.1,6112.9,1852.0}	0	4002004	8	0	
178	802	mon08_2_4	{10127.1,6612.9,1852.0}	0	4001005	8	0	
179	802	mon08_2_5	{10177.1,6282.9,1852.0}	0	4001004	8	0	
180	803	mon08_3_1	{6337.1,2742.9,1852.0}	0	5001010	8	0	
181	910	mon09_10_1	{-1804.3,20877.6,4538.8}	0	500130501	9	0	
182	910	mon09_10_2	{-1158.0,22548.0,4558.0}	0	500130501	9	0	
183	910	mon09_10_3	{-1768.0,22378.0,4543.9}	0	400130101	9	0	
184	910	mon09_10_4	{-1178.0,21168.0,4538.8}	0	400130101	9	0	
185	910	mon09_10_5	{-1978.0,21458.0,4538.8}	0	400130101	9	0	
186	911	mon09_11_1	{8007.2,21032.4,4218.2}	0	400130301	9	0	
187	911	mon09_11_2	{8099.6,20483.5,4218.2}	0	400130101	9	0	
188	912	mon09_12_1	{4199.8,20762.4,2633.2}	0	400130601	9	0	
189	912	mon09_12_2	{4239.2,21881.0,2562.6}	0	400130601	9	0	
190	912	mon09_12_3	{3948.3,20453.3,2633.2}	0	400130601	9	0	
191	913	mon09_13_1	{16410.6,28080.2,2476.2}	0	4002002	9	0	
192	915	mon09_15_1	{-14212.3,26502.6,1821.4}	0	4001005	9	0	
193	915	mon09_15_2	{-13945.9,25819.0,1821.4}	0	4002004	9	0	
194	915	mon09_15_3	{-14630.1,26369.1,1821.4}	0	4002004	9	0	
195	916	mon09_16_1	{-19745.6,21253.3,1016.7}	0	5001010	9	0	
196	916	mon09_16_2	{-19776.2,20866.3,1016.7}	0	4002004	9	0	
197	916	mon09_16_3	{-20155.5,21284.3,1016.7}	0	4002004	9	0	
198	916	mon09_16_4	{-18537.0,20576.0,1487.2}	0	4001005	9	0	
199	916	mon09_16_5	{-20231.8,21684.7,1481.7}	0	4001005	9	0	
200	916	mon09_16_6	{-19360.5,20668.6,1016.7}	0	4001005	9	0	
201	916	mon09_16_7	{-19817.1,21801.8,1016.7}	0	4002004	9	0	
202	916	mon09_16_8	{-20192.2,20603.2,1016.7}	0	4002004	9	0	
203	917	mon09_17_1	{-16058.5,19202.1,561.4}	0	4001005	9	0	
204	917	mon09_17_2	{-16173.0,18975.1,541.1}	0	4002004	9	0	
205	917	mon09_17_3	{-16296.4,19157.3,567.2}	0	4002004	9	0	
206	918	mon09_18_1	{-13014.2,23303.3,2929.8}	0	400130401	9	0	
207	918	mon09_18_2	{-12573.6,23154.9,2929.8}	0	400130601	9	0	
208	918	mon09_18_3	{-12475.7,22308.8,2929.8}	0	400130601	9	0	
209	901	mon09_1_1	{2170.0,36884.5,528.6}	0	400130601	9	0	
210	901	mon09_1_2	{2424.7,37243.7,390.9}	0	400130601	9	0	
211	902	mon09_2_1	{-2490.1,39616.8,2170.3}	0	4002004	9	0	
212	902	mon09_2_2	{-1326.6,39875.6,2157.7}	0	4002004	9	0	
213	902	mon09_2_3	{-2107.8,40356.6,2159.8}	0	4002004	9	0	
214	902	mon09_2_4	{-1613.1,40296.8,2150.9}	0	4002003	9	0	
215	903	mon09_3_1	{-7286.7,38227.7,2168.3}	0	5001001	9	0	
216	903	mon09_3_2	{-7278.7,37918.3,2225.7}	0	4002003	9	0	
217	903	mon09_3_3	{-7851.3,38081.8,2225.7}	0	4002003	9	0	
218	904	mon09_4_1	{-15458.5,35724.3,2225.7}	0	4002002	9	0	
219	905	mon09_5_1	{-17943.5,32030.3,1409.7}	0	400130601	9	0	
220	905	mon09_5_2	{-17708.4,32931.8,1401.9}	0	500130701	9	0	
221	905	mon09_5_3	{-17043.5,32580.6,1409.1}	0	400130601	9	0	
222	905	mon09_5_4	{-17281.7,33366.3,1397.9}	0	400130601	9	0	
223	906	mon09_6_1	{-5633.9,30291.5,2298.4}	0	500130701	9	0	
224	906	mon09_6_2	{-4849.8,30236.7,2298.4}	0	500130201	9	0	
225	906	mon09_6_3	{-5503.2,29462.1,2298.4}	0	400130601	9	0	
226	906	mon09_6_4	{-5530.5,28417.9,2298.4}	0	400130601	9	0	
227	906	mon09_6_5	{-5074.1,28381.2,2364.0}	0	400130601	9	0	
228	906	mon09_6_6	{-6964.1,29041.2,2364.0}	0	400130601	9	0	
229	906	mon09_6_7	{-3684.1,29031.2,2364.0}	0	400130601	9	0	
230	906	mon09_6_8	{-4408.2,27957.2,2364.0}	0	400130601	9	0	
231	906	mon09_6_9	{-5889.5,27965.8,2364.0}	0	400130601	9	0	
232	907	mon09_7_1	{1071.5,24992.1,498.6}	0	4001005	9	0	
233	907	mon09_7_2	{2616.5,24160.2,647.1}	0	4001005	9	0	
234	907	mon09_7_3	{1347.6,23087.2,596.7}	0	4001005	9	0	
235	907	mon09_7_4	{2867.8,22139.0,531.4}	0	4001005	9	0	
236	908	mon09_8_1	{-3476.8,15307.7,536.6}	0	400130101	9	0	
237	908	mon09_8_2	{-3820.3,15327.7,536.6}	0	400130101	9	0	
238	908	mon09_8_3	{-3601.9,15011.1,536.6}	0	400130401	9	0	
239	909	mon09_9_1	{-10906.7,19494.5,2225.7}	0	4001005	9	0	
240	909	mon09_9_2	{-11239.0,19184.6,2225.7}	0	4001005	9	0	
241	909	mon09_9_3	{-10855.2,19140.1,2225.7}	0	4002003	9	0	
242	914	mon09_9_4	{-4433.9,17732.0,2121.0}	0	4002004	9	0	
243	914	mon09_9_5	{-4103.1,18123.5,2121.0}	0	4002004	9	0	
244	1301	mon13_1_1	{24013.8,27876.5,220.9}	0	500130801	13	0	
245	1301	mon13_1_2	{24489.1,27427.3,215.5}	0	400130101	13	0	
246	1301	mon13_1_3	{24514.3,28083.6,216.2}	0	400130101	13	0	
247	1301	mon13_1_4	{23525.6,26984.9,280.1}	0	400130101	13	0	
248	1302	mon13_2_1	{19065.5,26923.6,1593.7}	0	400130101	13	0	
249	1302	mon13_2_2	{19478.0,27856.4,1593.7}	0	400130101	13	0	
250	1302	mon13_2_3	{19908.6,27022.7,1593.7}	0	400130101	13	0	
251	1302	mon13_2_4	{20635.0,28062.5,1593.7}	0	400130301	13	0	
252	1302	mon13_2_5	{19675.7,28560.0,1593.7}	0	400130401	13	0	
253	1303	mon13_3_1	{16665.6,33985.7,2387.4}	0	5002010	13	0	
254	1303	mon13_3_2	{17079.0,35009.2,2387.4}	0	4002004	13	0	
255	1303	mon13_3_3	{16109.0,34734.5,2387.4}	0	4002004	13	0	
256	1303	mon13_3_4	{16490.2,35486.5,2387.4}	0	4002004	13	0	
257	1303	mon13_3_5	{16854.6,32869.6,2387.4}	0	4002003	13	0	
258	1303	mon13_3_6	{15864.6,35729.6,2887.5}	0	4002002	13	0	
259	1303	mon13_3_7	{17674.6,33699.6,2887.5}	0	4002002	13	0	
260	1304	mon13_4_1	{14643.4,24238.8,3388.1}	0	400130401	13	0	
261	1304	mon13_4_2	{14423.6,24762.1,3388.1}	0	400130401	13	0	
262	1304	mon13_4_3	{15357.1,24489.8,3578.8}	0	400130101	13	0	
263	1305	mon13_5_1	{5381.8,27591.6,2665.1}	0	500130701	13	0	
264	1305	mon13_5_2	{4755.5,27164.3,2678.9}	0	400130301	13	0	
265	1305	mon13_5_3	{5068.2,28444.9,2678.7}	0	400130301	13	0	
266	1305	mon13_5_4	{6134.4,28559.2,2676.3}	0	400130401	13	0	
267	1305	mon13_5_5	{5491.8,26631.6,2665.1}	0	400130401	13	0	
268	1306	mon13_6_1	{7346.4,32072.3,2225.7}	0	400130101	13	0	
269	1306	mon13_6_2	{7808.1,32045.3,2225.7}	0	400130101	13	0	
270	1307	mon13_7_1	{8305.1,21792.9,4271.2}	0	400130101	13	0	
271	1307	mon13_7_2	{8070.3,21904.7,4332.3}	0	400130101	13	0	
272	1307	mon13_7_3	{8249.8,22183.2,4307.9}	0	400130401	13	0	
273	1401	mon14_1_1	{4688.1,45496.0,114.8}	0	4002004	14	0	
274	1401	mon14_1_2	{4170.4,45760.4,114.8}	0	4002004	14	0	
275	1401	mon14_1_3	{4044.7,46459.6,114.8}	0	4002003	14	0	
276	1401	mon14_1_4	{4616.1,46485.2,114.8}	0	4002003	14	0	
277	1402	mon14_2_1	{-4552.1,48255.6,114.8}	0	4002004	14	0	
278	1402	mon14_2_2	{-3556.9,48772.6,114.8}	0	4002004	14	0	
279	1402	mon14_2_3	{-2153.2,48470.8,114.8}	0	4002002	14	0	
