区域名	位置	盒体范围	旋转	顶点A	顶点B	顶点C	顶点D	半径	类型(见region_type_define.txt)	对应的配置Id	形状(1-矩形;2-圆)	区域Id
darkzonetaskregionexit12	{20577.15,22224.07,2120.55}	{4087.5,4000.0,200000.0}	{0.0,0.0,0.0}	{24664.65,26224.07,202120.54}	{16489.65,26224.07,2120.55}	{16489.65,18224.07,-197879.46}	{24664.65,18224.07,2120.55}	0.000000	2	12	1	12
darkzonetaskregionexit131	{13735.9,17561.1,3004.56}	{5025.0,5087.5,200000.0}	{0.0,0.0,0.0}	{18760.9,22648.6,203004.56}	{8710.9,22648.6,3004.56}	{8710.9,12473.6,-196995.44}	{18760.9,12473.6,3004.56}	0.000000	2	131	1	131
darkzonetaskregionexit132	{14099.38,27754.57,3004.56}	{7762.5,7650.0,200000.0}	{0.0,0.0,0.0}	{21861.88,35404.57,203004.56}	{6336.88,35404.57,3004.56}	{6336.88,20104.57,-196995.44}	{21861.88,20104.57,3004.56}	0.000000	2	132	1	132
darkzonetaskregionexit133	{11696.13,28381.09,3004.63}	{9775.0,11012.5,200000.0}	{0.0,0.0,0.0}	{21471.13,39393.59,203004.62}	{1921.13,39393.59,3004.63}	{1921.13,17368.59,-196995.38}	{21471.13,17368.59,3004.63}	0.000000	2	132	1	132
darkzonetaskregionexit134	{18176.35,18565.65,3004.56}	{3050.0,4425.0,200000.0}	{0.0,0.0,0.0}	{21226.35,22990.65,203004.56}	{15126.35,22990.65,3004.56}	{15126.35,14140.65,-196995.44}	{21226.35,14140.65,3004.56}	0.000000	2	132	1	132
darkzonetaskregionexit135	{10667.81,29704.38,3004.64}	{10762.5,11900.0,200000.0}	{0.0,0.0,0.0}	{21430.31,41604.38,203004.64}	{-94.68,41604.38,3004.64}	{-94.68,17804.38,-196995.36}	{21430.31,17804.38,3004.64}	0.000000	2	132	1	132
darkzonetaskregionexit136	{13794.7,21365.76,3004.55}	{2900.0,3500.0,200000.0}	{0.0,0.0,0.0}	{16694.7,24865.76,203004.56}	{10894.7,24865.76,3004.55}	{10894.7,17865.76,-196995.44}	{16694.7,17865.76,3004.55}	0.000000	2	132	1	132
darkzonetaskregionexit137	{15498.56,18560.4,3004.55}	{862.5,1087.5,200000.0}	{0.0,0.0,0.0}	{16361.06,19647.9,203004.56}	{14636.06,19647.9,3004.55}	{14636.06,17472.9,-196995.44}	{16361.06,17472.9,3004.55}	0.000000	2	132	1	132
darkzonetaskregionexit21	{22250.07,1450.7,2658.93}	{1375.0,1562.5,687.5}	{0.0,0.0,0.0}	{23625.07,3013.2,3346.43}	{20875.07,3013.2,2658.93}	{20875.07,-111.79,1971.43}	{23625.07,-111.79,2658.93}	0.000000	2	21	1	21
darkzonetaskregionexit22	{26613.7,-23706.6,684.92}	{1450.0,2825.0,687.5}	{0.0,-10.0,0.0}	{28532.23,-21176.31,1372.42}	{25676.29,-20672.72,684.92}	{24695.17,-26236.88,-2.57}	{27551.11,-26740.47,684.92}	0.000000	2	22	1	22
darkzonetaskregionexit31	{48032.67,-27299.04,370.76}	{4837.5,6350.0,687.5}	{0.0,-10.0,0.0}	{53899.35,-21885.55,1058.26}	{44371.34,-20205.48,370.76}	{42165.99,-32712.54,-316.73}	{51694.0,-34392.6,370.76}	0.000000	2	31	1	31
darkzonetaskregionexit41	{26933.0,-23268.12,3601.29}	{1875.0,2262.5,687.5}	{0.0,-10.0,0.0}	{29172.39,-21365.59,4288.79}	{25479.37,-20714.4,3601.29}	{24693.6,-25170.65,2913.79}	{28386.63,-25821.84,3601.29}	0.000000	2	41	1	41
darkzonetaskregionexit42	{11746.29,-26809.97,4570.72}	{5012.5,6162.5,5837.5}	{0.0,-10.0,0.0}	{17752.75,-21611.52,10408.22}	{7880.06,-19870.68,4570.72}	{5739.82,-32008.43,-1266.77}	{15612.52,-33749.27,4570.72}	0.000000	2	42	1	42
darkzonetaskregionexit51	{1560.27,-18648.89,6544.83}	{3012.5,2262.5,987.5}	{0.0,-10.0,0.0}	{4919.88,-16943.89,7532.33}	{-1013.57,-15897.65,6544.83}	{-1799.34,-20353.9,5557.33}	{4134.12,-21400.14,6544.83}	0.000000	2	51	1	51
darkzonetaskregionexit52	{-17431.96,-32250.22,458.19}	{6500.0,2250.0,987.5}	{0.0,0.0,0.0}	{-10931.96,-30000.22,1445.69}	{-23931.96,-30000.22,458.19}	{-23931.96,-34500.22,-529.3}	{-10931.96,-34500.22,458.19}	0.000000	2	61	1	61
darkzonetaskregionexit53	{-25393.85,-32416.99,567.71}	{4000.0,4000.0,987.5}	{0.0,0.0,0.0}	{-21393.85,-28416.99,1555.21}	{-29393.85,-28416.99,567.71}	{-29393.85,-36416.99,-419.78}	{-21393.85,-36416.99,567.71}	0.000000	2	63	1	63
darkzonetaskregionexit54	{-10183.84,-40166.99,147.71}	{3012.5,2262.5,987.5}	{0.0,0.0,0.0}	{-7171.34,-37904.49,1135.21}	{-13196.35,-37904.49,147.71}	{-13196.35,-42429.49,-839.78}	{-7171.34,-42429.49,147.71}	0.000000	2	62	1	62
darkzonetaskregionexit55	{-11341.96,-1700.22,458.19}	{7500.0,4500.0,2500.0}	{0.0,0.0,0.0}	{-3841.96,2799.77,2958.19}	{-18841.96,2799.77,458.19}	{-18841.96,-6200.22,-2041.8}	{-3841.96,-6200.22,458.19}	0.000000	2	71	1	71
darkzonetaskregionexit56	{-11341.96,3199.77,118.19}	{7500.0,4500.0,2500.0}	{0.0,0.0,0.0}	{-3841.96,7699.77,2618.19}	{-18841.96,7699.77,118.19}	{-18841.96,-1300.22,-2381.8}	{-3841.96,-1300.22,118.19}	0.000000	2	81	1	81
darkzonetaskregionexit57	{-16191.96,-16150.22,228.19}	{5000.0,5000.0,2500.0}	{0.0,0.0,0.0}	{-11191.96,-11150.22,2728.19}	{-21191.96,-11150.22,228.19}	{-21191.96,-21150.22,-2271.8}	{-11191.96,-21150.22,228.19}	0.000000	2	72	1	72
darkzonetaskregionexit91	{-15473.14,37949.39,3004.56}	{6087.5,5312.5,200000.0}	{0.0,0.0,0.0}	{-9385.64,43261.9,203004.56}	{-21560.64,43261.9,3004.56}	{-21560.64,32636.89,-196995.44}	{-9385.64,32636.89,3004.56}	0.000000	2	91	1	91
darkzonetaskregionexit92	{194.4,30892.37,2343.5}	{5225.0,5162.5,200000.0}	{0.0,0.0,0.0}	{5419.4,36054.87,202343.5}	{-5030.59,36054.87,2343.5}	{-5030.59,25729.87,-197656.5}	{5419.4,25729.87,2343.5}	0.000000	2	92	1	92
