技能ID	注释	节点ID1	节点ID2	节点ID3	节点ID4	节点ID5	节点ID6
1112401	溯影连携技	100233	100234				
1112301	溯影大招	100235	100236				
1017101	苔丝技能	100241	100242				
1017401	苔丝连携技	100243	100244				
1017301	苔丝大招	100245	100246				
1015101	凯茜娅技能	100251	100252				
1015401	凯茜娅连携技	100253	100254				
1015301	凯茜娅大招	100255	100256				
1016101	伊切尔技能	100261	100262				
1016401	伊切尔连携技	100263	100264				
1016301	伊切尔大招	100265	100266				
1107101	悖谬技能	100271	100272				
1107401	悖谬连携技	100273	100274				
1107301	悖谬大招	100275	100276				
1111101	羽蜕技能	100281	100282				
1111401	羽蜕连携技	100283	100284				
1111301	羽蜕大招	100285	100286				
1113101	瞬刻技能	100291	100292				
1113401	瞬刻连携技	100293	100294				
1113301	瞬刻大招	100295	100296				
1202101	无限之视技能	100301	100302				
1202401	无限之视连携技	100303	100304				
1202301	无限之视大招	100305	100306				
1208101	辉耀技能	100311	100312				
1208400	辉耀连携技	100313	100314				
1208301	辉耀大招	100315	100316				
1018101	薇蒂雅常规技	100321	100322				
1018401	薇蒂雅支援技	100323	100324				
1018301	薇蒂雅爆发技	100325	100326				
1115101	朝翼常规技	100331	100332				
1115401	朝翼支援技	100333	100334				
1115301	朝翼爆发技	100335	100336				
1205101	幽潮常规技	100341	100342				
1205401	幽潮支援技	100343	100344				
1205301	幽潮爆发技	100345	100346				
1204101	驰掣常规技	100351	100352				
1204401	驰掣支援技	100353	100354				
1204301	驰掣爆发技	100355	100356				
1020108	卜卜常规技	100361	100362				
1020401	卜卜支援技	100363	100364				
1020301	卜卜爆发技	100365	100366				
1214101	琼弦常规技	100371	100372				
1214401	琼弦支援技	100373	100374				
1214301	琼弦爆发技	100375	100376				
1210101	夜天光常规技	100381	100382				
1210401	夜天光支援技	100383	100384				
1210301	夜天光爆发技	100385	100386				
1211101	澜风常规技	100391	100392				
1211401	澜风支援技	100393	100394				
1211301	澜风爆发技	100395	100396				
1103101	悸响常规技	100401	100402				
1103401	悸响支援技	100403	100404				
1103301	悸响爆发技	100405	100406				
1021101	奈莉德常规技	100411	100412				
1021401	奈莉德支援技	100413	100414				
1021301	奈莉德爆发技	100415	100416				
1118101	天鹅座常规技	100421	100422				
1118401	天鹅座支援技	100423	100424				
1118301	天鹅座爆发技	100425	100426				
1215101	狂诗常规技	100431	100432				
1215401	狂诗支援技	100433	100434				
1215301	狂诗爆发技	100435	100436				
1117102	苔丝常规技	100441	100442				
1117401	苔丝支援技	100443	100444				
1117301	苔丝爆发技	100445	100446				
1022101	克罗瑞娜常规技	100451	100452				
1022401	克罗瑞娜支援技	100453	100454				
1022301	克罗瑞娜爆发技	100455	100456				
1308101	澄意常规技	100461	100462				
1308401	澄意支援技	100463	100464				
1308301	澄意爆发技	100465	100466				
1213101	悠游常规技	100471	100472				
1213401	悠游支援技	100473	100474				
1213301	悠游爆发技	100475	100476				
1023101	米娅常规技	100481	100482				
1023401	米娅支援技	100483	100484				
1023301	米娅爆发技	100485	100486				
1206101	霆光常规技	100491	100492				
1206401	霆光支援技	100493	100494				
1206301	霆光爆发技	100495	100496				
1120101	灵鉴常规技	100501	100502				
1120401	灵鉴支援技	100503	100504				
1120301	灵鉴爆发技	100505	100506				
1212101	莲驱常规技	100511	100512				
1212401	莲驱支援技	100513	100514				
1212301	莲驱爆发技	100515	100516				
1201101	时之重奏常规技	100521	100522				
1201401	时之重奏支援技	100523	100524				
1201301	时之重奏爆发技	100525	100526				
1305101	霄鹰常规技	100531	100532				
1305401	霄鹰支援技	100533	100534				
1305301	霄鹰爆发技	100535	100536				
1024201	胧嫣常规技	100541	100542				
1024401	胧嫣支援技	100543	100544				
1024301	胧嫣爆发技	100545	100546				
1304101	炬芯常规技	100551	100552				
1304401	炬芯支援技	100553	100554				
1304304	炬芯爆发技	100555	100556				
