ID	注释	节点1描述	节点1升级技能ID	节点1(skillfix)	节点1属性	节点2描述	节点2升级技能ID	节点2(skillfix)	节点2属性	节点3描述	节点3升级技能ID	节点3(skillfix)	节点3属性	节点4描述	节点4升级技能ID	节点4(skillfix)	节点4属性	节点5描述	节点5升级技能ID	节点5(skillfix)	节点5属性	节点6描述	节点6升级技能ID	节点6(skillfix)	节点6属性	节点7描述	节点7升级技能ID	节点7(skillfix)	节点7属性	节点8描述	节点8升级技能ID	节点8(skillfix)	节点8属性	节点9描述	节点9升级技能ID	节点9(skillfix)	节点9属性
100024	星期三4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1020104003	{1002401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1020104006	{1002401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1020104009		100214402	
100025	星期三5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1020105003	{1002301,1002302}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1020105006	{1002301,1002302}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1020105009		100215301	
100026	星期三6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1020106003	{1002301,1002302}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1020106006	{1002301,1002302}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1020106009		100216302	
100031	妮塔1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1030101003	{1003202,1003203}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1030101006	{1003202,1003203}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1030101009		100311101	
100032	妮塔2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1030102003	{1003202,1003203}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1030102006	{1003202,1003203}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1030102009		100312102	
100033	妮塔3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1030103003	{1003401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1030103006	{1003401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1030103009		100313401	
100034	妮塔4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1030104003	{1003401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1030104006	{1003401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1030104009		100314402	
100035	妮塔5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1030105003	{1003301}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1030105006	{1003301}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1030105009		100315301	
100036	妮塔6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1030106003	{1003301}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1030106006	{1003301}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1030106009		100316302	
100041	芙提雅1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1040101003	{1004201,1004262}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1040101006	{1004201,1004262}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1040101009		100411101	
100042	芙提雅2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1040102003	{1004201,1004262}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1040102006	{1004201,1004262}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1040102009		100412102	
100043	芙提雅3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1040103003	{1004401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1040103006	{1004401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1040103009		100413401	
100044	芙提雅4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1040104003	{1004401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1040104006	{1004401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1040104009		100414402	
100045	芙提雅5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1040105003	{1004301}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1040105006	{1004301}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1040105009		100415301	
100046	芙提雅6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1040106003	{1004301}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1040106006	{1004301}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1040106009		100416302	
100051	茉莉安1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1050101003	{1005101,1005163}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1050101006	{1005101,1005163}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1050101009		100511101	
100052	茉莉安2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1050102003	{1005101,1005163}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1050102006	{1005101,1005163}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1050102009		100512102	
100053	茉莉安3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1050103003	{1005401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1050103006	{1005401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1050103009		100513401	
100054	茉莉安4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1050104003	{1005401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1050104006	{1005401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1050104009		100514402	
100055	茉莉安5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1050105003	{1005301}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1050105006	{1005301}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1050105009		100515301	
100056	茉莉安6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1050106003	{1005301}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1050106006	{1005301}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1050106009		100516302	
100061	雨燕1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1050201003	{1105101}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1050201006	{1105101}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1050201009		110511101	
100062	雨燕2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1050202003	{1105101}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1050202006	{1105101}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1050202009		110512102	
100063	雨燕3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1050203003	{1105201}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1050203006	{1105201}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1050203009		110513401	
100064	雨燕4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1050204003	{1105201}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1050204006	{1105201}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1050204009		110514402	
100065	雨燕5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1050205003	{1105301}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1050205006	{1105301}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1050205009		110515301	
100066	雨燕6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1050206003	{1105301}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1050206006	{1105301}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1050206009		110516302	
100071	晴1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1060101003	{1006201,1006205}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1060101006	{1006201,1006205}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1060101009		100611101	
100072	晴2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1060102003	{1006201,1006205}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1060102006	{1006201,1006205}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1060102009		100612102	
100073	晴3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1060103003	{1006401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1060103006	{1006401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1060103009		100613401	
100074	晴4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1060104003	{1006401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1060104006	{1006401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1060104009		100614402	
100075	晴5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1060105003	{1006301}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1060105006	{1006301}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1060105009		100615301	
100076	晴6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1060106003	{1006301}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1060106006	{1006301}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1060106009		100616302	
100081	琴诺1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1070101003	{1007201}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1070101006	{1007201}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1070101009		100711101	
100082	琴诺2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1070102003	{1007201}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1070102006	{1007201}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1070102009		100712102	
100083	琴诺3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1070103003	{1007401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1070103006	{1007401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1070103009		100713401	
100084	琴诺4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1070104003	{1007401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1070104006	{1007401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1070104009		100714402	
100085	琴诺5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1070105003	{1007301,1007310,1007311,1007312,1007313,1007315}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1070105006	{1007301,1007310,1007311,1007312,1007313,1007315}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1070105009		100715301	
100086	琴诺6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1070106003	{1007301,1007310,1007311,1007312,1007313,1007315}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1070106006	{1007301,1007310,1007311,1007312,1007313,1007315}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1070106009		100716302	
100091	芬妮1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1080101003	{1008201}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1080101006	{1008201}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1080101009		100811101	
100092	芬妮2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1080102003	{1008201}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1080102006	{1008201}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1080102009		100812102	
100093	芬妮3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1080103003	{1008401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1080103006	{1008401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1080103009		100813401	
100094	芬妮4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1080104003	{1008401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1080104006	{1008401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1080104009		100814402	
100095	芬妮5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1080105003	{1008301}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1080105006	{1008301}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1080105009		100815301	
100096	芬妮6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1080106003	{1008301}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1080106006	{1008301}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1080106009		100816302	
100111	狂猎1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1020201003	{1102101,1102102,1102103,1102104}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1020201006	{1102101,1102102,1102103,1102104}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1020201009		110211101	
100112	狂猎2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1020202003	{1102101,1102102,1102103,1102104}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1020202006	{1102101,1102102,1102103,1102104}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1020202009		110212102	
100113	狂猎3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1020203003	{1102401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1020203006	{1102401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1020203009		110213401	
100114	狂猎4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1020204003	{1102401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1020204006	{1102401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1020204009		110214402	
100115	狂猎5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1020205003	{1102301}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1020205006	{1102301}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1020205009		110215301	
100116	狂猎6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1020206003	{1102301}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1020206006	{1102301}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1020206009		110216302	
100121	肴1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1100101003	{1010101}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1100101006	{1010101}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1100101009		101011101	
100122	肴2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1100102003	{1010101}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1100102006	{1010101}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1100102009		101012102	
100123	肴3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1100103003	{1010401,1010102}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1100103006	{1010401,1010102}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1100103009		101013401	
100124	肴4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1100104003	{1010401,1010102}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1100104006	{1010401,1010102}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1100104009		101014402	
100125	肴5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1100105003	{1010301,1010303}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1100105006	{1010301,1010303}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1100105009		101015301	
100126	肴6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1100106003	{1010301,1010303}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1100106006	{1010301,1010303}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1100106009		101016302	
100131	恩雅1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1110101003	{1011101}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1110101006	{1011101}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1110101009		101111101	
100132	恩雅2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1110102003	{1011101}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1110102006	{1011101}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1110102009		101112102	
100133	恩雅3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1110103003	{1011401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1110103006	{1011401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1110103009		101113401	
100134	恩雅4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1110104003	{1011401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1110104006	{1011401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1110104009		101114402	
100135	恩雅5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1110105003	{1011301,1011501,1011503,1011161,1011162,1011163,1011164}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1110105006	{1011301,1011501,1011503,1011161,1011162,1011163,1011164}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1110105009		101115301	
100136	恩雅6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1110106003	{1011301,1011501,1011503,1011161,1011162,1011163,1011164}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1110106006	{1011301,1011501,1011503,1011161,1011162,1011163,1011164}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1110106009		101116302	
100141	芙提雅缄默1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1040201003	{1104101}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1040201006	{1104101}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1040201009		110411101	
100142	芙提雅缄默2星脊椎	9999992001			{{"SkillMastery",5}}	9999992002			{{"SkillMastery",10}}	1040202003	{1104101}			9999992004			{{"SkillMastery",5}}	9999992005			{{"SkillMastery",10}}	1040202006	{1104101}			9999992007			{{"SkillMastery",5}}	9999992008			{{"SkillMastery",15}}	1040202009		110412102	
100143	芙提雅缄默3星脊椎	9999993001			{{"SkillMastery",5}}	9999993002			{{"SkillMastery",10}}	1040203003	{1104401}			9999993004			{{"SkillMastery",5}}	9999993005			{{"SkillMastery",10}}	1040203006	{1104401}			9999993007			{{"SkillMastery",5}}	9999993008			{{"SkillMastery",15}}	1040203009		110413401	
100144	芙提雅缄默4星脊椎	9999994001			{{"SkillMastery",5}}	9999994002			{{"SkillMastery",10}}	1040204003	{1104401}			9999994004			{{"SkillMastery",5}}	9999994005			{{"SkillMastery",10}}	1040204006	{1104401}			9999994007			{{"SkillMastery",5}}	9999994008			{{"SkillMastery",15}}	1040204009		110414402	
100145	芙提雅缄默5星脊椎	9999995001			{{"SkillMastery",5}}	9999995002			{{"SkillMastery",10}}	1040205003	{1104301}			9999995004			{{"SkillMastery",5}}	9999995005			{{"SkillMastery",10}}	1040205006	{1104301}			9999995007			{{"SkillMastery",5}}	9999995008			{{"SkillMastery",15}}	1040205009		110415301	
100146	芙提雅缄默6星脊椎	9999996001			{{"SkillMastery",5}}	9999996002			{{"SkillMastery",10}}	1040206003	{1104301}			9999996004			{{"SkillMastery",5}}	9999996005			{{"SkillMastery",10}}	1040206006	{1104301}			9999996007			{{"SkillMastery",5}}	9999996008			{{"SkillMastery",15}}	1040206009		110416302	
100151	辉夜形态1星脊椎	9999991001			{{"SkillMastery",5}}	9999991002			{{"SkillMastery",10}}	1010201003	{1101101,1101602}			9999991004			{{"SkillMastery",5}}	9999991005			{{"SkillMastery",10}}	1010201006	{1101101,1101602}			9999991007			{{"SkillMastery",5}}	9999991008			{{"SkillMastery",15}}	1010201009		110111101	
