特性ID	注释	特性标题	特性描述	特性图标
1701	对应BOSS——约瑟夫·顽骨	ui.TxtMonsterIntroTitle10	ui.TxtMonsterIntro1701	1001181
1702	对应BOSS——约瑟夫·顽骨	ui.TxtMonsterIntroTitle8	ui.TxtMonsterIntro1702	1001179
1703	对应BOSS——约瑟夫·顽骨	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro1703	1001182
1801	对应BOSS——尼亚尔	ui.TxtMonsterIntroTitle6	ui.TxtMonsterIntro1801	1001150
1901	对应BOSS——耶洛沙之泪	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro1901	1001152
2001	对应BOSS——二律背反的盟约	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro2001	1001152
2101	对应BOSS——DLC8BOSS—派	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro2101	1001152
2102	对应BOSS——DLC8BOSS—派	ui.TxtMonsterIntroTitle10	ui.TxtMonsterIntro2102	1001181
2201	对应BOSS——DLC9BOSS—沃坦	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro2201	1001152
2202	对应BOSS——DLC9BOSS—沃坦	ui.TxtMonsterIntroTitle5	ui.TxtMonsterIntro2202	1001155
2203	对应BOSS——DLC9BOSS—沃坦	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro2203	1001182
2301	对应BOSS——DLC10BOSS—极夜幽影	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro2301	1001152
2302	对应BOSS——DLC10BOSS—极夜幽影	ui.TxtMonsterIntroTitle9	ui.TxtMonsterIntro2302	1001180
2303	对应BOSS——DLC10BOSS—极夜幽影	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro2303	1001182
2401	对应BOSS——DLC10BOSS亚种—尼亚尔·浊流	ui.TxtMonsterIntroTitle6	ui.TxtMonsterIntro2401	1001150
2402	对应BOSS——DLC10BOSS亚种—尼亚尔·浊流	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro2402	1001152
2403	对应BOSS——DLC10BOSS亚种—尼亚尔·浊流	ui.TxtMonsterIntroTitle9	ui.TxtMonsterIntro2403	1001180
2501	对应BOSS——DLC11BOSS—尘白恶魔号	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro2501	1001152
2502	对应BOSS——DLC11BOSS—尘白恶魔号	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro2502	1001182
2601	对应BOSS——DLC2.3BOSS—玉节天龙	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro2601	1001152
2602	对应BOSS——DLC2.3BOSS—玉节天龙	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro2602	1001182
2701	对应BOSS——DLC2.4BOSS—食夜影兽	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro2701	1001152
2702	对应BOSS——DLC2.4BOSS—食夜影兽	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro2702	1001182
2801	对应BOSS——DLC2.5BOSS—舍塔	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro2801	1001152
2802	对应BOSS——DLC2.5BOSS—舍塔	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro2802	1001182
2901	对应BOSS——DLC2.6BOSS—墨菲斯·徒花	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro2901	1001152
2902	对应BOSS——DLC2.5BOSS—墨菲斯·徒花	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro2902	1001182
3001	对应BOSS——DLC2.7BOSS—海底观测者	ui.TxtMonsterIntroTitle13	ui.TxtMonsterIntro3001	1001150
3002	对应BOSS——DLC2.7BOSS—海底观测者	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3002	1001182
3003	对应BOSS——DLC2.8BOSS—尼亚尔·磐石	ui.TxtMonsterIntroTitle13	ui.TxtMonsterIntro3003	1001150
3004	对应BOSS——DLC2.8BOSS—尼亚尔·磐石	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro3004	1001152
3005	对应BOSS——DLC2.8BOSS—噬孽机·卡律布狄斯	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro3005	1001152
3006	对应BOSS——DLC2.8BOSS—噬孽机·卡律布狄斯	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3006	1001182
3007	对应BOSS——DLC3.0BOSS—文明守护者	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro3007	1001152
3008	对应BOSS——DLC3.0BOSS—文明守护者	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3008	1001182
3009	对应BOSS——DLC3.1BOSS—噬神斗场墨菲斯·徒花	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro3009	1001152
3010	对应BOSS——DLC3.1BOSS—噬神斗场墨菲斯·徒花	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3010	1001182
3011	对应BOSS——DLC3.1BOSS—米拉·猩红武装	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro3011	1001152
3012	对应BOSS——DLC3.1BOSS—米拉·猩红武装	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3012	1001182
3013	对应BOSS——DLC3.2BOSS—SpH-L12	ui.TxtMonsterIntroTitle15	ui.TxtMonsterIntro3013	1001150
3014	对应BOSS——DLC3.2BOSS—SpH-L12	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3014	1001182
3015	对应BOSS——DLC3.2 BOSS—埃吉尔	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro3015	1001152
3016	对应BOSS——DLC3.3boss-弱点提示	ui.TxtMonsterIntroTitle8	ui.TxtMonsterIntro3016	1001179
3017	对应BOSS——DLC3.3boss-阶段提示	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3017	1001182
3018	对应BOSS——DLC3.4boss-西西弗斯	ui.TxtMonsterIntroTitle14	ui.TxtMonsterIntro3018	1001150
3019	对应BOSS——DLC3.4boss-西西弗斯	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro3019	1001152
3020	对应BOSS——DLC3.4boss-西西弗斯	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3020	1001182
3021	对应BOSS——DLC3.4Boss-星祈雪人号-护盾	ui.TxtMonsterIntroTitle14	ui.TxtMonsterIntro3021	1001150
3022	对应BOSS——DLC3.4Boss-星祈雪人号-阶段A	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3022	1001182
3023	对应BOSS——DLC3.4Boss-星祈雪人号-阶段B	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3023	1001182
3024	对应BOSS——DLC3.4Boss-星祈雪人号-抗性	ui.TxtMonsterIntroTitle7	ui.TxtMonsterIntro3024	1001149
3025	对应BOSS——DLC3.5Boss-阿帕忒-护盾	ui.TxtMonsterIntroTitle15	ui.TxtMonsterIntro3025	1001150
3026	对应BOSS——DLC3.5Boss-阿帕忒-阶段	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3026	1001182
3027	对应BOSS——DLC3.6Boss-神座·狐相-护盾	ui.TxtMonsterIntroTitle14	ui.TxtMonsterIntro3027	1001150
3028	对应BOSS——DLC3.6Boss-神座·狐相-弱点	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro3028	1001152
3029	对应BOSS——DLC3.6Boss-神座·狐相-阶段	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro3029	1001182
