关卡唯一Id	难度	地图ID，对应Map.txt中的关卡ID	关卡目标{1,2}(level_target.txt)	星级条件 {{1,300},{1,180},{2,2}}	怪物信息{{id,等级},{id,等级}...}	任务资源	关卡概念图	难度图标	关卡场景图	推荐等级	关卡名	关联growintensity怪物强度模板	描述	预览奖励
7029	9	702	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,75},{4001004,75},{4001007,75}}	DefenseLevel/Task_Defense_Level_002_01.Task_Defense_Level_002_01	2100009	2100102	1801003	75		4	defenselevel.Level9_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7030	10	702	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,80},{4001004,80},{4001007,80}}	DefenseLevel/Task_Defense_Level_002_01.Task_Defense_Level_002_01	2100010	2100102	1801003	80		4	defenselevel.Level10_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
														
7031	1	703	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001103,30},{4001102,30},{4001104,30}}	DefenseLevel/Task_Defense_Level_003_01.Task_Defense_Level_003_01	2100001	2100101	1801007	30		4	defenselevel.Level1_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7032	2	703	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001103,40},{4001102,40},{4001104,40}}	DefenseLevel/Task_Defense_Level_003_01.Task_Defense_Level_003_01	2100002	2100101	1801007	40		4	defenselevel.Level2_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7033	3	703	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001103,45},{4001102,45},{4001104,45}}	DefenseLevel/Task_Defense_Level_003_01.Task_Defense_Level_003_01	2100003	2100101	1801007	45		4	defenselevel.Level3_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7034	4	703	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001103,50},{4001102,50},{4001104,50}}	DefenseLevel/Task_Defense_Level_003_01.Task_Defense_Level_003_01	2100004	2100101	1801007	50		4	defenselevel.Level4_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7035	5	703	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001103,55},{4001102,55},{4001104,55}}	DefenseLevel/Task_Defense_Level_003_01.Task_Defense_Level_003_01	2100005	2100101	1801007	55		4	defenselevel.Level5_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7036	6	703	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001103,60},{4001102,60},{4001104,60}}	DefenseLevel/Task_Defense_Level_003_01.Task_Defense_Level_003_01	2100006	2100102	1801007	60		4	defenselevel.Level6_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7037	7	703	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001103,65},{4001102,65},{4001104,65}}	DefenseLevel/Task_Defense_Level_003_01.Task_Defense_Level_003_01	2100007	2100102	1801007	65		4	defenselevel.Level7_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7038	8	703	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001103,70},{4001102,70},{4001104,70}}	DefenseLevel/Task_Defense_Level_003_01.Task_Defense_Level_003_01	2100008	2100102	1801007	70		4	defenselevel.Level8_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7039	9	703	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001103,75},{4001102,75},{4001104,75}}	DefenseLevel/Task_Defense_Level_003_01.Task_Defense_Level_003_01	2100009	2100102	1801007	75		4	defenselevel.Level9_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7040	10	703	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001103,80},{4001102,80},{4001104,80}}	DefenseLevel/Task_Defense_Level_003_01.Task_Defense_Level_003_01	2100010	2100102	1801007	80		4	defenselevel.Level10_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
														
7041	1	704	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001605,30},{4001602,30},{5001601,30}}	DefenseLevel/Task_Defense_Level_004_01.Task_Defense_Level_004_01	2100001	2100103	1801014	30		4	defenselevel.Level1_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7042	2	704	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001605,40},{4001602,40},{5001601,40}}	DefenseLevel/Task_Defense_Level_004_01.Task_Defense_Level_004_01	2100002	2100103	1801014	40		4	defenselevel.Level2_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7043	3	704	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001605,45},{4001602,45},{5001601,45}}	DefenseLevel/Task_Defense_Level_004_01.Task_Defense_Level_004_01	2100003	2100103	1801014	45		4	defenselevel.Level3_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7044	4	704	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001605,50},{4001602,50},{5001601,50}}	DefenseLevel/Task_Defense_Level_004_01.Task_Defense_Level_004_01	2100004	2100103	1801014	40		4	defenselevel.Level4_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7045	5	704	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001605,55},{4001602,55},{5001601,55}}	DefenseLevel/Task_Defense_Level_004_01.Task_Defense_Level_004_01	2100005	2100103	1801014	55		4	defenselevel.Level5_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7046	6	704	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001605,60},{4001602,60},{5001601,60}}	DefenseLevel/Task_Defense_Level_004_01.Task_Defense_Level_004_01	2100006	2100104	1801014	60		4	defenselevel.Level6_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7047	7	704	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001605,65},{4001602,65},{5001601,65}}	DefenseLevel/Task_Defense_Level_004_01.Task_Defense_Level_004_01	2100007	2100104	1801014	65		4	defenselevel.Level7_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7048	8	704	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001605,70},{4001602,70},{5001601,70}}	DefenseLevel/Task_Defense_Level_004_01.Task_Defense_Level_004_01	2100008	2100104	1801014	70		4	defenselevel.Level8_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7049	9	704	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001605,75},{4001602,75},{5001601,75}}	DefenseLevel/Task_Defense_Level_004_01.Task_Defense_Level_004_01	2100009	2100104	1801014	75		4	defenselevel.Level9_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7050	10	704	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001605,80},{4001602,80},{5001601,80}}	DefenseLevel/Task_Defense_Level_004_01.Task_Defense_Level_004_01	2100010	2100104	1801014	80		4	defenselevel.Level10_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
														
7051	11	705	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4001003,50},{4001004,50},{4001007,50},{4001002,50},{4001005,50},{4001016,50},{4001015,50},{4001017,50},{5001001,50},{5001010,50},{5002010,50}}	DefenseLevel/Task_Defense_Level_005_01.Task_Defense_Level_005_01	2100004	2100103	1801015	50		4	defenselevel.Level4_Des	{{4,1,6,3,120},{4,3,1,1,50500}}
7052	11	705	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4001003,50},{4001004,50},{4001007,50},{4001002,50},{4001005,50},{4001016,50},{4001015,50},{4001017,50},{5001001,50},{5001010,50},{5002010,50}}	DefenseLevel/Task_Defense_Level_005_01.Task_Defense_Level_005_01	2100004	2100103	1801015	50		4	defenselevel.Level4_Des	{{4,1,6,3,120},{4,3,1,1,50500}}
														
7061	11	706	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{400130101,50},{500130201,50},{400130301,50},{400130401,50},{500130501,50},{400130601,50},{500130701,50},{500130801,50},{500130901,50}}	DefenseLevel/Task_Defense_Level_006_01.Task_Defense_Level_006_01	2100004		1803037	50		4	defenselevel.Level4_Des	{{5,29,1,1,120},{4,3,1,1,50500}}
7071	11	707	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4001003,50},{4001004,50},{4001007,50},{4001002,50},{4001005,50},{4001016,50},{4001015,50},{4001017,50},{5001001,50},{5001010,50},{5002010,50},{5001018,50},{5001019,50}}	DefenseLevel/Task_Defense_Level_007_01.Task_Defense_Level_007_01	2100004		1801016	50		4	defenselevel.Level4_Des	{{5,29,1,1,120},{4,3,1,1,50500}}
														
7081	11	708	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{500100902,50},{5001018,50},{5001402,50},{5001019,50},{5001111,50},{5002110,50},{4001404,50},{500100901,50},{5001307,50},{5001308,50},{5001309,50},{400130104,50},{400130404,50},{400250603,50},{400130103,50},{4001004,50},{4001005,50},{4002007,50},{4001017,50},{400110601,50}}	DefenseLevel/Task_Defense_Level_008_01.Task_Defense_Level_008_01	2100004		1801019	50		4	defenselevel.Level4_Des	{{5,29,2,1,120},{4,3,1,1,50500}}
7091	11	709	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{500100902,50},{5001018,50},{5001402,50},{5001019,50},{5001111,50},{5002110,50},{4001404,50},{500100901,50},{5001307,50},{5001308,50},{5001309,50},{400130104,50},{400130404,50},{400250603,50},{400130103,50},{4001004,50},{4001005,50},{4002007,50},{4001017,50},{400110601,50}}	DefenseLevel/Task_Defense_Level_009_01.Task_Defense_Level_009_01	2100004		1801022	50		4	defenselevel.Level4_Des	{{5,30,2,2,120},{4,3,1,1,50500}}
7101	11	710	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001307,50},{5002208,50},{5001601,50},{500110901,50},{5001009,50},{5002110,50},{5001204,50},{5001110,50},{4001016,50},{5001001,50},{4001008,50},{4001005,50},{4001306,50},{4001304,50},{4001212,50},{4001213,50},{4001604,50},{400701301,50},{4001116,50}}	DefenseLevel/Task_Defense_Level_010_01.Task_Defense_Level_010_01	2100004		1803048	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7111	1	711	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001118,50},{5001101,50},{5001113,50},{5001111,50},{5001110,50},{500110901,50},{5001010,50},{5002010,50},{4003003,50},{4003006,50},{4001005,50},{4001003,50},{4009013,50},{4003106,50},{4001108,50},{4001211,50},{4003007,50},{4001008,50},{4003103,50}}	DefenseLevel/Task_Defense_Level_Dlc8_01.Task_Defense_Level_Dlc8_01			1803056	30	defenselevel.Def_Level81	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7112	2	711	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001118,50},{5001101,50},{5001113,50},{5001111,50},{5001110,50},{500110901,50},{5001010,50},{5002010,50},{4003003,50},{4003006,50},{4001005,50},{4001003,50},{4009013,50},{4003106,50},{4001108,50},{4001211,50},{4003007,50},{4001008,50},{4003103,50}}	DefenseLevel/Task_Defense_Level_Dlc8_01.Task_Defense_Level_Dlc8_01			1803056	50	defenselevel.Def_Level82	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7113	3	711	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001118,50},{5001101,50},{5001113,50},{5001111,50},{5001110,50},{500110901,50},{5001010,50},{5002010,50},{4003003,50},{4003006,50},{4001005,50},{4001003,50},{4009013,50},{4003106,50},{4001108,50},{4001211,50},{4003007,50},{4001008,50},{4003103,50}}	DefenseLevel/Task_Defense_Level_Dlc8_01.Task_Defense_Level_Dlc8_01			1803056	70	defenselevel.Def_Level83	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7114	4	711	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001118,50},{5001101,50},{5001113,50},{5001111,50},{5001110,50},{500110901,50},{5001010,50},{5002010,50},{4003003,50},{4003006,50},{4001005,50},{4001003,50},{4009013,50},{4003106,50},{4001108,50},{4001211,50},{4003007,50},{4001008,50},{4003103,50}}	DefenseLevel/Task_Defense_Level_Dlc8_01.Task_Defense_Level_Dlc8_01			1803056	80	defenselevel.Def_Level84	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7121	1	712	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001101,50},{5001113,50},{5001111,50},{5002010,50},{5001110,50},{5001018,50},{5001009,50},{4003004,50},{4003003,50},{4003007,50},{4002002,50},{4001005,50},{4001212,50},{4001215,50},{4001116,50},{4001112,50},{4001114,50},{4003106,50},{4003102,50}}	DefenseLevel/Task_Defense_Level_Dlc8_02.Task_Defense_Level_Dlc8_02			1803056	30	defenselevel.Def_Level81	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7122	2	712	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001101,50},{5001113,50},{5001111,50},{5002010,50},{5001110,50},{5001018,50},{5001009,50},{4003004,50},{4003003,50},{4003007,50},{4002002,50},{4001005,50},{4001212,50},{4001215,50},{4001116,50},{4001112,50},{4001114,50},{4003106,50},{4003102,50}}	DefenseLevel/Task_Defense_Level_Dlc8_02.Task_Defense_Level_Dlc8_02			1803056	50	defenselevel.Def_Level82	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7123	3	712	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001101,50},{5001113,50},{5001111,50},{5002010,50},{5001110,50},{5001018,50},{5001009,50},{4003004,50},{4003003,50},{4003007,50},{4002002,50},{4001005,50},{4001212,50},{4001215,50},{4001116,50},{4001112,50},{4001114,50},{4003106,50},{4003102,50}}	DefenseLevel/Task_Defense_Level_Dlc8_02.Task_Defense_Level_Dlc8_02			1803056	70	defenselevel.Def_Level83	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7124	4	712	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001101,50},{5001113,50},{5001111,50},{5002010,50},{5001110,50},{5001018,50},{5001009,50},{4003004,50},{4003003,50},{4003007,50},{4002002,50},{4001005,50},{4001212,50},{4001215,50},{4001116,50},{4001112,50},{4001114,50},{4003106,50},{4003102,50}}	DefenseLevel/Task_Defense_Level_Dlc8_02.Task_Defense_Level_Dlc8_02			1803056	80	defenselevel.Def_Level84	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7211	1	721	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5002010,50},{5001009,50},{4003013,50},{4001303,50},{5001403,50},{5001402,50},{400130403,50},{4001108,50},{500110901,50},{5001110,50},{4003106,50},{5001214,50}}	DefenseLevel/Task_Defense_Level_Dlc9_01.Task_Defense_Level_Dlc9_01			1803062	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7212	2	721	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5002010,50},{5001009,50},{4003013,50},{4001303,50},{5001403,50},{5001402,50},{400130403,50},{4001108,50},{500110901,50},{5001110,50},{4003106,50},{5001214,50}}	DefenseLevel/Task_Defense_Level_Dlc9_01.Task_Defense_Level_Dlc9_01			1803062	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7213	3	721	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5002010,50},{5001009,50},{4003013,50},{4001303,50},{5001403,50},{5001402,50},{400130403,50},{4001108,50},{500110901,50},{5001110,50},{4003106,50},{5001214,50}}	DefenseLevel/Task_Defense_Level_Dlc9_01.Task_Defense_Level_Dlc9_01			1803062	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7214	4	721	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5002010,50},{5001009,50},{4003013,50},{4001303,50},{5001403,50},{5001402,50},{400130403,50},{4001108,50},{500110901,50},{5001110,50},{4003106,50},{5001214,50}}	DefenseLevel/Task_Defense_Level_Dlc9_01.Task_Defense_Level_Dlc9_01			1803062	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
